school_dbn,community_school_district,city_council_district,school_name,of_teachers_assigned_to_teach_health
02M059,2,4,P.S. 059 Beekman Hill International,28
02M420,2,2,High School for Health Professions and Human Services,5
01M332,1,1,University Neighborhood Middle School,0
02M407,2,2,Institute for Collaborative Education,6
02M529,2,4,Jacqueline Kennedy Onassis High School,3
02M167,2,4,J.H.S. 167 Robert F. Wagner,1
01M650,1,1,Cascades High School,2
02M442,2,2,"Ballet Tech, NYC Public School for Dance",3
02M422,2,3,Quest to Learn,4
01M034,1,2,P.S. 034 Franklin D. Roosevelt,18
02M550,2,3,Liberty High School Academy for Newcomers,1
03M084,3,6,P.S. 084 Lillian Weber,29
02M475,2,1,Stuyvesant High School,6
02M413,2,2,School of the Future High School,2
02M139,2,3,Stephen T. Mather Building Arts & Craftsmanship High School,0
01M361,1,2,The Children's Workshop School,12
01M345,1,1,"Collaborative Academy of Science, Technology, & Language-Arts Education",1
02M347,2,2,The 47 American Sign Language & English Lower School,12
