manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_est_gross_income,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_total_units,comparable_rental_1_full_market_value,comparable_rental_1_dist_from_coop_in_miles,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_year_built,comparable_rental_2_address,comparable_rental_1_gross_income_per_sqft,latitude
1-02071-0030,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1608 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",231900,17216,,866000,0.05,31.5,1910,,13.74,40.821641
1-00759-0068,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""348 36 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",810000,24292,52.0,4570000,1.4,160.0,1930,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""129 WASHINGTON PLACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.8,
1-02080-0055,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""560 149 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",124715,12585,20.0,353000,0.4,28.3,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""515 147 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",9.7,
1-00890-0054,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""152 35 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",960500,28250,53.0,6760000,0.35,163.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""151 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.0,
1-00907-0043,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""226 27 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",336700,9620,20.0,1060000,0.0,167.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""235 27 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",24.23,
1-00744-0019,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""335 20 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",195000,5500,14.0,790000,2.4,170.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""222 16 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.5,
1-01197-0010,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""55 83 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",360268,12641,26.0,2450000,1.05,137.0,1925,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""490 74 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.3,
1-00588-0048,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""114 CHRISTOPHER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",910000,23039,40.0,4820000,0.45,198.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""159 HOUSTON STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",41.4,40.733227
1-01390-0023,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""955 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",6563749,208373,246.0,27700000,0.7,151.0,1964,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""200 82 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.9,40.773825
1-02087-0031,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""3405 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",207140,16020,21.0,866000,0.15,30.3,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""584 152 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",13.74,40.822213
