manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_est_gross_income,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_total_units,comparable_rental_1_full_market_value,comparable_rental_1_dist_from_coop_in_miles,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_year_built,comparable_rental_2_address,comparable_rental_1_gross_income_per_sqft,latitude
1-02179-0205,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""187 PINEHURST AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",273600,34200,46.0,680000,0.5,20.64,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""562 193 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",8.39,40.854267
1-01400-0068,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""108 66 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",807118,21814,38.0,3020000,0.35,186.0,1950,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""778 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",29.5,
1-01507-0016,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1356 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",723200,22600,,4430000,0.65,153.0,1929,,38.5,40.786697
1-01579-0008,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""511 82 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",298368,9324,20.0,1360000,0.5,153.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""427 80 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.5,
1-01197-0050,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""36 84 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1149555,42814,48.0,3670000,1.6,117.0,1940,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""324 84 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",25.6,
1-00379-0045,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""735 9 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",771750,31500,83.0,3270000,0.3,106.0,1930,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""142 7 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",23.91,
1-01367-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1006 1 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",23925000,870000,698.0,53700000,0.75,132.0,1966,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1660 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.0,40.757148
1-01120-0014,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""27 67 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1604637,59431,80.0,8370000,1.05,129.0,1921,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""530 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.9,
1-01589-0002,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3359215,115835,103.0,15400000,0.25,139.0,1959,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""28 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.3,
1-01026-0026,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""203 54 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1942710,64757,55.0,10300000,0.25,144.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""105 55 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.4,
1-00872-0007,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""105 16 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1472345,42067,58.0,8110000,0.55,168.0,1985,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""155 23 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",42.0,
1-01880-0010,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""239 108 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",903287,36045,32.0,3720000,0.35,109.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""920 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",22.75,
1-01501-0016,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1240 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3985318,156287,86.0,19900000,1.25,111.0,1880,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1225 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",26.9,40.782935
1-01559-0010,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""425 79 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",5821704,184816,182.0,29300000,0.45,151.0,1962,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1571 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.7,
1-01374-0069,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""785 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",5592928,174779,257.0,34400000,0.45,153.0,1968,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""205 66 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.3,40.764627
1-01717-0002,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""162 LENOX AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",408430,27709,25.0,933000,0.5,34.5,1921,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""211 CENTRAL PARK"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",11.51,40.80347
1-00916-0055,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""210 36 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1978848,61839,71.0,16700000,0.2,153.0,1924,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""153 32 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",46.7,
