manhattan_cooperatives_comparable_properties_est_gross_income,manhattan_cooperatives_comparable_properties_building_classification,postcode,community_council
4285792,D4-ELEVATOR,10029.0,8.0
4032830,D4-ELEVATOR,,
351500,C6-WALK-UP,,
1604637,D4-ELEVATOR,,
138400,C6-WALK-UP,,
4768647,D4-ELEVATOR,10000.0,6.0
339000,C6-WALK-UP,,
403260,C6-WALK-UP,,
13797662,D4-ELEVATOR,10000.0,6.0
1149555,D4-ELEVATOR,,
723200,D4-ELEVATOR,10128.0,4.0
330894,C6-WALK-UP,,
484617,D4-ELEVATOR,,
309070,C6-WALK-UP,,
524335,D4-ELEVATOR,,
248620,C6-WALK-UP,,
983088,D4-ELEVATOR,,
4366264,D4-ELEVATOR,10022.0,5.0
231900,C6-WALK-UP,10031.0,7.0
4793152,D4-ELEVATOR,,
982000,D4-ELEVATOR,,
1942710,D4-ELEVATOR,,
4287424,D4-ELEVATOR,10128.0,5.0
7205408,D4-ELEVATOR,10010.0,2.0
2874800,D4-ELEVATOR,,
4187898,D4-ELEVATOR,,
5951618,D4-ELEVATOR,10065.0,4.0
3450000,D4-ELEVATOR,,
7415590,D4-ELEVATOR,10075.0,4.0
605220,D4-ELEVATOR,,
2377282,D4-ELEVATOR,,
3985318,D4-ELEVATOR,10128.0,4.0
23925000,D4-ELEVATOR,10022.0,5.0
229550,C6-WALK-UP,,
8365137,D4-ELEVATOR,10016.0,2.0
2018400,D4-ELEVATOR,10002.0,1.0
5821704,D4-ELEVATOR,,
2634555,D4-ELEVATOR,10016.0,4.0
6600000,D4-ELEVATOR,10016.0,2.0
811668,D4-ELEVATOR,,
1623468,D4-ELEVATOR,,
252460,C6-WALK-UP,,
9575405,D4-ELEVATOR,10021.0,4.0
216235,C6-WALK-UP,10025.0,6.0
1061502,D4-ELEVATOR,10033.0,10.0
4164602,D4-ELEVATOR,10065.0,4.0
892942,D4-ELEVATOR,,
633108,D4-ELEVATOR,10033.0,10.0
3125620,D4-ELEVATOR,,
2902400,D4-ELEVATOR,,
3099250,D4-ELEVATOR,10040.0,10.0
742502,D4-ELEVATOR,10033.0,10.0
207140,C6-WALK-UP,10031.0,7.0
807118,D4-ELEVATOR,,
910000,C6-WALK-UP,10014.0,3.0
3931141,D4-ELEVATOR,,
1540000,D0-ELEVATOR,,
355810,C6-WALK-UP,,
3762880,D4-ELEVATOR,,
1645696,D4-ELEVATOR,,
4640000,D4-ELEVATOR,10065.0,4.0
124715,C6-WALK-UP,,
281268,C6-WALK-UP,,
1149754,D4-ELEVATOR,,
897750,D0-ELEVATOR,,
3322537,D4-ELEVATOR,,
301630,C6-WALK-UP,,
650000,C6-WALK-UP,10014.0,3.0
960500,D4-ELEVATOR,,
759774,D4-ELEVATOR,10026.0,9.0
6878928,D4-ELEVATOR,10000.0,6.0
771750,D0-ELEVATOR,,
791645,D4-ELEVATOR,,
304515,C6-WALK-UP,10036.0,3.0
545000,C6-WALK-UP,10014.0,3.0
6592453,D4-ELEVATOR,,
270000,C6-WALK-UP,,
502680,C6-WALK-UP,,
810000,D0-ELEVATOR,,
3462876,D4-ELEVATOR,,
528780,C6-WALK-UP,,
3019424,D4-ELEVATOR,,
162115,C6-WALK-UP,10031.0,9.0
6540628,D4-ELEVATOR,10128.0,4.0
2220156,D4-ELEVATOR,10021.0,4.0
360268,D4-ELEVATOR,,
354815,D4-ELEVATOR,,
3865950,D4-ELEVATOR,10000.0,6.0
153890,C6-WALK-UP,,
2062928,D4-ELEVATOR,,
8736000,D4-ELEVATOR,10065.0,4.0
910000,D0-ELEVATOR,,
316637,C6-WALK-UP,,
903287,D4-ELEVATOR,,
2573640,D4-ELEVATOR,,
699650,D4-ELEVATOR,,
217485,C6-WALK-UP,,
13083899,D4-ELEVATOR,,
856660,D4-ELEVATOR,,
1978848,D4-ELEVATOR,,
221000,C6-WALK-UP,,
222076,C6-WALK-UP,,
1360709,D4-ELEVATOR,,
1700000,D0-ELEVATOR,,
5411513,D4-ELEVATOR,,
2849684,D4-ELEVATOR,10024.0,6.0
280000,C6-WALK-UP,,
321411,C6-WALK-UP,10012.0,3.0
228236,C6-WALK-UP,,
324420,C6-WALK-UP,,
425788,C6-WALK-UP,,
229463,C6-WALK-UP,10034.0,10.0
1700000,D0-ELEVATOR,,
8484087,D4-ELEVATOR,,
16082230,D4-ELEVATOR,10022.0,5.0
5592928,D4-ELEVATOR,10022.0,4.0
6722298,D4-ELEVATOR,10028.0,4.0
669312,D4-ELEVATOR,,
418500,C6-WALK-UP,,
380497,C6-WALK-UP,,
855470,D4-ELEVATOR,10031.0,7.0
