manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_gross_sqft,comparable_rental_1_boro_block_lot,comparable_rental_2_full_market_value,comparable_rental_2_building_classification,comparable_rental_2_neighborhood,nta
196400,,,1-01463-0021,,,,
21814,0.2,20510.0,1-01426-0021,5000000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),
28500,5.1,29459.0,1-00590-0016,4440000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),
8675,,,1-01552-0031,,,,
107376,0.7,109896.0,1-01249-0036,14700000.0,D1-ELEVATOR,UPPER WEST SIDE (79-96),
8805,0.25,8740.0,1-01553-0007,1350000.0,C1-WALK-UP,UPPER EAST SIDE (79-96),
870000,1.55,690703.0,1-01465-0021,92900000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),Turtle Bay-East Midtown                                                    
178893,3.7,167453.0,1-01201-0034,10700000.0,D3-ELEVATOR,LOWER EAST SIDE,
190359,0.3,171655.0,1-01236-0010,12600000.0,D6-ELEVATOR,UPPER WEST SIDE (79-96),
45240,0.85,62400.0,1-00833-0075,9340000.0,D9-ELEVATOR,CHELSEA,
27709,0.55,29424.0,1-01753-0069,2090000.0,D1-ELEVATOR,HARLEM-CENTRAL,Central Harlem South                                                       
72792,0.25,71189.0,1-01472-0022,9810000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),Upper East Side-Carnegie Hill                                              
9620,0.05,9685.0,1-00907-0021,1620000.0,C5-WALK-UP,GRAMERCY,
26263,0.2,41883.0,1-00908-0009,7920000.0,D9-ELEVATOR,GRAMERCY,
245676,1.0,215600.0,1-01142-0064,29700000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),park-cemetery-etc-Manhattan                                                
183013,0.15,174273.0,1-01527-0028,34400000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),Lenox Hill-Roosevelt Island                                                
109069,1.3,113052.0,1-01162-0046,21200000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),
8870,0.15,8740.0,1-01553-0007,1350000.0,C1-WALK-UP,UPPER EAST SIDE (79-96),
27308,0.2,24370.0,1-01167-0007,3740000.0,D9-ELEVATOR,UPPER WEST SIDE (59-79),
42857,1.45,44856.0,1-01245-0088,6090000.0,D1-ELEVATOR,UPPER EAST SIDE (59-79),
49196,,,1-01439-0023,,,,
