manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_full_market_value,comparable_rental_2_year_built,comparable_rental_2_boro_block_lot,bin,community_board,comparable_rental_1_market_value_per_sqft,comparable_rental_1_neighborhood,manhattan_cooperatives_comparable_properties_gross_income_per_sqft,comparable_rental_1_total_units,bbl,longitude,comparable_rental_1_gross_sqft,comparable_rental_1_est_gross_income
1-02054-0016,380000,1946.0,1-02054-0012,1061167.0,9.0,44.1,HARLEM-CENTRAL,12.77,20,1020540016.0,-73.940878,12570,160490
1-01893-0006,3440000,1910.0,1-01873-0010,,,109.0,UPPER WEST SIDE (96-116),25.1,32,,,35290,884240
1-01197-0050,4990000,1914.0,1-01245-0088,,,111.0,UPPER EAST SIDE (59-79),26.8,42,,,32964,844168
1-01870-0001,4000000,1915.0,1-01880-0029,,,61.0,UPPER WEST SIDE (96-116),18.74,43,,,54520,834474
1-01471-0032,3490000,1920.0,1-01453-0035,,,140.0,UPPER EAST SIDE (59-79),28.0,48,,,25890,756629
1-00896-0013,726000,1900.0,1-00896-0008,,,231.0,GRAMERCY,26.0,17,,,11750,542890
1-02082-0050,360000,1910.0,1-02083-0011,,,40.9,HARLEM-UPPER,11.37,15,,,12040,142961
1-02070-0037,537000,1905.0,1-02002-0017,,,90.0,HARLEM-WEST,11.0,25,,,16614,345903
1-02080-0055,356000,1930.0,1-02079-0021,,,27.7,HARLEM-UPPER,9.91,15,,,12745,123653
1-01067-0008,12500000,1960.0,1-01066-0053,,,114.0,CLINTON,25.0,60,,,65615,1727570
1-01369-0033,1700000,1910.0,1-01468-0032,,,156.0,UPPER EAST SIDE (59-79),29.0,26,,,13482,438374
1-01494-0069,18100000,1962.0,1-01447-0023,1046770.0,8.0,150.0,UPPER EAST SIDE (59-79),25.0,149,1014940069.0,-73.961459,166432,5215996
1-00928-0001,36100000,1980.0,1-00944-0010,1020569.0,6.0,170.0,KIPS BAY,38.0,224,1009280001.0,-73.981308,165739,5888713
1-01923-0035,557000,1910.0,1-02051-0089,,,68.0,HARLEM-CENTRAL,17.2,18,,,15292,263093
1-02239-0029,537000,1916.0,1-02234-0047,1064967.0,12.0,51.0,INWOOD,13.18,29,1022390029.0,-73.924508,17810,249976
1-01397-0004,9590000,1939.0,1-01387-0056,1042024.0,8.0,108.0,UPPER EAST SIDE (59-79),30.0,77,1013970004.0,-73.968283,67880,1681901
1-00386-0058,933000,1920.0,1-00398-0022,,,101.0,ALPHABET CITY,22.0,20,,,20671,481190
1-01460-0017,15000000,1962.0,1-01418-0011,,,135.0,UPPER EAST SIDE (59-79),29.0,112,,,113820,3225341
1-00575-0057,9230000,1985.0,1-00911-0008,,,184.0,GRAMERCY,36.0,96,,,57538,2113291
1-01786-0017,324000,1910.0,1-01709-0024,,,91.0,HARLEM-EAST,17.3,13,,,8350,174200
1-01374-0069,26800000,1880.0,1-01421-0005,1040765.0,8.0,197.0,UPPER EAST SIDE (59-79),32.0,116,1013740069.0,-73.972745,174273,6855800
1-00641-0010,8290000,1948.0,1-00925-0060,1012075.0,2.0,189.0,KIPS BAY,34.0,94,1006410010.0,-74.009047,67048,2524317
1-01427-0030,13700000,1961.0,1-01425-0017,,,183.0,UPPER EAST SIDE (59-79),32.0,87,,,75854,2771467
1-01534-0007,1700000,1930.0,1-01535-0015,,,149.0,UPPER EAST SIDE (79-96),34.0,20,,,10465,325509
1-02180-0192,3870000,,,1064441.0,12.0,47.8,INWOOD,13.17,82,1021800192.0,-73.934792,83290,1090755
1-01453-0043,30100000,,,,,135.0,UPPER EAST SIDE (59-79),32.0,213,,,182345,5150558
1-01400-0068,4050000,1908.0,1-01381-0017,,,142.0,UPPER EAST SIDE (59-79),37.0,41,,,21330,629560
1-00189-0025,4300000,1920.0,1-01568-0037,,,156.0,GREENWICH VILLAGE-WEST,31.5,38,,,28656,936000
1-01552-0039,1590000,,,,,170.0,UPPER EAST SIDE (79-96),36.5,20,,,8590,305197
1-01183-0042,16600000,1927.0,1-01195-0014,,,154.0,UPPER WEST SIDE (79-96),32.3,54,,,104942,3387623
1-01585-0013,1350000,1920.0,1-01551-0018,,,148.0,UPPER EAST SIDE (79-96),32.0,15,,,8825,273427
1-01367-0001,115000000,1964.0,1-01549-0001,1040460.0,6.0,134.0,UPPER EAST SIDE (59-79),27.5,442,1013670001.0,-73.963757,400612,11203842
1-01124-0042,25900000,1900.0,1-00427-0001,,,131.0,UPPER WEST SIDE (79-96),30.2,114,,,248962,6804345
1-01227-0001,18200000,1920.0,1-01247-0029,,,97.0,UPPER WEST SIDE (79-96),22.0,79,,,164530,3691342
1-00529-0005,6510000,1920.0,1-00791-0078,,,149.0,FASHION,30.1,71,,,61612,1918671
1-01717-0002,956000,1926.0,1-01826-0018,1053176.0,10.0,39.7,HARLEM-CENTRAL,14.74,36,1017170002.0,-73.948615,23508,270544
1-01386-0037,10600000,1923.0,1-01409-0021,1041364.0,8.0,155.0,UPPER EAST SIDE (59-79),30.5,96,1013860037.0,-73.964013,75936,2456604
1-00907-0043,1610000,1920.0,1-00908-0022,,,106.0,GRAMERCY,35.0,20,,,10045,243390
1-00875-0008,4280000,1910.0,1-00879-0033,,,211.0,GRAMERCY,34.0,82,,,38465,1617053
1-01196-0029,33000000,1940.0,1-01406-0001,1000000.0,64.0,130.0,UPPER WEST SIDE (59-79),28.0,320,1011110001.0,-73.965126,235400,6373682
1-01439-0001,28500000,1968.0,1-01418-0045,1044689.0,8.0,105.0,UPPER EAST SIDE (79-96),32.5,182,1014390001.0,-73.961984,189612,4603948
1-01163-0061,18000000,1922.0,1-01496-0021,,,159.0,UPPER WEST SIDE (59-79),34.5,170,,,106920,3545324
1-01570-0005,1360000,1920.0,1-01551-0018,,,148.0,UPPER EAST SIDE (79-96),32.0,15,,,8825,273427
1-01121-0045,4930000,1926.0,1-01139-0057,,,185.0,UPPER WEST SIDE (59-79),36.0,48,,,24840,915571
1-01120-0007,6520000,1936.0,1-01472-0034,,,110.0,UPPER WEST SIDE (79-96),31.7,48,,,38016,962512
1-01409-0009,7780000,,,,,221.0,UPPER EAST SIDE (59-79),33.0,61,,,50225,2215646
1-01140-0036,1410000,1910.0,1-01128-0014,,,170.0,UPPER WEST SIDE (59-79),36.0,13,,,7400,263492
1-00759-0068,3880000,1924.0,1-00592-0082,,,157.0,GRAMERCY,33.3,61,,,29088,954719
1-01905-0036,1490000,1926.0,1-02025-0043,,,73.0,HARLEM-CENTRAL,18.34,27,,,16935,310578
1-01562-0018,1960000,1965.0,1-01528-0013,,,204.0,UPPER EAST SIDE (79-96),37.0,26,,,11645,471894
1-00738-0051,1060000,1910.0,1-00528-0065,,,163.0,EAST VILLAGE,34.0,22,,,6750,229061
1-01167-0061,18800000,1924.0,1-01169-0008,,,159.0,UPPER WEST SIDE (59-79),31.0,170,,,106920,3545324
1-02087-0031,485000,1900.0,1-02083-0058,1062299.0,9.0,50.0,HARLEM-WEST,12.93,20,1020870031.0,-73.953539,17265,237280
1-00389-0020,1170000,1920.0,1-00396-0027,,,132.0,ALPHABET CITY,25.0,18,,,10827,297717
1-02180-0166,2310000,1940.0,1-02180-0182,,,40.3,WASHINGTON HEIGHTS UPPER,12.0,51,,,55308,644999
1-01512-0001,32200000,1998.0,1-01557-0025,1047642.0,8.0,219.0,UPPER EAST SIDE (79-96),33.0,246,1015120001.0,-73.958477,205261,8968163
1-00908-0037,2510000,1915.0,1-00896-0015,,,228.0,GRAMERCY,35.0,27,,,15416,700732
1-01559-0010,27900000,1963.0,1-01527-0028,,,161.0,UPPER EAST SIDE (59-79),31.5,114,,,181549,6118140
1-01589-0002,16100000,1950.0,1-01577-0027,,,135.0,UPPER EAST SIDE (59-79),29.0,112,,,113820,3225341
1-00474-0029,11900000,1939.0,1-01319-0029,,,199.0,MIDTOWN CBD,35.0,107,,,70836,2806614
1-00529-0001,8140000,1920.0,1-00791-0078,,,149.0,FASHION,30.9,71,,,61612,1918671
1-01527-0014,1110000,,,,,197.0,UPPER EAST SIDE (79-96),39.6,16,,,7244,284927
1-00872-0007,7050000,1910.0,1-00879-0033,,,211.0,GRAMERCY,35.0,82,,,38465,1617053
1-01207-0016,3980000,1930.0,1-01253-0048,,,84.0,UPPER WEST SIDE (79-96),19.35,24,,,41000,793888
1-02099-0036,2000000,1928.0,1-02091-0038,1062470.0,9.0,43.4,HARLEM-UPPER,12.72,49,1020990036.0,-73.947087,60165,756610
1-01378-0033,28500000,,,1041036.0,8.0,135.0,UPPER EAST SIDE (59-79),32.4,213,1013780033.0,-73.967824,182345,5150558
1-01413-0004,4580000,1929.0,1-01412-0012,1043231.0,8.0,167.0,UPPER EAST SIDE (59-79),33.0,56,1014130004.0,-73.960754,28560,993363
1-01219-0059,2530000,1915.0,1-01557-0034,,,144.0,CHELSEA,28.0,30,,,19956,602263
1-01510-0001,27600000,1964.0,1-01427-0028,1047549.0,8.0,134.0,UPPER EAST SIDE (59-79),35.0,145,1015100001.0,-73.959438,165527,4610558
1-01535-0030,2020000,1920.0,1-01535-0018,,,191.0,UPPER EAST SIDE (79-96),39.0,19,,,10255,390868
1-01393-0033,37200000,1962.0,1-01410-0033,1041874.0,8.0,197.0,UPPER EAST SIDE (59-79),40.5,116,1013930033.0,-73.960772,174273,6855800
1-01349-0041,13400000,1929.0,1-01517-0050,,,132.0,UPPER EAST SIDE (59-79),30.0,131,,,121234,3343371
1-01534-0129,1760000,1910.0,1-01555-0035,,,193.0,UPPER EAST SIDE (79-96),38.0,16,,,9165,353473
1-00551-0001,71900000,1994.0,1-01573-0022,1008850.0,2.0,154.0,UPPER EAST SIDE (79-96),32.0,237,1005510001.0,-73.996608,241983,7795687
1-00893-0017,12600000,1924.0,1-00890-0005,1019088.0,6.0,191.0,MURRAY HILL,35.0,71,1008930017.0,-73.978244,62188,2367139
1-01120-0061,7880000,1924.0,1-01518-0009,,,135.0,UPPER WEST SIDE (79-96),32.0,36,,,41137,1160460
1-01229-0001,14400000,1920.0,1-01247-0029,,,97.0,UPPER WEST SIDE (79-96),20.5,79,,,164530,3691342
1-01383-0069,43800000,1923.0,1-01391-0002,1041288.0,8.0,136.0,UPPER EAST SIDE (79-96),39.0,185,1013830069.0,-73.96863,224000,6353010
1-01413-0027,8830000,1920.0,1-01531-0028,,,115.0,UPPER EAST SIDE (59-79),33.0,66,,,56980,1516068
1-02179-0205,706000,1925.0,1-02161-0045,1064354.0,12.0,19.65,WASHINGTON HEIGHTS UPPER,8.0,34,1021790205.0,-73.93814,34600,290383
1-01523-0014,10100000,1986.0,1-01530-0019,1048419.0,8.0,216.0,UPPER EAST SIDE (59-79),31.0,65,1015230014.0,-73.951778,66731,2861408
1-00475-0028,8910000,1900.0,1-00494-0015,1077731.0,2.0,198.0,GREENWICH VILLAGE-CENTRAL,38.0,50,1004750028.0,-74.003225,46137,1822797
1-01077-0022,706000,1901.0,1-01078-0014,,,168.0,CLINTON,31.0,20,,,9855,347576
1-00771-0073,1620000,1900.0,1-00505-0016,,,171.0,GREENWICH VILLAGE-WEST,34.9,20,,,9375,333781
1-01123-0029,66100000,1913.0,1-00863-0044,1000000.0,64.0,143.0,FINANCIAL,35.9,293,1011110001.0,-73.965126,335746,9996882
1-01849-0023,1780000,1912.0,1-01848-0036,1055869.0,10.0,32.0,MANHATTAN VALLEY,13.7,35,1018490023.0,-73.958215,31596,433404
1-01026-0026,9310000,1917.0,1-01008-0026,,,156.0,MIDTOWN WEST,30.0,102,,,66173,2143348
1-02179-0274,2560000,1920.0,1-02176-0119,1064369.0,12.0,44.4,WASHINGTON HEIGHTS UPPER,12.8,59,1021790274.0,-73.93849,54732,703441
1-01330-0007,12100000,1966.0,1-01448-0001,,,137.0,MIDTOWN EAST,29.0,109,,,84000,2405780
1-02073-0028,591000,1926.0,1-02069-0008,,,41.8,HARLEM-UPPER,10.4,24,,,25093,303022
1-00572-0017,11900000,1948.0,1-00925-0060,,,171.0,CHELSEA,34.0,76,,,43770,1562000
1-01363-0026,8740000,1906.0,1-01252-0001,,,107.0,UPPER EAST SIDE (79-96),28.0,51,,,64272,1587802
1-00528-0001,12900000,1961.0,1-01338-0035,,,183.0,UPPER EAST SIDE (59-79),36.0,87,,,75854,2771467
1-00466-0056,2890000,1988.0,1-00450-0015,,,218.0,EAST VILLAGE,37.0,39,,,14265,620897
1-01832-0006,3390000,1939.0,1-01843-0055,,,85.0,MANHATTAN VALLEY,22.5,26,,,32981,648166
1-00798-0026,7380000,1920.0,1-00911-0001,,,148.0,GRAMERCY,31.0,46,,,51122,1580157
1-01533-0040,1820000,1925.0,1-01549-0034,,,191.0,UPPER EAST SIDE (79-96),36.0,20,,,10000,381305
1-00642-0045,1500000,1900.0,1-00401-0051,1012134.0,2.0,184.0,EAST VILLAGE,36.9,20,1006420045.0,-74.007589,8205,300599
1-01367-0026,20900000,1961.0,1-01338-0035,1040544.0,6.0,99.0,GRAMERCY,28.0,107,1013690026.0,-73.960327,128570,2932859
1-01582-0046,17100000,,,,,135.0,UPPER EAST SIDE (59-79),29.0,112,,,113820,3225341
1-01378-0001,23300000,1962.0,1-01418-0011,1041015.0,8.0,135.0,UPPER EAST SIDE (59-79),40.0,112,1013780001.0,-73.971044,113820,3225341
1-01387-0036,11200000,1923.0,1-01409-0021,1041463.0,8.0,216.0,UPPER EAST SIDE (59-79),32.5,65,1013870036.0,-73.964038,66731,2861408
1-01523-0001,31300000,1998.0,1-01557-0025,1048384.0,8.0,97.0,UPPER EAST SIDE (79-96),31.0,205,1015220001.0,-73.953562,210428,4694955
1-01250-0001,12400000,1915.0,1-01868-0001,1034003.0,7.0,90.0,UPPER WEST SIDE (96-116),20.5,90,1012500001.0,-73.979,120542,2513147
1-01963-0034,1600000,1901.0,1-01977-0033,,,201.0,MORNINGSIDE HEIGHTS,40.1,18,,,10618,425330
1-00545-0007,4360000,1940.0,1-00590-0016,,,154.0,LOWER EAST SIDE,31.0,18,,,8875,285000
1-01448-0017,22200000,,,,,211.0,UPPER EAST SIDE (59-79),30.0,111,,,164567,6913219
1-00028-0001,35500000,1900.0,1-00021-0006,1000831.0,1.0,183.0,FINANCIAL,31.0,342,1000280001.0,-74.009623,290116,10561837
1-01197-0010,1730000,1910.0,1-01468-0031,,,159.0,UPPER EAST SIDE (79-96),28.5,31,,,15376,511376
1-00379-0045,3350000,1925.0,1-00402-0015,,,104.0,ALPHABET CITY,24.5,41,,,31500,753024
1-00517-0006,1540000,1920.0,1-00519-0028,1008042.0,2.0,164.0,SOHO,34.2,24,1005170006.0,-74.001963,11826,404065
1-01401-0054,19900000,1963.0,1-01516-0052,1042466.0,8.0,213.0,UPPER EAST SIDE (59-79),31.0,129,1014010054.0,-73.964719,138500,5876391
1-00909-0001,40100000,1975.0,1-00889-0039,1019888.0,6.0,166.0,MURRAY HILL,33.0,311,1009090001.0,-73.980574,351560,12168616
1-00620-0056,3110000,1913.0,1-01325-0036,1084959.0,2.0,157.0,GREENWICH VILLAGE-WEST,33.8,29,1006200056.0,-74.00402,14680,482000
1-01145-0001,19300000,1930.0,1-01426-0029,,,159.0,UPPER WEST SIDE (59-79),33.5,170,,,106920,3545324
1-01484-0019,2000000,1920.0,1-01424-0037,,,185.0,UPPER EAST SIDE (59-79),31.0,27,,,14280,525649
1-01056-0025,1480000,1901.0,1-01058-0033,,,155.0,CLINTON,31.0,20,,,9690,312208
1-01583-0012,31600000,1966.0,1-01560-0021,,,136.0,UPPER EAST SIDE (79-96),29.5,185,,,224000,6353010
1-01507-0064,11700000,1986.0,1-01531-0035,,,158.0,UPPER EAST SIDE (79-96),30.0,100,,,81837,2691252
1-02119-0056,509000,1916.0,1-02118-0043,,,52.0,WASHINGTON HEIGHTS LOWER,14.15,20,,,14625,206965
1-01363-0008,9880000,1940.0,1-01490-0122,,,114.0,UPPER EAST SIDE (59-79),28.0,60,,,53446,1399703
1-01507-0016,3460000,,,1047426.0,8.0,193.0,UPPER EAST SIDE (79-96),32.0,40,1015070016.0,-73.954561,22990,884130
1-01604-0001,20500000,1951.0,1-01581-0030,1051482.0,11.0,99.0,UPPER EAST SIDE (79-96),28.0,159,1016040001.0,-73.954433,149485,3406819
1-01369-0029,2630000,1925.0,1-01560-0010,,,138.0,UPPER EAST SIDE (59-79),29.0,22,,,16039,463589
1-01036-0003,1460000,1920.0,1-01033-0019,1025004.0,4.0,166.0,MIDTOWN WEST,33.5,17,1010360003.0,-73.991051,9045,312726
1-00744-0019,934000,1890.0,1-00765-0056,,,170.0,UPPER WEST SIDE (59-79),35.5,18,,,4642,165000
1-01562-0009,1190000,1930.0,1-01562-0040,,,151.0,UPPER EAST SIDE (79-96),31.0,20,,,8420,264659
1-00759-0053,656000,1901.0,1-00619-0014,,,133.0,GREENWICH VILLAGE-CENTRAL,29.6,17,,,9490,262815
1-00230-0031,4450000,1920.0,1-00230-0033,1002998.0,2.0,155.0,SOHO,31.0,86,1002300031.0,-74.001681,44256,1431367
1-01117-0036,23900000,,,1000000.0,64.0,159.0,UPPER WEST SIDE (59-79),39.0,170,1011110001.0,-73.965126,106920,3545324
1-01550-0001,20500000,1999.0,1-01460-0047,1050044.0,8.0,134.0,UPPER EAST SIDE (79-96),31.0,154,1015500001.0,-73.951169,128132,3588695
1-01579-0008,1430000,1925.0,1-01560-0012,,,145.0,UPPER EAST SIDE (79-96),32.0,20,,,9350,284748
1-01386-0033,45900000,1977.0,1-01546-0001,1041363.0,8.0,166.0,UPPER EAST SIDE (79-96),35.0,250,1013860033.0,-73.964186,277073,9598974
1-01427-0034,13900000,1940.0,1-01490-0122,,,150.0,UPPER EAST SIDE (59-79),32.0,91,,,83220,2607460
1-01186-0033,13100000,1929.0,1-01582-0031,,,138.0,UPPER WEST SIDE (79-96),34.0,61,,,76193,2192311
1-00890-0054,4600000,1945.0,1-00885-0066,,,196.0,MURRAY HILL,34.0,13,,,34545,1348000
1-01327-0037,17100000,1962.0,1-01344-0030,,,149.0,MIDTOWN EAST,31.0,132,,,111792,3488218
1-01527-0043,3650000,1895.0,1-01547-0015,,,201.0,UPPER EAST SIDE (79-96),38.0,41,,,18568,743548
1-01126-0014,40600000,1931.0,1-01565-0035,,,130.0,UPPER WEST SIDE (59-79),29.3,320,,,235400,6373682
1-01209-0146,581000,1910.0,1-01243-0031,,,143.0,UPPER WEST SIDE (79-96),25.0,15,,,8750,260269
1-00732-0016,15000000,1960.0,1-01312-0033,,,110.0,UPPER EAST SIDE (79-96),24.13,94,,,147534,3720046
1-02108-0073,760000,,,,,69.0,WASHINGTON HEIGHTS LOWER,16.2,35,,,21576,374942
1-01894-0067,15100000,1931.0,1-01868-0061,1057332.0,9.0,99.0,UPPER WEST SIDE (96-116),22.85,138,1018940067.0,-73.967133,170928,3905222
1-01058-0025,1510000,1920.0,1-01053-0012,,,155.0,CLINTON,31.0,20,,,9690,312208
1-00916-0055,9480000,1920.0,1-00888-0031,,,235.0,MURRAY HILL,32.0,102,,,71115,3321360
