manhattan_cooperatives_comparable_properties_address,comparable_rental_2_gross_income_per_sqft,borough,manhattan_cooperatives_comparable_properties_total_units,comparable_rental_2_est_gross_income,comparable_rental_2_market_value_per_sqft,manhattan_cooperatives_comparable_properties_neighborhood,comparable_rental_1_building_classification,comparable_rental_1_address,manhattan_cooperatives_comparable_properties_year_built,census_tract
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""239 108 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",25.1,1,37,884240.0,109.0,UPPER WEST SIDE (96-116),D7-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2659 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1925,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""518 11 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.9,1,13,311642.0,148.0,ALPHABET CITY,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""512 12 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""172 FORSYTH STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",24.87,1,18,301000.0,108.0,LOWER EAST SIDE,C7-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""201 ALLEN STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,3601.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""139 33 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.8,1,196,4410689.0,199.0,MURRAY HILL,D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""166 34 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1957,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""304 75 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",26.0,1,120,2264912.0,113.0,UPPER WEST SIDE (59-79),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1329 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""436 58 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.7,1,24,367936.0,161.0,MIDTOWN EAST,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""439 74 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""360 CABRINI BOULEVARD"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",12.59,1,112,1563746.0,43.4,WASHINGTON HEIGHTS UPPER,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""570 FT WASHINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1942,275.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""75 CENTRAL PARK"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.2,1,61,3545324.0,159.0,UPPER WEST SIDE (59-79),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""242 72 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1929,143.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1240 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",24.49,1,67,4060446.0,106.0,UPPER EAST SIDE (79-96),D7-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""205 66 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1925,15002.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""240 75 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.9,1,38,1294331.0,134.0,UPPER WEST SIDE (59-79),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""265 81 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""162 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",18.12,1,439,12322308.0,52.0,ALPHABET CITY,D7-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""55 25 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1950,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""513 5 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.1,1,18,234942.0,169.0,ALPHABET CITY,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""506 6 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1929,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1608 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",,1,20,,,HARLEM-WEST,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""526 139 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,225.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""100 BENNETT AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",16.06,1,62,1023316.0,64.0,WASHINGTON HEIGHTS UPPER,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""75 WADSWORTH TERRACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1939,271.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""7 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",34.6,1,243,12168616.0,166.0,MURRAY HILL,D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""166 34 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1953,72.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""799 GREENWICH STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.1,1,12,471610.0,159.0,GREENWICH VILLAGE-WEST,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""82 JANE STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,79.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""515 135 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",17.33,1,21,336129.0,69.0,HARLEM-WEST,C7-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1512 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""307 4 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",20.75,1,20,368418.0,90.0,ALPHABET CITY,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""299 8 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""45 SUTTON PLACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.1,1,279,12821726.0,158.0,MIDTOWN EAST,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""422 53 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1958,10601.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""404 49 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.1,1,167,12821726.0,158.0,MIDTOWN EAST,D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""330 56 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1967,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""20 MAGAW PLACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",15.71,1,43,724169.0,62.0,WASHINGTON HEIGHTS UPPER,D7-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""4460 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1924,273.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""411 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",23.56,1,104,2969771.0,102.0,UPPER WEST SIDE (79-96),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""393 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1936,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""109 94 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",20.97,1,50,811431.0,91.0,UPPER WEST SIDE (79-96),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""220 71 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1936,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""530 153 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",11.37,1,14,163836.0,39.2,HARLEM-UPPER,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""506 151 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""359 29 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.1,1,23,471610.0,159.0,CHELSEA,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""82 JANE STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1921,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""27 67 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.2,1,32,1518576.0,150.0,UPPER WEST SIDE (59-79),D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""226 70 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1902,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""54 8 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.7,1,163,4858000.0,152.0,GREENWICH VILLAGE-WEST,D7-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""464 HUDSON STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1960,77.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""324 83 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",22.9,1,25,503530.0,100.0,UPPER WEST SIDE (79-96),D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""22 77 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""170 85 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",29.5,1,28,579000.0,128.0,UPPER WEST SIDE (79-96),C7-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""498 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""26 CORNELIA STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",29.5,1,60,489000.0,141.0,GREENWICH VILLAGE-WEST,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""112 HOUSTON STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,67.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""293 RIVERSIDE DRIVE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",19.62,1,15,331051.0,85.0,UPPER WEST SIDE (96-116),C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""119 135 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1915,187.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""205 95 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",13.76,1,54,764322.0,50.0,UPPER WEST SIDE (79-96),D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""231 25 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1948,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1749 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.1,1,586,19385377.0,135.0,UPPER EAST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1524 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1975,154.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""77 BLEECKER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.3,1,251,6855800.0,197.0,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""295 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,5501.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""503 111 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",24.4,1,30,687652.0,106.0,UPPER WEST SIDE (96-116),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""250 105 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""955 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",43.7,1,82,8968163.0,219.0,UPPER EAST SIDE (59-79),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1191 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1959,130.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2 29 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.5,1,24,1889375.0,136.0,FASHION,D8-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""120 UNIVERSITY PLACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1928,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""45 FAIRVIEW AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",12.17,1,218,1014770.0,42.0,WASHINGTON HEIGHTS UPPER,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""90 LAUREL HILL TERRACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1963,283.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""369 EDGECOMBE AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",13.13,1,20,166724.0,48.0,HARLEM-CENTRAL,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""22 ST NICHOLAS PLACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1926,23501.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""329 108 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",22.75,1,24,855981.0,99.0,UPPER WEST SIDE (96-116),D7-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""920 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""36 84 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",25.3,1,27,962512.0,110.0,UPPER WEST SIDE (79-96),D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""340 63 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1924,
