neighborhoods,cb_precinct_s,council_district,:@computed_region_92fq_4b7q,cb_address_line_2
"Fordham, University Heights, Morris Heights, Bathgate, and Mount Hope",46,14,29,"Bronx, NY 10453"
"East New York, Cypress Hills, Highland Park, New Lots, City Line, Starrett City, and Ridgewood",75,42,25,
"HighBridge, Concourse, Mt. Eden, and Concourse Village",44,16,42,
"Belmont, Bathgate, West Farms, and E Tremont",48,17,43,
"Tribeca, Seaport/Civic Center, Financial District, Battery Park City",1; 5; 7,1,32,Room 2202-N
Brownsville and Ocean Hill,73,41,17,
"Bedford Park, Fordham,  Jerome Park, Kingsbridge Heights,  Mosholu Parkway,  Norwood,  University Heights",52,11,40,
"Jackson Heights, East Elmhurst, North Corona, and La Guardia Airport",115,25,5,
"Canarsie, Bergen Beach, Mill Basin, Flatlands, Marine Park, Georgetown, and Mill Island","63, 69",46,8,
"Richmond Hill, Woodhaven, Ozone Park, and Kew Gardens",102,29,28,Room 310A
"Flushing Avenue, Williamsburg, Greenpoint, Northside, and Southside","90, 94",34,30,
"Edenwald, Wakefield, Williamsbridge, Woodlawn, Norwood, Fish Bay, Eastchester, Olinville, and Baychester",47,12,2,
"Co-op City, City Island, Spencer Estates, Throgs Neck, Country Club, Zerega, Westchester Square, Pelham Bay Park, Eastchester Bay, Schuylerville, Edgewater, Locust Point, and Silver Beach",45,13,12,
"Boro Park, Kensington, Ocean Parkway, and Midwood",66,44,18,
"Morris Park, Pelham Parkway, Pelham Gardens, Allerton, Bronxdale, Laconia and Van Nest",49,13,12,
"Fieldston, Kingsbridge, Kingsbridge Heights, Marble Hill, Riverdale, Spuyten Duyvil, and Van Cortlandt Village",50,11,40,
"Astoria, Old Astoria, Long Island City, Queensbridge, Ditmars, Ravenswood, Steinway, Garden Bay, and Woodside",114,22,4,
Bushwick,83,37,37,Suite 370
"Crown Heights, Prospect Heights, and Weeksville","77, 78",36,49,
"East Flatbush, Remsen Village, Farragut, Rugby, Erasmus and Ditmas Village",67,45,26,
East Harlem,"23, 25",9,36,Ground Floor
Central Harlem,"28, 32",9,36,4th Floor
"Crown Heights, Prospect Lefferts Gardens, and Wingate",71,35,48,
"Brooklyn Heights, Fulton Mall, Boerum Hill, Fort Greene, Brooklyn Navy Yard, Fulton Ferry, and Clinton Hill","84, 88",33,38,8th Floor
"Tompkins Square, East Village, Lower East Side, Chinatown, Two Bridges",5; 7; 9,2,50,
"Red Hook, Carroll Gardens, Park Slope, Gowanus, and Cobble Hill","76, 78",39,27,
"Sheepshead Bay, Manhattan Beach, Kings Bay, Gerritsen Beach, Kings Highway, East Gravesend, Madison, Homecrest, and Plum Beach",61,48,15,
"Arlington, Castleton Corners, Clifton, Concord, Elm Park, Fort Wadsworth, Graniteville, Grymes Hill, Livingston, Mariners Harbor, Meiers Corners, New Brighton, Port Ivory, Port Richmond, Randall Manor, Rosebank, St. George, Shore Acres, Silver Lake, Stapleton, Sunnyside, Tompkinsville, West Brighton, Westerleigh","120, 121",49,13,Room 217
Washington Heights,"33, 34",10,39,6th Floor
"Breezy Point, Belle Harbor, Broad Channel, Neponsit, Arverne, Bayswater, Edgemere, Rockaway Park, Rockaway and Far Rockaway","100, 101",31,47,
"Bedford-Stuyvesant, Stuyvesant Heights, and Ocean Hill","79, 81",36,49,
"Upper East Side, LenoxHill, Yorkville, and Roosevelt Island","19, CPP",4,51,Suite 620
"Hunts Point, Longwood, and Morrisania",41,17,43,
"Stuyvesant Town, Tudor City, Turtle Bay, Peter Cooper Village, Murray Hill, Gramercy Park, Kips Bay, Sutton Place",13; 17,4,51,Suite 1404
"Flatbush, Midwood, Kensington, and Ocean Parkway",70,45,26,
"Bay Ridge, Dyker Heights, and Fort Hamilton",68,43,44,
"Hamilton Heights, Manhattanville, Morningside Heights, and West Harlem","26, 30",7,23,
