cb_office_address,:@computed_region_f5dn_yrer,locationpoint,latitude,:@computed_region_efsh_h5xi,longitude
"5910 13th Ave, Brooklyn, NY 11219",2,"{'type': 'Point', 'coordinates': [-73.998083, 40.629302]}",40.629302,17621,-73.998083
"1741 Colden Ave Bronx, NY 10462",59,"{'type': 'Point', 'coordinates': [-73.855711, 40.847348]}",40.847348,11271,-73.855711
"5676 Riverdale Ave,  Suite 100 Bronx, NY 10471",48,"{'type': 'Point', 'coordinates': [-73.904259, 40.906226]}",40.906226,11609,-73.904259
"45-02 Ditmars Blvd., Astoria",39,"{'type': 'Point', 'coordinates': [-73.903082, 40.770738]}",40.770738,16862,-73.903082
"1420 Bushwick Avenue Brooklyn, NY 11207-1422",42,"{'type': 'Point', 'coordinates': [-73.909056, 40.684318]}",40.684318,17214,-73.909056
"1291 St. Marks Avenue, Brooklyn, NY 11213",16,"{'type': 'Point', 'coordinates': [-73.926342, 40.673922]}",40.673922,17615,-73.926342
"4112 Farragut Road Brooklyn, New York 11210",61,"{'type': 'Point', 'coordinates': [-73.937282, 40.636927]}",40.636927,17217,-73.937282
"1664 Park Avenue New York, NY 10035",7,"{'type': 'Point', 'coordinates': [-73.942564, 40.800223]}",40.800223,13093,-73.942564
215 West 125th Street,18,"{'type': 'Point', 'coordinates': [-73.948979, 40.809259]}",40.809259,12424,-73.948979
"890 Nostrand Avenue, Brooklyn, NY 11225",17,"{'type': 'Point', 'coordinates': [-73.95072, 40.667628]}",40.667628,13509,-73.95072
"350 Jay Street Brooklyn, NY 11201",68,"{'type': 'Point', 'coordinates': [-73.987249, 40.69351]}",40.69351,16865,-73.987249
"59 East 4th Street, New York, NY",70,"{'type': 'Point', 'coordinates': [-73.990807, 40.726785]}",40.726785,11724,-73.990807
"250 Baltic Street, Brooklyn, NY 11201",14,"{'type': 'Point', 'coordinates': [-73.994671, 40.686295]}",40.686295,16865,-73.994671
"Kingsboro Community College, 2001 Oriental Boulevard, Room C124 Brooklyn, NY 11235",32,"{'type': 'Point', 'coordinates': [-73.93535, 40.577904]}",40.577904,13826,-73.93535
"1 Edgewater Plaza Staten Island, NY 10305",4,"{'type': 'Point', 'coordinates': [-74.068717, 40.619035]}",40.619035,10692,-74.068717
"530 West 166th Street New York, NY 10032",47,"{'type': 'Point', 'coordinates': [-73.939339, 40.839328]}",40.839328,13090,-73.939339
"1931 Mott Avenue, Far Rockaway, NY 11691",51,"{'type': 'Point', 'coordinates': [-73.752344, 40.603937]}",40.603937,20529,-73.752344
"1360 Fulton Street,  Brooklyn NY11216",69,"{'type': 'Point', 'coordinates': [-73.94593, 40.680186]}",40.680186,17618,-73.94593
"505 Park Avenue New York, NY 10022",23,"{'type': 'Point', 'coordinates': [-73.969641, 40.763117]}",40.763117,12419,-73.969641
"1029 E 163rd St. Bronx, NY 10459",8,"{'type': 'Point', 'coordinates': [-73.891801, 40.820992]}",40.820992,10937,-73.891801
"211 East 43rd Street, New York, NY",71,"{'type': 'Point', 'coordinates': [-73.973458, 40.751238]}",40.751238,12079,-73.973458
"810 East 16th St, Brooklyn, NY 11230",60,"{'type': 'Point', 'coordinates': [-73.961333, 40.629817]}",40.629817,13513,-73.961333
"8119 5th Ave, Brooklyn, NY 11209",10,"{'type': 'Point', 'coordinates': [-74.024525, 40.624842]}",40.624842,17216,-74.024525
"16-18 Old Broadway New York, NY 10027",37,"{'type': 'Point', 'coordinates': [-73.957204, 40.815433]}",40.815433,12424,-73.957204
