code,method,sci,ela,apps_per_seat_gr10,req2,interest
X72A,Limited Unscreened,,,9 per seat,,Visual Art & Design
Y41A,Limited Unscreened,,,,,Humanities & Interdisciplinary
M38X,Limited Unscreened,,,,,Humanities & Interdisciplinary
A22A,Screened: Language,,,3 per seat,,Humanities & Interdisciplinary
X16Z,Zoned Priority,,,Priority to students who apply and live in the zoned area.,,Zoned
Y01T,Limited Unscreened,,,,,Science & Math
M61A,Limited Unscreened,,,-,,Computer Science & Technology
X16B,Screened,Scores 85-100,Levels 3.0-4.5,,Interview and writing prompt: Applicants who meet the criteria for the screened program will be contacted to come in for an interview. Interviews are typically held after school and on weekends.,Engineering
M26A,Audition,Review,Review,-,,Performing Arts
M57B,Screened: Language & Academics,Scores 75-100,,New Program,Interview and writing exercise: Please contact the school for more information.,Computer Science & Technology
M83A,Screened,Scores 80-100,Levels 2.5-4.5,,"Interview with review of student portfolio: Visit www.sof.edu, select Admissions, Entering 9th Grade; download the interview request form and follow instructions.",Humanities & Interdisciplinary
X71A,Ed. Opt.,,,10 per seat,,Health Professions
A21A,Screened,Scores 80-100,Levels 2.0-4.5,12 per seat,Online essay submission,Humanities & Interdisciplinary
M35C,Screened,Scores 80-100,Levels 2.0-4.5,1 per seat,Interview including writing and problem-solving exercise,Business
M76A,Ed. Opt.,,,New Program,,Humanities & Interdisciplinary
Y47A,Screened: Language,,,,,Humanities & Interdisciplinary
M71A,Screened,Scores 85-100,Levels 3.0-4.5,60 per seat,"Interview and Portfolio: Applicants are required to compile a portfolio before being invited to interview. The portfolio must be delivered or mailed to Beacon School before November 6, 2015. For more information about the interview and portfolio, visit www.beaconschool.org/admissions.",Humanities & Interdisciplinary
M76B,Ed. Opt.,,,New Program,,Business
A24A,Limited Unscreened,,,,,Humanities & Interdisciplinary
M16J,Screened,Scores 85-100,Levels 3.0-4.5,20 per seat,,Science & Math
M19C,Screened,Scores 75-100,Levels 3.0-4.5,,,Humanities & Interdisciplinary
X31A,Limited Unscreened,,,25 per seat,,Business
M40A,Ed. Opt.,,,4 per seat,,Health Professions
Y61A,Limited Unscreened,,,7 per seat,,Humanities & Interdisciplinary
X26A,Limited Unscreened,,,4 per seat,,Humanities & Interdisciplinary
M26M,Audition,Review,Review,-,,Performing Arts
M97A,Ed. Opt.,,,4 per seat,,Humanities & Interdisciplinary
M19K,Screened,Scores 75-100,Levels 3.0-4.5,,,Health Professions
M60Q,Audition,,Levels 2.0-4.5,2 per seat,Note that program offers common audition components.,Film/Video
K51B,Limited Unscreened,,,New Program,,Science & Math
M55A,Screened,Scores 80-100,Review,54 per seat,,Science & Math
M50B,Ed. Opt.,,,New Program,,Humanities & Interdisciplinary
M17J,Screened,Scores 80-100,Review,13 per seat,Demonstrated interest: school visit,Humanities & Interdisciplinary
M44X,Limited Unscreened,,,,,Architecture
A14A,Limited Unscreened,,,14 per seat,,Business
Y49A,Limited Unscreened,,,7 per seat,,Science & Math
M45A,Ed. Opt.,,,9 per seat,,Humanities & Interdisciplinary
M66B,Audition,,,4 per seat,,Performing Arts
M23A,Ed. Opt.,,,3 per seat,,Teaching
M28A,Limited Unscreened,,,,,Law & Government
X49D,Ed. Opt.,,,,,Performing Arts/Visual Art & Design
M20X,Audition,Scores 75-100,Review,3 per seat,,Performing Arts
Y37A,Limited Unscreened,,,,,Science & Math
M35B,Screened: Language,,,-,,Business
NO CODE,Test,,,139 per seat,,Science & Math
M32A,Ed. Opt.,,,8 per seat,,Humanities & Interdisciplinary
Y46A,Screened: Language,,,,,Humanities & Interdisciplinary
M41D,Screened,Scores 85-100,Levels 3.0-4.5,6 per seat,,Environmental Science
A25A,Limited Unscreened,,,,,Humanities & Interdisciplinary
M66A,Audition,,,3 per seat,,Visual Art & Design
M53A,Ed. Opt.,,,,,Visual Art & Design
X87R,Screened: Language,,,,,Humanities & Interdisciplinary
X49B,Ed. Opt.,,,,,Performing Arts
M68A,Audition,Scores 75-100,,3 per seat,Note that program offers common audition components.,Visual Art & Design
M12A,Ed. Opt.,,,14 per seat,,Visual Art & Design
X69E,Screened,Scores 65-100,Levels 2.0-4.5,,Demonstrated Interest: school visit,Visual Art & Design
A11A,Limited Unscreened,,,5 per seat,,Humanities & Interdisciplinary
M16K,Screened: Language & Academics,Scores 85-100,Levels 3.0-4.5,-,,Science & Math
Y59A,Limited Unscreened,,,,,"Hospitality, Travel and Tourism"
M65R,Limited Unscreened,,,4 per seat,,Law & Government
X65R,Limited Unscreened,,,2 per seat,,Law & Government
A15A,Screened,Scores 90-100,Review,,Interview: Columbia Secondary will contact qualified students for interviews between mid-November 2015 and mid-January 2016.,Science & Math
NO CODE,Audition,Scores 80-100,Review,36 per seat,,Performing Arts
X14J,Screened,,Levels 2.0-4.5,3 per seat,,Health Professions
Y58B,Screened,Scores 80-100,Levels 3.0-4.5,New Program,Interview: Please contact the school for more information.,Humanities & Interdisciplinary
M34X,Limited Unscreened,,,20 per seat,,Culinary Arts
M11R,Limited Unscreened,,,4 per seat,,Humanities & Interdisciplinary
M81J,Audition,Review,Review,11 per seat,,Performing Arts
M39B,For Continuing 8th Graders,,,,,Humanities & Interdisciplinary
NO CODE,Audition,Scores 80-100,Review,56 per seat,,Performing Arts
M50C,Screened,Scores 80-100,Review,,,Science & Math
Y23A,Screened: Language,,,2 per seat,,Humanities & Interdisciplinary
M90A,Ed. Opt.,,,6 per seat,,Humanities & Interdisciplinary
M30A,Ed. Opt.,,,,,Communications
M60P,Audition,,Levels 2.0-4.5,14 per seat,Note that program offers common audition components.,Visual Art & Design
M41C,Ed. Opt.,,,8 per seat,,Humanities & Interdisciplinary
X49C,Ed. Opt.,,,New Program,,Performing Arts
M85A,Screened,Scores 80-100,Levels 3.0-4.5,33 per seat,,Humanities & Interdisciplinary
M64A,Screened,Scores 85-100,Levels 2.0-4.5,,On-site Writing exercise – please see website for more information. ,Humanities & Interdisciplinary
M02R,Limited Unscreened,,,,,Humanities & Interdisciplinary
M52A,Screened,Scores 85-100,Levels 3.0-4.5,21 per seat,Online admissions activity: Please visit www.nycischool.org for the activity.,Humanities & Interdisciplinary
M70B,Ed. Opt.,,,4 per seat,,Health Professions
X27A,Limited Unscreened,,,12 per seat,,Humanities & Interdisciplinary
M31A,Ed. Opt.,,,,,Law & Government
M86A,Screened,Scores 80-100,Levels 1.0-4.5,16 per seat,,Humanities & Interdisciplinary
Y58A,Limited Unscreened,,,7 per seat,,Humanities & Interdisciplinary
X57A,Limited Unscreened,,,,,Humanities & Interdisciplinary
M57E,Screened: Language & Academics,Scores 80-100,Levels 2.0-4.5,,Interview and writing exercise: Please contact the school for more information.,Computer Science & Technology
X94A,Ed. Opt.,,,7 per seat,,Humanities & Interdisciplinary
X70A,Ed. Opt.,,,,,Humanities & Interdisciplinary
M95A,Ed. Opt.,,,,,Humanities & Interdisciplinary
M75A,Screened,Scores 80-100,Levels 3.0-4.5,10 per seat,Interview at Open House,Humanities & Interdisciplinary
M91A,Ed. Opt.,,,4 per seat,,Humanities & Interdisciplinary
M39A,Ed. Opt.,,,,,Humanities & Interdisciplinary
M84A,Ed. Opt.,,,2 per seat,,Humanities & Interdisciplinary
M58A,Screened,Scores 75-100,,7 per seat,Contact school for more information regarding additional criteria,Humanities & Interdisciplinary
M59A,Screened: Language & Academics,Scores 80-100,Levels 2.0-4.5,,,Humanities & Interdisciplinary
M22X,Limited Unscreened,,,5 per seat,,Communications
M96A,Screened,Scores 80-100,Review,13 per seat,,Humanities & Interdisciplinary
X96B,Screened,Scores 75-100,Review,,Interview: Students are directly contacted by the school and will receive notification by mail and or by phone. It is important that the latest contact information listed for all applicants is correct so that we can contact you. Please bring any work you wish to share.,Science & Math
X47A,Limited Unscreened,,,4 per seat,,Law & Government
M42L,Audition,Scores 80-100,Levels 2.5-4.5,28 per seat,Interview,Performing Arts
M46X,Limited Unscreened,,,,,Humanities & Interdisciplinary
M47A,Screened,Scores 80-100,Review,7 per seat,,Humanities & Interdisciplinary
A12A,Limited Unscreened,,,New Program,,Business
M62A,Screened,Scores 80-100,Review,,"Interview: Every Thursday (December through May) from 9:00 AM – 11:00 AM. Please contact Mrs. Pena, the guidance counselor.",Science & Math
M26J,Audition,Review,Review,-,,Visual Art & Design
M23B,Ed. Opt.,,,3 per seat,,Humanities & Interdisciplinary
A33A,Limited Unscreened,,,,,Health Professions
A85A,Audition,Scores 85-100,Review,4 per seat,,Performing Arts
Y22A,Limited Unscreened,,,2 per seat,,Humanities & Interdisciplinary
M01A,Limited Unscreened,,,,,Humanities & Interdisciplinary
M57C,Screened: Language & Academics,Scores 80-100,Levels 2.0-4.5,,Interview and writing exercise: Please contact the school for more information.,Engineering
M05R,Limited Unscreened,,,14 per seat,,Performing Arts/Visual Art & Design
M75B,Screened,Scores 85-100,Levels 3.0-4.5,4 per seat,Interview at Open House,Science & Math
M26D,Audition,Review,Review,-,,Performing Arts
X11X,Limited Unscreened,,,,,Humanities & Interdisciplinary
X58X,Limited Unscreened,,,6 per seat,,Humanities & Interdisciplinary
NO CODE,Audition,Scores 80-100,Review,40 per seat,,Visual Art & Design
A37A,Screened: Language,,,,,Science & Math
X69C,Ed. Opt.,,,,,Engineering
Y72A,Screened: Language,,,,,Computer Science & Technology
M49X,Limited Unscreened,,,,,Science & Math
M42J,Audition,Scores 80-100,Levels 2.5-4.5,6 per seat,Interview,Performing Arts
Y51A,Limited Unscreened,,,,,Engineering
M81N,Audition,Review,Review,9 per seat,,Performing Arts
Y28A,Limited Unscreened,,,,,Humanities & Interdisciplinary
M48A,Limited Unscreened,,,,,Business
NO CODE,Audition,Scores 80-100,Review,47 per seat,,Performing Arts
M42K,Audition,Scores 80-100,Levels 2.5-4.5,23 per seat,Interview,Performing Arts
M33A,Ed. Opt.,,,,,Science & Math
M63R,Limited Unscreened,,,3 per seat,,Business
M60N,Audition,,Levels 2.0-4.5,3 per seat,,Architecture
M14A,Ed. Opt.,,,6 per seat,,Law & Government
M07A,Limited Unscreened,,,,,Humanities & Interdisciplinary
X98A,Limited Unscreened,,,5 per seat,,Performing Arts
M35A,Ed. Opt.,,,4 per seat,,Science & Math
K51A,Limited Unscreened,,,3 per seat,,Science & Math
A54A,Limited Unscreened,,,,,Computer Science & Technology
M06A,Screened,Scores 70-100,Levels 2.0-4.5,13 per seat,,Humanities & Interdisciplinary
M21A,Screened,Scores 90-100,Levels 3.0-4.5,28 per seat,Course grade in Language other than English,Humanities & Interdisciplinary
A16A,Limited Unscreened,,,1 per seat,,Computer Science & Technology
M40B,For Continuing 8th Graders,,,,,Health Professions
X49E,Ed. Opt.,,,,,Performing Arts
X16A,Ed. Opt.,,,6 per seat,,Computer Science & Technology
M74A,Screened,Scores 85-100,Levels 2.5-4.5,,,Humanities & Interdisciplinary
M93A,Screened: Language,,,,,Humanities & Interdisciplinary
M79A,Ed. Opt.,,,,,Business
M26W,Limited Unscreened,,,2 per seat,,Humanities & Interdisciplinary
M51A,Screened,Scores 85-100,,15 per seat,Math/Writing Assessment,Humanities & Interdisciplinary
M37X,Limited Unscreened,,,9 per seat,,Humanities & Interdisciplinary
A18A,Limited Unscreened,,,6 per seat,,Humanities & Interdisciplinary
M18A,Limited Unscreened,,,5 per seat,,Architecture
M73A,Limited Unscreened,,,1 per seat,,Communications
