pivot-metric,pivot-value,app_gr10,aud
program,Eleanor Roosevelt High School,334.0,
program,Bilingual Spanish Information Technology and Computer Science,,
program,Dual Language Spanish Information Technology and Computer Science,,
req4,,,
req4,,0.0,Perform a gospel and a classical selection (a capella).
program,Central Park East,161.0,
program,College Prep,,
program,Wadleigh Secondary,11.0,
program,Media and Communications Institute,,
req4,,278.0,Applicants should prepare a song to sing without accompaniment for the audition. The musical selection can be classical or popular in style. In the audition applicants will be asked to sing back melodic patterns and tap back rhythmic patterns. LaGuardia High School has a suggested online song list (www.laguardiahs.org); applicants are not required to select from the song list. 
req4,,,
req4,,33.0,
req4,,36.0,
req4,,198.0,"Applicants must bring a portfolio of 8-15 pieces of original artwork done in a variety of media. The artwork should be from observation, imagination, and memory, and labeled appropriately. Photographs - not originals - of three-dimensional (3D) works may be included. For the audition, applicants will be given three drawing assignments, including drawing the human figure from observation, drawing a still life from memory, and creating a drawing in color, based on imagination. All drawing materials for auditions will be supplied by the school at the audition. "
req4,,64.0,
program,University Neighborhood Early College,12.0,
program,Pre-Engineering,1133.0,
program,Drama,236.0,Applicants should be prepared to perform two contrasting one-minute monologues. Applicants will be asked to do an impromptu reading and participate in an interview. Attire should allow free movement since applicants may be asked to demonstrate how well they move physically. 
req4,,,
program,Pablo Neruda Academy,14.0,
req4,,,
program,Leadership and Public Service,,
program,Landmark High School,44.0,
req4,,55.0,
program,Academy for Software Engineering (AFSE),,
req4,,57.0,
program,"STEM (Science, Technology, Engineering and Mathematics)",,
req4,,,
req4,,326.0,
program,University Neighborhood High School,38.0,
program,Marine Technology,,
program,The Business of Sports School,69.0,
program,Frank McCourt High School,70.0,
program,Health Opportunities High School,48.0,
req4,,56.0,"Come prepared to participate in ballet warm-ups and a modern dance combination. Your potential to succeed in the dance program will be evaluated based on alignment, the ability to follow directions, musicality, strength and stretch. Applicants are expected to wear dance clothes (leotards, footless tights and ballet shoes)."
program,"Archimedes Academy for Math, Science and Technology",,
program,Medical Technology and College Preparatory,143.0,
req4,,,
req4,,11.0,"Come prepared with a memorized song and monologue from a Broadway show. An accompanist will be provided, but be prepared to sing a cappella. The applicant’s ability to match pitches and take direction will be strongly considered. Applicants will also be asked to demonstrate their dance skills."
req4,,41.0,
program,The Urban Assembly Bronx Studio School for Writers and Artists,,
req4,,,
req4,,,
req4,,,
program,Vocal Music,45.0,"In a medium key, from memory. An accompanist will be provided. Applicants will also be asked to repeat vocal phrases demonstrated by the teacher in order to test rhythm, tonal memory and basic vocal technique."
req4,,68.0,"Prepare a portfolio of 8-15 pieces of original work. Include examples of observational drawings. Complete up to three drawing assignments at the audition. Check school’s website for examples. They may include: the human figure, and drawing from observation or imagination."
req4,,46.0,
req4,,370.0,
program,Young Women’s Leadership School,52.0,
req4,,,
program,Commercial Art and Design,68.0,"Prepare a portfolio of 8-15 pieces of original work. Include examples of observational drawings. Complete up to three drawing assignments at the audition. Check school’s website for examples. They may include: the human figure, and drawing from observation or imagination."
req4,,44.0,
req4,,69.0,
req4,,62.0,
program,City College Academy of the Arts,67.0,
req4,,,
req4,,163.0,
program,Bronx Academy of Letters,61.0,
req4,,38.0,
req4,,142.0,
program,Humanities,,
req4,,,
program,Lower Manhattan Arts Academy,71.0,
program,High School for Language and Diplomacy,45.0,
req4,,25.0,
program,Marta Valle High School,,
program,Medical Science & Research,142.0,
program,Academic Professions,,
program,Anne Hutchinson Academy,,
req4,,1.0,"Participate in a Dance class. Prepare and perform a two-minute dance. Applicants are expected to bring dance clothes (leotards, footless tights and ballet shoes) and a CD with their music."
req4,,,
req4,,,
req4,,45.0,
program,Food and Finance High School,100.0,
program,Arts & Technology,71.0,
req4,,67.0,
program,Bilingual Spanish Science & Mathematics,,
program,Eagle Academy for Young Men of Harlem,,
program,The Academy of Engineering,,
req4,,,
program,The Urban Assembly Academy of Government and Law,25.0,
program,Bilingual Spanish Science & Mathematics,11.0,
req4,,41.0,
program,Humanities,46.0,
program,High School for Excellence and Innovation,,
program,Bilingual Spanish Pre-Engineering,,
program,"Int'l Marketing, Computer Applications, Foreign Trade & Virtual Enterprise",44.0,
program,Baruch College,370.0,
program,The Blazer Early College Preparatory Academy,,
req4,,,
req4,,,
program,Graphic Arts,,
program,Musical Theatre,18.0,"Each applicant will be required to act, sing and dance at this audition. Please prepare the following: Acting: Present a one-minute memorized monologue (comedic or dramatic) from a published play. Singing: Present 32 bars of a memorized Broadway song (age-appropriate) - an accompanist will be provided, so bring sheet music in the appropriate key. Dancing: Be prepared to learn a short theater dance combination - please wear clothing that allows for freedom of movement, as well as jazz shoes or sneakers."
req4,,,
program,Hostos-Lincoln Academy of Science,28.0,
req4,,,
req4,,143.0,
program,Westchester Square Academy Honors Program,,
req4,,14.0,
program,Capstone Scholars,,
req4,,,
req4,,54.0,"Prepare two contrasting monologues (one minute each), for example: dramatic/comedic, classical/contemporary, published/original, or theater/film. Choose characters close to your age or life experience, decide who your characters are talking to and why, and completely memorize both pieces."
req4,,158.0,"Applicants should prepare a solo selection to perform without accompaniment and bring one copy of the music they plan to perform. Applicants should bring their instruments to the audition, except those auditioning on piano, percussion, tuba, double bass, and harp. These instrumenst will be provided by the school at the audition. Aplifiers also will be provided at the audition for electric guitarists. Applicants will be tested for rhythm and tonal memory and will be asked to complete a sight-reading of a given selection. "
program,The Urban Assembly School for Green Careers,30.0,
program,Bilingual Spanish NATEF Automotive Technology,,
req4,,0.0,
req4,,27.0,
program,Murray Hill Academy,0.0,
req4,,,
program,The Facing History School,,
program,Teaching Academy,27.0,
req4,,,
program,The Urban Assembly School for Media Studies,47.0,
program,Dual Language Spanish Program,,
req4,,30.0,
program,Hudson High School of Learning Technologies,60.0,
program,Technical Theatre,121.0,"Applicants are expected to bring  prepared 3D design model for presentation. They will be asked to participate in a small-group, hands-on practical in one or more aspects of technical theatre. "
req4,,,
program,Fine Art,198.0,"Applicants must bring a portfolio of 8-15 pieces of original artwork done in a variety of media. The artwork should be from observation, imagination, and memory, and labeled appropriately. Photographs - not originals - of three-dimensional (3D) works may be included. For the audition, applicants will be given three drawing assignments, including drawing the human figure from observation, drawing a still life from memory, and creating a drawing in color, based on imagination. All drawing materials for auditions will be supplied by the school at the audition. "
program,The College Academy,41.0,
program,Marine Science,33.0,
req4,,1.0,"Perform a 2-3 minute instrumental piece of music. The style of music can be jazz, gospel, contemporary or classical. Applicants should bring their musical instrument to the audition and the sheet music needed for their performance."
program,Millennium Art Academy,47.0,
program,Bronx Leadership Academy II High School,69.0,
req4,,,
program,The Ninth Grade Academy,,
program,Humanities and Interdisciplinary,,
program,South Bronx Preparatory: A College Board School,,
req4,,13.0,Portfolio with 8-12 pieces of original artwork created from observation and students’ own imagination with a diversity of subject matter and use of media. Please include examples of line drawings as well as value studies of geometric shapes and forms. You should also include a drawing of your neighborhood and a plan of your bedroom or your apartment. Three-dimensional pieces can be photographed. You will be required to draw from observation and memory.
req4,,85.0,
program,The Beacon School,299.0,
program,Life Sciences for Current Students,,
req4,,,
req4,,48.0,
program,Bronx Bridges High School,,
req4,,71.0,
req4,,,
program,The Global Learning Collaborative,,
req4,,4.0,
req4,,,
req4,,121.0,"Applicants are expected to bring  prepared 3D design model for presentation. They will be asked to participate in a small-group, hands-on practical in one or more aspects of technical theatre. "
req4,,11.0,
req4,,7.0,
req4,,,
