app_gr09,dbn,apps_per_seat_gr9,prgdesc,req3,soc,math
193.0,07X547,8 per seat,Students who major in visual art learn how to work within a variety of mediums and styles. Students gain an appreciation for visual art and understand its cultural significance.,,,
482.0,02M531,8 per seat,"Comprehensive study of theatre arts (acting, music and dance, as well as production and stagecraft)",,Scores 75-100,Scores 75-100
605.0,08X367,6 per seat,,,,
17.0,01M448,1 per seat,Students with limited English are taught by bilingual Mandarin speaking teachers in all core subjects and get extra support during Academic Intervention Services (AIS).,,,
22662.0,02M475,28 per seat,"Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admission Test (SHSAT). Students should speak to their guidance counselors in the Fall to register for the SHSAT. Guidance counselors will provide each student with a Test Ticket indicating the date, location and time of the SHSAT. The ticket must be presented at the test site. Students should inform their guidance counselor if they are unable to test on the day assigned.",,,
737.0,06M462,7 per seat,Business simulation program that allows students to operate their own virtual business on a global scale. Internships and mentorships in firms throughout New York City.,,,
432.0,02M438,4 per seat,,,,
953.0,02M400,32 per seat,"Mathematics and science research, work in university laboratories.",,Scores 85-100,Scores 85-100
994.0,02M422,10 per seat,,,,
441.0,02M374,7 per seat,"Studio drawing and painting, mixed-media arts, photography, fashion design, art history, internships at NYC galleries",,,
1635.0,02M543,15 per seat,,,,
696.0,11X513,6 per seat,,,,
269.0,07X547,8 per seat,Students who major in dance study and perform a variety of dance styles from classical ballet to modern dance.,,,
1641.0,02M600,4 per seat,All students applying to the High School of Fashion Industries are required to audition for the school online at www.fashionhighschool.net or in person. The audition includes an admissions examination and submission of a portfolio for the program major(s) in which they are interested. Students may submit up to three portfolios (one for each program major of interest).,,Scores 75-100,Scores 75-100
1454.0,03M494,20 per seat,"Arts and Technology Infusion Program is an Interdisciplinary program with courses in visual arts (all media), computer literacy, graphic arts and media technology.",,,
306.0,07X600,11 per seat,The graphic arts program provides students with the knowledge and skills needed for employment as a graphic designer. The program involves the use of specialized software and cultivates students’ creativity and their design and problem solving skills so they become strong visual communicators. Students work in a brand new state-of-the-art graphic studio on both Apple and PC computers equipped with the latest graphic design software.,,Scores 65-100,Scores 65-100
334.0,02M399,3 per seat,,,,
179.0,04M435,5 per seat,This program is taught in Bilingual Spanish: all students take a 4-year sequence in mathematics and science while attending Manhattan Center.,,Scores 80-100,Scores 85-100
247.0,08X559,2 per seat,,,,
644.0,02M305,8 per seat,,,,
191.0,08X519,2 per seat,"This program helps students explore careers in the legal and political fields while strengthening their reading, writing and public speaking skills. Our Law Academy program creates a learning environment committed to community and character development.",,,
1846.0,05M362,19 per seat,,Writing sample,Scores 90-100,Scores 90-100
2050.0,03M485,35 per seat,"A challenging conservatory approach in ballet and modern dance. Supplementary courses include: dance history, choreography, theatre dance (tap and jazz), career management and survival skills.",,Scores 80-100,Scores 80-100
1167.0,07X500,14 per seat,,,,Scores 75-100
220.0,08X558,4 per seat,"Program offers accelerated coursework, including AP courses, starting in Sophomore year. Students will have the opportunity to take additional science courses including Physics and Environmental Studies.",,Scores 80-100,Scores 80-100
2510.0,02M288,23 per seat,Focuses on Culinary Arts in cooking and baking and the financial aspects related to the industry.,,,
904.0,03M299,8 per seat,,,,
