y_coord_cd,vic_race,occur_time,loc_of_occur_desc,vic_sex
"186,973",ASIAN / PACIFIC ISLANDER,3:33:00,OUTSIDE,M
"225,239",WHITE HISPANIC,1:05:00,INSIDE,M
"238,678",BLACK,18:57:00,OUTSIDE,M
"252,367",BLACK,20:25:00,OUTSIDE,M
"227,092",BLACK,21:10:00,OUTSIDE,M
"176,358",WHITE HISPANIC,12:05:00,OUTSIDE,M
"238,943",BLACK,18:55:00,OUTSIDE,M
"196,212",BLACK,16:41:00,OUTSIDE,M
"222,175",BLACK,4:26:00,OUTSIDE,M
"239,961",BLACK,14:42:00,OUTSIDE,M
"224,993",BLACK,10:30:00,INSIDE,M
"173,102",BLACK,0:18:00,OUTSIDE,M
"192,256",BLACK,23:44:00,OUTSIDE,M
"225,239",WHITE HISPANIC,1:05:00,INSIDE,M
"235,826",BLACK,18:18:00,OUTSIDE,F
"197,008",BLACK,0:25:00,OUTSIDE,M
"233,640",BLACK,1:00:00,OUTSIDE,M
"224,999",BLACK,18:36:00,OUTSIDE,M
"248,763",BLACK,22:20:00,OUTSIDE,M
"192,780",WHITE HISPANIC,19:50:00,INSIDE,M
"227,613",BLACK,22:30:00,OUTSIDE,M
"238,243",BLACK,17:50:00,OUTSIDE,M
"244,289",BLACK,0:37:00,OUTSIDE,M
"185,075",BLACK,15:03:00,OUTSIDE,M
"183,165",BLACK,18:37:00,OUTSIDE,M
"264,964",BLACK HISPANIC,22:34:00,OUTSIDE,M
"229,290",ASIAN / PACIFIC ISLANDER,20:22:00,OUTSIDE,M
"222,175",BLACK,4:26:00,OUTSIDE,M
"247,980",WHITE HISPANIC,19:54:00,OUTSIDE,M
"258,835",BLACK,21:55:00,INSIDE,F
"233,988",WHITE HISPANIC,19:45:00,OUTSIDE,M
"262,412",BLACK,15:34:00,OUTSIDE,M
"240,071",BLACK,13:50:00,INSIDE,M
"188,248",BLACK,12:43:00,OUTSIDE,M
"201,457",ASIAN / PACIFIC ISLANDER,20:30:00,OUTSIDE,M
"183,107",BLACK,14:11:00,OUTSIDE,M
"155,205",BLACK,18:48:00,OUTSIDE,M
"173,870",BLACK,19:16:00,OUTSIDE,M
"177,167",BLACK,21:45:00,OUTSIDE,M
"232,501",BLACK,22:23:00,OUTSIDE,M
"236,216",BLACK,23:30:00,OUTSIDE,M
"201,643",BLACK HISPANIC,13:06:00,OUTSIDE,M
"216,247",BLACK,1:00:00,INSIDE,M
"178,621",BLACK,18:30:00,INSIDE,M
"253,200",BLACK HISPANIC,19:40:00,OUTSIDE,M
"232,501",BLACK,22:23:00,OUTSIDE,M
"238,272",BLACK,23:47:00,OUTSIDE,M
"258,326",BLACK HISPANIC,18:10:00,OUTSIDE,M
"195,008",WHITE HISPANIC,13:40:00,OUTSIDE,M
"261,043",BLACK,1:45:00,OUTSIDE,M
"247,291",BLACK,20:28:00,OUTSIDE,M
"179,784",BLACK,15:30:00,OUTSIDE,F
"215,383",ASIAN / PACIFIC ISLANDER,18:46:00,OUTSIDE,M
"232,758",BLACK,20:37:00,OUTSIDE,M
"190,315",BLACK,16:10:00,OUTSIDE,M
"164,504",BLACK HISPANIC,19:40:00,OUTSIDE,M
"240,575",BLACK,21:36:00,OUTSIDE,M
"194,855",BLACK,4:15:00,OUTSIDE,M
"235,791",BLACK,18:31:00,OUTSIDE,M
"217,993",WHITE,6:46:00,OUTSIDE,M
"172,627",BLACK,16:40:00,OUTSIDE,M
"193,863",BLACK,12:15:00,OUTSIDE,M
"243,635",BLACK,22:38:00,OUTSIDE,M
"260,028",BLACK HISPANIC,18:39:00,INSIDE,M
"215,383",ASIAN / PACIFIC ISLANDER,18:46:00,OUTSIDE,M
"234,705",BLACK,20:22:00,OUTSIDE,F
"178,234",BLACK,1:27:00,OUTSIDE,M
"187,687",BLACK,3:40:00,OUTSIDE,M
"241,678",ASIAN / PACIFIC ISLANDER,0:10:00,OUTSIDE,M
"237,422",WHITE HISPANIC,20:55:00,OUTSIDE,M
"239,643",BLACK,15:39:00,OUTSIDE,M
"214,271",BLACK,5:15:00,INSIDE,M
"217,647",BLACK,4:11:00,OUTSIDE,M
"231,080",BLACK,21:44:00,OUTSIDE,M
"193,149",BLACK,0:05:00,INSIDE,M
"214,448",ASIAN / PACIFIC ISLANDER,21:10:00,INSIDE,M
"227,920",WHITE HISPANIC,10:05:00,INSIDE,M
"159,782",BLACK,15:04:00,OUTSIDE,M
"235,311",WHITE HISPANIC,20:20:00,INSIDE,F
"250,743",BLACK HISPANIC,20:59:00,OUTSIDE,M
"242,624",BLACK,3:20:00,OUTSIDE,M
"189,377",BLACK,15:20:00,OUTSIDE,M
"185,468",BLACK,22:45:00,INSIDE,M
"240,878",BLACK,20:32:00,INSIDE,M
"238,243",BLACK,17:50:00,OUTSIDE,M
"245,098",WHITE HISPANIC,12:00:00,OUTSIDE,M
"189,377",BLACK,15:20:00,OUTSIDE,M
"233,547",BLACK,1:37:00,OUTSIDE,M
"224,864",BLACK,20:55:00,OUTSIDE,M
"183,399",BLACK HISPANIC,2:24:00,OUTSIDE,M
"241,659",BLACK,23:00:00,INSIDE,M
"156,562",BLACK,20:40:00,OUTSIDE,M
"239,909",BLACK,11:44:00,OUTSIDE,M
"187,964",BLACK,13:57:00,INSIDE,M
"187,479",BLACK,18:28:00,INSIDE,M
"253,200",BLACK HISPANIC,19:40:00,OUTSIDE,M
"184,310",BLACK,12:40:00,OUTSIDE,M
"174,675",BLACK,16:00:00,OUTSIDE,M
"231,145",WHITE,13:48:00,OUTSIDE,F
"253,615",BLACK,0:46:00,OUTSIDE,M
"195,085",BLACK,15:45:00,OUTSIDE,M
"184,055",BLACK,17:51:00,OUTSIDE,M
"182,496",BLACK,4:05:00,OUTSIDE,M
"237,559",WHITE HISPANIC,20:42:00,OUTSIDE,M
"192,007",BLACK,19:25:00,OUTSIDE,M
"178,234",BLACK,1:27:00,OUTSIDE,M
"202,787",ASIAN / PACIFIC ISLANDER,3:00:00,OUTSIDE,M
"237,559",WHITE HISPANIC,4:50:00,OUTSIDE,M
"239,110",BLACK,16:21:00,OUTSIDE,M
"179,784",BLACK,15:30:00,OUTSIDE,M
"247,996",WHITE HISPANIC,23:57:00,OUTSIDE,M
"216,989",BLACK,2:53:00,INSIDE,M
"264,562",BLACK,20:30:00,OUTSIDE,M
