incident_key,x_coord_cd,:@computed_region_f5dn_yrer,location_desc,:@computed_region_yeji_bk3q,perp_race
297216293,"1,008,223",49.0,GROCERY/BODEGA,5.0,BLACK HISPANIC
298034554,"1,024,906",58.0,(null),5.0,WHITE HISPANIC
296574274,"1,000,558",,(null),,(null)
297073325,"999,067",69.0,MULTI DWELL - PUBLIC HOUS,2.0,BLACK
296246343,"1,006,432",39.0,(null),3.0,WHITE HISPANIC
297034382,"999,496",,(null),,(null)
297354010,"996,700",23.0,(null),4.0,BLACK
295891596,"1,015,216",35.0,MULTI DWELL - APT BUILD,5.0,WHITE HISPANIC
298357805,"1,017,012",35.0,(null),5.0,BLACK
295480503,"1,007,040",61.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
296246344,"1,010,407",49.0,(null),5.0,BLACK
298079917,"1,026,304",22.0,MULTI DWELL - APT BUILD,3.0,WHITE HISPANIC
298162845,"1,009,652",55.0,(null),2.0,(null)
297030186,"1,005,061",50.0,(null),5.0,(null)
295775772,"1,010,882",6.0,(null),5.0,BLACK HISPANIC
296313800,"1,001,241",69.0,(null),2.0,(null)
295532788,"1,030,360",29.0,MULTI DWELL - PUBLIC HOUS,5.0,WHITE HISPANIC
296246343,"1,006,432",39.0,(null),3.0,BLACK HISPANIC
298508438,"1,006,844",49.0,MULTI DWELL - PUBLIC HOUS,5.0,WHITE HISPANIC
298628071,"999,007",7.0,(null),4.0,(null)
297302875,"1,011,486",39.0,(null),3.0,(null)
297565075,"1,022,218",29.0,(null),5.0,BLACK HISPANIC
297265384,"1,001,724",36.0,(null),2.0,(null)
298672094,"1,017,719",24.0,(null),5.0,BLACK
298609064,"1,007,941",55.0,(null),2.0,(null)
298009208,"1,007,159",42.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
295703630,"1,018,182",58.0,(null),5.0,BLACK
298316135,"1,023,819",22.0,(null),3.0,(null)
295775768,"1,010,546",24.0,(null),5.0,BLACK
296645186,"1,012,644",35.0,MULTI DWELL - APT BUILD,5.0,(null)
297453074,"1,010,862",55.0,MULTI DWELL - APT BUILD,2.0,BLACK
295721938,"999,141",18.0,MULTI DWELL - APT BUILD,4.0,BLACK
297508943,"988,451",,HOTEL/MOTEL,,WHITE
298357806,"1,021,853",58.0,(null),5.0,BLACK
295479911,"1,024,583",29.0,(null),5.0,BLACK
297172827,"1,001,577",7.0,(null),4.0,BLACK HISPANIC
295344772,"1,057,365",63.0,(null),3.0,BLACK
297453566,"1,051,754",63.0,(null),3.0,(null)
296843487,"1,013,962",8.0,(null),5.0,WHITE HISPANIC
296313802,"1,011,588",35.0,(null),5.0,(null)
296132712,"1,042,850",41.0,MULTI DWELL - APT BUILD,3.0,BLACK
297030186,"1,005,061",50.0,(null),5.0,(null)
298147867,"1,009,975",48.0,MULTI DWELL - PUBLIC HOUS,5.0,BLACK
295891595,"1,002,134",7.0,(null),4.0,(null)
297354011,"1,013,063",45.0,(null),2.0,(null)
295317417,"1,021,539",45.0,(null),2.0,(null)
298609064,"1,007,941",55.0,(null),2.0,(null)
297030186,"1,005,061",50.0,(null),5.0,(null)
297565075,"1,022,218",29.0,(null),5.0,BLACK HISPANIC
297863727,"1,009,975",48.0,MULTI DWELL - PUBLIC HOUS,5.0,BLACK
298257178,"1,010,124",6.0,(null),5.0,BLACK
298357804,"996,614",32.0,(null),2.0,BLACK
295365805,"1,002,251",16.0,(null),2.0,(null)
298039240,"1,009,188",55.0,(null),2.0,BLACK
296947469,"1,008,750",55.0,(null),2.0,BLACK
295532791,"1,014,104",35.0,(null),5.0,WHITE HISPANIC
295480502,"990,097",68.0,MULTI DWELL - PUBLIC HOUS,2.0,BLACK
298301433,"1,004,175",47.0,(null),4.0,BLACK
298079917,"1,026,304",22.0,MULTI DWELL - APT BUILD,3.0,WHITE HISPANIC
295822895,"995,258",60.0,(null),2.0,BLACK
297327665,"1,009,588",48.0,(null),4.0,(null)
295230671,"960,331",4.0,(null),1.0,BLACK
295224199,"1,006,968",6.0,GROCERY/BODEGA,5.0,WHITE HISPANIC
297571889,"988,405",14.0,MULTI DWELL - PUBLIC HOUS,2.0,BLACK
298139842,"1,009,353",34.0,(null),5.0,(null)
295944949,"1,024,643",29.0,(null),5.0,BLACK
297018622,"1,017,036",,(null),,BLACK
295641945,"997,391",18.0,(null),4.0,BLACK
297571890,"1,014,219",5.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
295721937,"1,009,557",34.0,(null),5.0,BLACK
298672096,"1,021,316",29.0,(null),5.0,(null)
298628070,"1,020,219",,(null),,BLACK
298672095,"1,012,201",34.0,MULTI DWELL - APT BUILD,5.0,BLACK
295548025,"1,014,628",34.0,GROCERY/BODEGA,5.0,(null)
299005777,"999,874",18.0,GROCERY/BODEGA,4.0,(null)
297201104,"1,007,072",50.0,(null),5.0,WHITE HISPANIC
296313799,"998,424",18.0,MULTI DWELL - PUBLIC HOUS,4.0,(null)
297030186,"1,005,061",50.0,(null),5.0,(null)
295532790,"998,958",7.0,(null),4.0,BLACK
296710725,"1,006,825",6.0,MULTI DWELL - APT BUILD,5.0,(null)
296516805,"984,503",21.0,(null),2.0,BLACK
295944948,"1,000,163",36.0,(null),2.0,WHITE HISPANIC
298461889,"999,602",7.0,MULTI DWELL - PUBLIC HOUS,4.0,BLACK
296106132,"1,039,179",41.0,(null),3.0,BLACK
298034553,"1,001,767",18.0,MULTI DWELL - PUBLIC HOUS,4.0,BLACK
298609065,"1,006,693",50.0,MULTI DWELL - APT BUILD,5.0,WHITE HISPANIC
297172826,"1,016,312",65.0,MULTI DWELL - APT BUILD,3.0,WHITE HISPANIC
298672096,"1,021,316",29.0,(null),5.0,(null)
296455537,"1,005,905",6.0,(null),5.0,WHITE HISPANIC
298607139,"987,578",12.0,MULTI DWELL - APT BUILD,4.0,BLACK
295721939,"1,016,871",35.0,(null),5.0,(null)
295288908,"1,006,025",55.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
298444104,"1,035,389",62.0,(null),3.0,ASIAN / PACIFIC ISLANDER
295865249,"995,267",17.0,(null),2.0,BLACK
295721936,"1,011,153",8.0,MULTI DWELL - APT BUILD,5.0,(null)
298039240,"1,009,188",55.0,(null),2.0,BLACK
296778955,"1,040,022",41.0,(null),3.0,BLACK
299462478,"1,023,909",22.0,MULTI DWELL - APT BUILD,3.0,(null)
297565076,"1,007,124",61.0,(null),2.0,(null)
297516720,"1,006,025",55.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
295775770,"991,202",,(null),,(null)
296313801,"1,000,047",18.0,(null),4.0,BLACK
295532787,"990,761",68.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
297302874,"1,001,878",61.0,(null),2.0,(null)
297145619,"1,051,905",41.0,PVT HOUSE,3.0,BLACK
296246346,"1,007,955",49.0,(null),5.0,BLACK
296655365,"1,010,691",55.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
295595585,"1,012,227",8.0,(null),5.0,(null)
298034554,"1,024,906",58.0,(null),5.0,UNKNOWN
298079917,"1,026,304",22.0,MULTI DWELL - APT BUILD,3.0,WHITE HISPANIC
297302875,"1,011,486",39.0,(null),3.0,(null)
296248355,"998,221",37.0,(null),4.0,BLACK
298009207,"1,026,480",,HOSPITAL,,(null)
297743561,"1,001,932",7.0,PHOTO/COPY STORE,4.0,(null)
297145620,"1,026,854",29.0,MULTI DWELL - PUBLIC HOUS,5.0,(null)
296516805,"984,503",21.0,(null),2.0,BLACK
295489315,"988,948",14.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
298672096,"1,021,316",29.0,(null),5.0,(null)
296286077,"1,002,250",61.0,(null),2.0,(null)
297015430,"989,094",70.0,(null),4.0,BLACK
296643609,"993,634",20.0,MULTI DWELL - APT BUILD,4.0,(null)
297737363,"998,916",61.0,(null),2.0,(null)
298034554,"1,024,906",58.0,(null),5.0,BLACK HISPANIC
295421273,"1,017,441",45.0,(null),2.0,(null)
296778955,"1,040,022",41.0,(null),3.0,BLACK
295865251,"1,010,951",6.0,(null),5.0,(null)
295466412,"1,052,442",51.0,(null),3.0,BLACK
296909031,"1,041,717",,(null),,(null)
296246345,"1,009,722",49.0,MULTI DWELL - PUBLIC HOUS,5.0,BLACK
297517226,"994,783",17.0,(null),2.0,(null)
296960985,"1,012,130",6.0,(null),5.0,(null)
295775769,"1,019,083",45.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
297743560,"985,110",12.0,BAR/NIGHT CLUB,4.0,(null)
297012905,"1,023,283",29.0,(null),5.0,BLACK
298301433,"1,004,175",47.0,(null),4.0,WHITE HISPANIC
297195392,"1,000,662",18.0,MULTI DWELL - PUBLIC HOUS,4.0,(null)
296710724,"1,005,466",49.0,(null),5.0,(null)
297571891,"1,009,550",48.0,MULTI DWELL - PUBLIC HOUS,4.0,BLACK HISPANIC
298566035,"1,006,789",49.0,(null),5.0,BLACK HISPANIC
296455537,"1,005,905",6.0,(null),5.0,WHITE HISPANIC
295865247,"1,006,789",49.0,(null),5.0,WHITE HISPANIC
298034554,"1,024,906",58.0,(null),5.0,WHITE HISPANIC
297015430,"989,094",70.0,(null),4.0,BLACK
298411322,"1,000,776",7.0,(null),4.0,(null)
298263882,"1,030,164",22.0,(null),3.0,(null)
296949503,"1,005,608",61.0,(null),2.0,BLACK
295548026,"1,001,278",16.0,PVT HOUSE,2.0,(null)
296005398,"1,014,300",45.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
296843486,"1,009,487",49.0,(null),5.0,BLACK
295429243,"998,811",18.0,(null),4.0,BLACK
295865248,"1,008,437",34.0,(null),5.0,BLACK
298672097,"989,372",21.0,MULTI DWELL - PUBLIC HOUS,2.0,BLACK
298699604,"1,015,120",5.0,(null),2.0,BLACK
