cd_26,multi_ethnic,has_reasonable_accommodation_1,pacific_islander,total,has_reasonable_accommodation,african_american,has_limited_english_1,cd_40,cd_18,cd_27,cd_23,cd_11,cd_45
0,0,10,0,10,0,*,0,0,0,0,0,0,0
0,*,22,0,22,0,*,15,0,*,0,0,0,0
0,*,*,0,*,0,*,0,0,0,0,0,0,*
0,*,42,0,43,*,10,28,*,0,0,0,*,0
0,*,*,0,*,0,*,*,0,0,0,*,0,0
14,177,1503,*,1511,*,422,1033,26,28,28,11,31,24
*,*,32,0,32,0,13,27,0,0,*,*,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
*,*,64,0,64,0,17,44,0,*,*,0,*,*
0,*,*,0,*,0,*,*,0,0,0,0,0,0
0,*,*,0,*,0,0,0,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,0,*,0,0,0,0,0,0
27,214,2199,*,2355,156,1070,2020,44,45,35,*,36,33
0,0,*,0,*,*,*,*,0,*,0,0,0,0
0,*,*,0,*,0,*,*,0,0,0,0,0,0
0,0,11,0,12,*,*,*,0,*,0,0,*,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,0,0,0,0,0,0,0,0
0,*,*,0,*,0,*,*,0,0,0,0,0,0
*,27,312,*,329,17,171,290,*,11,*,*,10,*
*,*,33,0,37,*,14,34,0,*,0,0,0,0
*,13,128,0,135,*,58,103,*,*,*,0,0,*
0,0,*,0,*,0,0,0,0,0,0,0,0,0
0,*,*,0,*,0,*,*,*,0,0,0,*,0
*,*,25,0,26,*,*,11,0,*,0,*,0,0
