artist_lastname,school_name
ANONYMOUS,ABRAHAM LINCOLN HS - K
SPAMPINATO,P.S. 2 - MANHATTAN
ANONYMOUS,OSSS / DSF - QUEENS
ANONYMOUS,EVANDER CHILDS HS - X
FONSECA,P.S. 46 - MANHATTAN
NIVOLA,P.S. 46 - BROOKLYN
CAVALLARO,I.S. 210 - QUEENS
ANONYMOUS,ABRAHAM LINCOLN HS - K
AMATEIS,P.S. 171 - QUEENS
NIVOLA,P.S. 345 - BROOKLYN
KECK,P.S. 138 - BROOKLYN
STEKEL,BEACH CHANNEL HS - Q
MARGILETH,P.S. 121 - BRONX
SPAMPINATO,BENJAMIN N. CARDOZO HS - Q
NIVOLA,TOTTENVILLE HS - S. I.
VINES,OSSS / DSF - QUEENS
CHOATE,P.S. 288 - BROOKLYN
HENN,P.S. 189 - MANHATTAN
KANNO,ERASMUS HALL CAMPUS - K
RUBITSCHUNG,P.S. 8 - BROOKLYN
ROBUS,ROBESON HS COMP&BUS TC (A HML)-K
NIVOLA,P.S. 55 - STATEN ISLAND
REINA,I.S. 72 - STATEN ISLAND
SPAMPINATO,J.H.S. 142 - BROOKLYN
SHIFRIN,P.S. 57 - STATEN ISLAND
NICOLOSI,SEWARD PARK HS - MANHATTAN
NELSON,ABRAHAM LINCOLN HS - K
POWELL,P.S. 270 - BROOKLYN
ANONYMOUS,P.S. 216 - BROOKLYN
CHAYAT,I.S. 174 - BRONX
NIVOLA,I.S. 13 - MANHATTAN
BAHNMULLER,RICHMOND HILL HS - Q
NIVOLA,TOTTENVILLE HS - S. I.
WILLIAMS,BOYS & GIRLS HS - K
KORAS,P.S. 153 - MANHATTAN
CALLERY,P.S. 34 - MANHATTAN
ANONYMOUS,P.S. 63 - BRONX
MARGILETH,P.S. 121 - BRONX
SUGARMAN,P.S. 4 - STATEN ISLAND
TINCH,P.S. 13 - BROOKLYN
HAVANNES,P.S. 26 - BROOKLYN
MUNDHENK,I.S. 88 - MANHATTAN
PLASSMANN,HS OF GRAPHIC COMMUNICATION ARTS-M
TRIEBEL,
MONROE,P.S. 32 - STATEN ISLAND
BROWN,P.S. 384 - BROOKLYN
BARRETT,NEW DORP HS (NEW) - S. I.
NAGY,WILLIAM C. BRYANT HS - Q
KECK,WILLIAM C. BRYANT HS - Q
