agency_comment,dataset_description
,"This dates set represents Borough President appointee DYCD (Neighborhood Advisory Board ). NABs serve Neighborhood Development Areas (NDAs), which are low-income neighborhoods designated as needing community development support. NAB members are responsible for helping to identify the needs of their local communities. DYCD takes their findings into consideration when allocating federal Community Services Block Grant (CSBG) funding."
Being published as larger comprehensive dataset,"Rates of traffic injuries provided here are based on all live transportation-related injury discharges from a NYC hospital and include emergency department visits and hospitalizations among residents and non-residents of NYC. Neighborhood data are based on zip code of residence for NYC residents only who were discharged from a hospital located in NYC. Crash locations are not available in these data. Visits to emergency departments and hospital stays reflect injuries that require immediate medical treatment. Minor injuries not treated at a hospital are not captured through emergency department and hospitalization data. Data were obtained from the New York State Department of Health Statewide Planning and Research Cooperative System (SPARCS). Transportation-related injuries are defined by the International Classification of Diseases, Clinical Modification (ICD-10-CM) and were recently revised.  The revisions largely pertain to injury-related diagnostic codes including those that capture transportation-related injuries, allowing for better diagnosis. The Centers for Disease Control and national epidemiologists provided guidance to DOHMH for enumerating new injury codes. Because the two ICD systems differ in how they classify injuries, current data and previously posted data are not comparable.  Data prior to 2016 are not shown because they use the older coding ICD-CM schema"
,The number of primary and secondary syphilis cases reported to the NYC Department of Health and Mental Hygiene.
"This dataset is delayed due to limited staff capacity, competing priorities, and the need for extensive data cleaning to ensure accuracy and usability.",A broad overview of the employment status and demographic makeup of employees across NYC agencies
,A list of active TLC vehicle licenses and related insurance submitted to the TLC.
"De-prioritized. With the release of three data sets in this compliance period (two of which were impromptu), this release data has been extended.",All applications for a professional license in DOB NOW.
Work on this dataset is in progress and will be released as a larger comprehensive dataset,"Number of vaccine doses that have been 1)Reserved by the federal government for NYC, 2)Delivered to NYC, and 3)Given to people in NYC"
Work on this dataset is in progress and will be released as a larger comprehensive dataset,List of fresh food boxes and farm shares that offer a 50% discount to customers paying with SNAP benefits through the Half Off Farm Box program
"Due to resource constraints DEP will need to delay the release date for this dataset to December 31, 2025.",Mold Post Remediation Assessment Form & Certification Submissions
Reduced staffing resources at NYC Parks have limited our capacity to properly scope and prepare this dataset for publication.,Information related to site preparation of reforestation areas.
The development efforts for this dataset is on hold due to staff attrition and prioritization of critical projects within the Department of Finance (DOF).,Recorded Leaseholds  as  reported on Real Property Transfer Tax (RPTT) filings  on ACRIS
"TLC's IT division has prioritized other internal and external requests to help TLC licensees. Licensees are currently able to see their own license statuses, renewal timelines, inspection schedules, and more through a portal (TLCUP). Therefore, the need for these data sets is not as high as before and the agency has not made these data sets a priority.",This dataset includes a  list of all vehicles that are licensed and active to operate but do not have an affiliated base.
Reduced staffing resources at NYC Parks have limited our capacity to properly scope and prepare this dataset for publication.,"This dataset covers groups that have agreed to be listed in the NYC Parks Volunteer Directory. These partner groups work with NYC Parks to host volunteer events and programming in parks, and record their efforts through the agency's Let's Green NYC initiative."
,"HIV testing and treatment, PEP - emergency medication to prevent HIV, PrEP - oral pill to prevent HIC, STI testing locations"
Additional Time is required to prepare data for publishing on the Open Data portal,"This report covers accessibility enhancements to websites, mobile apps, maps, videos and other digital content over the past two years."
"Will be combined with ""Smoke-Free Air Act Membership Association Registrations"" dataset",List of establishments with active hookah permit
This dataset is undergoing final approval,"Total instances of drugs seized at correctional facilities from Department of Corrections staff between January 1, 2019, and the present day."
"In publishing annual data for the calendar year, our slated publication date is one quarter after the end of 2025","Formerly titled ""ActionNYC Hotline Calls"". This dataset includes total calls received by the MOIA Immigrational Legal Support Hotline per month"
This data is already available to the public on TLC's website and TLC is working to add crash data to Open Data.,"This dataset includes aggregated records regarding medallion sales and stock transfers, and is updated on a monthly basis."
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team",Completed Audit Reports for entities under the EEPC's Jurisdiction
Delayed due to resource shortage and other priorities,"The Online Complete Entity Summary report displays basic vendor information on entities that are enrolled in PASSPort, or have final Performance Evaluations in PASSPort, but have not yet enrolled. Information on vendor contracts with the City of New York can be found on Checkbook NYC at https://www.checkbooknyc.com."
"This is not DCP data but we agreed to post on behalf of FEMA since this appears in a DCP application. We are continuing to work with the Mayor's Office of Climate and Environmental Justice (MOCEJ) to  reconcile and post all climate and future floodplain data based on sea level rise by NPCC that appear in the Flood Hazard Mapper app but updates to applications, new data, and personnel changes have delayed the project.",The height of the 2015 PFIRM BFEs above ground elevation based on the 2010 NYC Digital Elevation Model.
,Locations of potential cooling centers in New York City.
,"This data set represents the Borough President CEC's appointees. Community Education Councils (CECs) are education policy advisory bodies responsible for, among other things, reviewing and evaluating the district’s educational programs, approving zoning lines, and holding public hearings on certain matters."
Reduced staffing resources at NYC Parks have limited our capacity to properly scope and prepare this dataset for publication.,"This dataset captures information (Park, dates, number of volunteers, etc.) for the NYC Parks Let's Green NYC volunteer opportunity program"
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team",List of funding from the Queens Borough President's Office for capital projects
,Treatment program locations
The agency has adjusted the timeline of this project due to the allocation of resources and attention to higher-priority projects,Information pertaining to punitive and restrictive housing
,Aggregate counts of vital statistics (births and deaths) at various geographic levels
,Provides data related to mental health services for individuals in shelters.
,Elevator device inspections
,COVID-19 deaths broken down by age and year
Delayed due to resource shortage and other priorities,"This report summarizes contracts with maximum contract value increases reportable per Local Law 18 of 2012, i.e. contracts with a maximum registered amount greater than $10M connected with a capital budget that have been modified by 10% over the original registered amount or 20% over the previously reported amount. [https://a860-gpp.nyc.gov/catalog?utf8=%E2%9C%93&locale=en&search_field=all_fields&search_field=member_of_collection_ids&q=ll18]"
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team",List of discretionary grants issued by the Queens Borough President's Office
,List of business engagement and outreach events conducted by DCWP and the number of participating businesses.
,"Hep A, B, C testing and vaccines, syringe exchange locations"
OLR is in the process of readying this data for publication with a target of early 2026.,Summary reports related to City health insurance for active employees and retirees
,All meeting and event requests (internal and external) to the Borough President for 2022 and 2023
Delayed due to resource shortage and other priorities,Data on contracts with start dates before receiving approval from Comptroller.
Delay in implementing automation process.,A list of buildings where no short-term rental registrations are permitted under the New York City Short-Term Rental Registration Law (Local Law 18 of 2022).
Automation of process took longer than anticipated. Report now scheduled for publication by the end of CY25.,"This report provides the total shelter census counts, single adult shelter stats and family intake indicators."
Delayed due to resource shortage and other priorities,Displays current principal owners and officers disclosed by the vendor. Entities that appear below have enrolled in PASSPort and disclosed responsive information.  Parent entities that do not do business with the City are not required to fill out Principal Questionnaires; those entities appear in this report with blank fields.
Automation of process took longer than anticipated. Report now scheduled for publication by the end of CY25.,"Provides data about families with children (FWC) applying to DHS shelter, FWC in shelter, and FWC exits from shelter disaggregated by rental subsidy"
Reduced staffing resources at NYC Parks have limited our capacity to properly scope and prepare this dataset for publication.,"This data displays the percent of the population living in various geographical areas that have access to each of the 21 ""vital parks"" resources.  The geographical areas for which this information is provided includes all NYC community districts, all NYS designated disadvantaged community census tracts, and the 6 ""Gun Violence Prevention"" police precincts as designated by the Mayor's office.  This data is used to power the ""vital parks explorer"" tool on the NYC Parks website."
"TLC's IT division has prioritized other internal and external requests to help TLC licensees. Licensees are currently able to see their own license statuses, renewal timelines, inspection schedules, and more through a portal (TLCUP). Therefore, the need for these data sets is not as high as before and the agency has not made these data sets a priority.",This dataset includes a list of paratransit bases that are current and in good standing to dispatch trips to paratransit vehicles. Paratransit Bases provide pre-arranged transportation for passengers with disabilities. Most of the service takes individuals to and from health care facilities.
De-prioritized. Demand for this data set is not present.,Tables for looking up BIS information
,Inspection data
,Provides data related to transfers from the Department of Homeless Services' shelters.
Delayed due to resource shortage and other priorities,Median procurement cycle time by Agency and fiscal year for competitive sealed proposal contracts.
"Due to resource constraints DEP will need to delay the release date for this dataset to December 31, 2025.",Mold Remediation Work Plan & Notification Form Submissions
"TLC's IT division has prioritized other internal and external requests to help TLC licensees. Licensees are currently able to see their own license statuses, renewal timelines, inspection schedules, and more through a portal (TLCUP). Therefore, the need for these data sets is not as high as before and the agency has not made these data sets a priority.",This dataset includes a list of current TLC licensed Medallion brokers. Medallion brokers are licensed by the TLC to assist in the transfer of a medallion or obtaining a loan secured by a medallion. Licenses are valid for up to one year and expire on December 31st.
,"New York City Department of Transportation issues licenses to food service establishments to participate in the Dining Out NYC program by allowing sidewalk or roadway dining. For more information, please visit the Dining Out NYC website: https://www.diningoutnyc.info/"
Delayed due to resource shortage and other priorities,"Data on health and human services contracts on-time submission to Comptroller before start date of contract. If submitted within 30 days of start date, the contract is considered substantially in compliance."
Work on this dataset is in progress and will be released as a larger comprehensive dataset,COVID Rates by Vaccination Status
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team",Schedule of EEPC Commission Meetings and Recordings
,TBD
Automation of process took longer than anticipated. Report now scheduled for publication by the end of CY26.,"This report includes data on clients with supportive housing eligibility, referral, interview, and acceptance activity"
"This is not DCP data but we agreed to post on behalf of FEMA since this appears in a DCP application. We are continuing to work with the Mayor's Office of Climate and Environmental Justice (MOCEJ) to  reconcile and post all climate and future floodplain data based on sea level rise by NPCC that appear in the Flood Hazard Mapper app but updates to applications, new data, and personnel changes have delayed the project.","The LiMWA identifies areas that will be affected by waves with a 1.5 foot wave height or greater within the coastal A zone. While FEMA does not require special floodplain management standards based on LiMWA delineations, it is likely that properties and structures within the LiMWA will receive substantial damage from wave action during a 1%-annual-chance flood event."
This dataset is undergoing final approval,"Data containing the date, time, facility, type of force and reason for force used."
"In publishing annual data for the calendar year, our slated publication date is one quarter after end of 2025","Formerly titled ""We Speak NYC Classes"". List of all English Language Learning classes. This dataset includes class information such as cycle, year, location, and total students engaged."
,This is the data set behind how we report the number of inquiries annually
,"Counseling, gender affirming care, primary care locations"
,Aggregate STD Case Count Data by Select Demographic variables
,Citi Bike dock locations and trip data.
,List of Partition Installers and Camera Installation Facilities
Automation of process took longer than anticipated. Report now scheduled for publication by the end of CY25.,Provides data about pets whose owners enter homeless shelters
,Percentage of emails answered withing 14 calendar days or less.
,Number of daily hospitalizations for influenza like illness from 1/1/2016-10/31/2022; tests provided; test results
"Fluctuating membership, logistical difficulties",Demographic information on the collective membership for each Community Board in Manhattan.
,Number of calls/emails received by the AskMOIA Hotline and Service needs inquiries responded by AskMOIA Hotline
,"Total Group Child Care programs open since 2017 with opening dates, closing dates, and number of violations"
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team","Listing of cases onboarded by QBPO Immigrant Welcome Center which includes, city of residence, city of origin, case type, number of family members"
,Gas certification details
Delayed due to staffing vacancies in both the technology and analytic teams necessary to publish new open datasets,"Local Law 4 of 2012 requires HPD to maintain a quarterly report that lists 1) the total number of foreclosure actions commenced during the previous quarter and reported to HPD disaggregated by community district, and b) the total number of pending foreclosure actions reported to HPD since the effective date of the law disaggregated by community district"
,List NYC TLC APPROVED Partition Bullet-Resistant Installers
"This is not DCP data but we agreed to post on behalf of FEMA since this appears in a DCP application. We are continuing to work with the Mayor's Office of Climate and Environmental Justice (MOCEJ) to  reconcile and post all climate and future floodplain data based on sea level rise by NPCC that appear in the Flood Hazard Mapper app but updates to applications, new data, and personnel changes have delayed the project.",Future floodplains in the 2100s based on a layering of high estimates for SLR by NPCC on top of the 2013 PFIRM BFEs for the 1% annual chance floodplain
"TLC's IT division has prioritized other internal and external requests to help TLC licensees. Licensees are currently able to see their own license statuses, renewal timelines, inspection schedules, and more through a portal (TLCUP). Therefore, the need for these data sets is not as high as before and the agency has not made these data sets a priority.",This dataset includes a list of commuter van authorities that are current and in good standing to pick up passengers. Commuter Van Authorizations provide pre-arranged transportation to passengers throughout New York City on a regular daily basis. They are authorized to operate within specific geographic areas
Data is being reviewed for privacy concerns,Details associated with individual homicide incidents
The release of this dataset is delayed due to impact of available resources.,Inspection data for Senior Adult Day Care/Senior Centers
,"Metadata about inquiries to the Parks department, including information about when the correspondence was sent, responded to, high level topic, status, and method in which it came to Parks (ie. 311, email, etc.)"
Delayed due to resource shortage and other priorities,"PASSPort solicitations citywide. [PASSPort Contracts, Solicitations and Vendors are published publicly in PASSPort Public -> https://a0333-passportpublic.nyc.gov/]"
,"NYC restaurant permit number, business number (DBA), business legal name, address, borough, zip code, cuisine, service type, venue type, start date, end date, owner name, owner position/title, phone, email"
,"Maps that depict flood depths and flood extents with sea level rise based at future time steps including 2050s, 2080s, and 2100"
,Dataset contains information on mobile food vending permits and inspections
,Polio vaccination rates broken down by zip code
,A list of authorized meter manufacturers
We are continuing to work through a back log of open data to publish. There are not enough resources (personnel) to release this on time and these are lower priority than other datasets.,"The Index, comprised of a set of important factors – concentration of stores, walkability, access to car, presence of families with children in poverty -- helps communities, food policy researchers and supermarket operators assess the number of additional stores necessary to meet the needs of the area."
The release of this dataset is delayed due to impact of available resources.,"Data about cases of asthma, diarrhea, influenza-like illness, respiratory diseases and vomit are available from 2016 by date of visit, age group and geography."
,Low-cost dental treatment
The release of this dataset is delayed due to impact of available resources.,Estimated number of new children with blood lead levels > =3.5 mcg/dL (to replace previously released blood lead levels >=5mcg/dL)
Delayed due to resource shortage and other priorities,Data on disparity between number of contracts awarded to M/WBE and the value of contracts awarded to M/WBE.
,The number of congenital syphilis cases (disease acquired before or at birth) reported to the NYC Department of Health and Mental Hygiene.
This dataset is undergoing final approval,"De-identified records of guilty infractions by facility, date and type"
,The total number of juvenile probationer rearrests divided by the number supervised during the reporting period.
,"This dataset includes buildings selected for HPD's proactive inspections program and the results of those inspections per Local Law 71 of 2022, which mandates HPD to annually select 300 class A multiple dwellings for proactive inspections of self-closing doors"
,"The Transit Zones dataset is composed of areas related to the Greater Transit Zone. The Greater Transit Zone is broken up into separate areas where special rules governing residential parking are applied. The Greater Transit Zone is composed of the following areas:

• Manhattan Core and Long Island City parking areas: No parking required.
• Inner Transit Zone: No parking required.
• Outer Transit Zone: Some parking required. Certain housing types do not require parking.
• Special ZR# 25-241 Parking Provision areas: Parking required. Affordable housing has significantly less required parking than market rate housing and certain housing types have no requirement.

Beyond the Greater Transit Zone areas are not within the Greater Transit Zone. Parking is required but affordable housing has less required parking than market rate housing and certain housing types have no requirement."
Reduced staffing resources at NYC Parks have limited our capacity to properly scope and prepare this dataset for publication.,Tracking of applications for work involving  NYC Parks trees
,The New York City Housing and Vacancy Survey (NYCHVS) is a citywide survey that represents New York City’s entire housing stock and population that is fielded about every three years
Delayed due to resource shortage and other priorities,"Displays any DBA, trade name, or abbreviation other than the entity€™s name, as currently disclosed by the vendor. Entities that appear below have enrolled in PASSPort and disclosed responsive information."
The release of this dataset is delayed due to impact of available resources.,"Provides information on mobile food vending waiting lists, including the following: Green Carts (multiple lists), Temporary (seasonal), and Supervisory Licenses (multiple lists)."
,Items required for filing
The agency has adjusted the timeline of this project due to the allocation of resources and attention to higher-priority projects,"Date, facility, category and resolution of grievances"
The development efforts for this dataset is on hold due to staff attrition and prioritization of critical projects within the Department of Finance (DOF).,"The New York City Rent Freeze program is comprised of the Senior Citizen Rent Increase Exemption (SCRIE) and the Disability Rent Increase Exemption (DRIE). The program assists low income seniors and people with disabilities who reside in rent-regulated apartments or apartments subject to the Private Housing Finance Law. The SCRIE and DRIE benefits freeze recipients’ rent and protect them from future increases. As housing costs continue to rise citywide, the Rent Freeze program helps New Yorkers remain in their homes."
,Provides data related to medical health services for individuals in shelters.
Additional Time is required to prepare data for publishing on the Open Data portal,Contact information of Disability Service Facilitators at City agencies
The development efforts for this dataset is on hold due to staff attrition and prioritization of critical projects within the Department of Finance (DOF).,"Pursuant to NYC Administrative Code 11-207, the Department of Finance inspects parcels on a rolling basis. One third of the parcel population is inspected each Spring/Summer such that each parcel is inspected every three years. This dataset identifies the parcels determined abandoned during the inspections. While this dataset is updated annually, the data for each parcel is updated only every three years."
,"Number of individuals associated with nightlife organizations who have requested a Narcan kit for preparedness, broken down by zip code"
We are continuing to work through a back log of open data to publish. There are not enough resources (personnel) to release this on time and these are lower priority than other datasets.,New York City 1990 to 2000 Census Block Equivalency
"TLC's IT division has prioritized other internal and external requests to help TLC licensees. Licensees are currently able to see their own license statuses, renewal timelines, inspection schedules, and more through a portal (TLCUP). Therefore, the need for these data sets is not as high as before and the agency has not made these data sets a priority.",This dataset includes a list of all current TLC licensed Medallion agents. Medallion agents are licensed by the TLC to operate a Taxicab Medallion on the behalf of the Medallion owner.
Reduced staffing resources at NYC Parks have limited our capacity to properly scope and prepare this dataset for publication.,"The Natural Areas Management Application (NAMA) allows NYC Parks and partner groups to record and track all on-the-ground natural resource management work performed in the City’s forests, grasslands and wetlands. This includes native species planting, trail improvements, vegetation management, plant stewardship, and other activities to maintain safe, accessible and healthy greenspaces."
"Release delayed while MOME, OTI, and the external vendor work on implementing automation processes for the publication of the dataset.",Number of press card applications issued and denied
This dataset is undergoing final approval,Information on children in Rikers Island nurseries
Data is being reviewed for privacy concerns,Data related to NYPD activity in New York City schools
Delayed due to staffing vacancies in both the technology and analytic teams necessary to publish new open datasets,This dataset will contain data on affordable rental and homeownership lotteries advertised in the public NYC Housing Connect portal.
The development efforts for this dataset is on hold due to staff attrition and prioritization of critical projects within the Department of Finance (DOF).,"Monies paid to the courts for legal matters are held in an interest-bearing Department of Finance Common Trust Account. This dataset lists all deposits under the Department of Finance’s possession. Monies may be claimed by submitting a certified funds withdrawal court order. If funds are not claimed after three (3) years, they are sent to the NYS Comptroller's Office as abandoned property."
,"Includes buprenorphine treatment, naloxone in pharmacies, and syringe service program locations"
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team",EEPC Annual Report
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team","Rankings of the 14 Queens Community Board Districts in terms of tree canopy, park access, traffic, and other pedestrian and bike-specific metrics."
"We are releasing this data as part of a larger release of Legistar data. The ""Legislation: Bills and Local Laws"" dataset has been released and we are coordinating with OTI on how to appropriately implement updates on their end before releasing further Legistar datasets.",This list contains information related to land use items before the Council.
"TLC's IT division has prioritized other internal and external requests to help TLC licensees. Licensees are currently able to see their own license statuses, renewal timelines, inspection schedules, and more through a portal (TLCUP). Therefore, the need for these data sets is not as high as before and the agency has not made these data sets a priority.",This dataset includes a list of commuter van vehicles that are current and in good standing to pick up passengers. Commuter Van Drivers provide pre-arranged transportation to passengers throughout New York City on a regular daily basis. They are authorized to operate within specific geographic areas.
This dataset is currently the subject of litigation and is being further assessed for publication.,"Public dataset where the disciplinary history of Correction Officers, Correction Captains, Assistant Deputy Wardens, and others can be accessed"
"This dataset is delayed. Due to a number of factors, including varied processes for agency certification of Halal food standards, comprehensive information on OAC locations providing Halal meals is not currently available.  In the interim, information on Kosher meals can be obtained from the LL 140 dataset below:
https://data.cityofnewyork.us/City-Government/Department-for-the-Aging-NYC-Aging-Senior-Center-L/ygfr-ij6t/about_data","List of Older Adult Centers that serve Kosher and/or Halal meals, either cooked on premises or catered (includes caterer names)."
,Testing and treatment locations
,"Through the 7A Program, administrators are appointed by the Court (pursuant to New York State Law) to operate privately owned buildings that have conditions that are dangerous to the tenants' life, health, and safety. This dataset includes the list of buildings that are selected for the 7A Administrator Program"
,"NYC Tax lots derived from MapPLUTO, pre-populated with attribute data if it intersects a lot, related to Environmental Review variables including air quality, noise, hazardous materials, natural resources, historic resources, and shadows."
,Updated list to a previous FOIL of all restaurants that began operating or ceased operating from 7/21/21-8/19/2022
,"DTP/Td/Tdap, Hep A, B, HPV, MMR, Meningitis, Pneumococcal, RSV, Shingles, Chickenpox vaccine locations"
,Parent-teacher association and parent association chapters in public schools.
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team",Dataset analyzes patterns of homeowner-applicant attrition and retention in the Build it Back Program.
The agency has transitioned this data to a new application that requires additional processing and review before publishing.,Comprehensive report pertaining to PREA and sexual assault allegations and incidents
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team",List of various appointments made by the Queens Borough President's Office
,All approved SFAA membership association registrations
TLC is re-evaluating the accuracy and completeness of this data set to determine whether or in what form it should be published.,"This dataset includes a list of car services that will provide different types of car seats to passengers if they require one, and instructions for reserving one."
,Number of workshops held and number of constituents served
Issues regarding consistency of budget structures with other agency datasets,IBO's forecast of taxes and revenues within the current financial plan window. Information on taxes should be available at a Revenue Class level. Miscellaneous and categorical revenues will only be available at a Revenue Category level. Produced as part of IBO's charter mandated reports that provide an independent estimate of the city's fiscal position.
,Provides data related to the Department of Homeless Services' efforts with respect to training certain individuals in administering opioid antagonists.
Reduced staffing resources at NYC Parks have limited our capacity to properly scope and prepare this dataset for publication.,Information about NYC Parks' Capital Improvement projects
The release of this dataset is delayed due to impact of available resources.,Complaint data on unsafe construction practices in common areas
Dataset requires extensive refactoring and reformatting.,A list of requests filed with DoITT for permission to install a cable pedestal in the public right of way.
,Elevator device records
The release of this dataset is delayed due to impact of available resources.,All working horses in NYC must have a license issued by the Office of Veterinary Public Health Services (VPHS). Working horses include all horses that are offered to the public for hire and owners can get information about how to license their horse at NYC Business.
Delayed due to resource shortage and other priorities,Data on applications and unique nonprofit providers applying for interest-free loans from the Returnable Grant Fund.
,The total number of adult probationer rearrests divided by the number supervised during the reporting period.
,Voting decisions on each case voted on per board member.
"Program launched 7/1/2025, with a plan to publish one quarter after end of the first program year","Formerly titled as ""Action NYC"". This dataset includes total legal screenings completed by MOIA providers per month."
,List of legislation that was sponsored by the Borough President and passed.
,The Solid waste Advisory Board is a volunteer advisory board dedicated to helping Brooklyn achieve its zero waste goals. The board meets monthly and meetings are open to public.
Data delayed due to resource issues,"NYC Administrative Code 14-184 requires that the NYPD furnish a report of the number of vehicles towed by the Department that were obstructing a sidewalk, crosswalk, fire hydrant, bicycle lane, or bus lane."
The agency has adjusted the timeline of this project due to the allocation of resources and attention to higher-priority projects,Information pertaining to program partners and expenditures
"This is not DCP data but we agreed to post on behalf of FEMA since this appears in a DCP application. We are continuing to work with the Mayor's Office of Climate and Environmental Justice (MOCEJ) to  reconcile and post all climate and future floodplain data based on sea level rise by NPCC that appear in the Flood Hazard Mapper app but updates to applications, new data, and personnel changes have delayed the project.",Future floodplains in the 2080s based on a layering of high estimates for SLR by NPCC on top of the 2013 PFIRM BFEs for the 1% annual chance floodplain
Delay in implementing automation process.,A list of all active and current short-term rental registrations under the New York City Short-Term Rental Registration Law (Local Law 18 of 2022).
,The report lists quarterly headcounts for ACS secure detention facilities as required by Local Law 112 of 2024
,Data on the names and place numbers of individuals on the Mobile Food Vending supervisory waitlist
The Department of Finance (DOF) is still in the process of streamlining these datasets.  There have been delays due to staff attrition and prioritization of critical projects within DOF.,"List of properties in NYC, which includes the assessed value and changes to the assessed value which caused the assessed value to decrease"
,"List of NYC properties, which includes owner name and mailing address, and certain descriptive data such as market value, assessed value, and property tax exemptions"
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team",Recording of EEPC 2024 Symposium which includes research and audit data studied from 2023 - 2024.
The agency has adjusted the timeline of this project due to the allocation of resources and attention to higher-priority projects,"Inventory of all Weapons Seized, 2020 to Present"
Delayed due to resource shortage and other priorities,Displays summary information of finalized Performance Evaluations with overall rating for the vendor. Entities that appear below have final Performance Evaluations in PASSPort.
