borough,supervision_closing_type,month,year,supervision_closing_count
Citywide,ACE Anyone Can Excel,September,2016,6
Citywide,Client Development,June,2022,114
Citywide,Community Progression,September,2021,127
Citywide,Intensive Engagement,November,2021,27
Citywide,NeON Neighborhood Opportunity Network,April,2022,84
Citywide,Intensive Engagement,June,2022,39
Citywide,Intensive Engagement,January,2022,46
Citywide,NeON Neighborhood Opportunity Network,September,2021,79
Citywide,Special Program,September,2022,3
Citywide,Intensive Engagement,September,2021,17
Citywide,Special Program,December,2021,3
Citywide,Community Progression,February,2023,75
Citywide,Special Program,July,2022,0
Citywide,Other,April,2023,41
Citywide,Other,December,2022,34
Citywide,Intensive Engagement,November,2016,38
Citywide,ACE Anyone Can Excel,April,2023,51
Citywide,Special Program,March,2023,0
Citywide,Client Development,December,2016,57
Citywide,Community Progression,January,2022,195
Citywide,Intensive Engagement,October,2022,35
Citywide,NeON Neighborhood Opportunity Network,August,2022,74
Citywide,Community Progression,July,2023,52
Citywide,NeON Neighborhood Opportunity Network,December,2022,79
Citywide,Other,March,2022,25
Citywide,Client Development,October,2022,106
Citywide,Special Program,December,2022,2
Citywide,NeON Neighborhood Opportunity Network,October,2022,74
Citywide,Client Development,November,2022,106
Citywide,Community Progression,November,2022,89
Citywide,Central Interstate Unit,November,2016,36
Citywide,Central Interstate Unit,July,2022,13
Citywide,Central Interstate Unit,April,2022,13
Citywide,Central Interstate Unit,November,2022,22
Citywide,Other,May,2022,33
Citywide,NeON Neighborhood Opportunity Network,August,2021,50
Citywide,Client Development,August,2023,94
Citywide,ACE Anyone Can Excel,December,2016,13
Citywide,NeON Neighborhood Opportunity Network,September,2016,51
Citywide,Special Program,January,2023,2
Citywide,Other,September,2021,20
Citywide,Intensive Engagement,April,2022,27
Citywide,Special Program,January,2022,0
Citywide,Special Program,July,2023,6
Citywide,Special Program,April,2022,3
Citywide,Central Interstate Unit,January,2022,8
Citywide,NeON Neighborhood Opportunity Network,December,2016,53
Citywide,Intensive Engagement,February,2022,34
Citywide,ACE Anyone Can Excel,January,2023,57
Citywide,Other,February,2023,46
Citywide,Central Interstate Unit,August,2021,19
Citywide,Community Progression,September,2022,87
Citywide,Special Program,February,2022,0
Citywide,ACE Anyone Can Excel,November,2022,63
Citywide,Special Program,May,2022,2
Citywide,ACE Anyone Can Excel,November,2016,17
Citywide,Intensive Engagement,July,2022,23
Citywide,Special Program,March,2022,2
Citywide,ACE Anyone Can Excel,August,2023,41
Citywide,ACE Anyone Can Excel,January,2022,93
Citywide,Community Progression,December,2016,373
Citywide,ACE Anyone Can Excel,May,2022,78
Citywide,Special Program,August,2021,2
Citywide,Central Interstate Unit,June,2022,16
Citywide,ACE Anyone Can Excel,March,2023,51
Citywide,Intensive Engagement,September,2022,36
Citywide,Client Development,April,2023,102
Citywide,NeON Neighborhood Opportunity Network,July,2022,58
Citywide,Other,February,2022,36
Citywide,Intensive Engagement,December,2016,39
Citywide,Other,October,2022,31
Citywide,NeON Neighborhood Opportunity Network,June,2022,78
Citywide,Client Development,March,2022,134
Citywide,ACE Anyone Can Excel,August,2022,56
Citywide,Other,December,2016,1
Citywide,Intensive Engagement,January,2023,27
Citywide,Intensive Engagement,March,2022,30
Citywide,Client Development,February,2023,117
Citywide,Community Progression,January,2023,114
Citywide,ACE Anyone Can Excel,December,2021,75
Citywide,Central Interstate Unit,September,2021,17
Citywide,Other,July,2023,34
Citywide,ACE Anyone Can Excel,March,2022,89
Citywide,Client Development,July,2023,83
Citywide,Client Development,January,2023,115
Citywide,Other,August,2021,12
Citywide,NeON Neighborhood Opportunity Network,September,2022,59
Citywide,Community Progression,August,2022,99
Citywide,Community Progression,March,2022,119
Citywide,Central Interstate Unit,April,2023,9
Citywide,Other,July,2022,18
Citywide,NeON Neighborhood Opportunity Network,February,2022,75
Citywide,Intensive Engagement,November,2022,31
Citywide,Other,January,2022,24
Citywide,Community Progression,April,2022,106
Citywide,Client Development,March,2023,107
