shape_area,freq_bulk
13201410.6037217,"Mon, Thu"
80487817.3452892,"Mon, Thu"
6449699.4141677,"Tue, Fri"
31080325.4030324,"Wed, Sat"
4587294.94987372,"Tue, Thu, Sat"
17726315.6813175,"Tue, Fri"
9662878.13851915,"Wed, Sat"
21375652.5855406,"Tue, Fri"
12385280.7682618,"Mon, Thu"
11255387.9629925,Thu
8284299.90030718,"Tue, Thu, Sat"
8315169.61713769,"Wed, Sat"
4793300.19469731,"Mon, Wed, Fri"
4871419.30063032,"Mon, Wed, Fri"
13583772.6197106,"Mon, Wed, Fri"
3012632.95202474,Sat
7683993.73212012,"Wed, Sat"
8309196.73029323,"Tue, Fri"
12728645.6523253,Tue
7296650.83304753,"Mon, Thu"
10223615.9624668,Sat
7080734.60367411,"Tue, Thu, Sat"
5521441.08393317,"Tue, Fri"
6520135.81904823,"Tue, Thu, Sat"
116054474.685404,"Wed, Sat"
13841083.0957577,"Tue, Thu, Sat"
17574941.3435303,Thu
12625583.7381003,"Tue, Thu, Sat"
8629168.86508287,"Wed, Sat"
4814740.32711652,"Mon, Thu"
7630916.77542034,"Tue, Thu, Sat"
13072491.9093261,Fri
17294801.9646099,"Tue, Fri"
18887121.3341624,"Mon, Thu"
7133469.40319395,"Mon, Wed, Fri"
7280805.13213805,"Tue, Thu, Sat"
9743410.64932983,Sat
17390374.7059227,Thu
9847804.61521729,"Tue, Fri"
6988054.90613748,"Wed, Sat"
9113304.46642642,"Mon, Wed, Fri"
5209638.8105357,"Wed, Sat"
9769746.06260238,"Wed, Sat"
17331067.69269,"Mon, Thu"
9036994.35590996,"Mon, Wed, Fri"
6732900.68540488,Tue
15327059.9498601,Wed
7881606.60376898,"Tue, Thu, Sat"
6675899.47382824,"Mon, Thu"
4360904.06874955,Tue
9429520.14336887,"Tue, Fri"
13540135.9110809,"Wed, Sat"
9936314.74137104,Sat
18424647.6930949,"Wed, Sat"
10114208.1411699,"Tue, Fri"
8718572.80351298,Sat
19772021.5370258,Fri
10173303.4233622,Thu
12015715.4223187,"Mon, Wed, Fri"
5360608.9608031,"Tue, Thu, Sat"
23569366.6230719,"Mon, Wed, Fri"
4458015.05619666,"Mon, Wed, Fri"
19515507.9553438,"Mon, Thu"
25789684.4212533,"Mon, Thu"
6207469.75958364,"Mon, Thu"
5164090.93307686,"Mon, Wed, Fri"
12473795.5931619,Sat
7773358.63747413,"Wed, Sat"
8712037.48732284,Thu
9031397.48656694,"Tue, Fri"
14139301.0524475,"Mon, Wed, Fri"
11035160.1240418,"Mon, Thu"
56184760.6085141,"Mon, Thu"
18516200.67295,Sat
4576971.95814837,"Mon, Wed, Fri"
