instances_instances_instance,date,instances_container
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,1758-1952,Volume 093
Mixed Materials,"1961-1995, 1977-1995",Box I.25
Mixed Materials,1758-1952,Volume 018
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,1758-1952,Volume 128
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,"1961-1995, 1977-1995",Box I.21
Mixed Materials,1758-1952,Volume 0185
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,1758-1952,Volume 0132
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.25
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,1758-1952,Volume 0181
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,1758-1952,Volume 099
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 0136
Mixed Materials,1758-1952,Volume 053
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 091
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,"1961-1995, 1977-1995",Box I.21
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 0249
Mixed Materials,1758-1952,Volume 0134
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 126
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.25
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1902-1903,Box 1.2
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1758-1952,Volume 0137
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 0133
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 0174
Mixed Materials,"1961-1995, 1977-1995",Box I.21
Mixed Materials,1758-1952,Volume 0184
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,1758-1952,Volume 0209
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 083
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,1758-1952,Volume 0199
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1758-1952,Volume 0203
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 0197
Mixed Materials,1758-1952,Volume 125
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,1758-1952,Volume 090
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,"1961-1995, 1977-1995",Box I.25
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 0278
Mixed Materials,1758-1952,Volume 0178
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1758-1952,Volume 019
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,"1961-1995, 1977-1995",Box I.25
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.25
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,"1961-1995, 1977-1995",Box I.20
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1647-1862,Box 1.2.2
