classname,swimming_pool
Constance Baker Motley Recreation Center - Children's Learn to Swim Level 2 (Fridays),Constance Baker Motley Recreation Center
Learn to Swim: Adult Advanced Beginner Level 2 - Thursdays,Flushing Meadows Corona Park Aquatics Center
Session I Children Learn to Swim Crotona Pool Level 1A,Crotona Pool
Session 1: Red Hook Pool - Children's Learn to Swim  Level 2 (Class B),Red Hook Pool
"Flushing Meadows Aquatics Center - Adult Learn to Swim Level 1 (Saturdays, 1:15pm)",Flushing Meadows Corona Park Aquatics Center
Asser Levy Senior Learn to Swim: Thursdays,Asser Levy Recreation Center
Metropolitan Learn to Swim: Children,Metropolitan Pool & Recreation Center
FMAC: Adult Learn to Swim (Level 2),Flushing Meadows Corona Park Aquatics Center
Session 3: Red Hook Pool - Children's Learn to Swim Level 1 (Class B),Red Hook Pool
Session II Children Learn to Swim Crotona Pool Level 1A,Crotona Pool
Gertrude Ederle Recreation Center - Children's Learn to Swim Level 2 (Wednesdays),Gertrude Ederle Recreation Center
"Learn to Swim: Children Swimmer Level 4 - Mondays, 4pm",Flushing Meadows Corona Park Aquatics Center
Roy Wilkins Saturday Children Learn to Swim Level 2,Roy Wilkins Recreation Center
Session 3: Crotona Pool - Children's Learn to Swim Level 1 (Class B),Crotona Pool
Metropolitan Learn to Swim: Adults,Metropolitan Pool & Recreation Center
Gertrude Ederle Learn to Swim: Children - Tuesdays,Gertrude Ederle Recreation Center
Session 1: Astoria Pool - Tots Learn to Swim (Class A),Astoria Pool
Roy Wilkins Learn to Swim: Adults - ADMIN ONLY,Roy Wilkins Recreation Center
Learn to Swim: TOTS,Flushing Meadows Corona Park Aquatics Center
Session 3: Lyons Pool - Children's Learn to Swim Level 1 (Class B),Lyons Pool
Roy Wilkins Recreation Center - Children's Learn to Swim Level 1 (Saturdays),Roy Wilkins Recreation Center
Asser Levy: Tots Learn to Swim,Asser Levy Recreation Center
Gertrude Ederle Learn to Swim: Tots - Saturdays - ADMIN ONLY,Gertrude Ederle Recreation Center
St. John's Learn to Swim: Children - Mondays,St. John's Recreation Center
"Learn to Swim: Children Intermediate Level 3 - Thursdays, 4pm",Flushing Meadows Corona Park Aquatics Center
Session 1: Crotona Pool - Children's Learn to Swim Level 1 (Class A),Crotona Pool
Roy Wilkins Senior Learn To Swim - Thursday (Beginner),Roy Wilkins Recreation Center
Learn to Swim: Children ADV. Swimmer Level 5,Flushing Meadows Corona Park Aquatics Center
Constance Baker Motley Learn to Swim: Children - Tuesdays,Constance Baker Motley Recreation Center
Holiday Learn to Swim Asser Levy Class B,Asser Levy Recreation Center
Adult Learn To Swim,Chelsea Recreation Center
