offense_description,law_description
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
TRESPASS,Penal Law
POSS. OF KNIFE,Administrative Code
DISORDERLY CONDUCT,Penal Law
EXPOSURE OF PERSON,Penal Law
IMPROPER ENTRANCE/EXIT,(null)
POSSESSION OF ALCOHOL BY A MINOR,(null)
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
ALCOHOLIC BEVERAGE IN PUBLIC,(null)
ALCOHOLIC BEVERAGE IN PUBLIC,(null)
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
BICYCLE ON SIDEWALK,Administrative Code
RECKLESS DRIVING,VTL
ALCOHOLIC BEVERAGE IN PUBLIC,(null)
UNLAWFUL POSSESSION OF CANNABIS,(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
PUBLIC URINATION,(null)
TRESPASS,Penal Law
"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",(null)
DISORDERLY CONDUCT,Penal Law
POSSESSION OF AIR PISTOL/RIFLE,(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,(null)
UNREASONABLE NOISE; FROM CAR MUFFLER/EXHAUST (HEARD FROM 150 FT AWAY),(null)
NON PAYMENT OF FARE (OTHER),(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
DISORDERLY CONDUCT,Penal Law
UNREASONABLE NOISE; FROM CAR MUFFLER/EXHAUST (HEARD FROM 150 FT AWAY),(null)
RECKLESS DRIVING,VTL
DISORDERLY CONDUCT,Penal Law
UNREASONABLE NOISE; FROM CAR MUFFLER/EXHAUST (HEARD FROM 150 FT AWAY),(null)
TICKET SPECULATION,ACA
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
CONSUMPTION OF ALCOHOL,Administrative Code
"FIREWORKS, POSSESS/USE",Penal Law
VEND:RESTRICTIONS ON PLCMENT VEH/PUSHCARTS,Administrative Code
"FIREWORKS, POSSESS/USE",Penal Law
"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
RECKLESS DRIVING,VTL
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
PEDESTRIAN ON ROADWAY,(null)
UNLICENSED OPERATOR,VTL
EXPOSURE OF PERSON,Penal Law
OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,(null)
IMPROPER PLATES,VTL
OTHER ABC,ABC
TRESPASS,Penal Law
RECKLESS DRIVING,VTL
SELL ALCOHOLIC BEVERAGES WITHOUT LICENSE,ABC
REQUIRED EQUIPMENT OF PEDICABS,(null)
OTHER ADMIN CODE,Administrative Code
RECKLESS DRIVING,VTL
EXPOSURE OF PERSON,Penal Law
RECKLESS DRIVING,VTL
"FIREWORKS, POSSESS/USE",Penal Law
RECKLESS DRIVING,VTL
ALCOHOLIC BEVERAGE IN PUBLIC,(null)
TRESPASS,Penal Law
CONSUMPTION OF ALCOHOL,Administrative Code
ACCEPT ON HAIL,Administrative Code
RECKLESS DRIVING,VTL
"FIREWORKS, POSSESS/USE",Penal Law
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
RECKLESS DRIVING,VTL
AGG. UNLICENSED OPER.,VTL
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
KNIVES; PUBLIC POSSESSION (BLADE 4 INCHES OR MORE),(null)
ALCOHOLIC BEVERAGE IN PUBLIC,(null)
ALCOHOLIC BEVERAGE IN PUBLIC,(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
TRESPASS,Penal Law
UNLICENSED GENERAL VENDOR,Administrative Code
RECKLESS DRIVING,VTL
TRESPASS,Penal Law
POSS. OF KNIFE,Administrative Code
