race,:@computed_region_efsh_h5xi,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer
WHITE HISPANIC,16863.0,33.0,39.0
BLACK,13514.0,7.0,14.0
WHITE,17618.0,49.0,69.0
WHITE HISPANIC,10370.0,13.0,4.0
BLACK,10933.0,43.0,49.0
WHITE,12081.0,10.0,12.0
(null),18182.0,38.0,36.0
WHITE HISPANIC,24340.0,6.0,41.0
WHITE HISPANIC,13091.0,39.0,47.0
BLACK HISPANIC,11607.0,2.0,29.0
BLACK,16865.0,38.0,68.0
(null),14788.0,34.0,53.0
WHITE HISPANIC,17215.0,25.0,45.0
(null),13514.0,27.0,14.0
WHITE,13512.0,15.0,32.0
WHITE,18182.0,38.0,36.0
WHITE HISPANIC,10370.0,13.0,4.0
BLACK,12081.0,10.0,11.0
BLACK,24013.0,41.0,62.0
ASIAN / PACIFIC ISLANDER,11724.0,50.0,11.0
WHITE,14784.0,21.0,65.0
BLACK HISPANIC,11722.0,10.0,11.0
(null),14788.0,34.0,53.0
WHITE HISPANIC,10937.0,43.0,34.0
(null),10700.0,14.0,4.0
BLACK HISPANIC,13092.0,39.0,47.0
BLACK,13097.0,36.0,18.0
BLACK,13516.0,17.0,16.0
BLACK,17614.0,17.0,55.0
BLACK HISPANIC,13091.0,39.0,47.0
(null),14788.0,34.0,53.0
(null),14788.0,34.0,53.0
BLACK,13512.0,15.0,32.0
BLACK,13827.0,25.0,5.0
BLACK,13094.0,10.0,12.0
BLACK,17214.0,25.0,45.0
BLACK,20531.0,41.0,51.0
WHITE,12075.0,32.0,57.0
WHITE HISPANIC,13510.0,11.0,60.0
BLACK HISPANIC,17213.0,30.0,36.0
BLACK,17212.0,48.0,68.0
BLACK,13516.0,17.0,69.0
BLACK,10932.0,35.0,49.0
BLACK,11605.0,2.0,29.0
BLACK,17213.0,30.0,42.0
BLACK,17212.0,48.0,68.0
(null),18182.0,38.0,36.0
(null),14788.0,34.0,53.0
WHITE,13092.0,39.0,47.0
BLACK HISPANIC,12424.0,36.0,18.0
BLACK,11605.0,2.0,29.0
WHITE HISPANIC,10098.0,10.0,11.0
BLACK,10691.0,13.0,4.0
(null),18182.0,30.0,36.0
ASIAN / PACIFIC ISLANDER,10700.0,13.0,4.0
WHITE,13514.0,7.0,14.0
BLACK,11269.0,22.0,35.0
(null),18182.0,30.0,36.0
UNKNOWN,10934.0,42.0,34.0
ASIAN / PACIFIC ISLANDER,11271.0,22.0,59.0
WHITE,10699.0,9.0,15.0
BLACK,11608.0,40.0,29.0
ASIAN / PACIFIC ISLANDER,24335.0,16.0,63.0
BLACK,11722.0,10.0,11.0
(null),14788.0,34.0,53.0
ASIAN / PACIFIC ISLANDER,17215.0,25.0,45.0
BLACK,11722.0,10.0,11.0
WHITE,17616.0,45.0,1.0
AMERICAN INDIAN/ALASKAN NATIVE,13094.0,10.0,12.0
ASIAN / PACIFIC ISLANDER,17616.0,44.0,1.0
BLACK,24018.0,47.0,63.0
(null),10700.0,14.0,4.0
ASIAN / PACIFIC ISLANDER,11271.0,22.0,59.0
(null),14788.0,34.0,53.0
ASIAN / PACIFIC ISLANDER,14787.0,33.0,39.0
BLACK,24670.0,6.0,41.0
BLACK,17214.0,25.0,45.0
BLACK,16865.0,38.0,68.0
ASIAN / PACIFIC ISLANDER,11271.0,22.0,59.0
UNKNOWN,10929.0,43.0,49.0
BLACK,17615.0,49.0,16.0
WHITE HISPANIC,14510.0,21.0,65.0
BLACK,17615.0,49.0,69.0
OTHER,12073.0,10.0,11.0
WHITE HISPANIC,13832.0,3.0,22.0
WHITE HISPANIC,18181.0,49.0,69.0
OTHER,13514.0,7.0,14.0
WHITE,17616.0,44.0,1.0
WHITE HISPANIC,14511.0,21.0,65.0
ASIAN / PACIFIC ISLANDER,17620.0,11.0,60.0
BLACK,17213.0,30.0,42.0
BLACK,17614.0,17.0,55.0
BLACK,16865.0,48.0,68.0
BLACK,24670.0,6.0,41.0
WHITE HISPANIC,15310.0,30.0,54.0
BLACK,10931.0,29.0,6.0
BLACK,12423.0,36.0,18.0
BLACK,10933.0,43.0,8.0
UNKNOWN,13091.0,39.0,47.0
(null),10700.0,14.0,4.0
BLACK,10933.0,43.0,49.0
BLACK,17212.0,48.0,69.0
BLACK HISPANIC,17213.0,49.0,69.0
(null),18182.0,30.0,36.0
WHITE,13512.0,15.0,32.0
BLACK,12079.0,51.0,11.0
BLACK,13091.0,39.0,47.0
WHITE HISPANIC,17215.0,25.0,45.0
BLACK HISPANIC,,36.0,18.0
