dbn,location,total_sw_gc,serving_more_than_one_location,location_type,total_sw
02M519,02M519 - TALENT UNLIMITED HIGH SCHOOL,1.0,No Data,HIGH SCHOOL                        ,No Data
03M243,03M243 - M.S. 243 CENTER SCHOOL,0.4,No Data,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,0.4
02M308,02M308 - LOWER MANHATTAN ARTS ACADEMY,2.0,No Data,HIGH SCHOOL                        ,1
02M397,02M397 - SPRUCE STREET SCHOOL,1.0,No Data,ELEMENTARY                         ,No Data
02M003,02M003 - P.S. 003 CHARRETTE SCHOOL,2.4,No Data,ELEMENTARY                         ,2
08X392,08X392 - BRONX DELTA SCHOOL,0.0,No Data,ELEMENTARY,0
02M217,02M217 - P.S./I.S. 217 ROOSEVELT ISLAND,0.6,No Data,K-8                                ,No Data
02M544,02M544 - INDEPENDENCE HIGH SCHOOL,1.0,No Data,HIGH SCHOOL                        ,No Data
03M485,03M485 - FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART A,10.0,No Data,HIGH SCHOOL                        ,1
02M183,02M183 - P.S. 183 ROBERT L. STEVENSON,2.0,No Data,ELEMENTARY                         ,1
01M363,01M363 - NEIGHBORHOOD SCHOOL,1.0,No Data,ELEMENTARY                         ,No Data
02M427,02M427 - MANHATTAN ACADEMY FOR ARTS & LANGUAGE,2.0,No Data,HIGH SCHOOL                        ,No Data
03M258,03M258 - COMMUNITY ACTION SCHOOL - MS 258,1.0,No Data,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,No Data
02M414,02M414 - N.Y.C. MUSEUM SCHOOL,2.0,No Data,HIGH SCHOOL                        ,No Data
02M290,02M290 - P.S. 290 MANHATTAN NEW SCHOOL,2.0,No Data,ELEMENTARY                         ,1
02M420,02M420 - HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,8.4,No Data,HIGH SCHOOL                        ,1
03M145,03M145 - P.S. 145  THE BLOOMINGDALE SCHOOL,2.0,No Data,ELEMENTARY                         ,1
02M047,02M047 - 47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,2.0,No Data,HIGH SCHOOL                        ,1
04M012,04M012 - TAG YOUNG SCHOLARS,0.6,No Data,K-8                                ,No Data
02M234,02M234 - P.S. 234 INDEPENDENCE SCHOOL,3.0,No Data,ELEMENTARY                         ,3
02M437,02M437 - HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,4.0,No Data,HIGH SCHOOL                        ,2
02M177,02M177 - YORKVILLE EAST MIDDLE SCHOOL,1.0,No Data,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1
03M191,03M191 - P.S. 191 AMSTERDAM,4.0,No Data,ELEMENTARY                         ,1
02M586,02M586 - HARVEY MILK HIGH SCHOOL,2.0,No Data,HIGH SCHOOL                        ,1
02M040,02M040 - P.S. 040 AUGUSTUS SAINT-GAUDENS,2.0,No Data,ELEMENTARY                         ,2
02M130,02M130 - P.S. 130 HERNANDO DE SOTO,1.6,0.6,ELEMENTARY                         ,0.6
03M165,03M165 - P.S. 165 ROBERT E. SIMON,3.0,No Data,K-8                                ,1
03M208,03M208 - P.S. 208 ALAIN L. LOCKE,1.4,No Data,ELEMENTARY                         ,No Data
