x,created_date,number,community_board,postcode
988281.16040039,2011-11-28T00:00:00.000,1045,5.0,10018.0
989338.0,2010-12-20T00:00:00.000,133,3.0,10002.0
984470.375793457,2011-02-28T00:00:00.000,544,4.0,10018.0
996088.195007324,2010-12-21T00:00:00.000,365,10.0,10026.0
982349.0,2011-02-03T00:00:00.000,522,4.0,10011.0
985592.0,2010-12-20T00:00:00.000,492,4.0,10036.0
990574.0,2011-11-22T00:00:00.000,20,5.0,10019.0
985469.807800292,2010-10-22T00:00:00.000,801,4.0,10019.0
1001621.71142578,2010-10-08T00:00:00.000,73,11.0,10037.0
986465.921813964,2011-04-08T00:00:00.000,10,2.0,10003.0
987483.0,2010-10-21T00:00:00.000,270,3.0,10002.0
987278.660217285,2011-04-08T00:00:00.000,885,5.0,10001.0
989156.41442871,2010-10-18T00:00:00.000,2069,7.0,10023.0
1000335.92321777,2010-12-21T00:00:00.000,453,12.0,10032.0
982986.0,2010-12-20T00:00:00.000,508H,,
983512.325012207,2011-08-04T00:00:00.000,56,2.0,10014.0
988850.371826171,2011-11-16T00:00:00.000,306,4.0,10019.0
983143.583007812,2011-07-11T00:00:00.000,231,4.0,10011.0
983881.0,2011-02-03T00:00:00.000,135,4.0,10011.0
991352.422607421,2011-07-11T00:00:00.000,210,6.0,10017.0
997391.018798828,2011-07-11T00:00:00.000,308,8.0,10028.0
987221.0,2010-12-20T00:00:00.000,300,4.0,10036.0
990688.0,2011-02-15T00:00:00.000,17,5.0,10017.0
985688.096618652,2010-12-20T00:00:00.000,450,4.0,10036.0
997638.210998535,2010-10-20T00:00:00.000,2300,10.0,10027.0
985652.0,2010-12-20T00:00:00.000,478,4.0,10036.0
985601.0,2010-12-20T00:00:00.000,490,4.0,10036.0
997229.778625488,2011-11-16T00:00:00.000,125,8.0,10128.0
995986.042236328,2011-07-06T00:00:00.000,345,8.0,10021.0
986535.604187011,2011-02-03T00:00:00.000,59,3.0,10002.0
986160.236999511,2011-11-16T00:00:00.000,41,2.0,10012.0
985600.632019042,2011-07-14T00:00:00.000,153,2.0,10012.0
986565.594787597,2011-02-15T00:00:00.000,8,2.0,10003.0
983679.0,2011-02-03T00:00:00.000,305,4.0,10011.0
998874.716186523,2011-02-28T00:00:00.000,466,9.0,10031.0
999810.195617675,2010-12-20T00:00:00.000,2647,10.0,10030.0
983834.0,2011-02-03T00:00:00.000,127,4.0,10011.0
996164.0,2011-04-08T00:00:00.000,304,10.0,10026.0
982571.382629394,2010-12-16T00:00:00.000,581,2.0,10014.0
997634.731811523,2011-01-04T00:00:00.000,250,8.0,10128.0
986543.28540039,2011-02-03T00:00:00.000,63,3.0,10002.0
989093.563232421,2010-10-18T00:00:00.000,200,7.0,10023.0
985941.273986816,2010-12-20T00:00:00.000,196,2.0,10012.0
982705.0,2011-07-11T00:00:00.000,98,1.0,10013.0
996962.257995605,2011-07-11T00:00:00.000,344,10.0,10027.0
988749.725830078,2010-12-20T00:00:00.000,150,6.0,10010.0
990546.809387207,2011-02-28T00:00:00.000,2322,7.0,10024.0
996563.0,2011-11-04T00:00:00.000,86,10.0,10027.0
1007268.0737915,2011-11-16T00:00:00.000,91,12.0,10034.0
982787.0,2010-10-20T00:00:00.000,60,1.0,10038.0
1000096.54980468,2010-12-20T00:00:00.000,1740,8.0,10128.0
1002925.8684082,2011-07-08T00:00:00.000,700,12.0,10040.0
997553.288024902,2011-07-11T00:00:00.000,271,10.0,10027.0
985525.0,2010-12-20T00:00:00.000,479,4.0,10036.0
986581.19140625,2011-02-15T00:00:00.000,12,2.0,10003.0
992328.0,2011-02-03T00:00:00.000,210,7.0,10025.0
982957.877990722,2011-11-16T00:00:00.000,34,2.0,10014.0
991798.0,2010-10-20T00:00:00.000,304,7.0,10025.0
