nta2020,date_of_incurrence,council_district
,2024-12-31T00:00:00.000,
MN0101,2024-11-13T00:00:00.000,101.0
,2024-06-30T00:00:00.000,
,2024-10-31T00:00:00.000,
,2024-01-16T00:00:00.000,101.0
MN0101,2025-06-02T00:00:00.000,101.0
BK0201,2024-05-06T00:00:00.000,
MN0502,2024-01-03T00:00:00.000,105.0
,2023-12-15T00:00:00.000,101.0
,2025-01-21T00:00:00.000,
,2024-10-31T00:00:00.000,
MN0101,2025-03-03T00:00:00.000,101.0
,2023-12-30T00:00:00.000,
BK0201,2024-03-18T00:00:00.000,
,2024-05-02T00:00:00.000,
BK0702,2025-03-28T00:00:00.000,
BK0202,2024-11-03T00:00:00.000,
,2024-08-31T00:00:00.000,
BK0202,2024-04-01T00:00:00.000,
MN0101,2023-11-30T00:00:00.000,101.0
MN0101,2025-04-01T00:00:00.000,101.0
QN0703,2025-01-24T00:00:00.000,
,2024-12-31T00:00:00.000,
,2024-06-10T00:00:00.000,
,2024-05-31T00:00:00.000,
,2024-03-04T00:00:00.000,
MN0502,2024-09-19T00:00:00.000,105.0
MN0101,2023-12-31T00:00:00.000,101.0
,2024-05-10T00:00:00.000,
BK0202,2023-12-31T00:00:00.000,
,2024-11-30T00:00:00.000,
,2024-01-31T00:00:00.000,
,2024-06-30T00:00:00.000,
,2024-02-29T00:00:00.000,
BK0202,2024-05-01T00:00:00.000,
BK0201,2024-06-25T00:00:00.000,
,2024-03-31T00:00:00.000,
,2025-06-02T00:00:00.000,
,2024-06-05T00:00:00.000,
,2024-10-31T00:00:00.000,
BK0202,2024-02-01T00:00:00.000,
