project,fundingreq_dfy_15_19,school,address,neighborhood_tabulation_area_nta_2020_,bin,district,census_tract_2020_,previousappropriations
DSF0000911850,91.35,P.S. 19 ADDITION,780 POST AVENUE,SI0106,5006175.0,31,141.0,4.17
DSF0001008556,200.29,MEDGAR EVERS COLLEGE PREP SCHOOL ANNEX,275 CROWN STREET,BK0901,3348093.0,78K,321.0,9.1
DSF0001087196,69.11,PROJECT #1,,,,20,,0.0
DSF0000890637,444.18,I.S./H.S. @ 45 CLEVELAND PLACE,45 CLEVELAND PLACE,SI0201,,78R,2002.0,45.5
DSF0001087192,143.54,P.S. @ 1631-1659 ZEREGA AVENUE,1631-1659 ZEREGA AVENUE,BX1001,2042065.0,11,204.0,0.47
DSF0001087183,54.64,PROJECT #21,,,,TBD,,0.0
DSF0001112262,75.79,PROJECT #1,,,,12,,0.96
DSF0001112260,77.45,PROJECT #42,,,,TBD,,0.0
DSF0001113899,1.21,I.S. 228,228 AVENUE S,BK1103,3190273.0,21,410.0,0.0
DSF0000843827,83.98,I.S. @ 44-59 45 AVENUE,44-59 45 AVENUE,,,30,,0.06
DSF0001112263,70.2,PROJECT #1,,,,21,,0.0
DSF0001008552,171.24,H.S. @ 425-447 OVINGTON AVENUE,425-447 OVINGTON AVENUE,BK1001,3328827.0,78K,130.0,11.65
DSF0001112268,97.67,PROJECT #50,,,,TBD,,0.0
DSF0001087185,107.56,PROJECT #23,,,,TBD,,0.0
DSF0001112276,87.7,PROJECT #2,,,,78Q,,0.06
DSF0001112289,1.82,FAR ROCKAWAY HS,8-21 BAY 25 STREET,QN1401,4300730.0,78Q,100804.0,0.0
DSF0001087178,92.06,FOREST HILLS HS ANNEX,67-01 110 STREET,QN0602,4052143.0,78Q,747.0,0.04
DSF0001112279,53.8,PROJECT #61,,,,TBD,,0.0
