the_geom,elevation,status,sub_code
"{'type': 'Point', 'coordinates': [-73.94224393839666, 40.619602648332254]}",32.68,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.85312194885795, 40.66144671458487]}",9.4662,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85309459351436, 40.67386816723523]}",18.1566,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92962332546483, 40.61964771083594]}",47.96,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.85313039504064, 40.657611089556646]}",8.17389999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91326001796376, 40.619614680242435]}",41.01,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.85312447150596, 40.660301539400365]}",10.0132,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85310858610372, 40.667515024138595]}",10.06969999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85307911254247, 40.68089621116088]}",17.83379999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91900712448087, 40.61963569833196]}",34.82,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.89976813653041, 40.69500111811907]}",87.6439,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91726440672701, 40.61954806042351]}",10.9162,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92015318289704, 40.619561966659084]}",12.74865023,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94244032731595, 40.61958766040959]}",54.33,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.9432042853433, 40.69306175089345]}",43.905106159,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92261776775459, 40.61963920127943]}",28.28,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.94304787800547, 40.619662583752536]}",49.8,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91196119644722, 40.695011091288436]}",50.07649999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.9320951992443, 40.61957983672226]}",27.88,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.85311863017147, 40.66295390382435]}",9.75254978,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85313877116351, 40.653805773290195]}",8.6806,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91872291798965, 40.61963530593329]}",36.35,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91689646551905, 40.61955088651338]}",11.10305,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91664423960047, 40.695014578376814]}",29.5347,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85311588022536, 40.66420328352638]}",9.3298,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92015476917987, 40.69501706742409]}",37.5944,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93355546402036, 40.61955790594266]}",15.6018,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.90961940826234, 40.695009276076014]}",62.6327,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.90108802983102, 40.6950022600598]}",74.11299999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93129396892623, 40.61959289187269]}",28.2,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.924295610488, 40.61959475480085]}",39.65,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91855847479998, 40.619640376551686]}",36.18,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.92600769248358, 40.695020979189835]}",56.73459999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94203943573372, 40.619615665091686]}",42.67,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.92982400217859, 40.69502336948235]}",53.7388,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93057254596174, 40.61962064744198]}",42.38,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.92860335710026, 40.695022618713274]}",53.23729999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.90127545309443, 40.61960265154539]}",43.99,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91827988228502, 40.61961932188162]}",11.44936475,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91726323394025, 40.619540795977876]}",10.9237,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93435556970033, 40.61960480907003]}",31.12,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.93135715686715, 40.61962172287149]}",28.56,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.86726958256511, 40.6949682272147]}",113.95269999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.9196792967043, 40.61962060714112]}",41.68,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.9073303249889, 40.695007455663735]}",66.33379999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85311675359017, 40.66380666438947]}",9.8232695,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85313578068859, 40.655164756986835]}",8.8311,Unchanged,300000
