the_geom,source_id,feat_code
"{'type': 'Point', 'coordinates': [-73.9291207565242, 40.61964968038402]}",20302000310.0,3020
"{'type': 'Point', 'coordinates': [-73.91609509574008, 40.61962287468276]}",20300000291.0,3000
"{'type': 'Point', 'coordinates': [-73.93129396892623, 40.61959289187269]}",20302000230.0,3020
"{'type': 'Point', 'coordinates': [-73.90348531085077, 40.6195891787306]}",20300000248.0,3000
"{'type': 'Point', 'coordinates': [-73.94224393839666, 40.619602648332254]}",20302000235.0,3020
"{'type': 'Point', 'coordinates': [-73.91075707842836, 40.619639465775776]}",20302000314.0,3020
"{'type': 'Point', 'coordinates': [-73.92822211448981, 40.61960430027564]}",20302000243.0,3020
"{'type': 'Point', 'coordinates': [-73.92821939904717, 40.61965126163981]}",20302000313.0,3020
"{'type': 'Point', 'coordinates': [-73.90375724804305, 40.69500452404599]}",5300017157.0,3000
"{'type': 'Point', 'coordinates': [-73.93057254596174, 40.61962064744198]}",20302000266.0,3020
"{'type': 'Point', 'coordinates': [-73.92839186500831, 40.61965361960122]}",20302000315.0,3020
"{'type': 'Point', 'coordinates': [-73.86726958256511, 40.6949682272147]}",5300017168.0,3000
"{'type': 'Point', 'coordinates': [-73.89976813653041, 40.69500111811907]}",5300017172.0,3000
"{'type': 'Point', 'coordinates': [-73.93034929636504, 40.61964628620095]}",20302000302.0,3020
"{'type': 'Point', 'coordinates': [-73.92572804646291, 40.61960735454239]}",20302000254.0,3020
"{'type': 'Point', 'coordinates': [-73.9197637785459, 40.695016795501644]}",19300087704.0,3000
"{'type': 'Point', 'coordinates': [-73.90221396482195, 40.695003222228294]}",5300017159.0,3000
"{'type': 'Point', 'coordinates': [-73.9311018111284, 40.619648633467826]}",20302000307.0,3020
"{'type': 'Point', 'coordinates': [-73.85313877116351, 40.653805773290195]}",4300002677.0,3000
"{'type': 'Point', 'coordinates': [-73.92475032606474, 40.619607459826284]}",20302000255.0,3020
"{'type': 'Point', 'coordinates': [-73.92849467839778, 40.61964501068289]}",20302000301.0,3020
"{'type': 'Point', 'coordinates': [-73.92865265777283, 40.619577866952525]}",20302000222.0,3020
"{'type': 'Point', 'coordinates': [-73.91475058562233, 40.61961277852526]}",20300000270.0,3000
"{'type': 'Point', 'coordinates': [-73.9196792967043, 40.61962060714112]}",20302000283.0,3020
"{'type': 'Point', 'coordinates': [-73.93781351752949, 40.61965210979947]}",20300000304.0,3000
"{'type': 'Point', 'coordinates': [-73.92988047572756, 40.61962931184375]}",20300000287.0,3000
"{'type': 'Point', 'coordinates': [-73.85311863017147, 40.66295390382435]}",4300023311.0,3000
"{'type': 'Point', 'coordinates': [-73.93253968250318, 40.61963282570821]}",20302000290.0,3020
"{'type': 'Point', 'coordinates': [-73.91689646551905, 40.61955088651338]}",20300000209.0,3000
"{'type': 'Point', 'coordinates': [-73.92615207151073, 40.61962195500114]}",20302000276.0,3020
"{'type': 'Point', 'coordinates': [-73.91855847479998, 40.619640376551686]}",20302000305.0,3020
"{'type': 'Point', 'coordinates': [-73.91167670985185, 40.695010873314374]}",19300087710.0,3000
"{'type': 'Point', 'coordinates': [-73.94321771343274, 40.67729563845298]}",19300136703.0,3000
"{'type': 'Point', 'coordinates': [-73.92249840358407, 40.69501866950908]}",19300087701.0,3000
"{'type': 'Point', 'coordinates': [-73.91326001796376, 40.619614680242435]}",20302000280.0,3020
"{'type': 'Point', 'coordinates': [-73.91547296795102, 40.69501372409423]}",19300087708.0,3000
"{'type': 'Point', 'coordinates': [-73.90383382983599, 40.61959312782365]}",20302000257.0,3020
"{'type': 'Point', 'coordinates': [-73.91900712448087, 40.61963569833196]}",20302000298.0,3020
"{'type': 'Point', 'coordinates': [-73.94014086494708, 40.61962276173792]}",20302000263.0,3020
"{'type': 'Point', 'coordinates': [-73.91071354941012, 40.619605923590676]}",20302000264.0,3020
"{'type': 'Point', 'coordinates': [-73.94195178017627, 40.61963431297097]}",20302000285.0,3020
"{'type': 'Point', 'coordinates': [-73.85310858610372, 40.667515024138595]}",4300010873.0,3000
"{'type': 'Point', 'coordinates': [-73.93788860456802, 40.61959933935604]}",20300000233.0,3000
"{'type': 'Point', 'coordinates': [-73.94321356158169, 40.652619660484724]}",20302000145.0,3020
"{'type': 'Point', 'coordinates': [-73.92911499571387, 40.61961366500585]}",20302000260.0,3020
"{'type': 'Point', 'coordinates': [-73.9432036493269, 40.693811164725]}",19300136720.0,3000
"{'type': 'Point', 'coordinates': [-73.90961940826234, 40.695009276076014]}",19300087712.0,3000
"{'type': 'Point', 'coordinates': [-73.94321980918922, 40.674835477637956]}",19300136739.0,3000
"{'type': 'Point', 'coordinates': [-73.85312350497581, 40.660740513529205]}",4300006571.0,3000
"{'type': 'Point', 'coordinates': [-73.89567325977629, 40.69499747989868]}",5300017163.0,3000
"{'type': 'Point', 'coordinates': [-73.91864636223491, 40.61964436415227]}",20302000312.0,3020
"{'type': 'Point', 'coordinates': [-73.90844918860081, 40.695008351137524]}",19300087713.0,3000
"{'type': 'Point', 'coordinates': [-73.86436124805854, 40.69496483541223]}",5300017170.0,3000
"{'type': 'Point', 'coordinates': [-73.9273506102364, 40.695021834738164]}",19300127991.0,3000
"{'type': 'Point', 'coordinates': [-73.91196119644722, 40.695011091288436]}",19300087709.0,3000
"{'type': 'Point', 'coordinates': [-73.9320951992443, 40.61957983672226]}",20302000221.0,3020
"{'type': 'Point', 'coordinates': [-73.9415053798575, 40.61963103482839]}",20300000277.0,3000
"{'type': 'Point', 'coordinates': [-73.94319216580936, 40.638491521404816]}",20300000148.0,3000
"{'type': 'Point', 'coordinates': [-73.9213891944342, 40.619640618117906]}",20302000303.0,3020
"{'type': 'Point', 'coordinates': [-73.94321837926371, 40.6765150022521]}",19300136705.0,3000
"{'type': 'Point', 'coordinates': [-73.94322048181746, 40.67404541011274]}",19300136838.0,3000
"{'type': 'Point', 'coordinates': [-73.91143656894309, 40.619606674690324]}",20302000265.0,3020
"{'type': 'Point', 'coordinates': [-73.91872291798965, 40.61963530593329]}",20302000296.0,3020
"{'type': 'Point', 'coordinates': [-73.85309793550374, 40.67235089328899]}",4300017845.0,3000
"{'type': 'Point', 'coordinates': [-73.91691576467409, 40.61956852095572]}",20300000218.0,3000
"{'type': 'Point', 'coordinates': [-73.92520340491374, 40.61957070088203]}",20302000214.0,3020
"{'type': 'Point', 'coordinates': [-73.85313578068859, 40.655164756986835]}",4300003349.0,3000
"{'type': 'Point', 'coordinates': [-73.94321003120652, 40.68631855051778]}",19300136723.0,3000
"{'type': 'Point', 'coordinates': [-73.91041694814439, 40.619544105311405]}",20300000052.0,3000
"{'type': 'Point', 'coordinates': [-73.91849967411798, 40.61965246669666]}",20302000321.0,3020
"{'type': 'Point', 'coordinates': [-73.89492080509432, 40.694996795345396]}",5300017173.0,3000
"{'type': 'Point', 'coordinates': [-73.85309722431055, 40.672674320058825]}",4300023664.0,3000
"{'type': 'Point', 'coordinates': [-73.94154568460016, 40.61958952871876]}",20300000227.0,3000
"{'type': 'Point', 'coordinates': [-73.89955264912054, 40.61951941880788]}",2300031473.0,3000
"{'type': 'Point', 'coordinates': [-73.94321904568446, 40.675730876482014]}",19300136668.0,3000
"{'type': 'Point', 'coordinates': [-73.91281393265947, 40.619614699394425]}",20302000281.0,3020
"{'type': 'Point', 'coordinates': [-73.9219381258219, 40.619574540945486]}",20302000224.0,3020
"{'type': 'Point', 'coordinates': [-73.94316248079284, 40.63826049933036]}",20300000147.0,3000
"{'type': 'Point', 'coordinates': [-73.9189418381584, 40.61964879992099]}",20302000317.0,3020
"{'type': 'Point', 'coordinates': [-73.9223818679258, 40.619638026456975]}",20302000297.0,3020
"{'type': 'Point', 'coordinates': [-73.92261776775459, 40.61963920127943]}",20302000299.0,3020
"{'type': 'Point', 'coordinates': [-73.92717813737957, 40.69502172573589]}",19300087698.0,3000
"{'type': 'Point', 'coordinates': [-73.93022016129721, 40.619602744252724]}",20302000239.0,3020
"{'type': 'Point', 'coordinates': [-73.85312733025275, 40.6590031332758]}",4300005458.0,3000
"{'type': 'Point', 'coordinates': [-73.94102447223575, 40.61961860957689]}",20300000259.0,3000
"{'type': 'Point', 'coordinates': [-73.924295610488, 40.61959475480085]}",20302000237.0,3020
"{'type': 'Point', 'coordinates': [-73.90610864289484, 40.69500646547733]}",5300017156.0,3000
"{'type': 'Point', 'coordinates': [-73.853103924075, 40.669631889254084]}",4300013696.0,3000
"{'type': 'Point', 'coordinates': [-73.85311210098385, 40.66591948712251]}",4300024085.0,3000
"{'type': 'Point', 'coordinates': [-73.91078842116585, 40.695010188180284]}",19300087711.0,3000
"{'type': 'Point', 'coordinates': [-73.92869301893482, 40.61963813413444]}",20302000292.0,3020
"{'type': 'Point', 'coordinates': [-73.85309459351436, 40.67386816723523]}",4300020622.0,3000
"{'type': 'Point', 'coordinates': [-73.85312589664038, 40.659654267967774]}",4300005897.0,3000
"{'type': 'Point', 'coordinates': [-73.94322015891456, 40.67442469343135]}",19300136840.0,3000
"{'type': 'Point', 'coordinates': [-73.94310515474594, 40.61965846701753]}",20302000311.0,3020
"{'type': 'Point', 'coordinates': [-73.94203943573372, 40.619615665091686]}",20302000251.0,3020
"{'type': 'Point', 'coordinates': [-73.91989609392922, 40.61960209331661]}",20302000250.0,3020
"{'type': 'Point', 'coordinates': [-73.92982400217859, 40.69502336948235]}",19300087695.0,3000
"{'type': 'Point', 'coordinates': [-73.93918940445613, 40.61959111786054]}",20302000228.0,3020
"{'type': 'Point', 'coordinates': [-73.9313561405887, 40.61959408168025]}",20302000231.0,3020
"{'type': 'Point', 'coordinates': [-73.91248478520171, 40.61960429321623]}",20302000261.0,3020
"{'type': 'Point', 'coordinates': [-73.8758659180843, 40.69497781934036]}",5300017167.0,3000
"{'type': 'Point', 'coordinates': [-73.91287699330118, 40.61959643961296]}",20302000247.0,3020
"{'type': 'Point', 'coordinates': [-73.9432042853433, 40.69306175089345]}",19300136721.0,3000
"{'type': 'Point', 'coordinates': [-73.91299762443602, 40.61959938562387]}",20302000256.0,3020
"{'type': 'Point', 'coordinates': [-73.86678508294865, 40.6949676674261]}",5300017169.0,3000
"{'type': 'Point', 'coordinates': [-73.89355118991288, 40.69499553579667]}",5300041173.0,3000
"{'type': 'Point', 'coordinates': [-73.8530944236615, 40.67394527912735]}",4300020745.0,3000
"{'type': 'Point', 'coordinates': [-73.9159356731005, 40.61963132666971]}",20300000294.0,3000
"{'type': 'Point', 'coordinates': [-73.93352206189539, 40.6195578848306]}",20300000206.0,3000
"{'type': 'Point', 'coordinates': [-73.91269412613188, 40.619615569324225]}",20302000284.0,3020
"{'type': 'Point', 'coordinates': [-73.91726440672701, 40.61954806042351]}",20300000208.0,3000
"{'type': 'Point', 'coordinates': [-73.85307944756109, 40.68074414693625]}",5300004067.0,3000
"{'type': 'Point', 'coordinates': [-73.8530911737757, 40.67542120480254]}",5300000705.0,3000
"{'type': 'Point', 'coordinates': [-73.92383614925868, 40.61960565018521]}",20302000253.0,3020
"{'type': 'Point', 'coordinates': [-73.85310136501214, 40.6707943503509]}",4300015341.0,3000
"{'type': 'Point', 'coordinates': [-73.9243062799225, 40.61961957477749]}",20302000271.0,3020
"{'type': 'Point', 'coordinates': [-73.9227753205422, 40.61961185935091]}",20302000262.0,3020
"{'type': 'Point', 'coordinates': [-73.91571690005611, 40.61958607109531]}",20300000234.0,3000
"{'type': 'Point', 'coordinates': [-73.94324191621585, 40.63803910817375]}",20300000146.0,3000
"{'type': 'Point', 'coordinates': [-73.93203224487385, 40.619640514428944]}",20302000293.0,3020
"{'type': 'Point', 'coordinates': [-73.92330770475931, 40.61961819881657]}",20302000268.0,3020
"{'type': 'Point', 'coordinates': [-73.93355546402036, 40.61955790594266]}",20300000207.0,3000
"{'type': 'Point', 'coordinates': [-73.85311681235666, 40.66377997673219]}",4300023313.0,3000
"{'type': 'Point', 'coordinates': [-73.85308114118078, 40.67997540597335]}",5300003661.0,3000
"{'type': 'Point', 'coordinates': [-73.91957439945543, 40.61962369012736]}",20302000289.0,3020
"{'type': 'Point', 'coordinates': [-73.91664423960047, 40.695014578376814]}",19300087706.0,3000
"{'type': 'Point', 'coordinates': [-73.93060464919516, 40.61957760122098]}",20302000219.0,3020
"{'type': 'Point', 'coordinates': [-73.90353571610491, 40.61955602693216]}",20300000216.0,3000
"{'type': 'Point', 'coordinates': [-73.90108802983102, 40.6950022600598]}",5300017160.0,3000
"{'type': 'Point', 'coordinates': [-73.89842725459621, 40.69499994341978]}",5300017162.0,3000
"{'type': 'Point', 'coordinates': [-73.85313039504064, 40.657611089556646]}",4300004611.0,3000
"{'type': 'Point', 'coordinates': [-73.91978945311331, 40.6196173629335]}",20302000275.0,3020
"{'type': 'Point', 'coordinates': [-73.94236040884613, 40.61958607327178]}",20302000223.0,3020
"{'type': 'Point', 'coordinates': [-73.91879521343714, 40.61963395671476]}",20302000295.0,3020
"{'type': 'Point', 'coordinates': [-73.91736580149656, 40.61954086885116]}",20300000204.0,3000
"{'type': 'Point', 'coordinates': [-73.91709011146267, 40.619558503363294]}",20300000211.0,3000
"{'type': 'Point', 'coordinates': [-73.91572204592289, 40.69501390676047]}",19300087707.0,3000
"{'type': 'Point', 'coordinates': [-73.90302686444463, 40.69500391004497]}",5300017158.0,3000
"{'type': 'Point', 'coordinates': [-73.91887094446557, 40.619651961168465]}",20302000320.0,3020
"{'type': 'Point', 'coordinates': [-73.90127545309443, 40.61960265154539]}",20302000274.0,3020
"{'type': 'Point', 'coordinates': [-73.9194629981999, 40.61964293551263]}",20302000309.0,3020
"{'type': 'Point', 'coordinates': [-73.86343221019402, 40.69496373763518]}",5300017171.0,3000
"{'type': 'Point', 'coordinates': [-73.90344973142156, 40.61955595474766]}",20300000217.0,3000
"{'type': 'Point', 'coordinates': [-73.91312817561747, 40.69501197807084]}",19300136722.0,3000
"{'type': 'Point', 'coordinates': [-73.92860335710026, 40.695022618713274]}",19300087696.0,3000
"{'type': 'Point', 'coordinates': [-73.91827988228502, 40.61961932188162]}",20300000282.0,3000
"{'type': 'Point', 'coordinates': [-73.90504511928103, 40.61958749248681]}",20302000244.0,3020
"{'type': 'Point', 'coordinates': [-73.94034997201862, 40.61961795719013]}",20302000258.0,3020
"{'type': 'Point', 'coordinates': [-73.91650524779905, 40.61959427199392]}",20300000241.0,3000
"{'type': 'Point', 'coordinates': [-73.91726323394025, 40.619540795977876]}",20300000205.0,3000
"{'type': 'Point', 'coordinates': [-73.85312484641838, 40.66013126188181]}",4300006214.0,3000
"{'type': 'Point', 'coordinates': [-73.9073303249889, 40.695007455663735]}",19300087714.0,3000
"{'type': 'Point', 'coordinates': [-73.89709864410793, 40.69499876226962]}",5300017174.0,3000
"{'type': 'Point', 'coordinates': [-73.94208716728467, 40.61961140717168]}",20302000242.0,3020
"{'type': 'Point', 'coordinates': [-73.92449996575287, 40.619620003821026]}",20302000273.0,3020
"{'type': 'Point', 'coordinates': [-73.9029896873518, 40.61960949064634]}",20302000286.0,3020
"{'type': 'Point', 'coordinates': [-73.91907580210079, 40.61961807037375]}",20302000279.0,3020
"{'type': 'Point', 'coordinates': [-73.87602064736615, 40.69497798612687]}",5300017166.0,3000
"{'type': 'Point', 'coordinates': [-73.85309965218073, 40.6715714894591]}",4300016546.0,3000
"{'type': 'Point', 'coordinates': [-73.85308972171542, 40.676080392420744]}",5300040716.0,3000
"{'type': 'Point', 'coordinates': [-73.92809812237206, 40.695022304175694]}",19300087697.0,3000
"{'type': 'Point', 'coordinates': [-73.93435556970033, 40.61960480907003]}",20302000238.0,3020
"{'type': 'Point', 'coordinates': [-73.93353705570979, 40.61957169578185]}",20300000213.0,3000
"{'type': 'Point', 'coordinates': [-73.9213273104422, 40.695017874927196]}",19300087702.0,3000
"{'type': 'Point', 'coordinates': [-73.92600769248358, 40.695020979189835]}",19300087699.0,3000
"{'type': 'Point', 'coordinates': [-73.89425516356589, 40.69499618476981]}",5300041136.0,3000
"{'type': 'Point', 'coordinates': [-73.92015476917987, 40.69501706742409]}",19300087703.0,3000
"{'type': 'Point', 'coordinates': [-73.93110338493209, 40.6195894296732]}",20302000229.0,3020
"{'type': 'Point', 'coordinates': [-73.85307911254247, 40.68089621116088]}",5300004142.0,3000
"{'type': 'Point', 'coordinates': [-73.93154644535659, 40.61962438871886]}",20302000272.0,3020
"{'type': 'Point', 'coordinates': [-73.9157762504205, 40.61963977843552]}",20300000308.0,3000
"{'type': 'Point', 'coordinates': [-73.85313114135936, 40.657272098605446]}",4300004431.0,3000
"{'type': 'Point', 'coordinates': [-73.92962332546483, 40.61964771083594]}",20302000306.0,3020
"{'type': 'Point', 'coordinates': [-73.93946545783093, 40.619635610599204]}",20302000288.0,3020
"{'type': 'Point', 'coordinates': [-73.92849789516139, 40.61960205604107]}",20302000240.0,3020
