shape_leng,the_geom
1099.13852813,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13513182128254, 40.61980539254182], [-74.1352545044136, 40.61935093473047], [-74.13659442602838, 40.61956353994292], [-74.13647268979503, 40.620020167560966], [-74.13513182128254, 40.61980539254182]]]]}"
1076.67046192,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.1206434158707, 40.57490815363257], [-74.12125713856922, 40.575254894031374], [-74.1211208026449, 40.575306845571696], [-74.11978567494472, 40.575815556490234], [-74.1206434158707, 40.57490815363257]]]]}"
2457.60015019,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.18083755625177, 40.54673239030799], [-74.18239555353276, 40.544916382559165], [-74.18309493373553, 40.54410114245359], [-74.1830443706119, 40.54432375361591], [-74.18206740948489, 40.54604483954891], [-74.18128533048349, 40.54695757341461], [-74.18093555254278, 40.546781431881975], [-74.18083755625177, 40.54673239030799]]]]}"
1522.79283445,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13702264022545, 40.554327231397096], [-74.13776137960532, 40.55388186478319], [-74.13899496328713, 40.554893030839914], [-74.13822904433172, 40.5553223446269], [-74.13702264022545, 40.554327231397096]]]]}"
1304.51659551,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.08634214941016, 40.61072603972042], [-74.08720823351663, 40.609878958258534], [-74.08794593053334, 40.610318705923675], [-74.08708799689826, 40.611168831239276], [-74.08634214941016, 40.61072603972042]]]]}"
1368.87159074,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.14307456258697, 40.624846409908336], [-74.14321181623161, 40.62374014673461], [-74.14415932246771, 40.62381329210245], [-74.14402437789693, 40.6249911981135], [-74.14307456258697, 40.624846409908336]]]]}"
1647.70727187,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07503045366127, 40.62560289521144], [-74.07598270880126, 40.625509543641044], [-74.07741291296689, 40.62528823222638], [-74.07749670025916, 40.625799608266306], [-74.07524403910642, 40.62600632452716], [-74.07503045366127, 40.62560289521144]]]]}"
1419.18988403,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.12329206152012, 40.5680758638436], [-74.12309281139872, 40.567966366957094], [-74.12368195749251, 40.56738253538173], [-74.12425898670462, 40.56682259640076], [-74.12439447975943, 40.56691895061091], [-74.12481644938254, 40.56712760341767], [-74.12359663185327, 40.568239981272875], [-74.12329206152012, 40.5680758638436]]]]}"
2319.60778581,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.09958793333587, 40.63488274551913], [-74.09947657590745, 40.63411649065443], [-74.10046376905801, 40.63429222447636], [-74.10214145638403, 40.634593861688295], [-74.10252681794476, 40.63466213795417], [-74.1026898303855, 40.63543451230305], [-74.09958793333587, 40.63488274551913]]]]}"
1340.9397094,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.1025574430659, 40.582142366348165], [-74.10349525567204, 40.581339445868586], [-74.10427916617704, 40.581750556502634], [-74.10325409896262, 40.582617633136174], [-74.1025574430659, 40.582142366348165]]]]}"
1534.71606072,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.11990214460471, 40.54907326834817], [-74.11868360532812, 40.54965846606016], [-74.11852116853206, 40.54948167970299], [-74.117848014197, 40.54982152149139], [-74.11775187524965, 40.549607695463195], [-74.11961085291317, 40.54874485886948], [-74.11990214460471, 40.54907326834817]]]]}"
2279.88976522,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.24607932224798, 40.506657628294576], [-74.2469643901928, 40.50648031210689], [-74.24775189420903, 40.50880184511756], [-74.24690264949682, 40.50904526081535], [-74.24607932224798, 40.506657628294576]]]]}"
2448.91720568,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.10016770151762, 40.624693604314764], [-74.10247614419859, 40.62448635104396], [-74.10250095902893, 40.62462960979957], [-74.10261385909644, 40.62529504884255], [-74.10272724110976, 40.6260114376682], [-74.10230954384107, 40.62611924132925], [-74.10045464128542, 40.62632803358729], [-74.1003779029709, 40.625906134429655], [-74.10030339455496, 40.625496417292744], [-74.10023772441117, 40.62510791795128], [-74.10016770151762, 40.624693604314764]]]]}"
1644.29324239,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07708937543251, 40.59985429287642], [-74.07728386723453, 40.599601205376935], [-74.07772134719995, 40.599199816763836], [-74.07781982477347, 40.5992048746729], [-74.07940340551804, 40.59928624362225], [-74.07934329840025, 40.59997554520983], [-74.07716697765414, 40.59985846387163], [-74.07708937543251, 40.59985429287642]]]]}"
2986.69888975,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.1046693154811, 40.56787712745864], [-74.10639098792997, 40.565949149505464], [-74.10716807866905, 40.565096314104885], [-74.10798331657492, 40.56546529707356], [-74.10547294557233, 40.56825534266634], [-74.1046693154811, 40.56787712745864]]]]}"
1233.68215216,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.09940090442285, 40.57918675553434], [-74.09979812202832, 40.57875814810735], [-74.09996168745869, 40.57858411539248], [-74.1010523545953, 40.57916901570697], [-74.1003908349469, 40.579688666106854], [-74.09940090442285, 40.57918675553434]]]]}"
1540.87550419,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.06589403843647, 40.59682603642135], [-74.06633409947847, 40.59664153643468], [-74.0666138432859, 40.59652552211636], [-74.06739691456526, 40.597733999026666], [-74.06661979807635, 40.59799466792055], [-74.06626556047135, 40.59810953558722], [-74.0661509682034, 40.59779260918652], [-74.06605072869831, 40.59747267497067], [-74.0659650418771, 40.59715029207469], [-74.06589403843647, 40.59682603642135]]]]}"
2030.04017007,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.08707138402035, 40.58304889856064], [-74.08768867990823, 40.58234269734813], [-74.08978365994507, 40.583391585767814], [-74.08912148061724, 40.58414256119299], [-74.08707138402035, 40.58304889856064]]]]}"
2895.01743439,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.1484794634518, 40.60813557481291], [-74.1485111880895, 40.60808166496536], [-74.14856140119136, 40.608032052629916], [-74.14862797796266, 40.607992065447085], [-74.14870547910961, 40.60796588575739], [-74.14878648811651, 40.60795522657718], [-74.14886385491263, 40.6079590432335], [-74.1495265397566, 40.60806579561034], [-74.15163285894545, 40.60840174106293], [-74.15280088405488, 40.60816706635653], [-74.15308050703644, 40.6089139938491], [-74.15288082096774, 40.608952612765634], [-74.15210476639979, 40.60910269749848], [-74.1511679823653, 40.60894902461709], [-74.1505383559754, 40.60884574127476], [-74.15017486228282, 40.608768051488546], [-74.14981687170061, 40.60867339657357], [-74.14946644438504, 40.60856216089462], [-74.14912551714804, 40.60843492836002], [-74.1487959479416, 40.60829242389315], [-74.1484794634518, 40.60813557481291]]]]}"
2442.04172715,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.18042962020573, 40.54653105312558], [-74.18121934117525, 40.545660843926974], [-74.18283593653204, 40.544211734818674], [-74.18309493373553, 40.54410114245359], [-74.18239555353276, 40.544916382559165], [-74.18083755625177, 40.54673239030799], [-74.18073102660074, 40.54667981529732], [-74.18042962020573, 40.54653105312558]]]]}"
1793.98664534,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.10474881613386, 40.62580546530167], [-74.10458829388395, 40.62509875658217], [-74.1044526183966, 40.62452081783799], [-74.10544805701346, 40.624401625550085], [-74.10579030938203, 40.626096612901904], [-74.10484411667443, 40.62620674932324], [-74.10474881613386, 40.62580546530167]]]]}"
1915.13082389,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.12742084451052, 40.5620380138964], [-74.12649352939555, 40.561448509562695], [-74.12709435274145, 40.56089814698153], [-74.12903036353701, 40.56215068219478], [-74.12840180351488, 40.562668189856986], [-74.12742084451052, 40.5620380138964]]]]}"
1214.21684153,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.11691099713467, 40.56116177797744], [-74.11769464232988, 40.56042407697116], [-74.1184285824991, 40.560863859490624], [-74.1176073003819, 40.56160997850747], [-74.11745041415506, 40.56148351660876], [-74.11728113455854, 40.56136600922566], [-74.11710080882285, 40.56125848021296], [-74.11691099713467, 40.56116177797744]]]]}"
1747.14394231,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.08759775180202, 40.636262023956306], [-74.0869059282791, 40.635857243633836], [-74.08819936884713, 40.63520169804515], [-74.08910236349975, 40.636247026505124], [-74.08891735147486, 40.636528384221144], [-74.08870582339826, 40.6368452067808], [-74.08759775180202, 40.636262023956306]]]]}"
913.701909719,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.18176159395924, 40.557238770303066], [-74.18236245039097, 40.55657764997247], [-74.18251903985035, 40.55662789481595], [-74.18266987258163, 40.556688593270565], [-74.18281317453204, 40.55675910185146], [-74.18294736412372, 40.556838566189256], [-74.18248137994533, 40.55732543062531], [-74.18237896336544, 40.557272398796975], [-74.18226255697792, 40.55723241220367], [-74.1821367594571, 40.55720833380425], [-74.18200734903557, 40.557201684631316], [-74.18188045452581, 40.55721238678213], [-74.18176159395924, 40.557238770303066]]]]}"
1167.69365557,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.1858772482534, 40.533541012401976], [-74.18698230495822, 40.53314574093432], [-74.18704487401796, 40.53316371253949], [-74.18710249089618, 40.533191723405096], [-74.18715120789265, 40.533228268681256], [-74.18718822170514, 40.53327074919085], [-74.18743892509126, 40.533704999379275], [-74.18629803448286, 40.53409419153122], [-74.1858772482534, 40.533541012401976]]]]}"
1412.64032124,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13498311899484, 40.601509618543126], [-74.13445436504496, 40.6011294973392], [-74.13589267117649, 40.60099654539856], [-74.13585840629831, 40.602232022106165], [-74.13498311899484, 40.601509618543126]]]]}"
1978.24389924,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07643744511992, 40.6010016065559], [-74.07670361147665, 40.6005132838426], [-74.07677927736644, 40.6005176091788], [-74.07928199146643, 40.60066055243282], [-74.07921937119698, 40.60138510105423], [-74.07732843663794, 40.601330115714816], [-74.07713785847889, 40.60129325920879], [-74.07695170587543, 40.6012415226648], [-74.0767729446217, 40.601175471711905], [-74.07660434166984, 40.601096140540534], [-74.07650053907902, 40.60103545137257], [-74.07643744511992, 40.6010016065559]]]]}"
2651.20559436,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.09996168745869, 40.57858411539248], [-74.09847158561863, 40.577768806413964], [-74.09798519314884, 40.5775031435737], [-74.0984744831659, 40.5769061913329], [-74.10051992505039, 40.57798410424303], [-74.10167004284139, 40.57862378833819], [-74.1010523545953, 40.57916901570697], [-74.09996168745869, 40.57858411539248]]]]}"
1345.88642116,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07061992438017, 40.610855067054196], [-74.07163619721098, 40.61033165901692], [-74.071763955363, 40.61026638104753], [-74.07233956317954, 40.6109330549306], [-74.07144212294138, 40.61138830687759], [-74.07119033272556, 40.61151669716845], [-74.07061992438017, 40.610855067054196]]]]}"
596.37268718,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.1550848326242, 40.58197367002688], [-74.15529394507078, 40.5817067773048], [-74.15585346919511, 40.58198624573649], [-74.15559230322762, 40.58225728815173], [-74.1550848326242, 40.58197367002688]]]]}"
1253.22623219,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.06820717202032, 40.61864699590925], [-74.06914818030472, 40.61818706904022], [-74.0697395004477, 40.618989823478906], [-74.06924452477429, 40.6194128630215], [-74.06820717202032, 40.61864699590925]]]]}"
1741.58649289,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07924715811701, 40.640185088550474], [-74.08016921641313, 40.64005656653474], [-74.08055489346589, 40.641691503773515], [-74.07965266950632, 40.64185535155284], [-74.07924715811701, 40.640185088550474]]]]}"
1932.70904205,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07970808073556, 40.63815565746189], [-74.08063227876043, 40.63802263691795], [-74.08110049694088, 40.63992282533914], [-74.08016921641313, 40.64005656653474], [-74.07970808073556, 40.63815565746189]]]]}"
1486.8888446,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.08148413852007, 40.64341663954046], [-74.0813896223428, 40.643310562289564], [-74.08131254242994, 40.643194828019524], [-74.08125524485547, 40.64307205525238], [-74.08121910422496, 40.642945233764486], [-74.08120449066524, 40.642817514357006], [-74.0811960899517, 40.642724092179385], [-74.08117183629973, 40.642631490856274], [-74.0811321476206, 40.642542043251794], [-74.08107817243365, 40.64245790915495], [-74.08123176049328, 40.64239680063571], [-74.08139520999462, 40.64234763356417], [-74.08156605207375, 40.6423116721442], [-74.081741463065, 40.64228975448483], [-74.08191842787373, 40.64228227154677], [-74.08209393318779, 40.64228908960854], [-74.08226510458289, 40.64230963326254], [-74.08240396223856, 40.64246040763877], [-74.08252559621762, 40.642620819052176], [-74.08262838337174, 40.642789107161335], [-74.08271112933423, 40.642963297714786], [-74.08277309682748, 40.64314132163945], [-74.0816529044343, 40.64360350285843], [-74.08148413852007, 40.64341663954046]]]]}"
1556.87094711,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.11325147576541, 40.607023962080966], [-74.11395415154533, 40.6069942885272], [-74.11411336173808, 40.60817258088633], [-74.1125538715059, 40.608275148566435], [-74.11317177261434, 40.6071669084499], [-74.11325147576541, 40.607023962080966]]]]}"
1225.44966019,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.10142911603006, 40.577480353132344], [-74.10209398459641, 40.57677561681081], [-74.10297212432391, 40.5772538312391], [-74.10231607318909, 40.57794424617618], [-74.10142911603006, 40.577480353132344]]]]}"
2681.49640301,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.15610300495936, 40.593047475549646], [-74.15537259655407, 40.59259733896356], [-74.15620914382121, 40.59195032168545], [-74.15770781028688, 40.59044695619815], [-74.15853043557456, 40.5909077935146], [-74.1571003684329, 40.592423016912655], [-74.15636568707379, 40.593195128721696], [-74.15610300495936, 40.593047475549646]]]]}"
1028.02379299,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.14642123149967, 40.63271983600367], [-74.14659947234908, 40.63212929967086], [-74.14666005286493, 40.63195271136947], [-74.14751915129395, 40.63212965444026], [-74.14721750078493, 40.63283141116358], [-74.14642123149967, 40.63271983600367]]]]}"
1271.3503261,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.08424771686609, 40.60948336090341], [-74.0851043851308, 40.60862990902011], [-74.08580192180145, 40.60904672845604], [-74.08494203326822, 40.60989300206131], [-74.08424771686609, 40.60948336090341]]]]}"
980.842824615,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.08059428057037, 40.64384189711138], [-74.08148413852007, 40.64341663954046], [-74.0816529044343, 40.64360350285843], [-74.08194265521044, 40.64402808104197], [-74.08080887756903, 40.64411544995415], [-74.08059428057037, 40.64384189711138]]]]}"
1334.58840314,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.11829687331714, 40.57502258367198], [-74.11919255376958, 40.57409335991941], [-74.11991816176518, 40.57449990331045], [-74.11903631502999, 40.57541561948634], [-74.11829687331714, 40.57502258367198]]]]}"
3126.86608721,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.10547294557233, 40.56825534266634], [-74.10798331657492, 40.56546529707356], [-74.10889317186034, 40.56588461441238], [-74.10806374213371, 40.56693206168199], [-74.1076643147947, 40.56743645159367], [-74.10760317552227, 40.56751365717952], [-74.1066043932726, 40.56877826876891], [-74.10547294557233, 40.56825534266634]]]]}"
1317.93798824,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13283281162279, 40.6321212184507], [-74.13336893913322, 40.63155374676617], [-74.13450679360933, 40.63218619038372], [-74.13404301047247, 40.632794556205695], [-74.13283281162279, 40.6321212184507]]]]}"
1934.12065825,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.11666642606312, 40.631710102464936], [-74.11838716813968, 40.63157021194762], [-74.11900429789203, 40.63166177347328], [-74.11916660615528, 40.63239149190163], [-74.11810437851194, 40.63252138063947], [-74.11683619616018, 40.63267481833742], [-74.11666642606312, 40.631710102464936]]]]}"
2111.30300431,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.10686367243076, 40.613099345216895], [-74.10748855442296, 40.61251143270406], [-74.10799410611348, 40.61324834229875], [-74.10826014711392, 40.6136841242266], [-74.10885021001384, 40.614655238859], [-74.10794933059597, 40.6148552924733], [-74.10686367243076, 40.613099345216895]]]]}"
1557.41284969,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.22465262985907, 40.50682652019079], [-74.22378853760146, 40.50683203635441], [-74.22379750122344, 40.505280518632645], [-74.22457482341764, 40.505365676302645], [-74.22456039758987, 40.505658108299706], [-74.22456097943969, 40.50595107701039], [-74.2245765700015, 40.50624391683211], [-74.22460716347946, 40.50653595446341], [-74.22465262985907, 40.50682652019079]]]]}"
2268.92720281,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.15324977203213, 40.589704103051155], [-74.1538041959129, 40.58912881879499], [-74.15633896525385, 40.59056114913036], [-74.15577075066373, 40.59113039498725], [-74.15324977203213, 40.589704103051155]]]]}"
1325.94281567,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.11903631502999, 40.57541561948634], [-74.11991816176518, 40.57449990331045], [-74.1206434158707, 40.57490815363257], [-74.11978567494472, 40.575815556490234], [-74.11903631502999, 40.57541561948634]]]]}"
1713.75944563,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.10720961395482, 40.62419774026259], [-74.10803918493907, 40.62410409253639], [-74.10834670173756, 40.625804561609094], [-74.10750980154076, 40.62588767293531], [-74.10720961395482, 40.62419774026259]]]]}"
1634.84780491,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.15761278947232, 40.560728386175185], [-74.15853876139944, 40.56054573622326], [-74.15915791685175, 40.56193583351185], [-74.15825784169333, 40.562201977321855], [-74.15761278947232, 40.560728386175185]]]]}"
2750.64130161,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.09851032532674, 40.578730686713534], [-74.09741191138623, 40.578174432311855], [-74.09613172548333, 40.57752610682886], [-74.09647693979005, 40.577113133915255], [-74.09669267589092, 40.57686519921142], [-74.09798519314884, 40.5775031435737], [-74.09847158561863, 40.577768806413964], [-74.09996168745869, 40.57858411539248], [-74.09979812202832, 40.57875814810735], [-74.09940090442285, 40.57918675553434], [-74.09851032532674, 40.578730686713534]]]]}"
3666.15605019,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.17178294806926, 40.548586215509395], [-74.17376828032714, 40.54831332315774], [-74.17402231627042, 40.54760950858988], [-74.17399972452122, 40.54700790882025], [-74.17392753613143, 40.546917073706716], [-74.1738389822913, 40.54683381089721], [-74.1737363119297, 40.54676058148934], [-74.17362258812784, 40.54669928328781], [-74.17406616487706, 40.54613814944062], [-74.17508723105244, 40.54671390829063], [-74.17493625563881, 40.54784101480224], [-74.17475895066339, 40.54895049216326], [-74.17193919550922, 40.549289510802254], [-74.17178294806926, 40.548586215509395]]]]}"
1288.81078901,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.1355372413343, 40.61566979148972], [-74.1350967695766, 40.61558991112428], [-74.13518138728507, 40.615353893682205], [-74.13514558483294, 40.615256192447], [-74.13523623573647, 40.61493024176779], [-74.13530770102106, 40.61469504935622], [-74.1357341393683, 40.61483838657406], [-74.13643930547516, 40.61497371067075], [-74.13621653604659, 40.61578773180076], [-74.1355372413343, 40.61566979148972]]]]}"
3511.67329372,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07111070307944, 40.60972107063274], [-74.07071664702048, 40.609254132570854], [-74.07112056548081, 40.60905154462425], [-74.07188069621876, 40.60865000656164], [-74.07226933464085, 40.60844104913308], [-74.07260031052304, 40.608267148268204], [-74.07330423101872, 40.60788980582558], [-74.07401374935397, 40.607527782347596], [-74.07451392085083, 40.6072712785703], [-74.07547205697821, 40.60838806660307], [-74.0749037838234, 40.60867411006363], [-74.07461436174556, 40.60882138094497], [-74.0736036146541, 40.60935190891779], [-74.0734783913746, 40.6094094689219], [-74.071763955363, 40.61026638104753], [-74.07163619721098, 40.61033165901692], [-74.07111070307944, 40.60972107063274]]]]}"
1139.93663116,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.12784669144818, 40.6372774304585], [-74.12789770387272, 40.6364346222339], [-74.12812345947324, 40.63644040512399], [-74.1288467248667, 40.636436003966296], [-74.12886142552075, 40.63656824636373], [-74.12885649512525, 40.63670218604485], [-74.12883165551087, 40.63683527470472], [-74.12878738872878, 40.636964954130185], [-74.12872489343123, 40.63708883667853], [-74.12867047234676, 40.63734826480715], [-74.12784669144818, 40.6372774304585]]]]}"
1482.28801502,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07483966198158, 40.62522608889449], [-74.07439945580683, 40.62446347135896], [-74.075331629641, 40.62424617238164], [-74.07568162385489, 40.62491805524881], [-74.07598270880126, 40.625509543641044], [-74.07503045366127, 40.62560289521144], [-74.07483966198158, 40.62522608889449]]]]}"
749.09588553,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.06924452477429, 40.6194128630215], [-74.0697395004477, 40.618989823478906], [-74.07014459593987, 40.619465979179644], [-74.0697596853967, 40.6197471401967], [-74.06924452477429, 40.6194128630215]]]]}"
1866.58473471,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.14168750188584, 40.57158903124217], [-74.14403879784633, 40.57129949689121], [-74.14418588207513, 40.5720374100049], [-74.14184764649323, 40.57233261396772], [-74.14168750188584, 40.57158903124217]]]]}"
2004.36086309,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13281520135018, 40.58220807998363], [-74.13236870162869, 40.58011781998149], [-74.13325548503697, 40.579961022105415], [-74.13363688282638, 40.58189111506376], [-74.13361013113838, 40.58193271463138], [-74.13356963240443, 40.581969178639405], [-74.1335185328868, 40.58199684859095], [-74.13346189611289, 40.58201364624868], [-74.13330045188546, 40.58206899045398], [-74.13323983888031, 40.582117806352144], [-74.13316646696163, 40.582158982243804], [-74.13308311716722, 40.58218981346825], [-74.13299376614243, 40.582208486081], [-74.13290298397732, 40.58221436353014], [-74.13281520135018, 40.58220807998363]]]]}"
1257.09132734,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.1251559979818, 40.629217998037554], [-74.12496281715059, 40.62899024166289], [-74.1261730559242, 40.62883762312768], [-74.12634242376666, 40.62965236377425], [-74.12567826667775, 40.62994967846214], [-74.1251559979818, 40.629217998037554]]]]}"
1236.82282986,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.18565674543628, 40.55409591170383], [-74.18575549198036, 40.55398043025968], [-74.1863626336989, 40.55327825943635], [-74.18670771474456, 40.553488520980046], [-74.18653545127421, 40.5537300707342], [-74.18692151286666, 40.55406616000094], [-74.18609308346176, 40.55454879270026], [-74.18565674543628, 40.55409591170383]]]]}"
1126.37121773,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13647268979503, 40.620020167560966], [-74.13659442602838, 40.61956353994292], [-74.13673684176062, 40.619037771972295], [-74.13743544224623, 40.61914708151275], [-74.13717097889045, 40.620128930086274], [-74.13647268979503, 40.620020167560966]]]]}"
1843.84434692,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.11567482068803, 40.60613313830909], [-74.11807482514904, 40.605936850761694], [-74.1181404092349, 40.60661589474842], [-74.11579141471623, 40.60686116535629], [-74.11567482068803, 40.60613313830909]]]]}"
631.565195543,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.12982988797023, 40.59867157736132], [-74.12997979215308, 40.59868618483808], [-74.13013262559916, 40.5986885519566], [-74.13028581230103, 40.59867832797114], [-74.13043664757777, 40.59865556336077], [-74.13058254326923, 40.59862077254264], [-74.13072114144943, 40.59857485969283], [-74.13080319465527, 40.59884208637055], [-74.12982988797023, 40.59867157736132]]]]}"
1359.62090733,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07772134719995, 40.599199816763836], [-74.07838407621333, 40.5986004114882], [-74.07844759580736, 40.59848561414312], [-74.07859373737996, 40.598495942315104], [-74.07948548186596, 40.598543759351784], [-74.07947994199473, 40.598593842025636], [-74.07940340551804, 40.59928624362225], [-74.07781982477347, 40.5992048746729], [-74.07772134719995, 40.599199816763836]]]]}"
