bctcb2010,shape_area,boroname
50208011002,14341.3977033,Staten Island
50146051001,141138.044544,Staten Island
50176001001,254756.415792,Staten Island
50170121003,125148.598003,Staten Island
50169011001,224290.427455,Staten Island
50181001002,9380.00793508,Staten Island
50096021004,99106.607068,Staten Island
50128041003,223815.328127,Staten Island
50146051002,122114.379232,Staten Island
50081001004,229494.574092,Staten Island
50009001000,244589.571777,Staten Island
50132011003,137370.552848,Staten Island
50114021000,183061.337294,Staten Island
50096011001,30542.0927155,Staten Island
50074001001,145503.149937,Staten Island
50213001000,210828.916863,Staten Island
50133021001,214008.287457,Staten Island
50067001003,234729.211352,Staten Island
50273021002,120353.317718,Staten Island
50244011000,229143.562255,Staten Island
50121001002,351026.977948,Staten Island
50170051002,411733.146776,Staten Island
50003001003,115178.857464,Staten Island
50277041001,235931.234893,Staten Island
50020011001,90731.1458939,Staten Island
50251001002,98015.989508,Staten Island
50036001003,66609.9720249,Staten Island
50213001001,195859.722495,Staten Island
50138001002,123747.053431,Staten Island
50197001003,83807.320252,Staten Island
50170091001,113324.408715,Staten Island
50059001004,60018.9328484,Staten Island
50187011002,238454.286882,Staten Island
50121001004,156313.747867,Staten Island
50096021003,154054.813816,Staten Island
50081001003,237906.251506,Staten Island
50170071002,61555.7570984,Staten Island
50122001001,108587.98559,Staten Island
50114011002,172181.617501,Staten Island
50125001001,496338.355387,Staten Island
50170111000,153304.829434,Staten Island
50040001003,99453.7083265,Staten Island
50021001001,117515.765931,Staten Island
50156021002,125743.854976,Staten Island
50303011001,206118.07658,Staten Island
