pjct_name,the_geom,y
E Fordham Rd & Elm Pl - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.89372490774474, 40.861944193146854]]}",253324.948124066
Rockaway Point Blvd at B 169 St,"{'type': 'MultiPoint', 'coordinates': [[-73.88280654514486, 40.56766844718611], [-73.88276986194961, 40.567597421306225], [-73.8827568026347, 40.567569860893514], [-73.88272796073458, 40.56751889771236]]}",146086.111585099
2nd Ave Concrete follow up,"{'type': 'MultiPoint', 'coordinates': [[-73.99099489093685, 40.72400907472583], [-73.98311380691572, 40.73483804703573], [-73.982701057689, 40.735431846402655], [-73.9822671696544, 40.73601973726028], [-73.98184099885964, 40.73660267756259], [-73.97539303553368, 40.745442758576054], [-73.97493633172772, 40.74607779637226], [-73.97314594484534, 40.7485397176226]]}",208285.428746255
Grand Ave & Macombs Rd - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.91685922528168, 40.84645608185136]]}",247675.120512977
Flatbush Ave and Ave H,"{'type': 'MultiPoint', 'coordinates': [[-73.94647961835958, 40.63170816197684]]}",169429.232713729
90 St & 31 Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.8785962844416, 40.760013489076336]]}",216193.432164147
Fountain Ave Green Wave Concrete Islands,"{'type': 'MultiPoint', 'coordinates': [[-73.87379547269734, 40.66933097604349], [-73.87182050927116, 40.66670665927747]]}",182679.284953721
DeKalb Ave and Willoughby Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.97798584061835, 40.694256304437666], [-73.97754496679094, 40.691896388264034], [-73.97354018566924, 40.69170760909841], [-73.96753122823033, 40.69164378215338], [-73.96468309701977, 40.69198111303763], [-73.964267894114, 40.68988925480743], [-73.96189910438608, 40.692300671684556]]}",191375.313024704
Riverside Dr and W95th St,"{'type': 'MultiPoint', 'coordinates': [[-73.97592984745833, 40.79552653871181]]}",229109.642880231
Boston Rd and Allerton Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.86258308625415, 40.86537356568178], [-73.86257683863464, 40.865526876625864], [-73.8623715764107, 40.86553099035327]]}",254624.151453033
Columbus Ave Concrete 62-59,"{'type': 'MultiPoint', 'coordinates': [[-73.98431491272636, 40.76984818327374], [-73.98385516752953, 40.770479597724545], [-73.98342087620358, 40.771087956563456]]}",219980.886859556
249 St & Hillside Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.71834543546788, 40.7351796155648]]}",207247.837194473
E 169th St and Rev James A Polite/Lyman Pl,"{'type': 'MultiPoint', 'coordinates': [[-73.89639573000044, 40.82876287910266]]}",241234.867645472
Atlantic Ave and Washington Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.96448505702196, 40.68106291793305], [-73.96442177132063, 40.68111907876771], [-73.96440853841712, 40.681185575854485], [-73.96437746281849, 40.68103957035823], [-73.96428981868667, 40.680539943244455], [-73.96413234110979, 40.6809876867219], [-73.9640985250437, 40.68111934217283]]}",187387.91464406
"Eastern Pkwy Phase III, New York Ave to Ralph Ave","{'type': 'MultiPoint', 'coordinates': [[-73.94775110280851, 40.66949526507643], [-73.94774398825511, 40.669568690790776], [-73.94772996298511, 40.669713442306374], [-73.94771178307634, 40.669912267891455], [-73.94498198086127, 40.669344637099655], [-73.94497397930624, 40.66941581543461], [-73.94496468500272, 40.669555873592635], [-73.94494172968446, 40.66976451478489], [-73.9422157183175, 40.669195070442484], [-73.94220854027213, 40.66927198978905], [-73.94219628397714, 40.6694033040344], [-73.94217611580889, 40.66961205234407], [-73.9366771738935, 40.66888841034617], [-73.9366695893393, 40.66896825580581], [-73.93665702084654, 40.66910057067312], [-73.93663763938487, 40.66930835310872], [-73.93390843394734, 40.668735691555376], [-73.93390024377322, 40.66882066042276], [-73.93388773736939, 40.66895044457924], [-73.93386776689994, 40.66916034333082], [-73.92836987528982, 40.668434819796154], [-73.92835995042729, 40.66851520266988], [-73.92834967207139, 40.668647193886784], [-73.92832954874987, 40.668861036759665], [-73.9256357823385, 40.6682872716076], [-73.92562952884502, 40.6683696593698], [-73.92560682554318, 40.668505251582175], [-73.92557349297753, 40.668711331097235], [-73.92265530101152, 40.668127114549996], [-73.92263210758783, 40.668373210868616], [-73.92261354310787, 40.668564106861794]]}",183024.646012642
Roosevelt Ave and Woodside Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.90557924484605, 40.74539135783827]]}",210856.911013067
Amsterdam and Columbus Ave Green Wave Concrete Islands,"{'type': 'MultiPoint', 'coordinates': [[-73.98476369205528, 40.769226400867346], [-73.98431491272636, 40.76984818327374], [-73.97268972184094, 40.79087073492826], [-73.9694154391312, 40.79536077908826]]}",223936.032164473
"7 Ave, Commerce St, Grove Street","{'type': 'MultiPoint', 'coordinates': [[-74.0037903670365, 40.7318934626704], [-74.00257298487165, 40.73337194161579]]}",206194.444944307
Riverside Dr and W135th St,"{'type': 'MultiPoint', 'coordinates': [[-73.95752338629141, 40.821143383049275]]}",238444.702294067
Hillside Ave & 252 St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.71563756114018, 40.73576223730331]]}",207462.528038055
Vanderbilt Ave at E 2nd St and E 3rd St,"{'type': 'MultiPoint', 'coordinates': [[-73.9799935379715, 40.652032670919695], [-73.9791148383256, 40.65237834038148]]}",176893.097051062
"Broadway, Jefferson Av, and Saratoga Av","{'type': 'MultiPoint', 'coordinates': [[-73.91799890676506, 40.6869657793492], [-73.91768113899158, 40.68700409356918]]}",189574.253939345
Avenue C & E 18th Street - Intersection Safety Improvement,"{'type': 'MultiPoint', 'coordinates': [[-73.97404958631094, 40.730995071562255], [-73.9739884565005, 40.730967962372176]]}",205593.917766102
Atlantic Avenue and Boerum Place,"{'type': 'MultiPoint', 'coordinates': [[-73.99070669561539, 40.689136744078056]]}",190347.671191722
"Marine Ave, Ridge Blvd and 95 St","{'type': 'MultiPoint', 'coordinates': [[-74.03649125987528, 40.617989154750106], [-74.03631596952873, 40.617707851563296], [-74.03622076839676, 40.61790626721792], [-74.03617598121319, 40.61810762064332]]}",164406.203307707
Linden Blvd (Schenck Ave and Ashford St),"{'type': 'MultiPoint', 'coordinates': [[-73.8842015903304, 40.66152109017769], [-73.88413672518365, 40.661434359093384], [-73.88409911337898, 40.66138407234723], [-73.8840663394865, 40.66133984193961], [-73.88399317059954, 40.66124107959849], [-73.88095702755061, 40.66292212558274], [-73.8808970053324, 40.66284010739855], [-73.88085397063747, 40.662781295091904], [-73.88081398025275, 40.662726267193996], [-73.88075176526118, 40.66264065359685]]}",180512.989647217
Forest/Myrtle/George,"{'type': 'MultiPoint', 'coordinates': [[-73.90020036112372, 40.70050050115104]]}",194503.449953645
Sedgwick Ave & Fordham Rd,"{'type': 'MultiPoint', 'coordinates': [[-73.9090225277402, 40.86268280880874]]}",253589.290115058
Linden Blvd and Snediker Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.89800146651982, 40.65767098993304], [-73.89797977854123, 40.65758616898045], [-73.89796594490421, 40.65753203561692], [-73.89794694833479, 40.65745801424735], [-73.89792821157425, 40.65738501068914]]}",178847.488483474
Columbia St at Stanton St neckdown,"{'type': 'MultiPoint', 'coordinates': [[-73.97941610888938, 40.71866548493636]]}",201106.408860564
"Broadway, 22 to 25","{'type': 'MultiPoint', 'coordinates': [[-73.98896434191965, 40.74237837001786], [-73.9881936103838, 40.743450736052324]]}",209940.63791123
W 70th Street and West End Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.98544810530942, 40.778475661857726]]}",222896.843954146
34th Avenue at 114th Street (H),"{'type': 'MultiPoint', 'coordinates': [[-73.85517237501259, 40.75747200993027], [-73.85501728357738, 40.75718142769306], [-73.8549705018155, 40.757081790822], [-73.85483818710135, 40.757252617699216], [-73.85126829288059, 40.757503941863696]]}",215214.509384459
Lafayette Ave and Morrison Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.87246834150827, 40.820150090747084]]}",238105.654743806
Ocean Pkwy and Church Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.97464224437017, 40.64481321864258], [-73.97442369300929, 40.644913064714885], [-73.9741399693013, 40.64502975343238]]}",174238.681428144
9th Avenue at 36th Street,"{'type': 'MultiPoint', 'coordinates': [[-73.99665517524124, 40.755206227584196], [-73.99638705498523, 40.75510072529116], [-73.9953541810822, 40.754687600354416]]}",214342.911040172
Jay St at Sands St Upgrade,"{'type': 'MultiPoint', 'coordinates': [[-73.98681513239495, 40.69993433101102]]}",194281.688914225
Chauncey St & Malcolm X Blvd - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.92857454210198, 40.68049741177927]]}",187208.051486731
Dyckman St Green Wave Concrete Islands,"{'type': 'MultiPoint', 'coordinates': [[-73.9266194899858, 40.864524293586996], [-73.92537318271859, 40.86258081435326]]}",253901.75126835
Beach Front Rd and Beach 67th St,"{'type': 'MultiPoint', 'coordinates': [[-73.7956315777905, 40.587844251633705]]}",153510.147425979
Fulton St and Truxton St (PS 155 Capital Project),"{'type': 'MultiPoint', 'coordinates': [[-73.91081358338846, 40.677521142151086], [-73.909101862166, 40.6781845538049], [-73.90818643073847, 40.67619470607505], [-73.90818105426663, 40.67625017442447], [-73.90809662113718, 40.67612515962053], [-73.90808364036891, 40.67624073038415], [-73.90804572772662, 40.67736743369858], [-73.90800899717352, 40.676178490150434], [-73.90800394736115, 40.67621226534058], [-73.90797555671682, 40.677363478366004], [-73.9079365310766, 40.67812078033418], [-73.90790218144612, 40.677359538436136], [-73.90785772579291, 40.67811598144332], [-73.9077725832926, 40.678111769957795]]}",185974.119126137
Jamaica Ave at Jackie Robinson Pkwy,"{'type': 'MultiPoint', 'coordinates': [[-73.89775655510732, 40.67806072014293], [-73.89772205971774, 40.678164437836465], [-73.89761600370466, 40.678111987561266], [-73.8974754520859, 40.67816325480765]]}",186352.260875478
"Conduit Blvd, Atlantic to Sutter Av","{'type': 'MultiPoint', 'coordinates': [[-73.87267313418597, 40.67790020936758], [-73.87210574711037, 40.677980829097535], [-73.871481418051, 40.67750066292375], [-73.8705709693993, 40.677651721433506], [-73.86977606713475, 40.67702720932522], [-73.86942312869616, 40.6769122268067], [-73.86712598547392, 40.67609542256485], [-73.86521514166068, 40.67538657412425]]}",185973.331433205
EC - 147th St & Barclay Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.81768170738466, 40.76062665340939]]}",216446.082905561
New Utrecht Ave & 54 St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.9952928375419, 40.63239121075739], [-73.99503449581842, 40.63223029510579]]}",169644.271653727
"Grand Concourse, 156 St - 158 St","{'type': 'MultiPoint', 'coordinates': [[-73.9244584757718, 40.82346742910875], [-73.92347379178536, 40.82541321980992]]}",239652.180522144
43 St and 9 Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.99213711916057, 40.759104721848125]]}",215839.130051225
Borough Park Enhanced Crossings,"{'type': 'MultiPoint', 'coordinates': [[-73.9877192452485, 40.625070839566504], [-73.97949485846203, 40.61919495444095], [-73.97891150744832, 40.619755268046475]]}",165647.963045309
E 138 St and Exterior St,"{'type': 'MultiPoint', 'coordinates': [[-73.93123600546573, 40.81366672819895]]}",235725.308454648
43rd Ave and Hunter St,"{'type': 'MultiPoint', 'coordinates': [[-73.94167872546073, 40.74823127234543]]}",211882.86171706
Kings Hwy (Church Ave to Schenectady Ave),"{'type': 'MultiPoint', 'coordinates': [[-73.9311626113371, 40.631630014569], [-73.9311411756042, 40.631429609099456], [-73.93112371011095, 40.631264920609674], [-73.93004385884538, 40.63274309204022], [-73.92983547752638, 40.632756410725456], [-73.92963116227025, 40.632769748631475], [-73.92441166948957, 40.64852825135873], [-73.92424875984615, 40.648538591081106], [-73.92409224727903, 40.648548176559004], [-73.9237693665945, 40.650508371574915], [-73.9235849325931, 40.65051944441966], [-73.92342608547645, 40.6505295497412], [-73.92301466417204, 40.65247853572805], [-73.92284966942921, 40.65246345856723], [-73.92269149846365, 40.652467575787036]]}",173600.078287154
E 37th St & Ave K - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.93980357801613, 40.62512641887348]]}",167032.531470388
Flatbush Ave and Ave T,"{'type': 'MultiPoint', 'coordinates': [[-73.9244712065859, 40.61139235042392], [-73.92436541727504, 40.61146224958735], [-73.9242589066593, 40.61153239311968], [-73.92414336123169, 40.61160850194932]]}",162070.996363956
Seaview Ave and E 108th St,"{'type': 'MultiPoint', 'coordinates': [[-73.88162046716809, 40.639093422819066], [-73.88157395228154, 40.63905219507073]]}",172130.042436771
Midtown Split Phases 2018,"{'type': 'MultiPoint', 'coordinates': [[-73.98694873854555, 40.75603590259453], [-73.97719688637949, 40.76432369162237], [-73.97623388833038, 40.765674631253255], [-73.9760482489927, 40.75144139363115]]}",215936.006661933
Westchester Ave and St Peters Ave BSUE,"{'type': 'MultiPoint', 'coordinates': [[-73.84458129273776, 40.83853550721104]]}",244816.592437387
W 177th Street and Cabrini Blvd,"{'type': 'MultiPoint', 'coordinates': [[-73.94136449433935, 40.848183508245526], [-73.94108509649958, 40.848996465232986]]}",248447.121921733
Queens Bl & 84 Dr,"{'type': 'MultiPoint', 'coordinates': [[-73.81880914456039, 40.708815647306515], [-73.81870498292697, 40.70887253980806], [-73.81860105423952, 40.70892638884847]]}",197589.514428919
Vanderbilt Ave & Osgood Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-74.08110332484546, 40.6177887447278]]}",164363.904917896
Ocean Parkway & Church Avenue,"{'type': 'MultiPoint', 'coordinates': [[-73.97464224437017, 40.64481321864258], [-73.97442369300929, 40.644913064714885], [-73.9741399693013, 40.64502975343238]]}",174238.681428144
Beach 17 & Plainview Ave (EC),"{'type': 'MultiPoint', 'coordinates': [[-73.75087562723792, 40.59788240585113]]}",157199.464194313
PS 306 (Jerome Ave and W 177 St),"{'type': 'MultiPoint', 'coordinates': [[-73.91161655875406, 40.85013293685737], [-73.91077673350564, 40.85193875832509], [-73.91069463623538, 40.85001909801071], [-73.9105816993273, 40.85018159437976]]}",249174.899009477
Bushwick Ave & Eastern Pkwy,"{'type': 'MultiPoint', 'coordinates': [[-73.90411635062722, 40.68151453481876], [-73.90400616458622, 40.68145364379632]]}",187574.021555312
"Myrtle Ave, Cypress Ave to Weirfield St (PS 239 Capital Project)","{'type': 'MultiPoint', 'coordinates': [[-73.90621087926019, 40.70012191856855], [-73.90587861103297, 40.69992666924632], [-73.90560452222161, 40.70019180783563], [-73.90487966296531, 40.70027086231033], [-73.90478288423053, 40.69927881358091], [-73.90419059317743, 40.70073780088282], [-73.90249031862513, 40.70048416643899]]}",194372.340026513
Fox St and Longwood Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.8970446666542, 40.816801859645494]]}",236876.825180471
Metropolitan and 71st QN,"{'type': 'MultiPoint', 'coordinates': [[-73.8509156336062, 40.71047121905384]]}",198155.489893645
Rockaway Pkwy at Rutland Rd and Kings Hwy,"{'type': 'MultiPoint', 'coordinates': [[-73.92374878637513, 40.66437740269522], [-73.92012765752119, 40.66112256773508], [-73.91989109304838, 40.66090577401827], [-73.91974399553261, 40.66077097308308], [-73.91962827947113, 40.66066826939595]]}",180313.795852691
Astoria Boulevard and Boody St,"{'type': 'MultiPoint', 'coordinates': [[-73.89246554916048, 40.76573663364315]]}",218273.53955248
Flatbush Ave and Church Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.96100797113614, 40.65008260257056]]}",176121.410602316
Corson Ave and Victory Blvd,"{'type': 'MultiPoint', 'coordinates': [[-74.07970808098085, 40.638155657320326], [-74.0787883116042, 40.63826855891543]]}",171804.206638306
"Queens Blvd, 71 Ave to 72 Ave, Eliot Ave, Woodhaven Blvd","{'type': 'MultiPoint', 'coordinates': [[-73.87036197662621, 40.73326694117578], [-73.86826138415185, 40.73248646419446], [-73.86813074204362, 40.73255688666863], [-73.86805003681971, 40.73258374556007], [-73.86796001883694, 40.732614665819575], [-73.86780898287338, 40.73267195402867], [-73.84386132468744, 40.72162591393027], [-73.84276935161334, 40.721136351823], [-73.84247306717626, 40.72099918621361], [-73.84177920904123, 40.72071055840961]]}",204562.457197794
3 Ave & Dean St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.98156151536944, 40.6840535475733]]}",188496.116167814
7 Ave and 54 St - RC,"{'type': 'MultiPoint', 'coordinates': [[-74.00824141600866, 40.640205012304925]]}",172520.433880389
Liberty Ave/Rockaway Blvd - Pedestrian Safety Redesign at Cross Bay/Woodhaven Blvds,"{'type': 'MultiPoint', 'coordinates': [[-73.84492455569473, 40.68027468655855], [-73.84483220756215, 40.680738996727655], [-73.84473183117228, 40.68071758213702], [-73.8445572019128, 40.68068764735058], [-73.84443052996336, 40.68066741806955], [-73.84314642776204, 40.68059432059453], [-73.84307375451449, 40.680462539989456]]}",187272.803044513
46th Street and Queens Blvd.,"{'type': 'MultiPoint', 'coordinates': [[-73.91870218526878, 40.7431557377775]]}",210038.756481394
Jerome Av & Burnside Av,"{'type': 'MultiPoint', 'coordinates': [[-73.9073328972563, 40.8538164142209]]}",250359.412716568
Elm Ave & Coney Island Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.96362245578855, 40.616589735567366]]}",163918.747999817
Park Ave and 110th St,"{'type': 'MultiPoint', 'coordinates': [[-73.94616864212851, 40.79552179456453], [-73.9459064223092, 40.79541747494978]]}",229092.597310647
Broadway (Elmhurst),"{'type': 'MultiPoint', 'coordinates': [[-73.89139145579604, 40.7466410037963], [-73.89036559840815, 40.74623080542652], [-73.88933070488793, 40.74578591066827], [-73.88925529154983, 40.745410560789104], [-73.88860632554503, 40.74548275898918], [-73.8883676581033, 40.74550599513285], [-73.88833190045924, 40.745364751922494], [-73.88733790772473, 40.74494063642085], [-73.88612041486117, 40.7444170087869], [-73.8853826314647, 40.74384879512539], [-73.88509442027437, 40.74397395764878], [-73.88474375903279, 40.74372544540376], [-73.88471026287716, 40.743794417772115], [-73.88387556322134, 40.74339732885527], [-73.88283144630611, 40.742888376057955], [-73.88263341492154, 40.742786975368695], [-73.88188001903225, 40.74237697841556], [-73.88100387976363, 40.74184066158258], [-73.88027765520894, 40.74129746100153], [-73.87999120488428, 40.74107026188448], [-73.87931979579812, 40.74060207958709], [-73.87910739787667, 40.740445078378194], [-73.87863239384433, 40.74005996277735], [-73.87848682283848, 40.73993390923762], [-73.87791831774199, 40.739394957206564], [-73.87755028796819, 40.736919690362654], [-73.87743058447485, 40.73860051505481], [-73.87720940668936, 40.73768045337259], [-73.87716858661481, 40.737907600008754]]}",209808.779545204
"Flushing Ave, Humboldt St to Bushwick Ave","{'type': 'MultiPoint', 'coordinates': [[-73.94042057822656, 40.70107659791596], [-73.93951008294287, 40.70127978103998], [-73.9383651965092, 40.701544889576866], [-73.93698074018661, 40.70191027731036]]}",194840.595440768
Columbus Pl & Atlantic Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.92281524502744, 40.677067710928796]]}",185959.868287563
Richmond Rd & Old Town Rd - RC,"{'type': 'MultiPoint', 'coordinates': [[-74.09338150211892, 40.597020342925454]]}",156800.837694973
108th St and Otis Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.85381298571933, 40.74110381834113]]}",209314.525646389
Glenwood Rd and E 31 St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.9468051592054, 40.634058839755156]]}",170285.592549562
Park Lane South and Myrtle Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.84156378079247, 40.70110059782777]]}",194746.047893643
Kent Ave Phase I (Green Wave Concrete Islands),"{'type': 'MultiPoint', 'coordinates': [[-73.9684800443029, 40.709192561008884], [-73.96713606914794, 40.71392544730036], [-73.96677494634712, 40.71473381293576]]}",198903.866896446
Queens Blvd and 70 Rd - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.84522703166623, 40.721622850131936]]}",202221.098232225
East New York Ave at Atlantic Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.90346878174711, 40.67574418010353], [-73.90258111730782, 40.67553878080434]]}",185445.709210888
Wythe Ave & Rutledge St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.9598701024193, 40.70023472373638]]}",194393.404570058
Francis Lewis Blvd and 26th Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.79577868630643, 40.773017414837845], [-73.79566719419977, 40.772941943933354], [-73.79565702053854, 40.7730360863355], [-73.79564710554811, 40.77308838541167], [-73.79557358417905, 40.773049244203754]]}",220977.248383895
St Marks Ave & Classon Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.95943262731838, 40.676633273364374]]}",185794.763630897
"167 St, Grant Ave to College Ave (JHS 22 Capital Project)","{'type': 'MultiPoint', 'coordinates': [[-73.91497029127217, 40.83358783934284], [-73.91407880660508, 40.83328617928594], [-73.9136808866487, 40.83226358555321]]}",242789.979255284
86th Street (Brooklyn),"{'type': 'MultiPoint', 'coordinates': [[-74.03105991808857, 40.62346289810631], [-74.02835031631533, 40.62279862709288]]}",166301.120531641
South St and Old Slip,"{'type': 'MultiPoint', 'coordinates': [[-74.00785483146107, 40.70310778901039]]}",195437.696772814
Avenue St. John and Kelly Street EC,"{'type': 'MultiPoint', 'coordinates': [[-73.90260864683823, 40.815290184864736]]}",236324.30692856
Conklin Ave at E 96th St,"{'type': 'MultiPoint', 'coordinates': [[-73.90217518773228, 40.643782027764935]]}",173838.689117894
E Fordham Rd and E 188th St to Morris Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.89996177597766, 40.86235028035307], [-73.89964261728582, 40.8622104361978], [-73.89943670880204, 40.86211691118666]]}",253425.633508866
Rockway Beach Blvd 2020 SIP,"{'type': 'MultiPoint', 'coordinates': [[-73.83720033649789, 40.579812380355875], [-73.83713508278548, 40.57983114397587], [-73.82306669394765, 40.58394593056492], [-73.80100527978051, 40.58910834377023]]}",151791.729192872
54 St & Ft Hamilton Pkwy - RC,"{'type': 'MultiPoint', 'coordinates': [[-74.0012405462426, 40.635977572696675]]}",170980.158089563
E 134 St and Willis Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.92454444938325, 40.806471023404384]]}",233105.183117479
Grand Concourse at E 183 St,"{'type': 'MultiPoint', 'coordinates': [[-73.90013491384398, 40.85748336817301], [-73.89995670057566, 40.857422421622616], [-73.89977944528313, 40.85736190786386]]}",251675.515727396
Myrtle Ave & Fresh Pond Rd,"{'type': 'MultiPoint', 'coordinates': [[-73.89457448987582, 40.70079805781451]]}",194613.685953647
Greenpoint Ave & Van Dam St - Bridge Bicycle Lanes & Intersection Improvement,"{'type': 'MultiPoint', 'coordinates': [[-73.93801474265945, 40.73431476133858]]}",206813.333142221
"Linden Blvd, Troy Ave to E 48 St","{'type': 'MultiPoint', 'coordinates': [[-73.93638662011578, 40.653445174700245], [-73.93253906001559, 40.65368408056275]]}",177394.408876516
Ave P & Stillwell Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.98842267535007, 40.607119148855766], [-73.98737795249258, 40.60812811835417], [-73.98725486974362, 40.607244188794624], [-73.98625770555498, 40.60735601773873], [-73.98533158846939, 40.60745769734079]]}",160591.099733862
Park Ave and E 149th St,"{'type': 'MultiPoint', 'coordinates': [[-73.9251848653289, 40.818012668045974]]}",237310.06250298
Hill St & Warren St - RC,"{'type': 'MultiPoint', 'coordinates': [[-74.0818913654333, 40.620828218567326]]}",165471.468319565
Hillside Avenue,"{'type': 'MultiPoint', 'coordinates': [[-73.78535272167598, 40.712283616419114]]}",198853.536397815
Queens Plaza North Bike & Ped Improvements,"{'type': 'MultiPoint', 'coordinates': [[-73.93944284373315, 40.75060601963435], [-73.93863715954208, 40.75025879932286], [-73.9378116276499, 40.749897477822344]]}",212620.420062587
"Hillside Ave, Van Wyck SR W to 139th St","{'type': 'MultiPoint', 'coordinates': [[-73.81524272780936, 40.704202438907274], [-73.81443931873646, 40.70440215017192]]}",195927.051109061
