pjct_name,long,end_date
Jamaica Ave at Jackie Robinson Pkwy,-73.8976425176539,2016-12-02T00:00:00.000
77th Ave and 81st St,-73.8685573544904,2016-06-08T00:00:00.000
71 Ave & Kessel St - RC,-73.8491198175944,2023-12-12T00:00:00.000
"E Fordham Rd, Washington Ave to Arthur Ave",-73.8866768002801,2019-10-04T00:00:00.000
19th St & 10th Ave,-73.981222296303,2015-12-10T00:00:00.000
Columbia St at Stanton St neckdown,-73.9794161088894,2023-11-16T00:00:00.000
Flushing Ave and Varick Ave/Irving Ave,-73.9264562726858,2019-11-01T00:00:00.000
Rockaway Blvd and Guy Brewer Blvd,-73.7674279234619,2018-09-24T00:00:00.000
Flatbush Ave at Church Ave,-73.9587078992148,2009-09-25T00:00:00.000
Richmond Rd & Old Town Rd - RC,-74.0933815021189,2024-10-02T00:00:00.000
EL Grant Highway at Washington Bridge,-73.9229185341159,2015-02-08T00:00:00.000
Atlantic Ave and Furman St,-74.0001904038107,2019-09-04T00:00:00.000
Ocean Parkway & Church Avenue,-73.9744019688936,2014-06-13T00:00:00.000
Vleigh Place: Ped Safety & Intersection Imp,-73.821208321225,2012-07-09T00:00:00.000
Liberty Ave/Rockaway Blvd - Pedestrian Safety Redesign at Cross Bay/Woodhaven Blvds,-73.8442423583682,2010-12-03T00:00:00.000
Dyre Ave and Light St,-73.8312924290429,2023-07-11T00:00:00.000
Fulton St and Truxton St (PS 155 Capital Project),-73.9082833173325,2016-01-01T00:00:00.000
"Conduit Blvd, Atlantic to Sutter Av",-73.869796448964,2017-08-17T00:00:00.000
E 7th St & Church Ave - RC,-73.9731013535425,2025-07-24T00:00:00.000
"Myrtle Ave, Cypress Ave to Weirfield St (PS 239 Capital Project)",-73.9048624959305,2019-04-02T00:00:00.000
Southern Blvd and Boston Rd (Paint),-73.8877650634257,2019-12-30T00:00:00.000
Grand Concourse at E 183 St,-73.8999570199009,2011-12-02T00:00:00.000
"Hillside Ave, Hollis Ct Blvd to 212 St",-73.7545303089932,2023-09-06T00:00:00.000
Grand Ave & Macombs Rd - RC,-73.9168592252817,2022-12-20T00:00:00.000
Atlantic Ave at Boerum Pl,-73.9907066956154,2019-07-12T00:00:00.000
"University Ave, 165 St - 166 St (EC)",-73.9298028304131,2019-11-04T00:00:00.000
"E New York Ave, Rochester Ave, and Rutland Rd (PS 398 Capital Project)",-73.9277524522373,2018-09-01T00:00:00.000
Kings Hwy (Church Ave to Schenectady Ave),-73.9263351259359,2021-12-22T00:00:00.000
Douglaston Pkwy,-73.7468575715666,2014-09-03T00:00:00.000
Melrose Ave & E 151st St - RC,-73.9171184568044,2024-07-12T00:00:00.000
Mt Hope Pl & Walton Ave - RC,-73.9094505575299,2022-04-25T00:00:00.000
Jerome Av & Burnside Av,-73.9073328972563,2017-11-16T00:00:00.000
Crescent St Green Wave Concrete Islands,-73.9317400515436,2024-11-21T00:00:00.000
East Houston Street at Crosby Street,-73.9958432706923,2015-04-28T00:00:00.000
"116th St, Riverside Dr to Broadway",-73.9648790411474,2017-09-16T00:00:00.000
DeKalb Ave and Willoughby Ave,-73.9696360452613,2017-09-05T00:00:00.000
Flatbush Ave and Ave T,-73.924309722938,2025-06-09T00:00:00.000
GCP SR N and 164th St,-73.8031777502138,2022-05-18T00:00:00.000
Astoria Boulevard at 31st and 33rd Streets,-73.9167970664052,2015-04-11T00:00:00.000
Riverdale Ave at Pennsylvania Ave and New Jersey Ave (PS 13 Capital Project),-73.8931557176492,2018-08-01T00:00:00.000
Midtown Split Phases 2018,-73.979106940562,2018-07-07T00:00:00.000
E 48 St & Ave D - RC,-73.93129287259,2025-07-07T00:00:00.000
Rockaway Pkwy at Rutland Rd and Kings Hwy,-73.9206279623897,2018-10-12T00:00:00.000
142 St and Van Wyck Expwy SR,-73.8098808766567,2019-06-14T00:00:00.000
Queens Blvd and 70 Rd - RC,-73.8452270316662,2023-06-12T00:00:00.000
42nd St & 16th Ave - RC,-73.9814315788494,2024-08-13T00:00:00.000
Riverside Dr and W95th St,-73.9759298474583,2017-10-31T00:00:00.000
Glenwood Rd and E 31 St - RC,-73.9468051592054,2023-06-27T00:00:00.000
"Willoughby Ave, Grand to Emerson Pl",-73.9628243130083,2018-12-10T00:00:00.000
Roosevelt Ave and Woodside Ave,-73.9055792448461,2021-04-29T00:00:00.000
Belmont Ave & Pennsylvania Ave - RC,-73.8955434185889,2024-06-10T00:00:00.000
Fountain Ave Green Wave Concrete Islands,-73.8728079909843,2024-07-09T00:00:00.000
Avenue St. John and Kelly Street EC,-73.9026086468382,2020-11-09T00:00:00.000
Cropsey Ave & Bay 53 St,-73.9863595369026,2023-10-05T00:00:00.000
W 177th Street and Cabrini Blvd,-73.9412247954195,2013-10-12T00:00:00.000
North Flatbush Avenue,-73.9730407029115,2012-11-19T00:00:00.000
Kent Ave Phase I (Green Wave Concrete Islands),-73.9674636865993,2024-12-31T00:00:00.000
Vanderbilt Ave & Osgood Ave - RC,-74.0811033248454,2024-09-05T00:00:00.000
Westchester Ave and St Peters Ave BSUE,-73.8445812927378,2020-12-07T00:00:00.000
Myrtle Ave & Ashland Pl - RC,-73.9791671841899,2023-10-25T00:00:00.000
2nd Ave Concrete follow up,-73.9805491545203,2025-08-27T00:00:00.000
86th Street (Brooklyn),-74.029705117202,2012-09-21T00:00:00.000
Metropolitan and 71st QN,-73.8509156336062,2013-11-05T00:00:00.000
Queens Plaza North Bike & Ped Improvements,-73.9386305436417,2025-05-02T00:00:00.000
Flatbush Ave and Church Ave,-73.9610079711361,2017-01-02T00:00:00.000
Frost Street at Meeker Ave,-73.9485576591582,2013-05-29T00:00:00.000
"Marine Ave, Ridge Blvd and 95 St",-74.0363009947535,2021-07-20T00:00:00.000
Greenpoint Ave & Van Dam St - Bridge Bicycle Lanes & Intersection Improvement,-73.9380147426594,2013-09-10T00:00:00.000
Hillside Avenue,-73.785352721676,2009-09-30T00:00:00.000
Water & Whitehall Streets - Pedestrian Improvement & Plaza,-74.0123116078689,2010-09-02T00:00:00.000
Columbus Pl & Atlantic Ave - RC,-73.9228152450274,2022-10-13T00:00:00.000
PS 306 (Jerome Ave and W 177 St),-73.9109174069556,2017-12-31T00:00:00.000
Seaview Ave and E 108th St,-73.8815972097248,2018-05-29T00:00:00.000
Belmont Avenue Public Spaces,-73.909176424195,2024-11-15T00:00:00.000
McGuinness Blvd intersections 2022 SIP,-73.9485153312433,2022-12-09T00:00:00.000
43 St and 9 Ave,-73.9921371191606,2014-05-14T00:00:00.000
"7 Ave, Commerce St, Grove Street",-74.0031816759541,2022-09-09T00:00:00.000
Briggs Ave and E 196 St - RC,-73.891108902402,2018-10-22T00:00:00.000
Briggs Ave & E 194 St - RC,-73.892760143439,2024-06-25T00:00:00.000
Webster Ittner 2021 Concrete Follow Up,-73.902466745065,2021-07-26T00:00:00.000
Cooper Avenue & 73rd Place,-73.8762324458065,2012-10-22T00:00:00.000
8 and 9 Ave Split LPIs 2015,-73.9872228071209,2015-11-14T00:00:00.000
Grant St & Van Duzer St - RC,-74.0765370725806,2025-10-29T00:00:00.000
9th Avenue at 36th Street,-73.9961321371029,2013-12-04T00:00:00.000
Flatbush Ave and Ave H,-73.9464796183596,2009-11-04T00:00:00.000
E 138 St and Exterior St,-73.9312360054657,2016-07-09T00:00:00.000
"Eastern Pkwy Phase III, New York Ave to Ralph Ave",-73.9356631323792,2021-01-27T00:00:00.000
Hillside Ave & 252 St - RC,-73.7156375611402,2024-05-28T00:00:00.000
Linden Blvd and Snediker Ave,-73.8979644699749,2022-07-14T00:00:00.000
E 134 St and Willis Ave,-73.9245444493832,2019-05-03T00:00:00.000
"Grand Concourse, 140 - 150 St",-73.9265710288249,2019-07-12T00:00:00.000
EC - 147th St & Barclay Ave,-73.8176817073871,2021-06-02T00:00:00.000
Atlantic Avenue and Boerum Place,-73.9907066956154,2009-12-31T00:00:00.000
"Northern Blvd, 223rd St to Little Neck Pkwy",-73.7473565149138,2024-07-15T00:00:00.000
Irwin Ave at W232 and W238,-73.9055840165122,2018-09-08T00:00:00.000
Avenue C & E 18th Street - Intersection Safety Improvement,-73.9740190214056,2010-04-14T00:00:00.000
E 37th St & Ave K - RC,-73.9398035780161,2024-06-01T00:00:00.000
East New York Ave at Atlantic Ave,-73.9030249495275,2012-11-15T00:00:00.000
108th St and Otis Ave,-73.8538129857193,2024-04-08T00:00:00.000
Broadway at Bedford and Driggs,-73.9638747515651,2013-05-14T00:00:00.000
Cathedral Pkwy Connection,-73.9680484937182,2016-07-31T00:00:00.000
"Broadway, 22 to 25",-73.9885789761517,2017-07-20T00:00:00.000
Amsterdam Ave and E 110 St,-73.9638612634734,2021-06-10T00:00:00.000
54 St & Ft Hamilton Pkwy - RC,-74.0012405462426,2022-04-27T00:00:00.000
7 Ave and 54 St - RC,-74.0082414160087,2023-06-27T00:00:00.000
40th Street and Queens Blvd,-73.9242589682667,2014-10-23T00:00:00.000
7th Ave and 55th St - RC,-74.0088248188908,2022-12-28T00:00:00.000
3 Ave & Dean St - RC,-73.9815615153692,2024-11-29T00:00:00.000
Park Ave and E 149th St,-73.9251848653289,2024-10-30T00:00:00.000
N. 12th and Union Ave,-73.9524773639928,2011-10-06T00:00:00.000
Ocean Pkwy and Church Ave,-73.9744019688936,2019-11-15T00:00:00.000
Columbus Ave Concrete 62-59,-73.9838636521531,2021-12-10T00:00:00.000
White Plains Rd at Bronxdale Ave,-73.8678000479829,2022-12-01T00:00:00.000
Bushwick Ave & Eastern Pkwy,-73.9040612576067,2018-09-15T00:00:00.000
"Hillside Ave, Van Wyck SR W to 139th St",-73.8148410232729,2020-08-17T00:00:00.000
"Queens Blvd, 71 Ave to 72 Ave, Eliot Ave, Woodhaven Blvd",-73.858145609387,2022-12-08T00:00:00.000
7 Ave & 57 St - RC,-74.0099898339631,2024-08-29T00:00:00.000
Bronxwood Ave & E 225 St - RC,-73.8547164730686,2023-05-23T00:00:00.000
Chauncey St & Malcolm X Blvd - RC,-73.928574542102,2022-05-05T00:00:00.000
Forest/Myrtle/George,-73.9002003611237,2015-07-01T00:00:00.000
E 35 St & Church Ave - RC,-73.9447708000935,2024-08-12T00:00:00.000
W229th St and Heath Ave EC,-73.9037056265502,2021-09-30T00:00:00.000
Boston Rd and Allerton Ave,-73.8625105004331,2018-08-29T00:00:00.000
"167 St, Grant Ave to College Ave (JHS 22 Capital Project)",-73.9142433281749,2017-09-01T00:00:00.000
Borough Park Enhanced Crossings,-73.9820418703863,2017-08-22T00:00:00.000
South St and Old Slip,-74.0078548314611,2014-11-01T00:00:00.000
Riverside Dr and W135th St,-73.9575233862914,2021-07-29T00:00:00.000
E Fordham Rd & Elm Pl - RC,-73.8937249077447,2023-09-22T00:00:00.000
"Grand Ave, Goldsmith St to Seabury St (PS 13 Annex Capital Project)",-73.8795911329433,2019-04-02T00:00:00.000
Broadway and Park Ave,-73.938568547915,2025-01-28T00:00:00.000
100 St & McIntosh St,-73.8697891598403,2023-06-09T00:00:00.000
Broadway (Elmhurst),-73.8832536244197,2014-12-03T00:00:00.000
Eastern Parkway Phase II,-73.9511392188498,2019-12-04T00:00:00.000
Pennsylvania Ave,-73.8916491995515,2015-10-09T00:00:00.000
"Linden Blvd, Troy Ave to E 48 St",-73.9344628400652,2020-01-31T00:00:00.000
Vanderbilt Ave at E 2nd St and E 3rd St,-73.9795541881485,2018-12-19T00:00:00.000
Jay St at Sands St Upgrade,-73.986815132395,2023-09-29T00:00:00.000
Gunther Ave & Pitman Ave - RC,-73.8503993757401,2023-07-25T00:00:00.000
Westchester Ave (Noble Ave and Pugsley Ave),-73.8638694807406,2019-12-13T00:00:00.000
Park Ave and 110th St,-73.9460375322189,2017-04-18T00:00:00.000
Manhattan Ave and Eckford St,-73.9477940995741,2021-07-09T00:00:00.000
Conklin Ave at E 96th St,-73.9021751877323,2018-07-03T00:00:00.000
249 St & Hillside Ave - RC,-73.7183454354679,2025-08-04T00:00:00.000
