the_geom,x
"{'type': 'MultiPoint', 'coordinates': [[-73.9073328972563, 40.8538164142209]]}",1009885.52220772
"{'type': 'MultiPoint', 'coordinates': [[-74.09338150211892, 40.597020342925454]]}",958317.108940557
"{'type': 'MultiPoint', 'coordinates': [[-73.94477080009352, 40.65106441369156]]}",999575.238038301
"{'type': 'MultiPoint', 'coordinates': [[-73.95870789921476, 40.65038727335645]]}",995708.02792497
"{'type': 'MultiPoint', 'coordinates': [[-73.9952928375419, 40.63239121075739], [-73.99503449581842, 40.63223029510579]]}",985592.384114303
"{'type': 'MultiPoint', 'coordinates': [[-73.97631628462348, 40.68250861214372]]}",990818.763097227
"{'type': 'MultiPoint', 'coordinates': [[-74.08110332484546, 40.6177887447278]]}",961733.874744803
"{'type': 'MultiPoint', 'coordinates': [[-73.83720033649789, 40.579812380355875], [-73.83713508278548, 40.57983114397587], [-73.82306669394765, 40.58394593056492], [-73.80100527978051, 40.58910834377023]]}",1032969.50146618
"{'type': 'MultiPoint', 'coordinates': [[-73.89800146651982, 40.65767098993304], [-73.89797977854123, 40.65758616898045], [-73.89796594490421, 40.65753203561692], [-73.89794694833479, 40.65745801424735], [-73.89792821157425, 40.65738501068914]]}",1012560.51475798
"{'type': 'MultiPoint', 'coordinates': [[-73.98156151536944, 40.6840535475733]]}",989363.861151382
"{'type': 'MultiPoint', 'coordinates': [[-73.8970446666542, 40.816801859645494]]}",1012747.51779605
"{'type': 'MultiPoint', 'coordinates': [[-73.99099489093685, 40.72400907472583], [-73.98311380691572, 40.73483804703573], [-73.982701057689, 40.735431846402655], [-73.9822671696544, 40.73601973726028], [-73.98184099885964, 40.73660267756259], [-73.97539303553368, 40.745442758576054], [-73.97493633172772, 40.74607779637226], [-73.97314594484534, 40.7485397176226]]}",989640.072500208
"{'type': 'MultiPoint', 'coordinates': [[-73.90411635062722, 40.68151453481876], [-73.90400616458622, 40.68145364379632]]}",1010859.35687422
"{'type': 'MultiPoint', 'coordinates': [[-73.8547164730686, 40.885976522833516]]}",1024421.93932906
"{'type': 'MultiPoint', 'coordinates': [[-73.93980357801613, 40.62512641887348]]}",1000960.05810331
"{'type': 'MultiPoint', 'coordinates': [[-73.75087562723792, 40.59788240585113]]}",1053433.12704147
"{'type': 'MultiPoint', 'coordinates': [[-74.03105991808857, 40.62346289810631], [-74.02835031631533, 40.62279862709288]]}",976003.845548637
"{'type': 'MultiPoint', 'coordinates': [[-73.81524272780936, 40.704202438907274], [-73.81443931873646, 40.70440215017192]]}",1035587.68274555
"{'type': 'MultiPoint', 'coordinates': [[-73.94222776544187, 40.71180063940283]]}",1000266.29636747
"{'type': 'MultiPoint', 'coordinates': [[-73.9244584757718, 40.82346742910875], [-73.92347379178536, 40.82541321980992]]}",1005293.37588023
"{'type': 'MultiPoint', 'coordinates': [[-73.98476369205528, 40.769226400867346], [-73.98431491272636, 40.76984818327374], [-73.97268972184094, 40.79087073492826], [-73.9694154391312, 40.79536077908826]]}",990398.910672493
"{'type': 'MultiPoint', 'coordinates': [[-73.92429188089311, 40.743643660425484], [-73.9242586247588, 40.74380835031544], [-73.92422639914811, 40.74397146318164]]}",1005237.73305625
"{'type': 'MultiPoint', 'coordinates': [[-73.88280654514486, 40.56766844718611], [-73.88276986194961, 40.567597421306225], [-73.8827568026347, 40.567569860893514], [-73.88272796073458, 40.56751889771236]]}",1016821.48979902
"{'type': 'MultiPoint', 'coordinates': [[-73.82120832122501, 40.72683828879658]]}",1033805.51275347
"{'type': 'MultiPoint', 'coordinates': [[-73.87246834150827, 40.820150090747084]]}",1019548.34048048
"{'type': 'MultiPoint', 'coordinates': [[-73.8098808766567, 40.69137384413551]]}",1036973.16750738
"{'type': 'MultiPoint', 'coordinates': [[-74.0818913654333, 40.620828218567326]]}",961516.13207005
"{'type': 'MultiPoint', 'coordinates': [[-73.93463209012137, 40.75693975442032], [-73.93335306573674, 40.758274333931745], [-73.93054963970316, 40.76122060164501], [-73.92842541061229, 40.763415718780216]]}",1003160.12407718
"{'type': 'MultiPoint', 'coordinates': [[-73.96804849371821, 40.80468369993804]]}",993095.62829414
"{'type': 'MultiPoint', 'coordinates': [[-73.85039937574012, 40.895523871933825]]}",1025609.70598239
"{'type': 'MultiPoint', 'coordinates': [[-73.9244712065859, 40.61139235042392], [-73.92436541727504, 40.61146224958735], [-73.9242589066593, 40.61153239311968], [-73.92414336123169, 40.61160850194932]]}",1005265.32065418
"{'type': 'MultiPoint', 'coordinates': [[-73.97464224437017, 40.64481321864258], [-73.97442369300929, 40.644913064714885], [-73.9741399693013, 40.64502975343238]]}",991353.707346663
"{'type': 'MultiPoint', 'coordinates': [[-73.88051536847617, 40.73575217082755], [-73.8786668974105, 40.73624809328944]]}",1017619.03003464
"{'type': 'MultiPoint', 'coordinates': [[-73.8785962844416, 40.760013489076336]]}",1017882.60890381
"{'type': 'MultiPoint', 'coordinates': [[-73.87267313418597, 40.67790020936758], [-73.87210574711037, 40.677980829097535], [-73.871481418051, 40.67750066292375], [-73.8705709693993, 40.677651721433506], [-73.86977606713475, 40.67702720932522], [-73.86942312869616, 40.6769122268067], [-73.86712598547392, 40.67609542256485], [-73.86521514166068, 40.67538657412425]]}",1020365.36796387
"{'type': 'MultiPoint', 'coordinates': [[-73.9799935379715, 40.652032670919695], [-73.9791148383256, 40.65237834038148]]}",989923.295564011
"{'type': 'MultiPoint', 'coordinates': [[-73.97514316756832, 40.680871905291774], [-73.9743104813483, 40.679734823033904], [-73.97350883408463, 40.67863912037911], [-73.97234657499565, 40.67744733101854], [-73.97188596862959, 40.67639465275603], [-73.97104919084266, 40.675237112567636]]}",991727.768114294
"{'type': 'MultiPoint', 'coordinates': [[-73.71834543546788, 40.7351796155648]]}",1062306.06533231
"{'type': 'MultiPoint', 'coordinates': [[-73.99588633211904, 40.72514837230982], [-73.99584577607533, 40.725208353764316], [-73.9957977038825, 40.72526517324256]]}",985402.145540277
"{'type': 'MultiPoint', 'coordinates': [[-73.84911981759437, 40.71329956683298]]}",1026077.81528239
"{'type': 'MultiPoint', 'coordinates': [[-74.07653707258065, 40.63346171167104]]}",963006.558879226
"{'type': 'MultiPoint', 'coordinates': [[-73.98143157884938, 40.63495511582752]]}",989403.690468058
"{'type': 'MultiPoint', 'coordinates': [[-73.9598701024193, 40.70023472373638]]}",995377.211657465
"{'type': 'MultiPoint', 'coordinates': [[-73.84492455569473, 40.68027468655855], [-73.84483220756215, 40.680738996727655], [-73.84473183117228, 40.68071758213702], [-73.8445572019128, 40.68068764735058], [-73.84443052996336, 40.68066741806955], [-73.84314642776204, 40.68059432059453], [-73.84307375451449, 40.680462539989456]]}",1027451.15805501
"{'type': 'MultiPoint', 'coordinates': [[-73.96374952163049, 40.69208880327706], [-73.96189910438608, 40.692300671684556]]}",994559.311390385
"{'type': 'MultiPoint', 'coordinates': [[-73.91799890676506, 40.6869657793492], [-73.91768113899158, 40.68700409356918]]}",1007035.8305646
"{'type': 'MultiPoint', 'coordinates': [[-73.96100797113614, 40.65008260257056]]}",995069.836944133
"{'type': 'MultiPoint', 'coordinates': [[-73.89110890240197, 40.86703172905858]]}",1014367.75733772
"{'type': 'MultiPoint', 'coordinates': [[-73.87000669921852, 40.8308203406505], [-73.85773226226277, 40.83355730633994]]}",1021921.4886213
"{'type': 'MultiPoint', 'coordinates': [[-73.99072636359251, 40.755950404577455], [-73.98665975610928, 40.76661598596001], [-73.98428230166073, 40.76479181541954]]}",987789.507344723
"{'type': 'MultiPoint', 'coordinates': [[-73.99236367034456, 40.6896901233194]]}",986367.735253885
"{'type': 'MultiPoint', 'coordinates': [[-73.83689271835526, 40.856686910239866], [-73.83688534783273, 40.85656338830993], [-73.83667557353928, 40.8566526625931], [-73.83462601811979, 40.85602445100735], [-73.83232100340625, 40.85573601721715], [-73.83227192388762, 40.855768354596385], [-73.83026649695573, 40.855651993775275], [-73.83022708079407, 40.85560965405468], [-73.8278017199963, 40.855989919635476], [-73.82516931272963, 40.85608133800093], [-73.82181843629263, 40.85604167665767]]}",1030901.25272449
"{'type': 'MultiPoint', 'coordinates': [[-73.96141095868343, 40.67115522905276], [-73.96138310759399, 40.671230057038876], [-73.9613369558936, 40.67135677106732], [-73.96126442088512, 40.67156359144424], [-73.95328980122108, 40.6697953126536], [-73.9532829167513, 40.669869725763746], [-73.9532701976612, 40.67000720501065], [-73.9532496674206, 40.670224888197914], [-73.95052135111237, 40.669644543641624], [-73.9505142303686, 40.6697208376641], [-73.950502275036, 40.669865351766155], [-73.95048181934956, 40.67006767890761], [-73.93944641127868, 40.66904120683642], [-73.93943917901585, 40.66911833040177], [-73.93942695601416, 40.66924868442502], [-73.93940725331049, 40.66945631496261]]}",997804.259973476
"{'type': 'MultiPoint', 'coordinates': [[-73.88776506342725, 40.837369981563334]]}",1015306.46248131
"{'type': 'MultiPoint', 'coordinates': [[-73.97941610888938, 40.71866548493636]]}",989955.920334727
"{'type': 'MultiPoint', 'coordinates': [[-73.95943262731838, 40.676633273364374]]}",995502.49683997
"{'type': 'MultiPoint', 'coordinates': [[-73.91870218526878, 40.7431557377775]]}",1006777.72986689
"{'type': 'MultiPoint', 'coordinates': [[-73.91725912471465, 40.77077252710105], [-73.9165892832306, 40.77033537189986], [-73.91654279127034, 40.77044064313469]]}",1007296.17261828
"{'type': 'MultiPoint', 'coordinates': [[-73.92374878637513, 40.66437740269522], [-73.92012765752119, 40.66112256773508], [-73.91989109304838, 40.66090577401827], [-73.91974399553261, 40.66077097308308], [-73.91962827947113, 40.66066826939595]]}",1006271.03731072
"{'type': 'MultiPoint', 'coordinates': [[-73.98122229630299, 40.655827080986775]]}",989460.147048056
"{'type': 'MultiPoint', 'coordinates': [[-73.89365012369458, 40.66322331160173], [-73.89266131160385, 40.6633692134432]]}",1013892.1739713
"{'type': 'MultiPoint', 'coordinates': [[-74.16050268639219, 40.626529625581476], [-74.15667730013877, 40.62604791034225]]}",940227.441707887
"{'type': 'MultiPoint', 'coordinates': [[-73.94647961835958, 40.63170816197684]]}",999105.376445219
"{'type': 'MultiPoint', 'coordinates': [[-73.86258308625415, 40.86537356568178], [-73.86257683863464, 40.865526876625864], [-73.8623715764107, 40.86553099035327]]}",1022278.55921074
"{'type': 'MultiPoint', 'coordinates': [[-73.89304752716431, 40.75090803716883]]}",1013883.2172963
"{'type': 'MultiPoint', 'coordinates': [[-73.94167872546073, 40.74823127234543]]}",1000409.67075264
"{'type': 'MultiPoint', 'coordinates': [[-73.86978915984028, 40.764542084979226]]}",1020320.00232297
"{'type': 'MultiPoint', 'coordinates': [[-73.85517237501259, 40.75747200993027], [-73.85501728357738, 40.75718142769306], [-73.8549705018155, 40.757081790822], [-73.85483818710135, 40.757252617699216], [-73.85126829288059, 40.757503941863696]]}",1024628.0052555
"{'type': 'MultiPoint', 'coordinates': [[-73.91884978791138, 40.69875622578792], [-73.917819505617, 40.70097612255265], [-73.91711835854893, 40.69810952341327], [-73.91706784395832, 40.700548110176115], [-73.91636718409663, 40.69768088527431]]}",1007141.31509772
"{'type': 'MultiPoint', 'coordinates': [[-73.92209902598404, 40.664251331760745]]}",1005862.02631772
"{'type': 'MultiPoint', 'coordinates': [[-73.89749111581318, 40.84206708905133]]}",1012613.17095189
"{'type': 'MultiPoint', 'coordinates': [[-74.01231160786891, 40.7026865327111]]}",980836.364754975
"{'type': 'MultiPoint', 'coordinates': [[-73.84394416534609, 40.72150446716983], [-73.84386132468744, 40.72162591393027]]}",1027518.75236114
"{'type': 'MultiPoint', 'coordinates': [[-73.90945055752988, 40.849079220972556]]}",1009301.47481939
"{'type': 'MultiPoint', 'coordinates': [[-73.93123600546573, 40.81366672819895]]}",1003284.42648606
"{'type': 'MultiPoint', 'coordinates': [[-73.98431491272636, 40.76984818327374], [-73.98385516752953, 40.770479597724545], [-73.98342087620358, 40.771087956563456]]}",988719.569460973
"{'type': 'MultiPoint', 'coordinates': [[-73.87630303404174, 40.70443908693367], [-73.87616185757126, 40.704214708424715]]}",1018566.1311588
"{'type': 'MultiPoint', 'coordinates': [[-73.89246554916048, 40.76573663364315]]}",1014037.83312881
"{'type': 'MultiPoint', 'coordinates': [[-74.00882481889079, 40.63964463035867]]}",981800.83165805
"{'type': 'MultiPoint', 'coordinates': [[-73.97916718418995, 40.69348832297794]]}",990027.104575559
"{'type': 'MultiPoint', 'coordinates': [[-73.90801214763401, 40.882400503907895], [-73.9031558853903, 40.88651136812962]]}",1010357.28127076
"{'type': 'MultiPoint', 'coordinates': [[-73.97310135354246, 40.64545097564769]]}",991714.581515551
"{'type': 'MultiPoint', 'coordinates': [[-73.92305144059202, 40.84404975865386], [-73.92297716768348, 40.84430206322263], [-73.9227269940721, 40.844227957328414]]}",1005576.98204966
"{'type': 'MultiPoint', 'coordinates': [[-73.95247736399277, 40.71921904886431]]}",997423.31648913
"{'type': 'MultiPoint', 'coordinates': [[-73.89419408424614, 40.86316630789166]]}",1013516.14060263
"{'type': 'MultiPoint', 'coordinates': [[-73.90246674506506, 40.84497270191837]]}",1011235.28656855
"{'type': 'MultiPoint', 'coordinates': [[-73.9090225277402, 40.86268280880874]]}",1009414.74624638
"{'type': 'MultiPoint', 'coordinates': [[-73.9251848653289, 40.818012668045974]]}",1004958.07799439
"{'type': 'MultiPoint', 'coordinates': [[-73.96448505702196, 40.68106291793305], [-73.96442177132063, 40.68111907876771], [-73.96440853841712, 40.681185575854485], [-73.96437746281849, 40.68103957035823], [-73.96428981868667, 40.680539943244455], [-73.96413234110979, 40.6809876867219], [-73.9640985250437, 40.68111934217283]]}",994147.247535103
"{'type': 'MultiPoint', 'coordinates': [[-73.94616864212851, 40.79552179456453], [-73.9459064223092, 40.79541747494978]]}",999191.32968539
"{'type': 'MultiPoint', 'coordinates': [[-74.07970808098085, 40.638155657320326], [-74.0787883116042, 40.63826855891543]]}",962255.631903388
"{'type': 'MultiPoint', 'coordinates': [[-73.9877192452485, 40.625070839566504], [-73.97949485846203, 40.61919495444095], [-73.97891150744832, 40.619755268046475]]}",989235.363923694
"{'type': 'MultiPoint', 'coordinates': [[-73.99213711916057, 40.759104721848125]]}",986428.293203637
"{'type': 'MultiPoint', 'coordinates': [[-73.85381298571933, 40.74110381834113]]}",1024759.84580547
"{'type': 'MultiPoint', 'coordinates': [[-73.90621087926019, 40.70012191856855], [-73.90587861103297, 40.69992666924632], [-73.90560452222161, 40.70019180783563], [-73.90487966296531, 40.70027086231033], [-73.90478288423053, 40.69927881358091], [-73.90419059317743, 40.70073780088282], [-73.90249031862513, 40.70048416643899]]}",1010629.74269153
"{'type': 'MultiPoint', 'coordinates': [[-73.78535272167598, 40.712283616419114]]}",1043756.54928181
"{'type': 'MultiPoint', 'coordinates': [[-74.12209602085467, 40.57513258696756], [-74.12172623946653, 40.57490698356032], [-74.12153729029016, 40.575153252140446]]}",950417.661703611
"{'type': 'MultiPoint', 'coordinates': [[-73.8842015903304, 40.66152109017769], [-73.88413672518365, 40.661434359093384], [-73.88409911337898, 40.66138407234723], [-73.8840663394865, 40.66133984193961], [-73.88399317059954, 40.66124107959849], [-73.88095702755061, 40.66292212558274], [-73.8808970053324, 40.66284010739855], [-73.88085397063747, 40.662781295091904], [-73.88081398025275, 40.662726267193996], [-73.88075176526118, 40.66264065359685]]}",1016855.37473781
"{'type': 'MultiPoint', 'coordinates': [[-73.8690130763539, 40.70676220644185], [-73.86881173155804, 40.70680119355823], [-73.86863742320429, 40.70661332800242], [-73.86776718684537, 40.70544449307107]]}",1020693.01125543
"{'type': 'MultiPoint', 'coordinates': [[-73.92892662929918, 40.8148979195525], [-73.92885642076193, 40.814879866306235], [-73.9287769628999, 40.81485700855378], [-73.92830143122363, 40.81655655444959], [-73.9282169900475, 40.81653564639782], [-73.92814117731503, 40.816515211920375], [-73.92695536066213, 40.81950046935073], [-73.92687781680374, 40.819478871317145], [-73.92680527451998, 40.81945675501874], [-73.92489262592156, 40.82591038883461], [-73.92481753454587, 40.82599838136645], [-73.92355728749989, 40.82544011896848], [-73.92347379178536, 40.82541321980992], [-73.92339510026291, 40.825383658314735]]}",1004573.74036786
"{'type': 'MultiPoint', 'coordinates': [[-73.94042057822656, 40.70107659791596], [-73.93951008294287, 40.70127978103998], [-73.9383651965092, 40.701544889576866], [-73.93698074018661, 40.70191027731036]]}",1001213.90413433
"{'type': 'MultiPoint', 'coordinates': [[-73.83129242904519, 40.88781369458927]]}",1030897.5592518
"{'type': 'MultiPoint', 'coordinates': [[-74.00019040381073, 40.691896446404684]]}",984197.198256388
"{'type': 'MultiPoint', 'coordinates': [[-73.84156378079247, 40.70110059782777]]}",1028180.57682489
"{'type': 'MultiPoint', 'coordinates': [[-73.90260864683823, 40.815290184864736]]}",1011208.04909022
"{'type': 'MultiPoint', 'coordinates': [[-73.93944284373315, 40.75060601963435], [-73.93863715954208, 40.75025879932286], [-73.9378116276499, 40.749897477822344]]}",1001253.7459455
"{'type': 'MultiPoint', 'coordinates': [[-73.8481004676072, 40.66983056996557], [-73.84786339322768, 40.670023268966766], [-73.84751392312688, 40.66991012822886]]}",1026463.96860019
"{'type': 'MultiPoint', 'coordinates': [[-73.96362245578855, 40.616589735567366]]}",994349.415156633
"{'type': 'MultiPoint', 'coordinates': [[-73.90013491384398, 40.85748336817301], [-73.89995670057566, 40.857422421622616], [-73.89977944528313, 40.85736190786386]]}",1011924.49111753
"{'type': 'MultiPoint', 'coordinates': [[-73.9638612634734, 40.8029720381161]]}",994255.10104081
"{'type': 'MultiPoint', 'coordinates': [[-73.92857454210198, 40.68049741177927]]}",1004060.7015083
"{'type': 'MultiPoint', 'coordinates': [[-74.0037903670365, 40.7318934626704], [-74.00257298487165, 40.73337194161579]]}",983368.21221751
"{'type': 'MultiPoint', 'coordinates': [[-73.98681513239495, 40.69993433101102]]}",987905.914592221
"{'type': 'MultiPoint', 'coordinates': [[-73.99665517524124, 40.755206227584196], [-73.99638705498523, 40.75510072529116], [-73.9953541810822, 40.754687600354416]]}",985321.599988331
"{'type': 'MultiPoint', 'coordinates': [[-73.81880914456039, 40.708815647306515], [-73.81870498292697, 40.70887253980806], [-73.81860105423952, 40.70892638884847]]}",1034512.88557319
"{'type': 'MultiPoint', 'coordinates': [[-73.94247180494749, 40.7619939030601]]}",1000186.63117248
"{'type': 'MultiPoint', 'coordinates': [[-74.00998983396313, 40.63852434391648]]}",981477.456320554
"{'type': 'MultiPoint', 'coordinates': [[-73.90370562655016, 40.87429231401771]]}",1010880.77284189
"{'type': 'MultiPoint', 'coordinates': [[-73.91685922528168, 40.84645608185136]]}",1007252.6951243
"{'type': 'MultiPoint', 'coordinates': [[-73.92281524502744, 40.677067710928796]]}",1005659.21176273
"{'type': 'MultiPoint', 'coordinates': [[-74.00785483146107, 40.70310778901039]]}",982072.107362226
"{'type': 'MultiPoint', 'coordinates': [[-73.8509156336062, 40.71047121905384]]}",1025581.72375488
"{'type': 'MultiPoint', 'coordinates': [[-73.88888651705186, 40.86038039056845], [-73.88673372131251, 40.85925544815856], [-73.88595113583364, 40.85885045491569], [-73.88513582692254, 40.85841703306795]]}",1015597.2976936
"{'type': 'MultiPoint', 'coordinates': [[-73.92836987528982, 40.668434819796154], [-73.92835995042729, 40.66851520266988], [-73.92834967207139, 40.668647193886784], [-73.92832954874987, 40.668861036759665], [-73.9256357823385, 40.6682872716076], [-73.92562952884502, 40.6683696593698], [-73.92560682554318, 40.668505251582175], [-73.92557349297753, 40.668711331097235]]}",1004506.08915099
"{'type': 'MultiPoint', 'coordinates': [[-73.99070669561539, 40.689136744078056]]}",986827.275017217
"{'type': 'MultiPoint', 'coordinates': [[-73.96387475156506, 40.71029748297224]]}",994265.291309133
"{'type': 'MultiPoint', 'coordinates': [[-73.96818687760135, 40.76222682091534], [-73.96772705897045, 40.76285165207214]]}",993126.583120674
"{'type': 'MultiPoint', 'coordinates': [[-73.8916491995515, 40.65993257608722]]}",1014311.64819796
"{'type': 'MultiPoint', 'coordinates': [[-73.98694873854555, 40.75603590259453], [-73.97719688637949, 40.76432369162237], [-73.97623388833038, 40.765674631253255], [-73.9760482489927, 40.75144139363115]]}",990038.055094991
"{'type': 'MultiPoint', 'coordinates': [[-73.99070669561539, 40.689136744078056]]}",986827.275017217
"{'type': 'MultiPoint', 'coordinates': [[-73.97464224437017, 40.64481321864258], [-73.97442369300929, 40.644913064714885], [-73.9741399693013, 40.64502975343238]]}",991353.707346663
"{'type': 'MultiPoint', 'coordinates': [[-73.9311626113371, 40.631630014569], [-73.9311411756042, 40.631429609099456], [-73.93112371011095, 40.631264920609674], [-73.93004385884538, 40.63274309204022], [-73.92983547752638, 40.632756410725456], [-73.92963116227025, 40.632769748631475], [-73.92441166948957, 40.64852825135873], [-73.92424875984615, 40.648538591081106], [-73.92409224727903, 40.648548176559004], [-73.9237693665945, 40.650508371574915], [-73.9235849325931, 40.65051944441966], [-73.92342608547645, 40.6505295497412], [-73.92301466417204, 40.65247853572805], [-73.92284966942921, 40.65246345856723], [-73.92269149846365, 40.652467575787036]]}",1004693.14392233
"{'type': 'MultiPoint', 'coordinates': [[-73.9485576591582, 40.717719877203415]]}",998510.182753727
"{'type': 'MultiPoint', 'coordinates': [[-73.84522703166623, 40.721622850131936]]}",1027151.63531323
"{'type': 'MultiPoint', 'coordinates': [[-73.91081358338846, 40.677521142151086], [-73.909101862166, 40.6781845538049], [-73.90818643073847, 40.67619470607505], [-73.90818105426663, 40.67625017442447], [-73.90809662113718, 40.67612515962053], [-73.90808364036891, 40.67624073038415], [-73.90804572772662, 40.67736743369858], [-73.90800899717352, 40.676178490150434], [-73.90800394736115, 40.67621226534058], [-73.90797555671682, 40.677363478366004], [-73.9079365310766, 40.67812078033418], [-73.90790218144612, 40.677359538436136], [-73.90785772579291, 40.67811598144332], [-73.9077725832926, 40.678111769957795]]}",1009690.0104362
"{'type': 'MultiPoint', 'coordinates': [[-73.91041596919169, 40.66841475668825], [-73.90947503847897, 40.66856059803423], [-73.90763826491444, 40.6688314270903]]}",1009445.491373
"{'type': 'MultiPoint', 'coordinates': [[-73.93035512700553, 40.83450471070519], [-73.92925053382066, 40.83609145125825]]}",1003674.82334305
"{'type': 'MultiPoint', 'coordinates': [[-73.89372490774474, 40.861944193146854]]}",1013646.4559588
