naics_industry_description,naics_codes,size_standards_in_millions_of_dollars,size_standards_in_number_of_employees,footnotes
Crushed and Broken Granite Mining and Quarrying,212313.0,,500.0,
,,,,
Creamery Butter Manufacturing,311512.0,,500.0,
Hunting and Trapping,114210.0,5.5,,
Orange Groves,111310.0,0.75,,
Other Noncitrus Fruit Farming,111339.0,0.75,,
Industrial Sand Mining,212322.0,,500.0,
Cookie and Cracker Manufacturing,311821.0,,750.0,
Apiculture,112910.0,0.75,,
,,,,
Drywall and Insulation Contractors,238310.0,15.0,,
,,,,
"Highway, Street, and Bridge Construction",237310.0,36.5,,
Horses and Other Equine Production,112920.0,0.75,,
Electric Power Distribution,221122.0,,1000.0,
Cattle Feedlots,112112.0,7.5,,
Painting and Wall Covering Contractors,238320.0,15.0,,
Lead Ore and Zinc Ore Mining,212231.0,,500.0,
Sewage Treatment Facilities,221320.0,20.5,,
All Other Specialty Trade Contractors,238990.0,15.0,,
Rendering and Meat Byproduct Processing,311613.0,,500.0,
All Other Metal Ore Mining,212299.0,,500.0,
Specialty Canning,311422.0,,1000.0,
Other Food Crops Grown Under Cover,111419.0,0.75,,
Water Supply and Irrigation Systems,221310.0,27.5,,
New Housing For-Sale Builders,236117.0,36.5,,
Other Crushed and Broken Stone Mining and Quarrying,212319.0,,500.0,
Fats and Oils Refining and Blending,311225.0,,1000.0,
Natural Gas Liquid Extraction,211112.0,,500.0,
Drilling Oil and Gas Wells,213111.0,,500.0,
Ice Cream and Frozen Dessert Manufacturing,311520.0,,500.0,
"Sector 11 – Agriculture, Forestry, Fishing and Hunting",,,,
,,,,
Shellfish Fishing,114112.0,5.5,,
Sector 31 – 33 – Manufacturing,,,,
Clay and Ceramic and Refractory Minerals Mining  ,212325.0,,500.0,
"Crop Harvesting, Primarily by Machine",115113.0,7.5,,
Construction Sand and Gravel Mining,212321.0,,500.0,
Apple Orchards,111331.0,0.75,,
"Mayonnaise, Dressing and Other Prepared Sauce Manufacturing",311941.0,,500.0,
,,,,
"Plumbing, Heating, and Air‑Conditioning Contractors   ",238220.0,15.0,,
Tree Nut Farming,111335.0,0.75,,
Beef Cattle Ranching and Farming,112111.0,0.75,,
Fuels Management Services17,,19.0,,See footnote 17
Cotton Farming,111920.0,0.75,,
Natural Gas Distribution,221210.0,,500.0,
Broilers and Other Meat Type Chicken Production  ,112320.0,0.75,,
Crushed and Broken Limestone Mining and Quarrying,212312.0,,500.0,
Berry (except Strawberry) Farming,111334.0,0.75,,
Iron Ore Mining,212210.0,,500.0,
Forest Nurseries and Gathering of Forest Products,113210.0,11.0,,
Cane Sugar Manufacturing,311314.0,,750.0,
Roasted Nuts and Peanut Butter Manufacturing,311911.0,,500.0,
Nursery and Tree Production,111421.0,0.75,,
Strawberry Farming,111333.0,0.75,,
Dried and Dehydrated Food Manufacturing,311423.0,,500.0,
Rice Farming,111160.0,0.75,,
Oilseed and Grain Combination Farming,111191.0,0.75,,
Electrical Contractors and Other Wiring Installation Contractors,238210.0,15.0,,
Gold Ore Mining,212221.0,,500.0,
Seafood Product Preparation and Packaging,311710.0,,500.0,
Sugar Beet Farming  ,111991.0,0.75,,
Poultry Hatcheries,112340.0,0.75,,
Commercial and Institutional Building Construction,236220.0,36.5,,
,,,,
Confectionery Manufacturing from Purchased Chocolate,311352.0,,500.0,
,,,,
Anthracite Mining,212113.0,,500.0,
Steam and Air‑Conditioning Supply,221330.0,15.0,,
Tobacco Farming,111910.0,0.75,,
Support Activities for Animal Production,115210.0,7.5,,
Other Animal Food Manufacturing,311119.0,,500.0,
Biomass Electric Power Generation,221117.0,,250.0,
Coffee and Tea Manufacturing,311920.0,,500.0,
Phosphatic Fertilizer Manufacturing,325312.0,,500.0,
Finish Carpentry Contractors,238350.0,15.0,,
Citrus (except Orange) Groves,111320.0,0.75,,
Farm Management Services,115116.0,7.5,,
Farm Labor Contractors and Crew Leaders,115115.0,15.0,,
"Frozen Cakes, Pies, and Other Pastries Manufacturing",311813.0,,500.0,
All Other Grain Farming,111199.0,0.75,,
Fruit and Vegetable Canning3,311421.0,,500.0,See footnote 3
All Other Animal Production,112990.0,0.75,,
Support Activities for Metal Mining,213114.0,20.5,,
,,,,
Industrial Building Construction,236210.0,36.5,,
Electric Bulk Power Transmission and Control,221121.0,,500.0,
Dry Pea and Bean Farming,111130.0,0.75,,
Other Poultry Production,112390.0,0.75,,
Crude Petroleum and Natural Gas Extraction,211111.0,,500.0,
Silver Ore Mining,212222.0,,500.0,
Other  Aquaculture,112519.0,0.75,,
Chicken Egg Production,112310.0,15.0,,
Other Vegetable (except Potato) and Melon Farming  ,111219.0,0.75,,
Fruit and Tree Nut Combination Farming,111336.0,0.75,,
Cheese Manufacturing,311513.0,,500.0,
Framing Contractors,238130.0,15.0,,
Meat Processed from Carcasses,311612.0,,500.0,
Poured Concrete Foundation and Structure Contractors,238110.0,15.0,,
Oilseed (except Soybean) Farming,111120.0,0.75,,
Structural Steel and Precast Concrete Contractors,238120.0,15.0,,
Roofing Contractors,238160.0,15.0,,
Solar Electric Power Generation,221114.0,,250.0,
Wheat Farming,111140.0,0.75,,
Dimension Stone Mining and Quarrying,212311.0,,500.0,
"Frozen Fruit, Juice and Vegetable Manufacturing",311411.0,,500.0,
Potato Farming,111211.0,0.75,,
Sector 23 – Construction,,,,
Other Building Equipment Contractors,238290.0,15.0,,
Dredging and Surface Cleanup Activities2,,27.5,,See footnote 2
Grape Vineyards,111332.0,0.75,,
Phosphate Rock Mining,212392.0,,500.0,
Frozen Specialty Food Manufacturing,311412.0,,500.0,
Forest Fire Suppression17,,19.0,,See footnote 17
Breakfast Cereal Manufacturing,311230.0,,1000.0,
Bituminous Coal and Lignite Surface Mining,212111.0,,500.0,
Commercial Bakeries,311812.0,,500.0,
,,,,
Postharvest Crop Activities (except Cotton Ginning),115114.0,27.5,,
Uranium‑Radium‑Vanadium Ore Mining,212291.0,,500.0,
Malt Manufacturing,311213.0,,500.0,
Cotton Ginning,115111.0,11.0,,
Building and Property Specialty Trade Services 13,,15.0,,See footnote 13
Power and Communication Line and Related Structures Construction,237130.0,36.5,,
"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",311824.0,,500.0,
Copper Ore and Nickel Ore Mining,212234.0,,500.0,
Glass and Glazing Contractors,238150.0,15.0,,
Floriculture Production,111422.0,0.75,,
Sugarcane Farming,111930.0,0.75,,
Dog and Cat Food Manufacturing,311111.0,,500.0,
Fur‑Bearing Animal and Rabbit Production,112930.0,0.75,,
Soybean and Other Oilseed Processing,311224.0,,1000.0,
Retail Bakeries,311811.0,,500.0,
,,,,
Fluid Milk Manufacturing,311511.0,,500.0,
Support Activities for Coal Mining,213113.0,20.5,,
All Other Nonmetallic Mineral Mining,212399.0,,500.0,
Poultry Processing,311615.0,,500.0,
Other Chemical and Fertilizer Mineral Mining,212393.0,,500.0,
Corn Farming,111150.0,0.75,,
Flooring Contractors,238330.0,15.0,,
Animal (except Poultry) Slaughtering,311611.0,,500.0,
,,,,
Tortilla Manufacturing,311830.0,,500.0,
New Multifamily Housing Construction (except For-Sale Builders),236116.0,36.5,,
"Other Foundation, Structure, and Building Exterior Contractors",238190.0,15.0,,
Soybean Farming,111110.0,0.75,,
Hog and Pig Farming,112210.0,0.75,,
Oil and Gas Pipeline and Related Structures Construction,237120.0,36.5,,
Other Heavy and Civil Engineering Construction,237990.0,36.5,,
Flavoring Syrup and Concentrate Manufacturing,311930.0,,500.0,
"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",,,,
Fossil Fuel Electric Power Generation,221112.0,,750.0,
Nuclear Electric Power Generation,221113.0,,750.0,
Beet Sugar Manufacturing,311313.0,,750.0,
Residential Remodelers,236118.0,36.5,,
