title,committee,status,passed_date
"A Local Law to amend the administrative code of the city of New York, in relation to community outreach regarding the availability of mental health resources in response to violent and traumatic incidents","Committee on Mental Health, Disabilities and Addiction",Enacted,2025-02-22T00:00:00.000
A Local Law in relation to a study and report on the feasibility of new ferry terminals,Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to adjustment of contribution and expenditure limits to account for two-year council terms","Committee on Governmental Operations, State & Federal Legislation",Enacted,2025-01-18T00:00:00.000
"A Local Law to amend the administrative code of the city of New York, in relation to dismissal of certain parking tickets issued to doulas",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the resignation of members of boards of directors of business improvement district management associations",Committee on Finance,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to an annual study to identify non-operational schools and the subsequent removal of speed cameras from eliminated school speed zones",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the collection and sale of organic waste and compost by community composters",Committee on Sanitation and Solid Waste Management,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the installation of security cameras in parks",Committee on Parks and Recreation,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to student journalism programming in New York city public high schools",Committee on Education,Enacted (Mayor's Desk for Signature),
"A Local Law to amend the administrative code of the city of New York, in relation to educating older adults about elder fraud, end of life preparation, and financial literacy",Committee on Aging,Enacted (Mayor's Desk for Signature),
"A Local Law to amend the administrative code of the city of New York, in relation to a plan to mitigate wildfires in parks under the jurisdiction of the department of parks and recreation",Committee on Parks and Recreation,Laid Over in Committee,
"A Local Law to amend the New York city building code and administrative code of the city of New York, in relation to common households for short-term rentals in one- and two-family dwellings",Committee on Housing and Buildings,Committee,
A Local Law in relation to a feasibility study of zero-emission port operations,Committee on Economic Development,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring an annual report on the state of waterfront infrastructure",Committee on Small Business,Committee,
A Local Law in relation to requiring the department of small business services to conduct a study on the economic impact of film and television production on local businesses and develop a plan to mitigate lost revenue attributable to filming,Committee on Small Business,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to identifying and explaining the use of tree pits located on streets and in landscaped parks on the tree map",Committee on Parks and Recreation,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring reporting on the impact of algorithmic tools on city employees and changes in employment responsibilities due to algorithmic tools",Committee on Technology,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to limiting the amount of liability coverage that the taxi and limousine commission may require for vehicles it licenses",Committee on Transportation and Infrastructure,Laid Over in Committee,
A Local Law in relation to establishing a high visibility pavement marking pilot program and the repeal of this local law upon the expiration thereof,Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of consumer and worker protection to confirm receipt of complaints related to fair work practices and to notify the person or entity under investigation of the receipt of the complaint",Committee on Consumer and Worker Protection,Laid Over in Committee,
A Local Law in relation to requiring a study and recommendations on the feasibility of implementing a pilot program to provide reconsolidation of traumatic memories therapy for veterans,Committee on Veterans,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to establishing timelines for cooperative corporations to approve or deny the sale of cooperative apartments",Committee on Housing and Buildings,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the police department to provide information and officer training relating to identity theft",Committee on Public Safety,Enacted (Mayor's Desk for Signature),
"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting standing or parking a vehicle within 20 feet of a crosswalk at an intersection",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to installing child with autism warning plaques on streets",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to a 10-year plan to support aging in place",Committee on Aging,Enacted,2025-01-04T00:00:00.000
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of transportation to install e-bicycle battery stations",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the integration of mental health professionals into public service answering points",Committee on Public Safety,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring that people in the custody and staff of the department of correction have access to gender-affirming items and medical devices",Committee on Criminal Justice,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to establishing a program that transfers liability for certain engine idling violations to lessees of vehicles","Committee on Environmental Protection, Resiliency and Waterfronts",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to posting certain information in multiple dwellings containing rent stabilized units",Committee on Housing and Buildings,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, relation to requiring the department of correction to establish, operate and maintain an online scheduling system to facilitate visits to incarcerated individuals",Committee on Criminal Justice,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to an inventory of vacant industrial space, and an estimate of underutilization of industrial space, in significant maritime industrial areas","Committee on Environmental Protection, Resiliency and Waterfronts",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting public disclosure of the addresses of certain shelter facilities.",Committee on Immigration,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the provision of information regarding employment discrimination and older adult workforce programs",Committee on Aging,Enacted,2024-12-21T00:00:00.000
"A Local Law to amend the New York city charter, in relation to requiring an interagency portal to track street vending enforcement",Committee on Consumer and Worker Protection,Committee,
A Local Law in relation to requiring the department of sanitation to conduct a study regarding the feasibility of accommodations for religious practices that conflict with set-out times for solid waste and recyclable materials,Committee on Sanitation and Solid Waste Management,Committee,
A Local Law to amend the administrative code of the city of New York in relation to requiring the inclusion of businesses owned by persons of Middle Eastern and North African descent in future disparity studies,Committee on Contracts,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to increasing the percentage of disability set aside units in affordable housing projects",Committee on Housing and Buildings,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to establishing a climate migrant services coordinator","Committee on Environmental Protection, Resiliency and Waterfronts",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to authorizing an increase in the amount to be expended annually in 9 business improvement districts",Committee on Finance,Enacted,2025-01-18T00:00:00.000
A Local Law in relation to establishing a charter revision commission to draft a new or revised city charter,"Committee on Governmental Operations, State & Federal Legislation",Enacted,2024-12-13T00:00:00.000
A Local Law in relation to requiring a study and plan regarding naturally occurring retirement communities and aging in place,Committee on Aging,Enacted,2025-01-04T00:00:00.000
"A Local Law to amend the administrative code of the city of New York, in relation to establishing rules of decorum for posting on official social media accounts",Committee on Technology,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to notifying interested parties of the recording of certain real estate instruments",Committee on Finance,Laid Over in Committee,
"A Local Law to amend the New York city charter, in relation to press access in city hall","Committee on Governmental Operations, State & Federal Legislation",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to establishing a prevailing wage requirement for covered workers in financially assisted facilities",Committee on Civil Service and Labor,Committee,
A Local Law in relation to a study and report on expediting the child care permitting process,Committee on Health,Committee,
"A Local Law to amend the New York city charter, in relation to creating an office of housing development fund company outreach",Committee on Housing and Buildings,Committee,
"A Local Law to amend the New York city charter, in relation to creating expedited processing of FOIL requests to professional journalists","Committee on Governmental Operations, State & Federal Legislation",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the regulation of indirect sources of air pollution","Committee on Environmental Protection, Resiliency and Waterfronts",Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to hours of operation of adult-use cannabis retail dispensaries",Committee on Consumer and Worker Protection,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the operation of shared electric scooter systems on certain streets in the Borough of Queens",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to bi-annual reporting of safe havens, shelters and drug treatment centers",Committee on General Welfare,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a comprehensive stormwater plan and a stormwater dashboard","Committee on Environmental Protection, Resiliency and Waterfronts",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to providing local community boards and elected officials with advance notice of planned street closures",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of New York, in relation to requiring bicyclists to wear protective headgear",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to campaign finance board deadlines","Committee on Governmental Operations, State & Federal Legislation",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to increasing the amount to be expended annually in the Madison Avenue business improvement district and amending the district plan of such district to change the method of assessment upon which the district charge is based",Committee on Finance,Enacted,2025-01-18T00:00:00.000
"A Local Law to amend the administrative code of the city of New York, in relation to requiring that electric bicycles and electric scooters that are part of share systems have speedometers and limit electric speed assistance to new riders",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to an outreach campaign to inform parents about their rights in relation to child care programs",Committee on Health,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the reporting and publication of mental health emergency response data","Committee on Mental Health, Disabilities and Addiction",Laid Over in Committee,
"A Local Law to amend the New York city charter, in relation to the budgets of the equal employment practices commission and the commission on civil and human rights",Committee on Civil and Human Rights,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring police precincts to develop plans for identifying and responding to individuals with special needs",Committee on Public Safety,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the unauthorized depiction of public officials by artificial intelligence","Committee on Governmental Operations, State & Federal Legislation",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a task force to review the impacts of artificial intelligence on civil service and civil service employees",Committee on Civil Service and Labor,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to notices in connection with rent increase exemptions, real property tax abatements, and exemptions from payments in lieu of taxes for certain properties occupied by senior citizens or persons with disabilities",Committee on Housing and Buildings,Committee,
A Local Law in relation to a review of the potential use of lower-strength oleoresin capsicum sprays in facilities operated by the department of correction,Committee on Criminal Justice,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to creating an automated text messaging system to provide participants with important reminders regarding children’s health and development",Committee on Health,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to an assistance program for homeowners experiencing groundwater flooding in the city of New York and a southeast Queens flooding adaptation assistance task force, and to repeal certain such amendments upon the expiration thereof","Committee on Environmental Protection, Resiliency and Waterfronts",Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to providing contracted ferry service at reduced cost to middle school students",Committee on Economic Development,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to providing notice of applications for stoop line stand licenses to community boards and council members",Committee on Consumer and Worker Protection,Committee,
"A Local Law to amend the New York city charter and the administrative code of the city of New York, in relation to requiring the civilian complaint review board to conduct an investigation of any injury or death caused by police action",Committee on Public Safety,Committee,
"A Local Law to amend the building code of the city of New York and the New York city fire code, in relation to construction of ancillary dwelling units",Committee on Housing and Buildings,Enacted,2024-12-18T00:00:00.000
"A Local Law to amend the administrative code of the city of New York, in relation to street cleanliness requirements for city concessionaires and franchisees",Committee on Sanitation and Solid Waste Management,Laid Over in Committee,
"A Local Law to amend the New York city charter, in relation to race and ethnicity data collected by agencies","Committee on Governmental Operations, State & Federal Legislation",Committee,
"A Local Law to amend the New York city charter, in relation to clarifying the requirement that heads of mayoral agencies advise and assist elected officials and bodies of elected officials in regard to matters under the jurisdiction of their agencies.","Committee on Governmental Operations, State & Federal Legislation",Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the installation of vape detectors in public middle and high schools",Committee on Education,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to establishing a program to support older adults providing kinship care",Committee on Aging,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a mobile application on exercise and nutrition programs",Committee on Technology,Committee,
A Local Law in relation to a study and report on fees and costs required to start and maintain a small business,Committee on Small Business,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring a study of and changes to information requested in the supportive housing application",Committee on General Welfare,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to a plan for expanding home access to broadband internet",Committee on Technology,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring that notices of violation issued by the department of health and mental hygiene during inspections of food service establishments include photographs or video recordings of each violation cited in such notice",Committee on Health,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the suspension of alternate side parking regulations on Duarte Day",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to establishing ferry service to LaGuardia and John F. Kennedy International airports",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the creation and publicization of an online portal for vulnerable and homebound individuals to voluntarily facilitate their inclusion in outreach and recovery efforts during emergencies","Committee on Mental Health, Disabilities and Addiction",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to supportive housing eligibility for justice involved persons",Committee on General Welfare,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the sale of tianeptine",Committee on Consumer and Worker Protection,Committee,
"A Local Law to amend the New York city charter, in relation to the replacement of the individual responsible for implementing certain duties of the commissioner of investigation relating to the police department and reporting on investigations relating to the police department",Committee on Oversight and Investigations,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to civil legal services for domestic violence survivors in divorce proceedings",Committee on General Welfare,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to annual reporting on firehouse vehicles, equipment and supplies",Committee on Fire and Emergency Management,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a public awareness campaign for the disability rent increase exemption program",Committee on Finance,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of social services to provide a receipt for applications for benefits or services",Committee on General Welfare,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the distribution of materials on water safety in schools",Committee on Parks and Recreation,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to consumer warnings regarding rifles, shotguns, and firearms",Committee on Consumer and Worker Protection,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the reporting and analysis of pay and employment equity data concerning city contractors","Committee on Governmental Operations, State & Federal Legislation",Committee,
"A Local Law in relation to requiring the provision of official waste containers at no cost to certain residential buildings with 2 or fewer dwelling units, and providing for the repeal of such local law upon the expiration thereof",Committee on Sanitation and Solid Waste Management,Enacted (Mayor's Desk for Signature),
A Local Law in relation to establishing a pilot program to provide oral appliances to individuals diagnosed with sleep apnea,Committee on Health,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to informational resource for newly married individuals",Committee on Women and Gender Equity,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the sale of dogs and cats in pet shops, and to repeal paragraph 5 of subdivision d of section 17-373, and sections 17-1703, 17-1704, and 17-1705 of such code, relating to required information, recordkeeping, and minimum standards in pet shops and applications for pet shop permits",Committee on Health,Enacted,2024-12-21T00:00:00.000
"A Local Law to amend the New York city charter, in relation to requiring the department of investigation to investigate the fire department’s compliance with laws and policies relating to discrimination, harassment, and equal employment opportunity",Committee on Oversight and Investigations,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the wearing of ski masks in public places, on school premises, and on child care program premises",Committee on Public Safety,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to establishing a universal application and recertification system for the senior citizen rent increase exemption program and disability rent increase exemption program.",Committee on Housing and Buildings,Committee,
"A Local Law in relation to renaming one thoroughfare in the Borough of Queens, The Live End, and to amend the official map of the city of New York accordingly",Committee on Parks and Recreation,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the commissioner of health and mental hygiene to report annually on suicides that occur in the city","Committee on Mental Health, Disabilities and Addiction",Committee,
A Local Law in relation to a study on a program to make bridge loans available to awardees of capital funding from the city,Committee on Finance,Committee,
A Local Law in relation to establishing a sleep apnea screening pilot program and public education and outreach campaign,Committee on Health,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the provision of services to people living with HIV and AIDS",Committee on Health,Laid Over in Committee,
A Local Law in relation to conducting a complaint based siren sound study in the city,"Committee on Environmental Protection, Resiliency and Waterfronts",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of transportation to mail notices to, and receive comments from, residents, businesses, and organizations along the route of a proposed bicycle lane project",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the New York city charter, in relation to the terms of employment for district managers","Committee on Governmental Operations, State & Federal Legislation",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring a centralized list of artificial intelligence tools approved to be used by agencies",Committee on Technology,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the installation of artificial grass in city parks",Committee on Parks and Recreation,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to stationary on-street containers for the storage and collection of residential waste",Committee on Sanitation and Solid Waste Management,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the provision of luggage to foster care youth",Committee on Children and Youth,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to limited hoist machine operator license requirements for rotating telehandlers",Committee on Housing and Buildings,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to protections for contracted delivery workers",Committee on Consumer and Worker Protection,Laid Over in Committee,
A Local Law in relation to a master plan for the redevelopment of Rikers Island for sustainability and resiliency purposes,"Committee on Governmental Operations, State & Federal Legislation",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the commissioner of health and mental hygiene to develop a health agenda to promote the health and wellbeing of transgender, gender nonconforming, nonbinary, and intersex New Yorkers",Committee on Women and Gender Equity,Laid Over in Committee,
