name,modified_date-law_number
"Plan to mitigate wildfires in parks under the jurisdiction of the department of parks and recreation,",2025-02-28T15:23:09.000-nan
Study and report on the feasibility of new ferry terminals.,2025-01-13T15:59:22.000-nan
Public information and outreach campaign regarding legal rights and resources available to TGNCNBI individuals.,2025-03-05T22:26:26.000-nan
Education and outreach campaign to enroll students in 3-K and pre-K.,2025-02-25T15:27:32.000-nan
Creation of a task force to review the impacts of artificial intelligence on civil service and civil service employees.,2025-03-06T14:10:04.000-nan
Requiring the department of housing preservation and development to provide a resource guide regarding shared driveways.,2024-12-26T15:34:32.000-nan
Requiring reporting on the impact of algorithmic tools on city employees and changes in employment responsibilities due to algorithmic tools.,2024-11-12T19:46:28.000-nan
Quarterly reporting regarding the visitation of incarcerated individuals and requiring the DOC to record interactions in which an individual is informed about a visitor and refuses to attend the visit.,2025-02-25T15:26:15.000-nan
10-year plan to support aging in place.,2025-01-28T17:19:12.000-2025/002
Minimum payments to grocery delivery workers.,2025-01-06T18:09:08.000-nan
Naming of 109 thoroughfares and public places.,2025-02-24T17:24:27.000-2025/010
Common households for short-term rentals in one- and two-family dwellings.,2025-02-20T20:23:57.000-nan
"Third party transfer program, and to repeal sections 11-425, 11-426, and 11-427 of such code, relating to agreements for payment of delinquent taxes and charges in installments.",2025-02-19T16:45:55.000-nan
Regulating the police department’s response to first amendment events.,2025-03-06T17:19:11.000-nan
Requiring notification of community boards and elected officials before renewing an emergency shelter contract.,2025-01-31T14:52:54.000-nan
Suspension of alternate side of the street parking rules near street work that reduces the number of available parking spaces.,2025-03-04T12:54:37.000-nan
Outreach campaign to inform parents about their rights in relation to child care programs.,2025-02-25T15:28:56.000-nan
Protecting the vested health insurance coverage and contributions of retired employees of the city of New York.,2025-02-21T20:05:24.000-nan
Suspension of alternate side parking regulations on Patriot Day.,2025-02-25T15:24:40.000-nan
Identifying and explaining the use of tree pits located on streets and in landscaped parks on the tree map.,2024-11-12T15:26:30.000-nan
Establishing a program to support older adults providing kinship care.,2025-03-03T16:09:42.000-nan
Distribution of materials on water safety in schools.,2024-10-15T18:34:40.000-nan
Allowing sick time to be used for the care for certain animals.,2025-02-28T15:50:44.000-nan
Prohibiting the sale of flavored cigarettes.,2025-01-24T14:26:38.000-nan
LGBTQIA+ foster youth experience surveys.,2025-03-05T16:54:14.000-nan
"Prohibiting the wearing of ski masks in public places, on school premises, and on child care program premises",2025-02-25T15:23:34.000-nan
Requiring a study and plan regarding the installation of tactile paving on sidewalks.,2025-02-28T15:40:56.000-nan
"Pilot program to install surveillance cameras in parks to deter illegal motor vehicle use, and to repeal this local law upon the expiration thereof.",2025-02-21T14:59:59.000-nan
Notifying interested parties of the recording of certain real estate instruments.,2025-01-30T18:52:21.000-nan
Requiring the department of social services to provide a receipt for applications for benefits or services.,2025-03-03T19:21:12.000-nan
Requiring the commissioner of health and mental hygiene to report annually on suicides that occur in the city.,2025-01-27T18:41:52.000-nan
Replacement of the individual responsible for implementing certain duties of the commissioner of investigation relating to the police department and reporting on investigations relating to the police department.,2025-02-25T15:24:24.000-nan
Study and report on expediting the child care permitting process.,2025-02-28T15:28:15.000-nan
Setting maximum amounts for certain member usage fees charged by a bike share operator.,2025-02-25T15:28:40.000-nan
"Educating older adults about elder fraud, end of life preparation, and financial literacy.",2025-02-28T18:19:03.000-nan
Provision of luggage to foster care youth.,2025-02-11T18:17:36.000-nan
Expanding reporting on domestic violence shelter exits.,2025-01-13T21:06:00.000-2024/135
"Assistance program for homeowners experiencing groundwater flooding in the city of New York and a southeast Queens flooding adaptation assistance task force, and to repeal certain such amendments upon the expiration thereof.",2025-03-05T20:35:27.000-nan
"Bi-annual reporting of safe havens, shelters and drug treatment centers",2025-01-03T13:13:43.000-nan
Requiring that people in the custody and staff of the DOC have access to gender-affirming items and medical devices.,2025-02-25T15:26:25.000-nan
Expanding the availability of the newborn home visiting program.,2025-01-06T15:39:20.000-nan
Dismissal of certain parking tickets issued to doulas.,2025-01-31T14:52:55.000-nan
Study and report on fees and costs required to start and maintain a small business.,2025-02-13T14:49:23.000-nan
Defining community land trusts for the provision of services in addition to housing that benefit the local community.,2025-02-21T14:59:09.000-nan
Suspension of alternate side parking regulations on Duarte Day.,2025-02-24T13:21:17.000-nan
Terms of employment for district managers.,2024-10-15T18:34:42.000-nan
Requiring the NYC Department of Education to report on outreach to parents and guardians of eligible students about the NYC Scholarship Account program.,2025-01-27T18:44:08.000-nan
Establishing procedures for blood alcohol level testing of a uniformed member of the police department whose discharge of a firearm results in physical injury to or death of an individual.,2024-12-26T15:34:33.000-nan
"Prohibiting the sale of dogs and cats in pet shops, and to repeal paragraph 5 of subdivision d of section 17-373, and sections 17-1703, 17-1704, and 17-1705 of such code, relating to required information, recordkeeping, and minimum standards in pet shops.",2025-02-25T15:21:27.000-2024/132
Community land trust regulatory agreements for the provision of services in addition to housing that benefit the local community.,2025-02-21T14:59:21.000-nan
Requiring the department of consumer and worker protection to confirm receipt of complaints related to fair work practices and to notify the person or entity under investigation of the receipt of the complaint.,2025-02-27T20:10:50.000-nan
Establishing a universal application and recertification system for the senior citizen rent increase exemption program and disability rent increase exemption program.,2025-02-25T15:27:23.000-nan
Pilot program to establish a pet food pantry.,2025-01-31T14:52:56.000-nan
Providing local community boards and elected officials with advance notice of planned street closures.,2025-02-25T15:26:55.000-nan
Prohibiting public disclosure of the addresses of certain shelter facilities.,2025-02-25T18:24:07.000-nan
Identification of formerly enslaved African American burial sites.,2025-01-02T23:17:52.000-nan
Police department to timely retrieve stored sexual offense evidence collection kits.,2024-10-15T15:38:04.000-nan
Increasing the percentage of disability set aside units in affordable housing projects.,2024-11-15T17:08:14.000-nan
Culturally competent training on recognizing the signs of female genital mutilation.,2024-10-30T17:51:07.000-nan
"Annual reporting on firehouse vehicles, equipment and supplies.",2025-01-06T15:37:16.000-nan
"Requiring all schools to stock airway clearance devices, and to repeal section two of such local law upon the expiration thereof.",2025-02-21T14:58:04.000-nan
Hours of operation of adult-use cannabis retail dispensaries.,2025-01-31T15:08:03.000-nan
Tracking progress made towards the requirements of the streets master plan.,2025-02-11T18:23:02.000-nan
Requiring a study and recommendations on the feasibility of implementing a pilot program to provide reconsolidation of traumatic memories therapy for veterans.,2025-03-06T14:37:03.000-nan
Stationary on-street containers for the storage and collection of waste from buildings owned by the city.,2024-12-03T17:40:16.000-nan
Establishing a sleep apnea screening pilot program and public education and outreach campaign.,2025-03-05T18:40:51.000-nan
Department of correction report on sexual abuse.,2025-02-28T20:05:41.000-nan
Requiring the inclusion of businesses owned by persons of Middle Eastern and North African descent in future disparity studies.,2025-02-11T18:16:23.000-nan
Limited hoist machine operator license requirements for rotating telehandlers.,2024-10-15T15:38:03.000-nan
Press access in city hall.,2024-12-07T00:19:47.000-nan
Creating an automated text messaging system to provide participants with important reminders regarding children’s health and development.,2025-03-06T14:23:41.000-nan
Collection and sale of organic waste and compost by community composters.,2024-10-15T15:38:05.000-nan
Language accessibility at ferry terminals.,2025-01-07T10:52:50.000-nan
