matter_id,file_num,name,primary_sponsor
74595,Int 1022-2024,Requiring a study and plan regarding naturally occurring retirement communities and aging in place.,Gutiérrez
74861,Int 1075-2024,Requiring borough presidents to provide trainings on legislative processes and rules of parliamentary procedure to local entities.,Farías
74867,Int 1070-2024,Expanding reporting on domestic violence shelter exits.,Ayala
74497,Int 0999-2024,Installation of vape detectors in public middle and high schools.,Ariola
69116,Int 1069-2024,Reducing the maximum time commercial vehicles may park,Williams
75310,Int 1185-2025,"Plan to mitigate wildfires in parks under the jurisdiction of the department of parks and recreation,",Krishnan
75396,Int 1198-2025,Prohibiting public disclosure of the addresses of certain shelter facilities.,Won
75033,Int 1188-2025,Informational resource for newly married individuals.,Louis
75090,Int 1133-2024,Protections for contracted delivery workers.,Nurse
75144,Int 1150-2024,Creation of a comprehensive stormwater plan and a stormwater dashboard.,Gennaro
74704,Int 1034-2024,"Notices in connection with rent increase exemptions, real property tax abatements, and exemptions from payments in lieu of taxes for certain properties occupied by senior citizens or persons with disabilities.",Menin
74552,Int 1009-2024,"Requiring the department of education to report on early childhood education seat availability, outreach, and staff vacancies.",Restler
75070,Int 1126-2024,"Requiring the provision of official waste containers at no cost to certain residential buildings with 2 or fewer dwelling units, and providing for the repeal of such local law upon the expiration thereof.",Salaam
74653,Int 1078-2024,Prohibiting the sale of certain gift cards that lack chip-and-PIN technology.,Lee
75011,Int 1112-2024,Requiring police precincts to develop plans for identifying and responding to individuals with special needs.,Stevens
75031,Int 1108-2024,Street cleanliness requirements for city concessionaires and franchisees.,Menin
74371,Int 1031-2024,Requiring agencies that issue vacate orders to provide documentation of vacate orders to affected occupants upon request.,Marte
74765,Int 1053-2024,A study and report on the feasibility of creating older adult information points.,Hudson
75012,Int 1137-2024,Budgets of the equal employment practices commission and the commission on civil and human rights.,Williams
75032,Int 1117-2024,Requiring an annual report on the state of waterfront infrastructure.,Avilés
75281,Int 1164-2025,Requiring an interagency portal to track street vending enforcement.,Ariola
75175,Int 1148-2024,Requiring the department of social services to provide a receipt for applications for benefits or services.,Cabán
74769,Int 1051-2024,Identification of formerly enslaved African American burial sites.,Hanks
74601,Int 1057-2024,Student journalism programming in New York city public high schools.,Joseph
75071,Int 1181-2025,Requiring that notices of violation issued by the department of health and mental hygiene during inspections of food service establishments include photographs or video recordings of each violation cited in such notice.,Farías
73624,Int 1192-2025,Establishing a climate migrant services coordinator,Rivera
75303,Int 1168-2025,Dismissal of certain parking tickets issued to doulas.,Farías
73615,Int 1176-2025,Regulating the police department’s response to first amendment events.,Ossé
74816,Int 1130-2024,Regulation of indirect sources of air pollution.,Avilés
74683,Int 1026-2024,Quarterly reporting regarding the visitation of incarcerated individuals and requiring the DOC to record interactions in which an individual is informed about a visitor and refuses to attend the visit.,Hudson
75073,Int 1120-2024,Establishing timelines for cooperative corporations to approve or deny the sale of cooperative apartments.,Farías
74952,Int 1088-2024,Charter revision commission to draft a new or revised city charter.,Adams
72195,Int 1116-2024,"Inventory of vacant industrial space, and an estimate of underutilization of industrial space, in significant maritime industrial areas.",Avilés
74793,Int 1084-2024,Requiring the department of transportation to install e-bicycle battery stations.,Nurse
74124,Int 1100-2024,Supportive housing eligibility for justice involved persons.,Rivera
74891,Int 1096-2024,Protecting the vested health insurance coverage and contributions of retired employees of the city of New York.,Marte
74692,Int 1073-2024,Requiring bird friendly materials in certain existing buildings.,Cabán
74351,Int 1024-2024,Requiring a centralized list of artificial intelligence tools approved to be used by agencies,Gutiérrez
74699,Int 1066-2024,Creation of a task force to review the impacts of artificial intelligence on civil service and civil service employees.,Williams
75478,Int 1204-2025,"Requiring the commissioner of health and mental hygiene to develop a health agenda to promote the health and wellbeing of transgender, gender nonconforming, nonbinary, and intersex New Yorkers.",Ossé
74940,Int 1113-2024,Providing notice of applications for stoop line stand licenses to community boards and council members.,Ung
74686,Int 1035-2024,Review of the potential use of lower-strength oleoresin capsicum sprays in facilities operated by the department of correction.,Nurse
74586,Int 1039-2024,Setting maximum amounts for certain member usage fees charged by a bike share operator.,Restler
68867,Int 1094-2024,Culturally competent training on recognizing the signs of female genital mutilation.,Louis
74851,Int 1086-2024,Notifying interested parties of the recording of certain real estate instruments.,Williams
74959,Int 1090-2024,Authorizing an increase in the amount to be expended annually in 9 business improvement districts.,Brannan
75445,Int 1199-2025,Creating an office of housing development fund company outreach.,Abreu
75180,Int 1139-2024,Hours of operation of adult-use cannabis retail dispensaries.,Ariola
74703,Int 1072-2024,Press access in city hall.,Brannan
70355,Int 1134-2024,Race and ethnicity data collected by agencies.,Krishnan
75166,Int 1142-2024,Installing child with autism warning plaques on streets.,Ariola
75474,Int 1200-2025,Public information and outreach campaign regarding legal rights and resources available to TGNCNBI individuals.,Cabán
