school_city,park_borough,ferry_direction,created_date,cross_street_1
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-04T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-02T00:00:00.000,
Unspecified,BRONX,,2009-01-02T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
NEW YORK,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-01T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,QUEENS,,2009-01-03T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,KENT AVE
Unspecified,BRONX,,2009-01-01T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-01T00:00:00.000,
Unspecified,BRONX,,2009-01-05T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,BRONX,,2009-01-02T00:00:00.000,
Unspecified,STATEN ISLAND,,2009-01-03T00:00:00.000,
Unspecified,BRONX,,2009-01-03T00:00:00.000,
Unspecified,Unspecified,,2009-01-01T00:00:00.000,
Unspecified,BRONX,,2009-01-02T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,
Unspecified,BRONX,,2009-01-01T00:00:00.000,
Unspecified,BRONX,,2009-01-02T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,
NEW YORK,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,26 AVE
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
FOREST HILLS,QUEENS,,2009-01-03T00:00:00.000,
Unspecified,Unspecified,Manhattan Bound,2009-01-01T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-01T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,BRONX,,2009-01-03T00:00:00.000,
Unspecified,QUEENS,,2009-01-03T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-04T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-04T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-02T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,
Unspecified,QUEENS,,2009-01-03T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,AVENUE B
Unspecified,Unspecified,Staten Island Bound,2009-01-01T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-02T00:00:00.000,
Unspecified,BRONX,,2009-01-06T00:00:00.000,
Unspecified,QUEENS,,2009-01-01T00:00:00.000,
Unspecified,QUEENS,,2009-01-01T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,BRONX,,2009-01-05T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-01T00:00:00.000,
Unspecified,BRONX,,2009-01-03T00:00:00.000,WILLIS AVE
Unspecified,BROOKLYN,,2009-01-02T00:00:00.000,
Unspecified,BRONX,,2009-01-03T00:00:00.000,LELAND AVE
Unspecified,BROOKLYN,,2009-01-02T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-02T00:00:00.000,
Unspecified,Unspecified,,2009-01-01T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,26 AVE
Unspecified,BRONX,,2009-01-13T00:00:00.000,
Unspecified,QUEENS,,2009-01-03T00:00:00.000,
Unspecified,BRONX,,2009-01-03T00:00:00.000,
Unspecified,QUEENS,,2009-01-01T00:00:00.000,
BROOKLYN,BROOKLYN,,2009-01-01T00:00:00.000,
Unspecified,BRONX,,2009-01-03T00:00:00.000,
Unspecified,QUEENS,,2009-01-03T00:00:00.000,
Unspecified,Unspecified,,2009-01-02T00:00:00.000,
Unspecified,BRONX,,2009-01-01T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-02T00:00:00.000,
