intersection_street_2,bridge_highway_name,school_zip,cross_street_2,location,park_facility_name,school_state,school_address,closed_date,address_type,borough,school_not_found,latitude,community_board,ferry_terminal_name
106 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
ST LAWERANCE AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
HOYT AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
QUEENS BLVD,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
28 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
WEST 64 STREET,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,01 MANHATTAN,
,,11209,,,Fort Hamilton Athletic Field,NY,"83rd to 85th Streets, West of Pederson Playground",2009-01-08T00:00:00.000,,BROOKLYN,,,10 BROOKLYN,
KINGS HWY,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-13T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
MOTHER GASTON AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
14 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,,Unspecified,,,0 Unspecified,
AVE S,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-13T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2008-12-30T00:00:00.000,,QUEENS,,,Unspecified QUEENS,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-03-23T00:00:00.000,,BRONX,,,Unspecified BRONX,
59 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
VYSE AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,,MANHATTAN,,,Unspecified MANHATTAN,
GOUVERNEUR ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-18T00:00:00.000,,Unspecified,,,0 Unspecified,
41 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
85 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
150 ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,,QUEENS,,,01 QUEENS,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,,Unspecified,,,0 Unspecified,
DIVISION AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
,,Unspecified,NEEDHAM AVE,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,ADDRESS,BRONX,,,Unspecified BRONX,
237 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
,,Unspecified,DUNHAM PLACE,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,BLOCKFACE,BROOKLYN,,,01 BROOKLYN,
149 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
148 ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
,,10002,,,East River Park,NY,"Montgomery Street to East 12th Street, FDR Drive",2009-01-09T00:00:00.000,,MANHATTAN,,,03 MANHATTAN,
,,Unspecified,AVE,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,BLOCKFACE,BRONX,,,01 BRONX,
4 AVENUE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,BROOKLYN,,,10 BROOKLYN,
CROSS BRONX EXPY,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-12T00:00:00.000,,Unspecified,,,0 Unspecified,
AVE U,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-08T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
181 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-13T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
112 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
,,Unspecified,CROTONA AVE,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,ADDRESS,BRONX,,,Unspecified BRONX,
3 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
10 ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2008-12-30T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
224 ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2008-12-30T00:00:00.000,,QUEENS,,,Unspecified QUEENS,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-09T00:00:00.000,,Unspecified,,,0 Unspecified,
DIVISION AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
,,10010,,,Recreation Center - Asser Levy,NY,392 Asser Levy Place,2009-01-01T00:00:00.000,,MANHATTAN,,,06 MANHATTAN,
WESTCHESTER AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-08T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-21T00:00:00.000,ADDRESS,Unspecified,,,0 Unspecified,
,,10027,,,Marcus Garvey Park,NY,"Madison Avenue, East 120th to 124th Streets",2009-01-09T00:00:00.000,,MANHATTAN,,,11 MANHATTAN,
AMSTERDAM,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-02-17T00:00:00.000,,MANHATTAN,,,Unspecified MANHATTAN,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,,QUEENS,,,Unspecified QUEENS,
115 AVENUE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,QUEENS,,,12 QUEENS,
WHITESTONE EXPY S/R E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-14T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
TREMONT AVE EAST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
137 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
174 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
LEFFERTS BLVD,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
HANCOCK ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
85 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
LIBERTY AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
,,10023,,,Riverside Park,NY,"Riverside Drive to Hudson River, West 59th Street to Clair Place",2009-01-01T00:00:00.000,,MANHATTAN,,,07 MANHATTAN,
BOLLER AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,,STATEN ISLAND,,,02 STATEN ISLAND,
165 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-08T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
12 AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
JOE DIMAGGIO HGWY,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-07T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
INTERBORO PKWY,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-05-08T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
SOUTH CONDUIT AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
GRAND CENTRAL PKWY,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-20T00:00:00.000,ADDRESS,Unspecified,,,0 Unspecified,
10 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
31 ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-15T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
UNION TPKE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
149 AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
15 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
62 ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-09T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
MAIN STREET,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
23 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
104 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
43 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
4 AVENUE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-15T00:00:00.000,INTERSECTION,BROOKLYN,,,10 BROOKLYN,
21 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
COURTLANDT AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-07T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
215 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
,,10010,,,Madison Square Park,NY,"Broadway to Madison Avenue, East 23rd to 26th Streets",2009-01-06T00:00:00.000,,MANHATTAN,,,05 MANHATTAN,
10 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
ERICSON DR ET S/B,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
MT MORRIS PARK W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-15T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
41 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
101 AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,,BROOKLYN,,,Unspecified BROOKLYN,
CROSS BX EXPY,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
98 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-04-17T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
CASTLE HILL AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
54 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
164 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
GOETHALS BRIDGE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,STATEN ISLAND,,,01 STATEN ISLAND,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,,BRONX,,,08 BRONX,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-08T00:00:00.000,,Unspecified,,,0 Unspecified,Whitehall Terminal (Manhattan)
WHITE PLAINS RD,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-22T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
89 ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
172 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
167 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-02-22T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
4 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
67 AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-14T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
,,10033,,,Fort Tryon Park,NY,"Riverside Drive to Broadway, West 192nd to Dyckman Streets",2009-01-08T00:00:00.000,,MANHATTAN,,,12 MANHATTAN,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2008-12-30T00:00:00.000,,QUEENS,,,Unspecified QUEENS,
OCEAN PKWY,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,,BROOKLYN,,,Unspecified BROOKLYN,
NEW LOTS AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
85 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
,,11375,,,Yellowstone Municipal Park,NY,"Yellowstone Boulevard between 68th Avenue and 68th Road, Upper Area",2009-03-03T00:00:00.000,,QUEENS,,,06 QUEENS,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,,Unspecified,,,0 Unspecified,Unknown
KEAP ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
AVE O,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
7 AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-08T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
137 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
SHORE PKWY,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
58 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
4 AVENUE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,INTERSECTION,BROOKLYN,,,10 BROOKLYN,
68 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
PIKE ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-13T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
89 ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
VAN WYCK EXPY,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
,,Unspecified,AVENUE C,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,BLOCKFACE,MANHATTAN,,,03 MANHATTAN,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-12T00:00:00.000,,Unspecified,,,0 Unspecified,Unknown
AVENUE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
ESPLANADE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
CLEARVIEW SB,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,QUEENS,,,11 QUEENS,
LINDEN BOULEVARD,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,QUEENS,,,12 QUEENS,
37 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
57 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
168 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
