agency,incident_zip,agency_name,due_date,school_name,intersection_street_1,longitude,taxi_pick_up_location,status,bridge_highway_segment,school_or_citywide_complaint,school_phone_number
DOT,,Department of Transportation,,Unspecified,DIVISION AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,5 ST E,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,125 ST W,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,WILLIS AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,CROSS BAY BLVD,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,8 AVE,,,Closed,,,Unspecified
DSNY,,A - Brooklyn,,Unspecified,89 STREET,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,YORK AVE,,,Closed,,,Unspecified
DEP,,Department of Environmental Protection,,Unspecified,MONROE ST,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,4 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,101 AVE,,,Closed,,,Unspecified
DSNY,,BCC - Manhattan,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,2009-01-31T00:00:00.000,Unspecified,,,,Closed,,,Unspecified
DEP,,Department of Environmental Protection,,Unspecified,E 12 ST,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,PELHAM PARKWAY,,,Closed,,,Unspecified
DSNY,,BCC - Queens East,,Unspecified,58 AVENUE,,,Closed,,,Unspecified
DSNY,,Queens East 12,,Unspecified,198 STREET,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,QNS MDTWN TNNL ET,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,11 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,WALTON AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,2 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BROADWAY,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,SURF AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Closed,,,Unspecified
DOB,,Department of Buildings,,Unspecified,,,,Assigned,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,AVE P,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,5 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,2009-01-12T00:00:00.000,Unspecified,KING STREET,,,Closed,,,Unspecified
TLC,7030.0,Taxi and Limousine Commission,2009-03-14T00:00:00.000,Unspecified,,,Other,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Pending,,,Unspecified
DOT,,Department of Transportation,,Unspecified,3 AVE,,,Closed,,,Unspecified
DSNY,,BCC - Queens West,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BARNES AVE,,,Closed,,,Unspecified
DEP,,Department of Environmental Protection,,Unspecified,CLEARVIEW XPWY,,,Closed,,,Unspecified
DPR,11216.0,Department of Parks and Recreation,2009-01-04T00:00:00.000,St Andrew's Playground,,,,Closed,,,7189658900
DOT,,Department of Transportation,,Unspecified,CROTONA AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,30 AVE,,,Closed,,,Unspecified
DCA,,Department of Consumer Affairs,2009-01-16T00:00:00.000,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BROADWAY,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,HAMILTON AVE,,,Closed,,,Unspecified
