vehicle_type,road_ramp,school_region,facility_type,resolution_action_updated_date,school_code,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,street_name,x_coordinate_state_plane_,descriptor
,,Unspecified,,2009-01-06T00:00:00.000,Unspecified,,,64 PLACE,,Illegal Conversion Of Residential Building/Space
,,Unspecified,,2009-01-07T00:00:00.000,Unspecified,,,CROSS BRONX EXPY,,Street Light Out
,,Unspecified,,2009-01-02T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-02T00:00:00.000,Unspecified,,,,,Defective Hardware
,,Unspecified,,2009-03-23T00:00:00.000,Unspecified,,,WILLOW AV,,Vehicle Complaint
,,Unspecified,,2008-12-30T00:00:00.000,Unspecified,,,CLEARVIEW EXPY,,Street Light Out
,,Unspecified,,2009-01-14T00:00:00.000,Unspecified,,,,,Street Light Out
,,Unspecified,DSNY Garage,2009-01-03T00:00:00.000,Unspecified,,,,,1 Missed Collection
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2011-09-30T00:00:00.000,Unspecified,,,,,Manhole Sunken/Damaged/Raised (SB1)
,,,,2009-01-05T00:00:00.000,,,,,,Garbage or Litter
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-09T00:00:00.000,Unspecified,,,,,General Street Vendor License
,,Unspecified,,2009-01-01T00:00:00.000,Unspecified,,,,,LED Pedestrian Unit
,,Unspecified,,2009-01-02T00:00:00.000,Unspecified,,,,,Veh Signal Head
