dbn,location_name
16K026,P.S. 026 Jesse Owens
04M610,Young Women's Leadership School
20K201,J.H.S. 201 The Dyker Heights
18K763,Brooklyn Science and Engineering Academy
07X522,Bronx Design and Construction Academy
21K572,Leaders High School
13K046,P.S. 046 Edward C. Blum
15K443,New Voices School of Academic & Creative Arts
03M859,Special Music School
13K553,Brooklyn Academy High School
02M459,Manhattan International High School
18K673,East Brooklyn Community High School
14K257,P.S. 257 John F. Hylan
20K102,P.S. 102 The Bayview
20K069,P.S. 69 Vincent D. Grippo School
04M007,P.S. 007 Samuel Stern
12X595,P.S. 595
06M153,P.S. 153 Adam Clayton Powell
09X564,Claremont International HS
14K059,P.S. 059 William Floyd
02M158,P.S. 158 Bayard Taylor
07X584,I.S. 584
01M450,East Side Community School
21K090,P.S. 90 Edna Cohen School
20K176,P.S. 176 Ovington
19K678,East New York Middle School of Excellence
