community_board,vacatenumber,lot,longitude,block,housenumber
7.0,1203/22,38,-73.891099,3287,2702
4.0,1155/22,87,-73.910749,2436,1261
9.0,0133/23,23,-73.86474,3596,1771
1.0,0220/24,49,-73.910576,2623,569
16.0,0137/22,101,-73.914882,3538,131
5.0,1640/21,31,-73.895701,3536,60-91
3.0,0316/22,24,-73.888203,2999,1452
1.0,0665/23,20,-74.076143,521,582
12.0,0714/22,39,-73.782051,12251,121-06
5.0,1110/22,1,-73.907085,3468,689
10.0,0673/23,41,-73.827957,5245,3310
13.0,0306/23,7,-73.736171,11186,108-11
12.0,1718/21,63,-73.858007,4678,844
7.0,0503/23,51,-73.829505,5123,134-40
12.0,0061/22,21,-73.786418,10183,109-18
14.0,0541/22,19,-73.956626,7584,1439
18.0,1605/21,68,-73.914472,8343,1162
13.0,1653/22,145,-73.76922,13306,146-30
11.0,0865/22,25,-73.857633,4556,2934
4.0,0654/23,12,-73.910796,2431,1256
11.0,1387/22,121,-73.849151,4070,2531
13.0,0244/23,29,-73.736232,13255,138-14
4.0,1701/21,36,-73.924408,2522,1319
12.0,1032/22,60,-73.846884,4977,1049
2.0,1559/21,27,-73.905547,2329,48-08
3.0,1198/23,1,-73.993947,275,125
13.0,1578/21,8,-74.001321,7005,3508
17.0,0428/23,19,-73.927238,4607,16
1.0,0032/23,25,-74.135377,1075,2172
12.0,1872/22,6,-73.982396,5514,5909
14.0,1302/22,19,-73.835089,16187,175
13.0,1282/22,152,-73.747425,10967,111-18
12.0,0272/22,34,-73.868241,4544,3011
13.0,0215/23,53,-73.753533,10559,90-28
11.0,1387/22,121,-73.849151,4070,2531
4.0,0519/23,23,-73.916785,2464,1235
14.0,1282/21,86,-73.758089,15714,22-79
12.0,0061/22,21,-73.786418,10183,109-18
12.0,1215/22,27,-73.857825,4577,1038
4.0,0621/22,11,-73.876739,1554,41-12
2.0,0931/23,82,-73.901766,2688,857
14.0,1075/23,91,-73.750041,15574,17-12
12.0,1046/24,60,-73.84825,4737,3332
7.0,1591/22,42,-74.011772,840,5616
13.0,0306/23,7,-73.736171,11186,108-11
10.0,0928/22,11,-73.809886,9595,105-28
12.0,1168/23,122,-73.74861,11045,115-62
12.0,1421/23,109,-73.765749,12593,143-08
14.0,1914/23,50,-73.796694,16028,643
2.0,0320/22,107,-73.888073,2763,1261
10.0,0080/22,53,-73.9543,1831,244
8.0,1658/23,57,-73.925958,1368,1557
10.0,0549/22,42,-73.814765,11652,114-49
5.0,0294/22,56,-73.885388,3925,251
5.0,0157/24,21,-73.874347,3068,66-82
5.0,0553/23,44,-73.904373,2802,265
3.0,1410/23,65,-73.898781,2935,665
5.0,0294/22,56,-73.885388,3925,251
17.0,0462/22,22,-73.927201,4724,428
1.0,0468/24,47,-73.921569,623,31-14
3.0,1304/21,33,-73.915344,2406,371
1.0,0801/23,16,-73.916853,2268,528
