year,vacatereason,latitude,bin,census_tract,council_district
2024,ILLEGAL DWELLING UNITS,40.678226,3019382.0,131.0,39.0
2022,ILLEGAL DWELLING UNITS,40.828195,2024143.0,68.0,18.0
2024,ILLEGAL DWELLING UNITS,40.847382,2007568.0,23302.0,15.0
2023,ILLEGAL DWELLING UNITS,40.817987,2021762.0,2002.0,18.0
2023,ESSENTIAL SERVICES,40.764273,1025215.0,133.0,3.0
2023,ILLEGAL DWELLING UNITS,40.864088,2016831.0,39901.0,15.0
2023,ILLEGAL DWELLING UNITS,40.685005,4259579.0,190.0,28.0
2022,ILLEGAL DWELLING UNITS,40.754878,4026134.0,297.0,25.0
2023,ILLEGAL DWELLING UNITS,40.619837,3131932.0,246.0,44.0
2024,ESSENTIAL SERVICES,40.831876,2010842.0,157.0,17.0
2024,ILLEGAL DWELLING UNITS,40.837399,2007250.0,225.0,16.0
2023,ESSENTIAL SERVICES,40.832175,2010847.0,157.0,17.0
2024,ILLEGAL DWELLING UNITS,40.666205,3090330.0,1124.0,42.0
2024,ILLEGAL DWELLING UNITS,40.840604,2003372.0,211.0,16.0
2022,ILLEGAL DWELLING UNITS,40.688208,3044500.0,293.0,36.0
2023,ILLEGAL DWELLING UNITS,40.683103,3080376.0,405.0,37.0
2023,ILLEGAL DWELLING UNITS,40.738695,4534356.0,1215.0,20.0
2022,ILLEGAL DWELLING UNITS,40.865848,2016622.0,40502.0,15.0
2023,ILLEGAL DWELLING UNITS,40.833645,2002168.0,17701.0,16.0
2023,ILLEGAL DWELLING UNITS,40.717319,4224848.0,496.0,23.0
2024,ILLEGAL DWELLING UNITS,40.672111,3036317.0,347.0,41.0
2025,ILLEGAL DWELLING UNITS,40.833006,2009793.0,151.0,17.0
2022,ILLEGAL DWELLING UNITS,40.837929,2073490.0,194.0,13.0
2024,ILLEGAL DWELLING UNITS,40.702555,4217748.0,440.0,27.0
2023,ILLEGAL DWELLING UNITS,40.666317,4311500.0,306.0,31.0
2023,ILLEGAL DWELLING UNITS,40.685005,4259579.0,190.0,28.0
2022,ILLEGAL DWELLING UNITS,40.828195,2024143.0,68.0,18.0
2024,ILLEGAL DWELLING UNITS,40.836596,2007191.0,17702.0,16.0
2023,ILLEGAL DWELLING UNITS,40.853127,2013527.0,381.0,15.0
2024,STRUCTURAL,40.577831,3189039.0,326.0,47.0
2023,ILLEGAL DWELLING UNITS,40.702425,4217819.0,440.0,27.0
2023,ILLEGAL DWELLING UNITS,40.600923,4300780.0,100804.0,31.0
2023,ILLEGAL DWELLING UNITS,40.828195,2024143.0,68.0,18.0
2023,ILLEGAL DWELLING UNITS,40.865671,2017025.0,40501.0,15.0
2022,ILLEGAL DWELLING UNITS,40.854101,2011904.0,391.0,15.0
2023,ILLEGAL DWELLING UNITS,40.817471,2102294.0,144.0,13.0
2024,ESSENTIAL SERVICES,40.579717,4303918.0,938.0,32.0
2022,STRUCTURAL,40.82321,2001780.0,141.0,17.0
2022,ILLEGAL DWELLING UNITS,40.647529,3117770.0,794.0,40.0
2025,ILLEGAL DWELLING UNITS,40.850027,2092058.0,23301.0,14.0
2023,STRUCTURAL,40.847833,2092251.0,373.0,15.0
2025,ILLEGAL DWELLING UNITS,40.672318,4270788.0,33405.0,28.0
2024,ILLEGAL DWELLING UNITS,40.713705,4206610.0,22001.0,24.0
2024,ILLEGAL DWELLING UNITS,40.840604,2003372.0,211.0,16.0
2022,ILLEGAL DWELLING UNITS,40.831739,2027392.0,56.0,17.0
2022,ILLEGAL DWELLING UNITS,40.869605,2015253.0,26701.0,14.0
2023,ILLEGAL DWELLING UNITS,40.698676,4195039.0,122.0,29.0
2025,ILLEGAL DWELLING UNITS,40.67067,3095994.0,120801.0,42.0
2023,ILLEGAL DWELLING UNITS,40.869605,2015253.0,26701.0,14.0
2022,ILLEGAL DWELLING UNITS,40.628019,3235306.0,69601.0,46.0
2024,ILLEGAL DWELLING UNITS,40.663943,4288275.0,65401.0,31.0
2022,ILLEGAL DWELLING UNITS,40.7189,4060874.0,525.0,30.0
2023,ILLEGAL DWELLING UNITS,40.884606,2058148.0,396.0,12.0
2022,STRUCTURAL,40.803959,1081573.0,218.0,9.0
2023,ILLEGAL DWELLING UNITS,40.667726,4284722.0,638.0,31.0
2024,ILLEGAL DWELLING UNITS,40.831185,2010823.0,123.0,17.0
2022,ILLEGAL DWELLING UNITS,40.831276,2010824.0,123.0,17.0
2023,ILLEGAL DWELLING UNITS,40.68612,4259007.0,190.0,28.0
2023,STRUCTURAL,40.803959,1081573.0,218.0,9.0
2024,ILLEGAL DWELLING UNITS,40.747589,4535446.0,263.0,26.0
2024,ILLEGAL DWELLING UNITS,40.833801,2102800.0,17701.0,16.0
2022,ILLEGAL DWELLING UNITS,40.577088,3188714.0,328.0,47.0
2022,ILLEGAL DWELLING UNITS,40.854101,2011904.0,391.0,15.0
2024,ILLEGAL DWELLING UNITS,40.668979,4284459.0,638.0,31.0
2024,ILLEGAL DWELLING UNITS,40.832311,2024907.0,72.0,18.0
2022,ILLEGAL DWELLING UNITS,40.695673,4216744.0,258.0,27.0
2023,ILLEGAL DWELLING UNITS,40.743346,4037944.0,481.0,25.0
2024,ILLEGAL DWELLING UNITS,40.872004,2015512.0,273.0,14.0
2024,ILLEGAL DWELLING UNITS,40.695855,4181493.0,12.0,32.0
2024,ILLEGAL DWELLING UNITS,40.827522,2024057.0,68.0,18.0
2023,ILLEGAL DWELLING UNITS,40.903205,2071069.0,414.0,11.0
2023,STRUCTURAL,40.627013,3206619.0,762.0,45.0
2023,ILLEGAL DWELLING UNITS,40.832311,2024907.0,72.0,18.0
2024,ILLEGAL DWELLING UNITS,40.71371,4071820.0,65703.0,30.0
2023,ILLEGAL DWELLING UNITS,40.821572,2004540.0,75.0,17.0
2024,ILLEGAL DWELLING UNITS,40.865671,2017025.0,40501.0,15.0
2022,STRUCTURAL,40.605884,4300289.0,100803.0,31.0
2024,ESSENTIAL SERVICES,40.664865,3388271.0,902.0,41.0
2024,ILLEGAL DWELLING UNITS,40.810205,2020106.0,2.0,18.0
2025,ILLEGAL DWELLING UNITS,40.818577,2080881.0,132.0,13.0
2023,ILLEGAL DWELLING UNITS,40.701614,4607920.0,440.0,27.0
2024,STRUCTURAL,40.809255,2000783.0,51.0,8.0
2021,ILLEGAL DWELLING UNITS,40.827578,2023676.0,4001.0,18.0
2022,ESSENTIAL SERVICES,40.832175,2010847.0,157.0,17.0
2023,ESSENTIAL SERVICES,40.663106,3096808.0,1122.0,42.0
2023,ILLEGAL DWELLING UNITS,40.705689,4235004.0,512.0,27.0
2023,ILLEGAL DWELLING UNITS,40.831739,2027392.0,56.0,17.0
2023,ESSENTIAL SERVICES,40.694066,3049152.0,261.0,36.0
2023,ILLEGAL DWELLING UNITS,40.649657,3109804.0,858.0,40.0
2024,ILLEGAL DWELLING UNITS,40.610739,3182651.0,548.0,48.0
2023,ESSENTIAL SERVICES,40.702458,4085254.0,583.0,30.0
2024,ILLEGAL DWELLING UNITS,40.874121,2057094.0,370.0,12.0
2024,ILLEGAL DWELLING UNITS,40.833645,2002168.0,17701.0,16.0
2024,ILLEGAL DWELLING UNITS,40.610044,3159255.0,268.0,43.0
2023,ILLEGAL DWELLING UNITS,40.869605,2015253.0,26701.0,14.0
2024,ILLEGAL DWELLING UNITS,40.651293,4290216.0,66403.0,31.0
2024,ESSENTIAL SERVICES,40.832175,2010847.0,157.0,17.0
2023,ILLEGAL DWELLING UNITS,40.865884,2054083.0,348.0,13.0
2022,ILLEGAL DWELLING UNITS,40.689325,4537439.0,394.0,27.0
2024,STRUCTURAL,40.703748,3072101.0,427.0,34.0
2023,ILLEGAL DWELLING UNITS,40.865848,2016622.0,40502.0,15.0
2022,STRUCTURAL,40.83376,2002367.0,17701.0,16.0
2023,ILLEGAL DWELLING UNITS,40.818951,2022083.0,2002.0,18.0
2024,ILLEGAL DWELLING UNITS,40.814712,2004411.0,73.0,17.0
2023,ESSENTIAL SERVICES,40.664865,3388271.0,902.0,41.0
2022,ESSENTIAL SERVICES,40.702458,4085254.0,583.0,30.0
2024,ILLEGAL DWELLING UNITS,40.831276,2010824.0,123.0,17.0
2023,STRUCTURAL,40.62749,5013664.0,21.0,49.0
2023,ILLEGAL DWELLING UNITS,40.67921,4265821.0,28802.0,28.0
2024,ILLEGAL DWELLING UNITS,40.703917,4082921.0,549.0,34.0
2023,ILLEGAL DWELLING UNITS,40.880694,2126461.0,46203.0,12.0
2024,ILLEGAL DWELLING UNITS,40.708867,4241136.0,582.0,27.0
2023,ILLEGAL DWELLING UNITS,40.882867,2058547.0,396.0,12.0
2023,STRUCTURAL,40.753621,4445336.0,79702.0,20.0
2022,ILLEGAL DWELLING UNITS,40.695673,4216744.0,258.0,27.0
2022,STRUCTURAL,40.627013,3206619.0,762.0,45.0
2023,ILLEGAL DWELLING UNITS,40.628019,3235306.0,69601.0,46.0
2022,ILLEGAL DWELLING UNITS,40.662214,4285411.0,320.0,31.0
2022,ILLEGAL DWELLING UNITS,40.86837,2055025.0,344.0,12.0
2024,ILLEGAL DWELLING UNITS,40.833645,2002168.0,17701.0,16.0
2023,ILLEGAL DWELLING UNITS,40.844082,2093102.0,256.0,13.0
2023,ILLEGAL DWELLING UNITS,40.667726,4284722.0,638.0,31.0
2022,ILLEGAL DWELLING UNITS,40.840604,2003372.0,211.0,16.0
2022,ILLEGAL DWELLING UNITS,40.890064,2067285.0,426.0,12.0
2023,ILLEGAL DWELLING UNITS,40.738426,4053778.0,245.0,26.0
2025,ILLEGAL DWELLING UNITS,40.712353,1003278.0,8.0,1.0
2023,ILLEGAL DWELLING UNITS,40.577088,3188714.0,328.0,47.0
2023,ILLEGAL DWELLING UNITS,40.658915,3099752.0,866.0,41.0
2023,ESSENTIAL SERVICES,40.640251,5025329.0,20701.0,49.0
2023,ILLEGAL DWELLING UNITS,40.619837,3131932.0,246.0,44.0
2022,ESSENTIAL SERVICES,40.579717,4303918.0,938.0,32.0
2023,ILLEGAL DWELLING UNITS,40.705689,4235004.0,512.0,27.0
2023,ILLEGAL DWELLING UNITS,40.869952,2054748.0,33602.0,12.0
2023,ESSENTIAL SERVICES,40.71902,4225177.0,496.0,23.0
2022,ILLEGAL DWELLING UNITS,40.844082,2093102.0,256.0,13.0
2024,ILLEGAL DWELLING UNITS,40.835466,2002849.0,197.0,16.0
2021,STRUCTURAL,40.605884,4300289.0,100803.0,31.0
2023,ILLEGAL DWELLING UNITS,40.695673,4216744.0,258.0,27.0
2022,ILLEGAL DWELLING UNITS,40.871265,2055872.0,344.0,12.0
2022,ILLEGAL DWELLING UNITS,40.746671,4038855.0,46902.0,25.0
2024,STRUCTURAL,40.818322,2005183.0,85.0,17.0
2024,ILLEGAL DWELLING UNITS,40.599727,4535294.0,101003.0,31.0
2025,ILLEGAL DWELLING UNITS,40.874753,2060785.0,364.0,12.0
2024,STRUCTURAL,40.640272,3015404.0,102.0,38.0
2023,ILLEGAL DWELLING UNITS,40.708867,4241136.0,582.0,27.0
2023,ILLEGAL DWELLING UNITS,40.689865,4205248.0,15801.0,28.0
2023,ILLEGAL DWELLING UNITS,40.697589,4237917.0,532.0,27.0
2024,ILLEGAL DWELLING UNITS,40.669431,4271176.0,330.0,28.0
2025,ESSENTIAL SERVICES,40.597999,4531152.0,954.0,31.0
2023,ESSENTIAL SERVICES,40.814272,2006512.0,9301.0,17.0
2024,STRUCTURAL,40.803959,1081573.0,218.0,9.0
2025,ILLEGAL DWELLING UNITS,40.672111,3036317.0,347.0,41.0
2023,ILLEGAL DWELLING UNITS,40.679399,4251540.0,174.0,28.0
2022,ILLEGAL DWELLING UNITS,40.680745,3087088.0,117202.0,37.0
2024,ILLEGAL DWELLING UNITS,40.71371,4071820.0,65703.0,30.0
2023,ILLEGAL DWELLING UNITS,40.847382,2007568.0,23302.0,15.0
2023,ILLEGAL DWELLING UNITS,40.833006,2009793.0,151.0,17.0
2022,ILLEGAL DWELLING UNITS,40.680745,3087088.0,117202.0,37.0
2025,ILLEGAL DWELLING UNITS,40.649305,3103867.0,862.0,45.0
2024,ILLEGAL DWELLING UNITS,40.762616,4008907.0,61.0,22.0
2022,STRUCTURAL,40.82321,2001780.0,141.0,17.0
2024,ILLEGAL DWELLING UNITS,40.810094,2000097.0,41.0,8.0
