location,tpstructure,riskratingdate
"{'type': 'Point', 'coordinates': [-73.99341545235835, 40.664141800522316]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07771833568775, 40.62346566437352]}",Full,2024-10-02 14:47:55.0000000
"{'type': 'Point', 'coordinates': [-74.09104621918752, 40.6259074174139]}",Full,
"{'type': 'Point', 'coordinates': [-73.96474481232734, 40.804278981082376]}",Retired,
"{'type': 'Point', 'coordinates': [-74.0776064553893, 40.623512948657876]}",Full,2024-10-02 14:55:41.0000000
"{'type': 'Point', 'coordinates': [-74.14110858926308, 40.6350245049403]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07788799793016, 40.62351052697131]}",Full,2024-10-02 22:10:54.0000000
"{'type': 'Point', 'coordinates': [-74.07505824864913, 40.60984450911647]}",Retired,
"{'type': 'Point', 'coordinates': [-74.0143881920662, 40.615385213897035]}",Retired,2021-04-13 15:55:59.0000000
"{'type': 'Point', 'coordinates': [-73.85287876894496, 40.67822801614558]}",Retired,
"{'type': 'Point', 'coordinates': [-74.20903635163978, 40.519577813518666]}",Full,2024-06-28 12:41:55.0000000
"{'type': 'Point', 'coordinates': [-73.83972866882603, 40.86977903555747]}",Retired,2018-09-11 07:33:57.0000000
"{'type': 'Point', 'coordinates': [-73.73589054380587, 40.73590388589216]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07547979928857, 40.62414280695571]}",Full,2024-10-02 15:20:57.0000000
"{'type': 'Point', 'coordinates': [-73.85293124774128, 40.87897354141146]}",Full,2023-02-02 11:53:48.0000000
"{'type': 'Point', 'coordinates': [-74.07726539433347, 40.62450216116115]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07667458149709, 40.624677680131484]}",Full,2024-10-01 14:50:44.0000000
"{'type': 'Point', 'coordinates': [-74.07603700899739, 40.62397922988397]}",Full,2024-10-02 15:13:53.0000000
"{'type': 'Point', 'coordinates': [-74.09287674424463, 40.62407744658287]}",Full,
"{'type': 'Point', 'coordinates': [-73.85752339157239, 40.8806620092064]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07646763012191, 40.624780783102864]}",Full,
"{'type': 'Point', 'coordinates': [-74.07824453285853, 40.624521817260764]}",Full,2024-10-04 14:14:08.0000000
"{'type': 'Point', 'coordinates': [-74.07588581862021, 40.62413771112343]}",Full,2024-10-02 15:29:48.0000000
"{'type': 'Point', 'coordinates': [-74.1002335702762, 40.630350952344706]}",Retired,
"{'type': 'Point', 'coordinates': [-74.0774957427307, 40.60716058069654]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07640469643069, 40.62463593369038]}",Full,2024-10-01 14:57:55.0000000
"{'type': 'Point', 'coordinates': [-74.09224144552422, 40.62428543290063]}",Full,
"{'type': 'Point', 'coordinates': [-74.01111946457456, 40.609953207952344]}",Full,2023-09-06 14:47:53.0000000
"{'type': 'Point', 'coordinates': [-73.9875621938607, 40.727686715521195]}",Full,2021-08-12 16:46:47.0000000
"{'type': 'Point', 'coordinates': [-74.0765687530856, 40.62382055966172]}",Retired,2022-06-22 18:42:00.0000000
"{'type': 'Point', 'coordinates': [-74.07822025350946, 40.62446858711208]}",Retired,
"{'type': 'Point', 'coordinates': [-74.08863135504222, 40.62440870219972]}",Full,2025-11-21 13:07:14.0000000
"{'type': 'Point', 'coordinates': [-73.85288448063969, 40.87904517377986]}",Full,2021-09-17 13:24:36.0000000
"{'type': 'Point', 'coordinates': [-73.94404777028993, 40.67829561612317]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07775987958638, 40.62345485611114]}",Full,2024-10-02 14:46:52.0000000
"{'type': 'Point', 'coordinates': [-73.93297667958915, 40.68069033526909]}",Full,2024-03-21 18:16:19.0000000
"{'type': 'Point', 'coordinates': [-73.94616631506354, 40.83116410964076]}",Retired,
"{'type': 'Point', 'coordinates': [-74.09284741720462, 40.62345260515412]}",Retired,
"{'type': 'Point', 'coordinates': [-73.73866981057843, 40.720309316158435]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07812194887646, 40.62397068354924]}",Full,2024-10-01 15:27:00.0000000
"{'type': 'Point', 'coordinates': [-74.0915308998201, 40.62429480701139]}",Full,2025-11-18 18:42:59.0000000
"{'type': 'Point', 'coordinates': [-74.13102204411233, 40.60128403498094]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07621479187468, 40.62469264647751]}",Full,2024-10-01 14:56:46.0000000
"{'type': 'Point', 'coordinates': [-74.09307181063477, 40.62326462730066]}",Retired,
"{'type': 'Point', 'coordinates': [-74.09111517155301, 40.62561107510907]}",Full,2025-11-18 18:18:47.0000000
"{'type': 'Point', 'coordinates': [-74.01077204743451, 40.725043521377096]}",Full,2025-08-06 17:05:01.0000000
"{'type': 'Point', 'coordinates': [-73.7499973182585, 40.687375120566976]}",Retired,2017-04-20 09:57:22.0000000
"{'type': 'Point', 'coordinates': [-73.92220496831976, 40.608102950737354]}",Retired,
"{'type': 'Point', 'coordinates': [-73.80443500167148, 40.68793926064319]}",Full,2021-10-01 17:30:24.0000000
"{'type': 'Point', 'coordinates': [-74.0930905689941, 40.6232673837814]}",Full,2025-11-20 16:44:20.0000000
"{'type': 'Point', 'coordinates': [-74.07694543178398, 40.62370951522004]}",Full,2024-10-02 15:03:05.0000000
"{'type': 'Point', 'coordinates': [-73.72948022279164, 40.730268309715214]}",Full,2025-09-25 13:23:20.0000000
"{'type': 'Point', 'coordinates': [-74.07195015341186, 40.6109781192889]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07683133409667, 40.62374354517519]}",Full,2024-10-02 15:04:46.0000000
"{'type': 'Point', 'coordinates': [-74.08860582881948, 40.625664521301495]}",Full,
"{'type': 'Point', 'coordinates': [-73.9135897078403, 40.77202827212506]}",Retired,
"{'type': 'Point', 'coordinates': [-74.09125575758118, 40.62334045333577]}",Full,2025-11-20 14:03:43.0000000
"{'type': 'Point', 'coordinates': [-73.91830243503632, 40.67751182259077]}",Retired,
"{'type': 'Point', 'coordinates': [-73.77094831998542, 40.74631214429808]}",Retired,
"{'type': 'Point', 'coordinates': [-74.13108845833014, 40.60127740717909]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07607204709305, 40.62394830892736]}",Full,2024-10-02 15:12:40.0000000
"{'type': 'Point', 'coordinates': [-73.85729207604317, 40.68766839619958]}",Full,
"{'type': 'Point', 'coordinates': [-73.94324306771684, 40.61054919219276]}",Retired,
"{'type': 'Point', 'coordinates': [-74.00240540203508, 40.73042327120439]}",Retired,
"{'type': 'Point', 'coordinates': [-73.73312480220066, 40.72226391932646]}",Full,2025-10-25 12:47:20.0000000
"{'type': 'Point', 'coordinates': [-73.80553447311532, 40.76905209595379]}",Full,
"{'type': 'Point', 'coordinates': [-73.73874539768714, 40.65568886901168]}",Full,2023-04-13 15:03:33.0000000
"{'type': 'Point', 'coordinates': [-74.12097976296101, 40.57447104552291]}",Retired,
"{'type': 'Point', 'coordinates': [-73.97755665357643, 40.78448682967392]}",Retired,
"{'type': 'Point', 'coordinates': [-73.96301239629126, 40.59262062481731]}",Full,2024-08-20 18:51:13.0000000
"{'type': 'Point', 'coordinates': [-74.07800755345163, 40.62416786071988]}",Full,2024-10-01 15:11:02.0000000
"{'type': 'Point', 'coordinates': [-73.85265775389628, 40.87939146159326]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07749469852463, 40.62366409510228]}",Full,2024-10-25 16:13:47.0000000
"{'type': 'Point', 'coordinates': [-74.03471787274619, 40.632370904342075]}",Full,2024-12-16 19:12:50.0000000
"{'type': 'Point', 'coordinates': [-74.06369540269353, 40.61060621889969]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07808199214999, 40.6238956577934]}",Retired,
"{'type': 'Point', 'coordinates': [-73.93035609716861, 40.61448425898373]}",Full,2025-11-26 15:23:50.0000000
"{'type': 'Point', 'coordinates': [-74.07677553090679, 40.62464842533382]}",Stump,2023-05-31 14:08:00.0000000
"{'type': 'Point', 'coordinates': [-74.13088024029413, 40.60672684318438]}",Retired,
"{'type': 'Point', 'coordinates': [-74.0931745935655, 40.6240415227036]}",Full,2025-11-18 17:39:03.0000000
"{'type': 'Point', 'coordinates': [-74.06261051819232, 40.60950169918544]}",Retired,
"{'type': 'Point', 'coordinates': [-74.03151467680948, 40.629826865618675]}",Retired,2022-02-14 16:53:00.0000000
"{'type': 'Point', 'coordinates': [-74.00382387751313, 40.73789675544771]}",Full,2025-07-10 16:09:59.0000000
"{'type': 'Point', 'coordinates': [-73.9301234004764, 40.69075682234576]}",Retired,2016-10-06 13:22:04.0000000
"{'type': 'Point', 'coordinates': [-74.09089199416383, 40.62591265447835]}",Full,2025-11-18 18:16:45.0000000
"{'type': 'Point', 'coordinates': [-73.91830243503632, 40.67751182259077]}",Full,2024-02-16 13:32:56.0000000
"{'type': 'Point', 'coordinates': [-74.06365987436638, 40.61090778177847]}",Retired,
"{'type': 'Point', 'coordinates': [-73.82308784621529, 40.67000141504855]}",Retired,2023-01-28 13:27:03.0000000
"{'type': 'Point', 'coordinates': [-73.98045838845547, 40.638632739378934]}",Retired,
"{'type': 'Point', 'coordinates': [-73.98771383177144, 40.76290197374873]}",Retired,2017-10-30 04:00:00.0000000
"{'type': 'Point', 'coordinates': [-73.95285556733025, 40.798479350106135]}",Full,2023-04-06 12:08:43.0000000
"{'type': 'Point', 'coordinates': [-74.09274431069409, 40.623436462081145]}",Retired,2022-06-09 18:02:00.0000000
"{'type': 'Point', 'coordinates': [-74.07686812989651, 40.62450160116818]}",Full,2024-10-01 14:59:11.0000000
"{'type': 'Point', 'coordinates': [-73.94452091329741, 40.779669808856454]}",Full,2022-05-31 13:47:31.0000000
"{'type': 'Point', 'coordinates': [-73.79818019958698, 40.77341682966503]}",Retired,
"{'type': 'Point', 'coordinates': [-73.80889631491311, 40.71090872145983]}",Full,
"{'type': 'Point', 'coordinates': [-73.9017383809553, 40.69885065097627]}",Full,2023-12-19 18:48:32.0000000
"{'type': 'Point', 'coordinates': [-74.07817480658122, 40.624016853901054]}",Full,
"{'type': 'Point', 'coordinates': [-74.13081967432801, 40.60130273115864]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07742514816836, 40.62368618149827]}",Full,2024-10-03 13:38:50.0000000
"{'type': 'Point', 'coordinates': [-73.9478911609905, 40.7215155842919]}",Full,
"{'type': 'Point', 'coordinates': [-73.95851761810482, 40.66193926498061]}",Full,
"{'type': 'Point', 'coordinates': [-73.74810572818855, 40.60076625412003]}",Stump,2018-02-15 10:57:00.0000000
"{'type': 'Point', 'coordinates': [-74.09200290466534, 40.62477823301535]}",Full,2025-11-18 17:28:34.0000000
"{'type': 'Point', 'coordinates': [-73.81656874596392, 40.716290654685075]}",Full,
"{'type': 'Point', 'coordinates': [-73.94573302735405, 40.68072758505007]}",Full,2023-07-20 16:05:50.0000000
"{'type': 'Point', 'coordinates': [-74.13351516400837, 40.61816572358147]}",Retired,
"{'type': 'Point', 'coordinates': [-74.13387034324204, 40.598860458231755]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07735750246938, 40.62370630004145]}",Retired,
"{'type': 'Point', 'coordinates': [-73.95575237109139, 40.76852650020388]}",Retired,
"{'type': 'Point', 'coordinates': [-73.8324418090213, 40.88762504315543]}",Retired,
"{'type': 'Point', 'coordinates': [-73.94788648453375, 40.72148877788772]}",Full,
"{'type': 'Point', 'coordinates': [-74.1567308091018, 40.560717508577355]}",Retired,
"{'type': 'Point', 'coordinates': [-73.94205282678769, 40.67180199561143]}",Retired,
"{'type': 'Point', 'coordinates': [-74.09258013198148, 40.6242463390066]}",Full,2020-08-05 15:55:14.0000000
"{'type': 'Point', 'coordinates': [-74.07614303451746, 40.62394851411104]}",Full,2024-10-02 15:10:48.0000000
"{'type': 'Point', 'coordinates': [-74.07488554975724, 40.62513555377968]}",Full,2024-10-17 13:38:23.0000000
"{'type': 'Point', 'coordinates': [-73.72613064281603, 40.73528102440398]}",Retired,
"{'type': 'Point', 'coordinates': [-74.08859623097244, 40.62282207126434]}",Full,
"{'type': 'Point', 'coordinates': [-73.93848036135195, 40.81299277914583]}",Retired,
"{'type': 'Point', 'coordinates': [-74.13087135501982, 40.60657972580521]}",Retired,
"{'type': 'Point', 'coordinates': [-74.13092057296318, 40.60129871063995]}",Full,2021-11-26 19:24:59.0000000
"{'type': 'Point', 'coordinates': [-73.9752479978842, 40.64166006744013]}",Full,2024-08-01 16:43:59.0000000
"{'type': 'Point', 'coordinates': [-73.90437212504638, 40.74435840755658]}",Retired,2024-08-28 15:24:24.0000000
"{'type': 'Point', 'coordinates': [-74.09207527372206, 40.62453455191458]}",Full,2025-11-18 18:26:53.0000000
"{'type': 'Point', 'coordinates': [-74.09119716037509, 40.62434808617988]}",Full,2025-11-18 18:46:05.0000000
"{'type': 'Point', 'coordinates': [-74.07753266924617, 40.62442573720155]}",Full,2024-10-01 14:46:29.0000000
"{'type': 'Point', 'coordinates': [-74.16611957444773, 40.64001367917599]}",Retired,
"{'type': 'Point', 'coordinates': [-74.08863347248588, 40.624479572239316]}",Full,2025-11-21 13:09:11.0000000
"{'type': 'Point', 'coordinates': [-73.98032166282525, 40.7429106380851]}",Retired,
"{'type': 'Point', 'coordinates': [-73.74539068827976, 40.72464046108341]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07629802729952, 40.623901621230836]}",Full,2024-10-02 15:08:31.0000000
"{'type': 'Point', 'coordinates': [-73.86262128908143, 40.866768413849634]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07816268533401, 40.62442563539474]}",Retired,
"{'type': 'Point', 'coordinates': [-74.06681410407738, 40.61365668996171]}",Retired,
"{'type': 'Point', 'coordinates': [-73.82593109002597, 40.684114236653066]}",Stump,2024-08-01 12:20:00.0000000
"{'type': 'Point', 'coordinates': [-73.93604196813637, 40.82771635937383]}",Retired,
"{'type': 'Point', 'coordinates': [-73.78627975523723, 40.842228958804085]}",Full,2025-02-27 17:02:55.0000000
"{'type': 'Point', 'coordinates': [-74.07668450782478, 40.62390189703546]}",Full,2024-10-02 15:37:54.0000000
"{'type': 'Point', 'coordinates': [-74.11493980623675, 40.61583991757071]}",Retired,
"{'type': 'Point', 'coordinates': [-74.11996406388805, 40.57309992746998]}",Retired,
