objectid,globalid,plantingspaceglobalid,geometry,location,genusspecies,createddate,tpcondition
89625,380AB840-F0E9-4B14-A4D6-A99B8861065E,8E628B41-0A1D-4948-AAE3-F0B3A2A8AFE8,POINT(-73.96474481232734 40.804278981082376),"{'type': 'Point', 'coordinates': [-73.96474481232734, 40.804278981082376]}",Tilia cordata - littleleaf linden,2015-03-04 05:00:00.0000000,Unknown
101637,A32441AE-1322-4371-9F08-9D13D688767E,E5776E7A-00E5-472A-913A-D580D3B9B762,POINT(-74.07640469643069 40.62463593369038),"{'type': 'Point', 'coordinates': [-74.07640469643069, 40.62463593369038]}",Betula alleghaniensis - yellow birch,2015-03-13 04:00:00.0000000,Good
101633,6AA46CD3-20AD-4B69-B9A9-301F5C3CC09B,FDF354D0-8AC1-4649-996F-98753D8358E2,POINT(-74.07795851426806 40.62364688503908),"{'type': 'Point', 'coordinates': [-74.07795851426806, 40.62364688503908]}",Acer rubrum - red maple,2015-03-13 04:00:00.0000000,Good
96425,308E4312-9430-406E-9839-20DFCB8DF0E6,64A60C3B-1124-4F2F-80CA-6E6EE6EC5AD4,POINT(-74.07505824864913 40.60984450911647),"{'type': 'Point', 'coordinates': [-74.07505824864913, 40.60984450911647]}",Quercus ellipsoidalis - northern pin oak,2015-03-11 04:00:00.0000000,Dead
103242,55A815A8-8BA3-4BF7-9226-47666EAE0EF2,79AB098A-D157-416E-9DCA-3E496E522725,POINT(-74.09218078934276 40.62439744791152),"{'type': 'Point', 'coordinates': [-74.09218078934276, 40.62439744791152]}",Platanus x acerifolia - London planetree,2015-03-16 04:00:00.0000000,Fair
103263,0DCC34C9-E446-4712-BC80-AFD9AF3B7300,4CFA723B-1334-4148-BC24-7516D137A3F5,POINT(-73.95639807708068 40.67404320380083),"{'type': 'Point', 'coordinates': [-73.95639807708068, 40.67404320380083]}",Fraxinus americana - white ash,2015-03-16 04:00:00.0000000,Fair
103255,8FC401E8-AEB9-4736-9961-6E4382801671,013D47E6-063A-49B1-B14C-ECACC02B36C2,POINT(-73.94404777028993 40.67829561612317),"{'type': 'Point', 'coordinates': [-73.94404777028993, 40.67829561612317]}",Metasequoia glyptostroboides - dawn redwood,2015-03-16 04:00:00.0000000,Critical
96424,B5F4EF9A-3267-478D-9D69-7EDFCFE09DE1,B9C7D141-6C5F-474E-AA8E-003B3B4B11FC,POINT(-74.03151467680948 40.629826865618675),"{'type': 'Point', 'coordinates': [-74.03151467680948, 40.629826865618675]}",Acer platanoides - Norway maple,2015-03-11 04:00:00.0000000,Unknown
92023,F763D1C0-3020-434A-AD05-F61D69CEC648,FAD30141-44AD-4A95-BA52-F06FE2387F97,POINT(-73.98771383177144 40.76290197374873),"{'type': 'Point', 'coordinates': [-73.98771383177144, 40.76290197374873]}",Pyrus calleryana - Callery pear,2015-03-08 05:00:00.0000000,Poor
96436,9E24DD06-98CE-41AF-968F-56F387943565,64088F54-019F-48B2-9315-FB9A92ED714F,POINT(-73.74558807747808 40.724893549950345),"{'type': 'Point', 'coordinates': [-73.74558807747808, 40.724893549950345]}",Acer saccharinum - silver maple,2015-03-11 04:00:00.0000000,Good
94427,3D0E5037-9EC3-41C0-8460-2FBC49CE2A70,E9D2728E-E15E-4B65-82D4-DBB46C5EB766,POINT(-73.89908058460155 40.75776476222246),"{'type': 'Point', 'coordinates': [-73.89908058460155, 40.75776476222246]}",Tilia x. europaea - Common linden,2015-03-10 04:00:00.0000000,Poor
100429,7F85EBAB-6A2A-432E-ABCE-8002E05C3D82,A500A110-E06B-493F-A86B-E569F046D488,POINT(-74.0765687530856 40.62382055966172),"{'type': 'Point', 'coordinates': [-74.0765687530856, 40.62382055966172]}",Quercus rubra - northern red oak,2015-03-13 04:00:00.0000000,Poor
94026,BC569266-A28D-403A-A727-4F2268187E1E,B914F50F-66E2-4665-A74C-EF38E1F4439C,POINT(-73.79761247214171 40.77200377307355),"{'type': 'Point', 'coordinates': [-73.79761247214171, 40.77200377307355]}",Platanus x acerifolia - London planetree,2015-03-10 04:00:00.0000000,Good
95627,43A9125F-E5A3-4C0A-8F89-52DCA9A75C6D,D1C8F2EE-716C-48EC-A042-A81157CCD025,POINT(-74.1002335702762 40.630350952344706),"{'type': 'Point', 'coordinates': [-74.1002335702762, 40.630350952344706]}",Acer platanoides - Norway maple,2015-03-11 04:00:00.0000000,Dead
103236,39AC02EF-C996-4C53-A0CB-7738A10D56A4,1ED391F8-51EE-4DDC-BA59-BA6BD4BE825B,POINT(-74.09111517155301 40.62561107510907),"{'type': 'Point', 'coordinates': [-74.09111517155301, 40.62561107510907]}",Acer - maple,2015-03-16 04:00:00.0000000,Fair
94424,876E5D36-AD66-4B2A-BB86-FB7EB4138C34,462E1DE0-B006-4AA4-9876-4CE54597585C,POINT(-74.13351516400837 40.61816572358147),"{'type': 'Point', 'coordinates': [-74.13351516400837, 40.61816572358147]}",Aesculus hippocastanum - horse chestnut,2015-03-10 04:00:00.0000000,Poor
101237,36E8AC6F-423E-418F-B4C3-F722B52F06EA,9DE96956-164D-446F-9D78-940E9843CED2,POINT(-73.8597984565339 40.877462155538886),"{'type': 'Point', 'coordinates': [-73.8597984565339, 40.877462155538886]}",Zelkova serrata - Japanese zelkova,2015-03-13 04:00:00.0000000,Dead
101230,642F7C91-F4AD-4313-A7FE-1D8ED4842965,E9215E75-AC1C-4D8F-A2BD-E4546FDFEEA7,POINT(-74.07771833568775 40.62346566437352),"{'type': 'Point', 'coordinates': [-74.07771833568775, 40.62346566437352]}",Prunus serrulata 'Not Green leaf' - 'Not Green leaf' Japanese flowering cherry,2015-03-13 04:00:00.0000000,Fair
103226,6FB7F030-358A-413D-8A54-59BFAF189300,D6431F9C-0CDE-4660-BA54-D37BCA58FDCA,POINT(-74.07837380131224 40.624076539436174),"{'type': 'Point', 'coordinates': [-74.07837380131224, 40.624076539436174]}",Zelkova serrata - Japanese zelkova,2015-03-16 04:00:00.0000000,Fair
96426,5C388BD5-D434-45FD-9077-61112CDD31BE,270BAE85-D920-4B1E-800F-EB240240ED43,POINT(-73.93035609716861 40.61448425898373),"{'type': 'Point', 'coordinates': [-73.93035609716861, 40.61448425898373]}",Platanus x acerifolia - London planetree,2015-03-11 04:00:00.0000000,Good
102025,B96F9DE3-E4D7-4046-A347-DA0A416BC5DA,E2245737-7649-422A-A8A9-835FAC7FE8DA,POINT(-73.94688326896427 40.83641781561749),"{'type': 'Point', 'coordinates': [-73.94688326896427, 40.83641781561749]}",Quercus palustris - pin oak,2015-03-15 04:00:00.0000000,Good
102023,6479BD05-9489-4BA9-858E-26700AD89DD1,CA0677FA-9719-4C65-A43D-C2A7695BA777,POINT(-74.00240540203508 40.73042327120439),"{'type': 'Point', 'coordinates': [-74.00240540203508, 40.73042327120439]}",Styphnolobium japonicum - Japanese pagoda tree,2015-03-15 04:00:00.0000000,Good
102424,87385D83-3200-4BE3-89DB-DCCA0D75C613,98F0914F-ED5D-4280-9EBC-EAA1C5EDBE56,POINT(-73.9775976193535 40.78460931452247),"{'type': 'Point', 'coordinates': [-73.9775976193535, 40.78460931452247]}",Tilia cordata - littleleaf linden,2015-03-15 04:00:00.0000000,Fair
101628,CAEE2E2A-DC20-4CE8-B2E4-4AD8264C867F,D445E4C9-B1EE-4F47-847A-23CFEB41E35E,POINT(-74.07703295906435 40.62368384312262),"{'type': 'Point', 'coordinates': [-74.07703295906435, 40.62368384312262]}",Quercus palustris - pin oak,2015-03-13 04:00:00.0000000,Fair
103241,9E5E870E-A289-4DFF-966F-97AC8D672539,D6DAB456-F8C3-44E2-8F4C-9DDEBEA4067E,POINT(-74.09207527372206 40.62453455191458),"{'type': 'Point', 'coordinates': [-74.09207527372206, 40.62453455191458]}",Platanus x acerifolia - London planetree,2015-03-16 04:00:00.0000000,Fair
96031,F583CCEB-2C50-494B-921A-355D36994175,C338E864-C9B0-4CC5-9FD6-407FEC433652,POINT(-74.14110858926308 40.6350245049403),"{'type': 'Point', 'coordinates': [-74.14110858926308, 40.6350245049403]}",Acer - maple,2015-05-07 10:16:00.0000000,Dead
96434,DFBA8C8D-8D9F-41FA-9B9E-BDAF7BC87A86,B4AA48FB-2B2A-4DAF-A30C-FB09AD01F22A,POINT(-73.76435569537516 40.677207884856706),"{'type': 'Point', 'coordinates': [-73.76435569537516, 40.677207884856706]}",Gleditsia triacanthos var. inermis - Thornless honeylocust,2015-03-11 04:00:00.0000000,Good
103240,953E356D-8ACD-442E-8E29-19DEDEF64A9D,F6649F43-627D-46E0-8DB8-3970F0F86265,POINT(-74.09200290466534 40.62477823301535),"{'type': 'Point', 'coordinates': [-74.09200290466534, 40.62477823301535]}",Aesculus hippocastanum - horse chestnut,2015-03-16 04:00:00.0000000,Good
101238,9DDB99E6-223C-4A3D-BB75-FFE81BD0C1B1,1D36D1B5-3FBD-49B2-93CD-D1DD2D538582,POINT(-73.97952347192481 40.6587302012652),"{'type': 'Point', 'coordinates': [-73.97952347192481, 40.6587302012652]}",Tilia x. europaea - Common linden,2015-03-13 04:00:00.0000000,Fair
96423,D76ABC03-CF2D-43E2-A73F-3B8987E1D2D3,DC0872D4-5695-46BB-B18A-BB1BF0C36688,POINT(-74.06365987436638 40.61090778177847),"{'type': 'Point', 'coordinates': [-74.06365987436638, 40.61090778177847]}",Liquidambar styraciflua - sweetgum,2015-03-11 04:00:00.0000000,Fair
102824,5A55694F-942B-448C-B1AB-6909992DE968,213AE903-7DAD-4459-9491-0870918F9D01,POINT(-73.99758223694114 40.725976648323545),"{'type': 'Point', 'coordinates': [-73.99758223694114, 40.725976648323545]}",Gleditsia triacanthos var. inermis - Thornless honeylocust,2015-03-15 04:00:00.0000000,Good
100424,69CFB165-CD12-429B-AC8B-9020067562F4,7DD6AE82-8650-463B-9F76-3E292AF16B68,POINT(-73.82308784621529 40.67000141504855),"{'type': 'Point', 'coordinates': [-73.82308784621529, 40.67000141504855]}",Acer platanoides - Norway maple,2015-03-13 04:00:00.0000000,Dead
100427,56C5C498-0A22-4560-A0B7-3903AF08CB8D,A1D2EF8A-3795-4DF4-88DE-E3BC67BA2213,POINT(-74.07629802729952 40.623901621230836),"{'type': 'Point', 'coordinates': [-74.07629802729952, 40.623901621230836]}",Quercus palustris - pin oak,2015-03-13 04:00:00.0000000,Fair
103223,FB160956-EA36-488C-9EF6-0B04FA9F2546,AB50E9A8-2E9F-449F-8508-21434BBB54CD,POINT(-74.07667458149709 40.624677680131484),"{'type': 'Point', 'coordinates': [-74.07667458149709, 40.624677680131484]}",Prunus virginiana - chokecherry,2015-03-16 04:00:00.0000000,Good
101225,22CCFF5C-998A-4DCE-BC4A-5B222563A0DF,CA5710BC-D971-42F2-8A2F-FC38E73968E3,POINT(-74.07694543178398 40.62370951522004),"{'type': 'Point', 'coordinates': [-74.07694543178398, 40.62370951522004]}",Acer rubrum - red maple,2015-03-13 04:00:00.0000000,Fair
94025,C40C4778-243C-4BE3-A3D6-ECB0F5838BCC,2EAB0B2A-F17C-428A-8CFB-2E8F3497F735,POINT(-73.92220496831976 40.608102950737354),"{'type': 'Point', 'coordinates': [-73.92220496831976, 40.608102950737354]}",Tilia x. europaea - Common linden,2015-03-10 04:00:00.0000000,Critical
101226,920E22CF-F0D5-455E-AF3B-5509890449E7,6F3E841D-0194-45B0-BB0F-33AE707C7BFE,POINT(-73.90437212504638 40.74435840755658),"{'type': 'Point', 'coordinates': [-73.90437212504638, 40.74435840755658]}",Zelkova serrata - Japanese zelkova,2015-03-13 04:00:00.0000000,Good
98823,2EC561CD-1645-42A4-A1A8-B88E274AE7A2,DB766E89-84DD-4B5D-9053-EBC1DB98D638,POINT(-73.94324306771684 40.61054919219276),"{'type': 'Point', 'coordinates': [-73.94324306771684, 40.61054919219276]}",Tilia cordata - littleleaf linden,2015-03-12 04:00:00.0000000,Excellent
99623,F47270E0-A6E1-4685-B5CA-8011D4247A08,222A7188-3635-43AB-89CE-3869AE355AB4,POINT(-73.9752479978842 40.64166006744013),"{'type': 'Point', 'coordinates': [-73.9752479978842, 40.64166006744013]}",Platanus x acerifolia - London planetree,2015-03-12 04:00:00.0000000,Fair
96429,932B716F-8C0C-41B1-B0B1-BE9FE6E94209,2C87449D-345C-4EB0-9E3C-1821C76ECFB0,POINT(-73.9301234004764 40.69075682234576),"{'type': 'Point', 'coordinates': [-73.9301234004764, 40.69075682234576]}",Tilia cordata - littleleaf linden,2015-03-11 04:00:00.0000000,Dead
103624,78C7F945-CFE1-4471-91D7-6A7AEBD69CD6,2E5E7B9F-131F-4F9B-B528-6D42112F9A4B,POINT(-74.07686812989651 40.62450160116818),"{'type': 'Point', 'coordinates': [-74.07686812989651, 40.62450160116818]}",Platanus x acerifolia - London planetree,2015-03-16 04:00:00.0000000,Fair
100438,4EC557B8-C9DF-4AF4-9627-E0733AB5415A,642084B8-10E0-4CDA-AB42-6705E343D137,POINT(-73.85955447358243 40.87744817372137),"{'type': 'Point', 'coordinates': [-73.85955447358243, 40.87744817372137]}",Zelkova serrata - Japanese zelkova,2015-03-13 04:00:00.0000000,Dead
91223,5541167A-B22A-437C-A4E6-8B0704203FD6,877312FA-0D7B-4508-9AAB-C50F8A48B9E4,POINT(-74.13108845833014 40.60127740717909),"{'type': 'Point', 'coordinates': [-74.13108845833014, 40.60127740717909]}",Acer saccharinum - silver maple,2015-04-08 10:34:00.0000000,Unknown
96824,021823C7-85AA-4DC9-81DB-3AB4C9189D99,C498BD1C-969E-44A6-906A-35F53F865E61,POINT(-74.1567308091018 40.560717508577355),"{'type': 'Point', 'coordinates': [-74.1567308091018, 40.560717508577355]}",Platanus x acerifolia - London planetree,2015-03-11 04:00:00.0000000,Poor
96026,C2FA5D21-1113-4987-B002-1C89886D0C4B,F8672F08-D92E-440F-8AC3-6248F272F82A,POINT(-73.95590463311132 40.8145338318925),"{'type': 'Point', 'coordinates': [-73.95590463311132, 40.8145338318925]}",Quercus palustris - pin oak,2015-03-11 04:00:00.0000000,Fair
96029,FD9BF78C-647B-47D8-A298-1C9609C338DB,088C963B-A7AE-4457-8871-B8B6979D72BE,POINT(-74.06681410407738 40.61365668996171),"{'type': 'Point', 'coordinates': [-74.06681410407738, 40.61365668996171]}",Tilia cordata - littleleaf linden,2015-03-11 04:00:00.0000000,Dead
103227,0071E640-434B-47A3-A4B7-553CFFBFBE9C,FC352CAC-17BD-421A-BF0B-8131CBD5CBB3,POINT(-73.82593109002597 40.684114236653066),"{'type': 'Point', 'coordinates': [-73.82593109002597, 40.684114236653066]}",Acer platanoides - Norway maple,2015-03-16 04:00:00.0000000,Unknown
103239,56B2D7D6-18B9-460C-84CD-1FB4C6223092,BAA0D416-118A-4499-B2AE-21DCB54E4948,POINT(-73.93604196813637 40.82771635937383),"{'type': 'Point', 'coordinates': [-73.93604196813637, 40.82771635937383]}",Ulmus americana - American elm,2015-03-16 04:00:00.0000000,Unknown
100827,A955ED59-353C-42FF-BDA5-280EA8C27416,8792ACE1-248A-4113-8AD8-49E913F6C908,POINT(-74.07658369595809 40.623932342218005),"{'type': 'Point', 'coordinates': [-74.07658369595809, 40.623932342218005]}",Prunus virginiana - chokecherry,2015-03-13 04:00:00.0000000,Fair
95628,8E69E24C-1D68-4951-92D5-40FE7FB4377C,03E02A15-69F8-400D-A398-7A0EAF3D2ECD,POINT(-73.79818019958698 40.77341682966503),"{'type': 'Point', 'coordinates': [-73.79818019958698, 40.77341682966503]}",Acer saccharinum - silver maple,2015-03-11 04:00:00.0000000,Dead
97623,4C501D4B-8B01-4556-A88D-C60AF587FF1E,E7C101AF-A22E-40E5-A8D2-BE9163E434CB,POINT(-73.79102844997146 40.724669215950875),"{'type': 'Point', 'coordinates': [-73.79102844997146, 40.724669215950875]}",Tilia cordata - littleleaf linden,2015-03-11 04:00:00.0000000,Critical
103244,54B81648-A84F-4A5D-A12B-6C236DB8227C,8A504682-C945-43D8-B80E-233CEFF8063F,POINT(-74.0931745935655 40.6240415227036),"{'type': 'Point', 'coordinates': [-74.0931745935655, 40.6240415227036]}",Acer - maple,2015-03-16 04:00:00.0000000,Good
96025,D7A32B8E-1622-4DAD-97B8-B4DDC3416542,214BE02E-5353-4879-A6FA-C5BF51ADC799,POINT(-74.06369540269353 40.61060621889969),"{'type': 'Point', 'coordinates': [-74.06369540269353, 40.61060621889969]}",Prunus cerasifera - cherry plum,2015-03-11 04:00:00.0000000,Dead
94426,560AADE4-1A81-443D-ADBA-412DCEF4899A,DDC385AF-B0F2-43FF-B54A-B7F922F0A5F1,POINT(-73.99341545235835 40.664141800522316),"{'type': 'Point', 'coordinates': [-73.99341545235835, 40.664141800522316]}",Ginkgo biloba - maidenhair tree,2015-03-10 04:00:00.0000000,Critical
103252,DA91ECF3-5179-4178-8DA4-1A81FB397A53,9FFF927A-5640-43FA-B6A2-F2C8A126860A,POINT(-73.74810572818855 40.60076625412003),"{'type': 'Point', 'coordinates': [-73.74810572818855, 40.60076625412003]}",Populus deltoides - eastern cottonwood,2015-03-16 04:00:00.0000000,Poor
101636,75ADC63A-CB64-4574-AAD3-69816CFD69C7,B6F693E5-3651-47B2-BF14-BA840C21121C,POINT(-74.07816268533401 40.62442563539474),"{'type': 'Point', 'coordinates': [-74.07816268533401, 40.62442563539474]}",Acer - maple,2015-03-13 04:00:00.0000000,Good
90423,3F232143-9B90-4E43-85F1-D2FB0589FDCB,710AE376-7FD6-4146-B5A8-1174A4DBCADA,POINT(-73.99352652018682 40.72203588035812),"{'type': 'Point', 'coordinates': [-73.99352652018682, 40.72203588035812]}",Pyrus calleryana - Callery pear,2015-03-05 05:00:00.0000000,Dead
94028,4D5590A2-D335-41DB-9FBA-06636D8B3E70,2F0C0FC8-75AE-49A3-8EF7-60388FCAB917,POINT(-73.77856467569248 40.74961118217812),"{'type': 'Point', 'coordinates': [-73.77856467569248, 40.74961118217812]}",Quercus palustris - pin oak,2015-03-10 04:00:00.0000000,Poor
101639,7F11F1D2-9513-4236-B48F-7EBF831DF083,9EE6F1C1-B65C-4607-BDF6-1DDFD453CE24,POINT(-73.81314807079612 40.77412573614973),"{'type': 'Point', 'coordinates': [-73.81314807079612, 40.77412573614973]}",Platanus x acerifolia - London planetree,2015-03-13 04:00:00.0000000,Good
99223,A9221A98-4377-4AF9-BF19-30D85FB304E5,1ABA0A50-DF59-4A68-8DDE-21414609B9F6,POINT(-74.00494251189618 40.64087644299727),"{'type': 'Point', 'coordinates': [-74.00494251189618, 40.64087644299727]}",Platanus x acerifolia - London planetree,2015-03-12 04:00:00.0000000,Fair
96027,5D9783E0-E0EB-4DE5-B806-C121BE0C5F91,2421DF8B-73D1-4F3F-A137-BC27035E620F,POINT(-73.83388653221188 40.693317148514986),"{'type': 'Point', 'coordinates': [-73.83388653221188, 40.693317148514986]}",Fraxinus pennsylvanica - Green ash,2015-03-11 04:00:00.0000000,Dead
96435,90BD1ABB-3071-4262-83B3-E6A0F17F44DA,DADC40C1-669C-4778-9862-ED93B881F4BD,POINT(-73.80443500167148 40.68793926064319),"{'type': 'Point', 'coordinates': [-73.80443500167148, 40.68793926064319]}",Tilia americana - American basswood,2015-03-11 04:00:00.0000000,Good
100426,1E145ADA-C73A-4E5B-8867-B7FC89B78C5A,CA6B62FA-B81E-468F-ADA1-5081CC5B7567,POINT(-74.07563766165642 40.624096838306826),"{'type': 'Point', 'coordinates': [-74.07563766165642, 40.624096838306826]}",Styphnolobium japonicum - Japanese pagoda tree,2015-03-13 04:00:00.0000000,Good
102024,6F8533D0-ADBB-4C08-9176-F3F9C8E60CCC,9CF85C06-DCD9-4106-8A1F-175B90E1EE30,POINT(-73.97755665357643 40.78448682967392),"{'type': 'Point', 'coordinates': [-73.97755665357643, 40.78448682967392]}",Tilia cordata - littleleaf linden,2015-03-15 04:00:00.0000000,Poor
101625,4AE98030-BC89-459C-85E2-BC7F9899B929,8C1FCAAC-6EBC-4889-9D5B-D02EAC65D141,POINT(-73.78627975523723 40.842228958804085),"{'type': 'Point', 'coordinates': [-73.78627975523723, 40.842228958804085]}",Zelkova serrata - Japanese zelkova,2015-03-13 04:00:00.0000000,Fair
103225,9705D4CB-D771-4697-99BA-F61B6115F687,8F3926A8-32A6-465C-A546-B926FA191347,POINT(-74.07800755345163 40.62416786071988),"{'type': 'Point', 'coordinates': [-74.07800755345163, 40.62416786071988]}",Platanus x acerifolia - London planetree,2015-03-16 04:00:00.0000000,Fair
103258,26BBD007-E79D-4A03-B292-10CE157984DD,57A7CEA3-FF0F-4774-9CDD-7740F414FBF9,POINT(-74.09284741720462 40.62345260515412),"{'type': 'Point', 'coordinates': [-74.09284741720462, 40.62345260515412]}",Platanus x acerifolia - London planetree,2015-03-16 04:00:00.0000000,Good
96430,588DE14D-91AE-425F-BC46-D11C13A27B53,CA438040-9D99-4154-88AA-2C9FE54A473B,POINT(-73.85288448063969 40.87904517377986),"{'type': 'Point', 'coordinates': [-73.85288448063969, 40.87904517377986]}",Platanus x acerifolia - London planetree,2015-03-11 04:00:00.0000000,Good
101236,06520DE6-4823-4023-80D9-8248A79A5F90,5F9A3B60-4599-49A0-A784-8FF1856CD4F0,POINT(-74.07646763012191 40.624780783102864),"{'type': 'Point', 'coordinates': [-74.07646763012191, 40.624780783102864]}",Prunus serrulata 'Not Green leaf' - 'Not Green leaf' Japanese flowering cherry,2015-03-13 04:00:00.0000000,Good
103625,7B979975-D054-4350-9286-23C3BFABB7E9,2985E708-DD94-4DF4-8E07-7CA1CC16D198,POINT(-74.07753266924617 40.62442573720155),"{'type': 'Point', 'coordinates': [-74.07753266924617, 40.62442573720155]}",Prunus serrulata 'Green leaf' - 'Green leaf' Japanese flowering cherry,2015-03-16 04:00:00.0000000,Fair
100823,CE919091-B6A6-407A-A7B9-3F064B375014,2994F68F-3284-4813-AB39-FB23307F3DE9,POINT(-74.07547979928857 40.62414280695571),"{'type': 'Point', 'coordinates': [-74.07547979928857, 40.62414280695571]}",Liriodendron tulipifera - tuliptree,2015-03-13 04:00:00.0000000,Good
98423,65BB438D-36A0-4F7C-AE91-7164B5F554B4,33339081-AC85-4979-82DF-FC584908BD4D,POINT(-73.9478911609905 40.7215155842919),"{'type': 'Point', 'coordinates': [-73.9478911609905, 40.7215155842919]}",Gleditsia triacanthos var. inermis - Thornless honeylocust,2015-03-11 04:00:00.0000000,Good
101627,77473707-C5A4-40DF-8068-F9E3FA4DE36F,78B80F2A-1251-49C8-BAD3-045DCB33DCC0,POINT(-74.07683133409667 40.62374354517519),"{'type': 'Point', 'coordinates': [-74.07683133409667, 40.62374354517519]}",Pyrus calleryana - Callery pear,2015-03-13 04:00:00.0000000,Fair
92830,4B97CBB2-B204-4509-8808-A3569189589F,BDF7324E-C3BE-4F38-B2D5-9BC4BB465E89,POINT(-73.85265775389628 40.87939146159326),"{'type': 'Point', 'coordinates': [-73.85265775389628, 40.87939146159326]}",Prunus cerasifera - cherry plum,2015-03-09 04:00:00.0000000,Dead
