globalid,riskrating,updateddate,stumpdiameter,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_92fq_4b7q
91F0BA4F-5576-409B-A6C7-D390649359C1,,2016-10-14 20:58:53.0000000,,52,13516,17
920E22CF-F0D5-455E-AF3B-5509890449E7,3.0,2024-09-11 16:39:45.0000000,,66,14787,33
E51E40A4-3E35-4753-8E72-0020BF0B2935,6.0,2024-10-02 22:10:54.0000000,,74,10691,13
B5555A81-436F-465B-A77C-7A4E3031B1E3,8.0,2025-11-20 14:03:43.0000000,,74,10369,13
ED7D4C6C-7A02-4B43-ADDD-D94A8F2899C1,6.0,2024-10-02 15:39:15.0000000,,74,10691,13
72337C70-A97A-4959-A654-E31F97803F66,,2019-08-07 14:27:58.0000000,,39,17620,27
7DE25257-4109-4E25-9631-93F04074DBC8,8.0,2024-10-02 15:12:40.0000000,,74,10691,13
F6A46A87-9246-4947-A082-7AC40A639AAD,8.0,2025-11-20 16:44:20.0000000,,74,10369,13
D76ABC03-CF2D-43E2-A73F-3B8987E1D2D3,,2018-02-14 13:31:31.0000000,14.0,74,10692,13
A2679351-FE7C-4454-A44B-BF545FFA5433,3.0,2024-10-02 14:46:52.0000000,,74,10691,13
26748529-31B9-454C-AF8D-C139C47C08CB,,2017-04-13 11:11:11.0000000,24.0,40,16866,26
B5F4EF9A-3267-478D-9D69-7EDFCFE09DE1,8.0,2023-11-01 14:52:00.0000000,22.0,41,17216,44
394AEC59-B91C-45AD-93FB-2996B0C09747,,2017-04-12 09:35:50.0000000,,63,24336,16
911153D0-F00A-41B3-A79A-809790EC9420,,2020-01-29 16:52:00.0000000,,11,12083,1
9E24DD06-98CE-41AF-968F-56F387943565,,2017-11-27 13:32:17.0000000,,63,24336,16
6504A9A0-9C04-492D-9354-48C21AB6AE17,7.0,2025-11-18 17:21:07.0000000,,74,10369,13
DBC215C9-8576-44BF-AD2C-1CEEC8402A04,,2017-09-11 08:50:47.0000000,,75,10700,13
613BFDAB-FAD7-421E-9AD1-E2F901307099,,2018-07-06 17:09:19.0000000,,18,12424,36
78CD7F63-4493-4C6A-BEC7-E4B93F07BF6D,,2019-03-18 16:35:25.0000000,,30,11607,2
78C7F945-CFE1-4471-91D7-6A7AEBD69CD6,6.0,2024-10-01 14:59:11.0000000,,74,10691,13
4C56B90D-A5A5-4B4F-B137-B68780C9AC27,,2022-03-25 13:51:38.0000000,,72,16862,4
06520DE6-4823-4023-80D9-8248A79A5F90,,,,74,10691,13
33C178D5-4006-48EF-88F9-2C01372185D1,7.0,2024-10-03 13:38:50.0000000,,74,10691,13
7F85EBAB-6A2A-432E-ABCE-8002E05C3D82,9.0,2023-02-15 17:12:00.0000000,,74,10691,13
1CC1D1DB-E74D-4F23-B34D-116A3677D228,,2016-12-06 08:01:03.0000000,10.0,74,10692,13
C2FA5D21-1113-4987-B002-1C89886D0C4B,8.0,2025-08-29 17:39:49.0000000,,17,12424,23
66FF6F6F-6F1C-421F-8AB5-542323F5E8F2,,2015-07-21 10:29:24.0000000,,74,10369,13
BC569266-A28D-403A-A727-4F2268187E1E,8.0,2024-05-28 21:01:34.0000000,,67,14193,20
588DE14D-91AE-425F-BC46-D11C13A27B53,6.0,2021-09-17 13:24:36.0000000,,30,11607,2
54B81648-A84F-4A5D-A12B-6C236DB8227C,6.0,2025-11-18 17:39:03.0000000,,74,10369,13
1E145ADA-C73A-4E5B-8867-B7FC89B78C5A,6.0,2024-10-02 15:18:17.0000000,,74,10691,13
9705D4CB-D771-4697-99BA-F61B6115F687,6.0,2024-10-01 15:11:02.0000000,,74,10691,13
432542A7-41B1-445A-BF91-BFDB96D00799,,,,74,10369,13
8717EC83-F165-495A-A1AA-1064173A681F,,2020-01-08 16:27:00.0000000,,15,12422,23
EDEE52E1-B230-4078-A6AD-75D04620CAF1,7.0,2023-09-16 12:25:00.0000000,,74,10369,13
37195E1A-A7EE-4AA4-8389-19A0ED5C46F7,,2019-09-18 13:12:55.0000000,,20,13095,36
CE919091-B6A6-407A-A7B9-3F064B375014,5.0,2024-10-02 15:20:57.0000000,,74,10691,13
91B759D7-816B-422E-83B2-9E8A51B38AD7,8.0,2025-11-21 13:07:14.0000000,,74,10369,13
E8E99325-CCE9-4F24-8FAF-5A0ABD31DB17,6.0,2024-10-01 15:29:40.0000000,,74,10691,13
C6817D14-4FF0-429E-9704-BD60AAD7B788,,2019-02-05 15:06:24.0000000,,32,11605,12
FFB7B0CB-2B9A-40F6-8507-0535F363BD17,,2021-11-26 19:19:28.0000000,,75,10700,13
585EEE85-0809-4E70-B38F-418033902E51,,2017-11-14 13:17:00.0000000,18.0,63,24335,16
5D9783E0-E0EB-4DE5-B806-C121BE0C5F91,,2018-05-09 13:07:00.0000000,,60,24014,46
27B3D67E-FBBB-485A-8AE0-9CAF8E2D8D72,6.0,2024-10-01 14:56:46.0000000,,74,10691,13
44C30F24-A35D-4589-91BC-5D7D3831B622,,2022-07-05 16:32:59.0000000,,49,17615,49
26BBD007-E79D-4A03-B292-10CE157984DD,,2025-11-20 17:04:49.0000000,,74,10369,13
AF2DD244-1122-4BBB-B5FC-83E1CDFD3CD7,,2017-12-05 08:47:46.0000000,,63,24335,16
FD617E56-130C-4E43-A76D-3AF989E37A2F,,2017-09-11 08:51:17.0000000,,75,10700,13
925EB161-3E0B-4F73-B45A-257B03DAF1E0,,2022-09-14 17:15:23.0000000,4.0,5,11724,50
C2062E33-3321-427E-AC18-926C62E0AFE6,8.0,2024-03-21 18:16:19.0000000,,52,13516,49
67C48578-EFA7-4910-9B46-4A47BC55C2C2,,2016-12-06 09:55:06.0000000,66.0,76,10693,14
A32441AE-1322-4371-9F08-9D13D688767E,6.0,2024-10-01 14:57:55.0000000,,74,10691,13
DA91ECF3-5179-4178-8DA4-1A81FB397A53,11.0,2018-08-03 11:53:00.0000000,,59,20529,47
6F8533D0-ADBB-4C08-9176-F3F9C8E60CCC,,2016-11-16 14:45:11.0000000,,12,12421,19
3D0E5037-9EC3-41C0-8460-2FBC49CE2A70,7.0,2025-10-31 19:23:07.0000000,,73,14787,5
6B1279A4-3F0D-4E28-9F2B-BF8E272AEBAF,,2016-10-05 13:40:20.0000000,,75,10700,14
A955ED59-353C-42FF-BDA5-280EA8C27416,6.0,2024-10-02 15:36:54.0000000,,74,10691,13
55A815A8-8BA3-4BF7-9226-47666EAE0EF2,5.0,2025-11-18 18:28:30.0000000,,74,10369,13
87385D83-3200-4BE3-89DB-DCCA0D75C613,,2024-12-19 15:47:04.0000000,,12,12421,19
D556E89C-D639-45AF-998B-F6819D020B18,6.0,2025-06-12 17:15:47.0000000,,11,12083,1
85C2CFF0-8F0F-4802-883F-235AA99FCEBA,8.0,2023-12-19 18:48:32.0000000,,62,15310,30
BFC5DB7C-2B86-4AA4-98F8-4AB592EB8356,8.0,2025-11-21 13:09:11.0000000,,74,10369,13
89D9E230-A86D-41AE-83F4-ACFE7AF7C559,,2017-11-27 13:25:16.0000000,,63,24336,16
79A5DBAF-F305-4DA1-A4B1-7A8C8D085435,6.0,2024-06-28 12:41:55.0000000,,77,10696,9
FB160956-EA36-488C-9EF6-0B04FA9F2546,5.0,2024-10-01 14:50:44.0000000,,74,10691,13
FCF9C921-0574-4CAA-B219-EBEAE937486F,7.0,2025-11-20 17:37:35.0000000,,74,10369,13
2A265E5C-028E-4C77-953F-BC4229FFB16C,,,,57,18182,38
A3C4A25D-834A-4EF8-AD17-929F84B93FC1,7.0,2024-08-20 18:51:13.0000000,,36,18183,45
BE4400EF-33AD-4E30-B48A-8300D4447EB7,5.0,2025-11-18 18:42:59.0000000,,74,10369,13
56C5C498-0A22-4560-A0B7-3903AF08CB8D,7.0,2024-10-02 15:08:31.0000000,,74,10691,13
8B054721-CF73-43DB-9D92-9D8CBBA43065,7.0,2025-08-20 15:24:14.0000000,,37,13511,44
131916EB-2AD7-4A64-9F9B-E6F2161AB7E8,,2016-10-12 13:17:20.0000000,28.0,74,10700,14
9A846DCA-4124-4D81-AE60-EC6DC3C0905E,4.0,2023-04-06 12:08:43.0000000,,18,12423,36
5AE610CF-7ABB-416D-8852-58EF62A35DB3,8.0,2023-07-20 16:05:50.0000000,,51,17618,49
C0A5D089-61B5-4990-BB2D-4F8F395107D2,7.0,2021-11-26 19:24:59.0000000,,75,10700,13
F47270E0-A6E1-4685-B5CA-8011D4247A08,8.0,2024-08-01 16:43:59.0000000,,39,17620,27
D454CDF3-C71E-41D2-8501-E3BE8C6F6F37,,2016-10-27 20:04:37.0000000,12.0,76,10695,9
06FC8063-71FC-4142-A813-80FF2882EAE7,,,,66,14787,33
A1B51BE2-D02F-4D02-9DB5-654DEEAF84BA,7.0,2025-07-10 16:09:59.0000000,,3,12077,10
15C9E999-69F2-4382-9BA2-56243A6F26B7,7.0,2020-08-05 15:56:48.0000000,,74,10369,13
4969C73F-543E-4638-B4ED-3D820B02DA21,7.0,2021-12-07 19:35:37.0000000,,10,12081,10
2B457A4C-E0E4-4E17-81C4-A5449F51C804,,2016-10-20 17:43:53.0000000,,65,24670,24
EA448F17-3199-47B0-A83F-2F009459A003,8.0,2024-10-25 16:13:47.0000000,,74,10691,13
56B2D7D6-18B9-460C-84CD-1FB4C6223092,,2018-12-27 14:57:49.0000000,,20,13097,36
380AB840-F0E9-4B14-A4D6-A99B8861065E,,2016-12-28 12:18:15.0000000,,17,12422,23
3898A869-3706-44D3-A30D-7828BA2299B2,4.0,2022-05-31 13:47:31.0000000,,11,10099,1
DB3E6061-887F-4341-BC56-8782C61FED47,,2017-03-23 08:31:35.0000000,35.0,76,10693,14
7F11F1D2-9513-4236-B48F-7EBF831DF083,9.0,2022-08-17 16:24:03.0000000,,67,13832,20
218DFF20-F0C0-4934-B301-453357920D1A,10.0,2019-01-29 10:47:06.0000000,,30,11607,2
7849F96D-8739-4FD6-A430-6EAA7256D512,8.0,2023-03-28 12:27:57.0000000,,22,13092,39
B917833B-7799-47B2-875C-916FFB7155C8,7.0,2025-08-07 13:56:45.0000000,,60,24012,41
9D2488AC-3B5E-4239-B6A1-0D0B4744847E,6.0,2024-10-11 16:40:50.0000000,,4,11723,32
EF37DC2A-1A1C-4F97-B0C7-6DB6FEFC69F8,8.0,2025-09-25 13:23:20.0000000,,63,24335,16
FD9BF78C-647B-47D8-A298-1C9609C338DB,,2017-03-18 13:40:00.0000000,17.0,74,10692,13
39E9C405-54FC-4EF4-BEB4-BB9C6DFFB2FC,,,,74,10691,13
B9BF25F2-B436-4D54-AE20-CC76654E55AC,6.0,2024-10-02 14:55:41.0000000,,74,10691,13
74F37A66-C783-4577-ADAA-734146D5AD48,,2016-01-26 13:26:00.0000000,,19,12428,23
20D67A39-2CBF-4028-8D4C-834EFFC277E5,7.0,2024-10-04 14:14:08.0000000,,74,10691,13
166DD8AE-C085-4324-8249-77CC48EE3E5A,6.0,2024-10-02 15:06:44.0000000,,74,10691,13
2ADD717B-E5B0-4C32-80CF-A68A9C4B1EC3,,2017-04-11 10:10:39.0000000,20.0,75,10700,13
4B97CBB2-B204-4509-8808-A3569189589F,,2016-06-13 14:20:00.0000000,,30,11607,2
9A2A0F38-C2F9-46D9-A788-30F840213A9F,,2018-11-08 14:44:48.0000000,,44,13509,11
E7696ACC-AFE6-4AE1-B1CC-F739AC36C6FC,,2024-10-01 14:46:59.0000000,,74,10691,13
9E5E870E-A289-4DFF-966F-97AC8D672539,6.0,2025-11-18 18:26:53.0000000,,74,10369,13
932B716F-8C0C-41B1-B0B1-BE9FE6E94209,9.0,2018-10-29 14:17:45.0000000,0.0,52,18181,49
2C49A349-8055-4954-8A64-DD5277EB6891,,,,74,10369,13
77473707-C5A4-40DF-8068-F9E3FA4DE36F,6.0,2024-10-02 15:04:46.0000000,,74,10691,13
39AC02EF-C996-4C53-A0CB-7738A10D56A4,6.0,2025-11-18 18:18:47.0000000,,74,10369,13
BE53A203-3014-4200-940E-603EEDBEAEA4,3.0,2023-02-02 11:53:48.0000000,,30,11607,2
8FC401E8-AEB9-4736-9961-6E4382801671,,2019-03-01 15:33:00.0000000,,51,17618,49
0071E640-434B-47A3-A4B7-553CFFBFBE9C,8.0,2025-12-03 17:17:00.0000000,21.0,64,24015,46
4D5590A2-D335-41DB-9FBA-06636D8B3E70,9.0,2025-05-22 15:24:38.0000000,,69,14506,3
953E356D-8ACD-442E-8E29-19DEDEF64A9D,5.0,2025-11-18 17:28:34.0000000,,74,10369,13
90BD1ABB-3071-4262-83B3-E6A0F17F44DA,3.0,2021-10-01 17:30:24.0000000,,61,24670,46
4AE98030-BC89-459C-85E2-BC7F9899B929,7.0,2025-02-27 17:02:55.0000000,,28,11273,12
876E5D36-AD66-4B2A-BB86-FB7EB4138C34,,2016-09-09 11:20:20.0000000,,75,10700,14
36E8AC6F-423E-418F-B4C3-F722B52F06EA,,2015-03-13 17:48:42.0000000,,30,11605,2
831738DB-B37E-4475-8821-CC458E789570,6.0,2023-04-13 15:04:15.0000000,,63,24018,47
65BB438D-36A0-4F7C-AE91-7164B5F554B4,,2015-03-11 04:00:00.0000000,,57,18182,38
5A55694F-942B-448C-B1AB-6909992DE968,,2022-04-11 19:32:07.0000000,,3,12075,32
5B2BC640-768A-47C9-808B-E32437ACDE82,6.0,2024-10-17 13:38:23.0000000,,74,10691,13
A5889D64-7F83-4471-B979-1D09F3758125,5.0,2024-02-16 13:32:56.0000000,,52,13516,17
2EC561CD-1645-42A4-A1A8-B88E274AE7A2,,2017-03-23 08:31:15.0000000,,36,13512,8
EB0B3E3B-03D8-4059-A04E-31D6F7AC4E3E,,2023-12-29 14:31:01.0000000,,49,17615,48
81568708-1273-4AE4-B7E3-D1BECBEC27AD,,,,74,10369,13
69CFB165-CD12-429B-AC8B-9020067562F4,8.0,2023-11-09 15:18:26.0000000,15.0,64,24016,41
8AC2480E-188A-4771-90F2-41C44F12DE5A,,2023-12-19 13:44:18.0000000,,64,24013,41
8E69E24C-1D68-4951-92D5-40FE7FB4377C,,2017-04-20 07:58:09.0000000,25.0,67,14193,20
CAFBCCA0-CA11-4D67-907E-20486A47D4C4,,2015-04-20 11:57:00.0000000,16.0,74,10692,13
9A2B0713-71BA-4A26-936A-277591405AC7,7.0,2024-10-02 15:10:48.0000000,,74,10691,13
5541167A-B22A-437C-A4E6-8B0704203FD6,,2017-04-11 10:10:24.0000000,16.0,75,10700,13
84C1F1AD-4331-4A6F-9988-C02037BF433D,6.0,2024-10-02 22:06:33.0000000,,74,10691,13
16495574-E9B8-4F65-927A-6CFCA4023334,7.0,2024-10-25 16:09:40.0000000,,74,10691,13
D7A32B8E-1622-4DAD-97B8-B4DDC3416542,,2015-03-25 04:00:00.0000000,,74,10692,13
6BA8E72B-1901-4EF3-ABFF-D11680AB4A9B,,2018-03-27 14:00:42.0000000,,30,11275,2
5CA5769A-4115-46A6-98A7-C8D158FD2607,6.0,2021-08-12 16:46:47.0000000,,5,11724,50
D6B79598-1177-438E-BFA2-D215086707D1,,2016-09-12 12:08:47.0000000,21.0,74,10700,14
75ADC63A-CB64-4574-AAD3-69816CFD69C7,,2024-10-04 14:09:48.0000000,,74,10691,13
0DCC34C9-E446-4712-BC80-AFD9AF3B7300,7.0,2025-07-14 16:55:23.0000000,,49,17618,48
6479BD05-9489-4BA9-858E-26700AD89DD1,,2018-06-29 18:13:48.0000000,,3,12077,10
BC306C2B-79C1-42F3-BF7C-BF5BBB97FBAD,7.0,2023-06-15 12:25:48.0000000,,44,13509,11
BE183962-00A3-4256-A154-F33E1D93E23E,6.0,2024-10-02 15:09:49.0000000,,74,10691,13
367144E7-219B-461F-BF84-6DE9E8E9E342,,2016-12-06 09:55:37.0000000,,76,10693,14
F763D1C0-3020-434A-AD05-F61D69CEC648,7.0,2018-02-21 11:49:59.0000000,,10,12081,10
A5C7BCA3-1E37-4921-AD50-341A437118CF,,2016-12-23 07:40:13.0000000,,76,10693,14
5C388BD5-D434-45FD-9077-61112CDD31BE,7.0,2025-11-26 15:23:50.0000000,,38,13825,8
3E26B820-E2F7-427B-8AC0-E0E398B3323F,,,,67,14193,20
A9221A98-4377-4AF9-BF19-30D85FB304E5,4.0,2019-05-21 19:28:12.0000000,,45,18180,7
9DDB99E6-223C-4A3D-BB75-FFE81BD0C1B1,,2016-10-17 15:46:50.0000000,,45,17617,27
021823C7-85AA-4DC9-81DB-3AB4C9189D99,,2016-03-07 21:44:00.0000000,20.0,76,10695,9
4E8CF01F-09A4-419E-979D-DB7B7CF349EB,,2017-03-21 12:30:37.0000000,,76,10693,14
1D3E681A-CC31-458D-AB2A-9C795E2A34E4,,2024-10-04 14:09:54.0000000,,74,10691,13
C154AB18-EFE9-44AF-A615-59D675C21EE7,,2016-12-06 08:03:31.0000000,20.0,74,10692,13
D523E530-5BB6-41F2-BCDC-36E3E8556DF6,,2025-11-20 16:39:51.0000000,,74,10369,13
D241139A-2A27-40C6-ACD1-56FF1BE7A3AB,,2017-08-28 14:33:59.0000000,,41,17216,44
230C109D-B900-427A-92F1-D14C5BB40C51,,2017-12-01 12:15:28.0000000,,63,24337,16
7B979975-D054-4350-9286-23C3BFABB7E9,6.0,2024-10-01 14:46:29.0000000,,74,10691,13
D2CBE038-AFF7-45D5-BEE0-E11A9884447B,,,,60,24017,41
