lpc_lpnumb,bbl,lpc_sitest,landmarkty
LP-02482,1005780062.0,Designated,Individual Landmark
LP-02200,4000460034.0,Designated,Individual Landmark
LP-02131,4018490001.0,Designated,Individual Landmark
LP-02377,5000250005.0,Designated,Individual Landmark
LP-00136,4008280090.0,Designated,Individual Landmark
LP-00945,4100990036.0,Designated,Individual Landmark
LP-01745,1000840001.0,Designated,Individual Landmark
LP-01873,5075900138.0,Designated,Individual Landmark
LP-00377,5029660032.0,Designated,Individual Landmark
LP-00773,5005180007.0,Designated,Individual Landmark
LP-02522,4032940020.0,Designated,Individual Landmark
LP-00999,1004727501.0,Designated,Individual Landmark
LP-02094,1004630015.0,Designated,Individual Landmark
LP-00369,5023900194.0,Designated,Individual Landmark
LP-02120,5010150009.0,Designated,Individual Landmark
LP-00223,1008750070.0,Designated,Individual Landmark
LP-02160,4047860064.0,Designated,Individual Landmark
LP-01773,5022860018.0,Designated,Individual Landmark
LP-02349,5000270005.0,Designated,Individual Landmark
LP-00935,1008500004.0,Designated,Individual Landmark
LP-01930,1000220013.0,Designated,Individual Landmark
LP-02189,5000630050.0,Designated,Individual Landmark
LP-01956,4011310012.0,Designated,Individual Landmark
LP-01555,4017480036.0,Designated,Individual Landmark
LP-02229,5080260005.0,Designated,Individual Landmark
LP-02354,1004590007.0,Designated,Individual Landmark
LP-00016,1005440016.0,Designated,Individual Landmark
LP-00949,1008860021.0,Designated,Individual Landmark
LP-02133,1008590006.0,Designated,Individual Landmark
LP-02531,1003110031.0,Designated,Individual Landmark
LP-01652,5009420037.0,Designated,Individual Landmark
LP-01399,5070920022.0,Designated,Individual Landmark
LP-00384,5053780030.0,Designated,Individual Landmark
LP-01870,5075900131.0,Designated,Individual Landmark
LP-00630,4062900100.0,Designated,Individual Landmark
LP-02416,5072670101.0,Designated,Individual Landmark
LP-00334,5000700024.0,Designated,Individual Landmark
LP-00331,5000580077.0,Designated,Individual Landmark
LP-02299,1010370037.0,Designated,Individual Landmark
LP-02035,4016280018.0,Designated,Individual Landmark
LP-00230,1005410018.0,Designated,Individual Landmark
LP-01990,1005950039.0,Designated,Individual Landmark
LP-02379,1012590054.0,Designated,Individual Landmark
LP-02231,5008660377.0,Designated,Individual Landmark
LP-02060,1007730038.0,Designated,Individual Landmark
LP-00366,5022810155.0,Designated,Individual Landmark
LP-02447,5010120010.0,Designated,Individual Landmark
LP-00679,1007220017.0,Designated,Individual Landmark
LP-02179,5001880040.0,Designated,Individual Landmark
LP-01241,1009980041.0,Designated,Individual Landmark
LP-02249,5067510310.0,Designated,Individual Landmark
LP-02221,5080500013.0,Designated,Individual Landmark
LP-00632,4008020031.0,Designated,Individual Landmark
LP-00144,4080560062.0,Designated,Individual Landmark
LP-00385,5061100001.0,Designated,Individual Landmark
LP-02386,4097600027.0,Designated,Individual Landmark
LP-01048,1008910015.0,Designated,Individual Landmark
LP-00232,1007550040.0,Designated,Individual Landmark
LP-01867,5078990009.0,Designated,Individual Landmark
LP-01562,1009990012.0,Designated,Individual Landmark
LP-02126,4092730089.0,Designated,Individual Landmark
LP-01011,1009960021.0,Designated,Individual Landmark
LP-01346,1010150051.0,Designated,Individual Landmark
LP-02223,1001240011.0,Designated,Individual Landmark
LP-02107,1001950017.0,Designated,Individual Landmark
LP-01923,4034120001.0,Designated,Individual Landmark
LP-00393,5078570090.0,Designated,Individual Landmark
LP-00332,5000640155.0,Designated,Individual Landmark
LP-00400,5044380061.0,Designated,Individual Landmark
LP-00208,1005900013.0,Designated,Individual Landmark
LP-00875,4101010011.0,Designated,Individual Landmark
LP-02381,5000250003.0,Designated,Individual Landmark
LP-02384,5010730075.0,Designated,Individual Landmark
LP-00373,5028320018.0,Designated,Individual Landmark
LP-01350,1010180020.0,Designated,Individual Landmark
LP-01926,1000130001.0,Designated,Individual Landmark
LP-00042,1000297502.0,Designated,Individual Landmark
LP-02073,5000380035.0,Designated,Individual Landmark
LP-02031,1001010002.0,Designated,Individual Landmark
LP-00741,4155740010.0,Designated,Individual Landmark
LP-01583,1008180033.0,Designated,Individual Landmark
LP-01943,1000290036.0,Designated,Individual Landmark
LP-02518,1004700064.0,Designated,Individual Landmark
LP-01877,5005060081.0,Designated,Individual Landmark
LP-00987,1002240024.0,Designated,Individual Landmark
LP-00145,4096820001.0,Designated,Individual Landmark
LP-00143,4050130006.0,Designated,Individual Landmark
LP-02109,4101010009.0,Designated,Individual Landmark
LP-00464,1004440049.0,Designated,Individual Landmark
LP-01540,1008460033.0,Designated,Individual Landmark
LP-00700,1009230048.0,Designated,Individual Landmark
LP-01292,4019810037.0,Designated,Individual Landmark
