the_geom,url_report,borough,address,block
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98195409137583, 40.74813352491096], [-73.98213309472759, 40.74788581634561], [-73.98218789666768, 40.747908884097214], [-73.98220099453596, 40.74791439722028], [-73.98202202452603, 40.74816206086995], [-73.98195409137583, 40.74813352491096]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1047.pdf,MN,22 East 35th Street,864
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99638617109505, 40.71322199202675], [-73.9964719101733, 40.71321475007912], [-73.99656486358322, 40.71320689863742], [-73.9965921689949, 40.71342224303311], [-73.99641342151631, 40.71343697085547], [-73.99638617109505, 40.71322199202675]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2098.pdf,MN,31 East Broadway,280
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.10332163629903, 40.617468438654804], [-74.10396436479999, 40.617141734464], [-74.10414396961521, 40.61734110490555], [-74.10374945849506, 40.61754587818126], [-74.10380488308519, 40.61761213983333], [-74.103725181123, 40.617653510585086], [-74.10376466613262, 40.61770071629776], [-74.10368874734382, 40.61774012137289], [-74.10364926118291, 40.617692915635345], [-74.10356884463589, 40.61773465523573], [-74.10354924439555, 40.61774482987273], [-74.10332163629903, 40.617468438654804]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1639.pdf,SI,1197 Clove Road,246
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.19604893918202, 40.51351905711223], [-74.19606615241156, 40.51343757646815], [-74.19607473862892, 40.513396927133485], [-74.19608394047478, 40.51335336713007], [-74.19609198551113, 40.513315275326335], [-74.19610124670422, 40.51327144055788], [-74.1961096234275, 40.51323179116753], [-74.19612674103804, 40.51315074743345], [-74.19664900998191, 40.51322715807943], [-74.19671995685202, 40.51325997432743], [-74.19660691569987, 40.51348566282518], [-74.19659563870546, 40.51359904280366], [-74.19604893918202, 40.51351905711223]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1398.pdf,SI,509 Seguine Avenue,6666
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.82372051962452, 40.76379917191615], [-73.82363220612005, 40.76360457158402], [-73.8242290447142, 40.763444783016126], [-73.82440713212692, 40.76384159329645], [-73.82381207056967, 40.7640009055303], [-73.82372051962452, 40.76379917191615]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0142.pdf,QN,"Weeping Beech Park, 37th Avenue between Parsons Boulevard and Bowne Street",5012
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99618586777751, 40.74026322116657], [-73.99635008198999, 40.740037961003004], [-73.99641017679892, 40.74006333738486], [-73.99641538241325, 40.74006553568517], [-73.99625112099264, 40.740290860775985], [-73.99618586777751, 40.74026322116657]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1815.pdf,MN,126 West 18th Street,793
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99625112099264, 40.740290860775985], [-73.99641538241325, 40.74006553568517], [-73.99648072195932, 40.74009312744105], [-73.99631641451478, 40.74031851565821], [-73.99625112099264, 40.740290860775985]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1816.pdf,MN,128 West 18th Street,793
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.11194890411883, 40.64373419835683], [-74.11192456779206, 40.64361207476169], [-74.11203304390274, 40.64360042088023], [-74.11202031531856, 40.6435365504686], [-74.11230874172287, 40.6435055632575], [-74.1123104772154, 40.64354630013774], [-74.11231158616478, 40.6435744123546], [-74.11231239358501, 40.643603188548276], [-74.11231130542522, 40.643618331836386], [-74.112309772888, 40.643632151795714], [-74.1123069966798, 40.64365230721946], [-74.11229201199674, 40.64370003854775], [-74.11226987908213, 40.643747468875205], [-74.11224440236305, 40.64378760285573], [-74.11221707768826, 40.643819937438536], [-74.11218238387787, 40.64385419190572], [-74.11215942913037, 40.643874861392675], [-74.1121352280114, 40.64389465228339], [-74.11211095132492, 40.64391450807995], [-74.11209791490433, 40.643924332841806], [-74.11209763270892, 40.6439245447388], [-74.1120573792416, 40.64372254445376], [-74.11194890411883, 40.64373419835683]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0341.pdf,SI,1262 Richmond Terrace,149
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99114420320115, 40.737081921199525], [-73.9911978673626, 40.737008124211506], [-73.99125492026148, 40.736929658322964], [-73.99073589955982, 40.736710436879456], [-73.99079764291905, 40.73662565182855], [-73.99145236887261, 40.736902191455336], [-73.99127998264115, 40.73713927048258], [-73.99114420320115, 40.737081921199525]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1537.pdf,MN,31 Union Square West,844
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07822630434428, 40.631473885360386], [-74.07836583204387, 40.63120060057569], [-74.07854191260495, 40.63125246743388], [-74.0784016590792, 40.63152717844871], [-74.07822630434428, 40.631473885360386]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2367.pdf,SI,63 William Street,514
