_10_00_11_00pm,_8_00_9_00am,_2_00_3_00pm,direction,_9_00_10_00am
105.0,241,203.0,EB,198
0.0,227,0.0,SB,0
143.0,574,430.0,NB,403
147.0,279,267.0,NB,222
67.0,414,285.0,EB,196
106.0,361,270.0,NB,252
160.0,365,342.0,NB,287
98.0,604,488.0,NB,389
150.0,300,359.0,SB,297
383.0,580,681.0,SB,459
49.0,178,178.0,SB,148
,320,,NB,314
286.0,605,675.0,SB,471
39.0,134,162.0,SB,80
68.0,461,324.0,EB,204
,86,,WB,97
229.0,581,553.0,EB,478
0.0,387,0.0,WB,224
44.0,199,269.0,WB,96
131.0,193,193.0,WB,158
58.0,322,292.0,EB,148
148.0,326,451.0,WB,297
188.0,581,502.0,EB,445
253.0,1124,983.0,NB,782
,503,,NB,654
122.0,363,347.0,NB,262
214.0,749,599.0,NB,528
130.0,295,277.0,SB,248
0.0,313,0.0,SB,262
221.0,849,687.0,NB,586
47.0,183,296.0,WB,138
53.0,224,279.0,WB,102
0.0,526,0.0,NB,0
0.0,248,0.0,EB,175
319.0,1182,1011.0,NB,788
143.0,276,351.0,SB,267
240.0,603,484.0,NB,443
,248,,SB,328
59.0,301,258.0,EB,182
96.0,375,250.0,NB,297
,476,,SB,543
124.0,420,415.0,SB,335
72.0,187,197.0,SB,155
323.0,1214,873.0,NB,860
185.0,294,239.0,NB,241
273.0,434,639.0,SB,404
0.0,224,0.0,NB,221
,67,,SB,109
171.0,467,414.0,NB,427
,241,,EB,350
201.0,523,426.0,NB,343
275.0,611,714.0,SB,484
110.0,338,401.0,NB,230
101.0,346,412.0,NB,247
92.0,478,417.0,NB,402
,366,,SB,411
132.0,332,387.0,NB,247
,217,,WB,296
70.0,187,272.0,WB,108
,205,,SB,240
