_5_00_6_00pm,_3_00_4_00pm,_6_00_7_00am,date,_8_00_9_00pm,_5_00_6_00am,_11_00_12_00am
707.0,736.0,327,2012-01-11T00:00:00.000,355.0,108,140.0
985.0,918.0,334,2012-01-10T00:00:00.000,424.0,138,190.0
,,23,2012-01-14T00:00:00.000,,14,
219.0,251.0,117,2012-01-09T00:00:00.000,102.0,29,36.0
120.0,105.0,34,2012-01-09T00:00:00.000,74.0,20,42.0
,,57,2012-01-14T00:00:00.000,,27,
515.0,587.0,197,2012-01-12T00:00:00.000,408.0,100,217.0
355.0,334.0,120,2012-01-12T00:00:00.000,182.0,47,124.0
,,549,2012-01-13T00:00:00.000,,244,
648.0,683.0,270,2012-01-12T00:00:00.000,273.0,82,187.0
770.0,748.0,195,2012-01-11T00:00:00.000,389.0,91,203.0
289.0,274.0,180,2012-01-09T00:00:00.000,159.0,73,115.0
,,64,2012-01-14T00:00:00.000,,22,
376.0,400.0,134,2012-01-12T00:00:00.000,218.0,66,105.0
500.0,454.0,111,2012-01-09T00:00:00.000,225.0,42,85.0
282.0,243.0,291,2012-01-10T00:00:00.000,115.0,171,73.0
383.0,416.0,178,2012-01-11T00:00:00.000,261.0,74,107.0
638.0,655.0,258,2012-01-09T00:00:00.000,267.0,105,156.0
,,122,2012-01-14T00:00:00.000,,57,
673.0,765.0,276,2012-01-12T00:00:00.000,340.0,100,183.0
930.0,768.0,257,2012-01-09T00:00:00.000,730.0,99,328.0
447.0,565.0,256,2012-01-10T00:00:00.000,248.0,79,91.0
627.0,654.0,245,2012-01-10T00:00:00.000,274.0,85,185.0
351.0,347.0,78,2012-01-10T00:00:00.000,223.0,36,160.0
591.0,614.0,385,2012-01-13T00:00:00.000,380.0,135,241.0
325.0,213.0,79,2012-01-12T00:00:00.000,113.0,28,70.0
0.0,0.0,116,2012-01-13T00:00:00.000,0.0,54,0.0
454.0,578.0,238,2012-01-11T00:00:00.000,271.0,80,62.0
263.0,274.0,149,2012-01-12T00:00:00.000,169.0,79,106.0
259.0,320.0,162,2012-01-10T00:00:00.000,133.0,35,48.0
271.0,271.0,306,2012-01-11T00:00:00.000,144.0,154,73.0
313.0,364.0,189,2012-01-12T00:00:00.000,209.0,89,106.0
459.0,529.0,245,2012-01-09T00:00:00.000,266.0,75,69.0
413.0,394.0,173,2012-01-09T00:00:00.000,204.0,101,133.0
719.0,746.0,265,2012-01-13T00:00:00.000,408.0,85,292.0
160.0,194.0,63,2012-01-11T00:00:00.000,78.0,26,45.0
,,142,2012-01-14T00:00:00.000,,89,
745.0,735.0,278,2012-01-12T00:00:00.000,441.0,86,218.0
105.0,137.0,64,2012-01-09T00:00:00.000,85.0,22,33.0
275.0,328.0,160,2012-01-11T00:00:00.000,145.0,32,52.0
,,12,2012-01-14T00:00:00.000,,8,
488.0,496.0,352,2012-01-13T00:00:00.000,289.0,117,188.0
0.0,0.0,139,2012-01-13T00:00:00.000,0.0,65,0.0
294.0,394.0,40,2012-01-12T00:00:00.000,91.0,15,31.0
258.0,251.0,127,2012-01-12T00:00:00.000,221.0,47,71.0
271.0,266.0,104,2012-01-10T00:00:00.000,116.0,24,32.0
516.0,656.0,169,2012-01-10T00:00:00.000,211.0,60,109.0
497.0,503.0,382,2012-01-09T00:00:00.000,288.0,134,114.0
760.0,960.0,677,2012-01-09T00:00:00.000,436.0,283,215.0
,,233,2012-01-14T00:00:00.000,,142,
331.0,362.0,211,2012-01-09T00:00:00.000,215.0,71,97.0
541.0,618.0,294,2012-01-11T00:00:00.000,339.0,82,173.0
407.0,353.0,132,2012-01-10T00:00:00.000,188.0,48,112.0
0.0,0.0,118,2012-01-13T00:00:00.000,0.0,70,0.0
538.0,635.0,414,2012-01-09T00:00:00.000,370.0,152,151.0
289.0,452.0,33,2012-01-10T00:00:00.000,100.0,18,41.0
292.0,362.0,46,2012-01-11T00:00:00.000,79.0,14,38.0
0.0,0.0,201,2012-01-13T00:00:00.000,0.0,107,0.0
0.0,0.0,109,2012-01-13T00:00:00.000,0.0,45,0.0
816.0,896.0,699,2012-01-12T00:00:00.000,464.0,278,244.0
395.0,393.0,198,2012-01-12T00:00:00.000,237.0,110,151.0
565.0,566.0,181,2012-01-11T00:00:00.000,346.0,107,215.0
,,93,2012-01-14T00:00:00.000,,74,
202.0,224.0,119,2012-01-13T00:00:00.000,88.0,30,64.0
289.0,258.0,288,2012-01-09T00:00:00.000,138.0,159,52.0
,,77,2012-01-14T00:00:00.000,,42,
375.0,384.0,155,2012-01-09T00:00:00.000,220.0,72,89.0
159.0,181.0,77,2012-01-13T00:00:00.000,95.0,30,69.0
738.0,889.0,724,2012-01-10T00:00:00.000,495.0,299,206.0
446.0,370.0,96,2012-01-12T00:00:00.000,250.0,33,180.0
730.0,711.0,193,2012-01-13T00:00:00.000,420.0,86,259.0
0.0,0.0,96,2012-01-13T00:00:00.000,0.0,64,0.0
,,32,2012-01-14T00:00:00.000,,19,
384.0,442.0,374,2012-01-11T00:00:00.000,238.0,255,156.0
,,109,2012-01-14T00:00:00.000,,62,
397.0,389.0,353,2012-01-12T00:00:00.000,272.0,231,158.0
776.0,734.0,289,2012-01-10T00:00:00.000,462.0,97,207.0
512.0,489.0,92,2012-01-10T00:00:00.000,223.0,37,83.0
510.0,442.0,104,2012-01-09T00:00:00.000,211.0,50,86.0
403.0,383.0,266,2012-01-09T00:00:00.000,208.0,88,93.0
,,126,2012-01-14T00:00:00.000,,62,
502.0,479.0,108,2012-01-11T00:00:00.000,236.0,41,66.0
,,91,2012-01-14T00:00:00.000,,40,
368.0,449.0,41,2012-01-12T00:00:00.000,91.0,11,37.0
,,95,2012-01-14T00:00:00.000,,45,
