attendance_sum,park_location,week_start_date
14,Sunset Park,2017-07-19T00:00:00.000
22,Sunset Park,2017-08-11T00:00:00.000
31,Sunset Park,2017-07-26T00:00:00.000
9,Sunset Park,2017-08-22T00:00:00.000
195,Williamsbridge Oval,2017-07-23T00:00:00.000
14,Sunset Park,2017-07-12T00:00:00.000
54,Sunset Park,2017-07-05T00:00:00.000
1790,Playground for All Children,2017-07-30T00:00:00.000
8,Sunset Park,2017-07-24T00:00:00.000
28,CPL. Thompson Park,2017-07-11T00:00:00.000
11,Sunset Park,2017-07-24T00:00:00.000
10,Sunset Park,2017-08-23T00:00:00.000
15,Sunset Park,2017-08-25T00:00:00.000
146,Williamsbridge Oval,2017-07-09T00:00:00.000
14,Sunset Park,2017-08-25T00:00:00.000
22,Sunset Park,2017-07-25T00:00:00.000
172,Williamsbridge Oval,2017-06-18T00:00:00.000
20,Sunset Park,2017-07-05T00:00:00.000
22,Sunset Park,2017-07-11T00:00:00.000
34,Sunset Park,2017-08-01T00:00:00.000
23,Sunset Park,2017-07-17T00:00:00.000
1545,Playground for All Children,2017-04-23T00:00:00.000
1045,Playground for All Children,2017-04-30T00:00:00.000
13,Sunset Park,2017-08-10T00:00:00.000
17,Sunset Park,2017-08-02T00:00:00.000
7,Sunset Park,2017-08-18T00:00:00.000
3974,Playground for All Children,2017-05-14T00:00:00.000
15,Sunset Park,2017-08-24T00:00:00.000
17,Sunset Park,2017-07-14T00:00:00.000
13,Sunset Park,2017-08-09T00:00:00.000
14,Sunset Park,2017-08-04T00:00:00.000
14,Sunset Park,2017-07-26T00:00:00.000
22,Sunset Park,2017-08-25T00:00:00.000
20,Sunset Park,2017-08-14T00:00:00.000
18,Sunset Park,2017-07-17T00:00:00.000
17,Sunset Park,2017-07-05T00:00:00.000
28,Sunset Park,2017-08-11T00:00:00.000
28,Sunset Park,2017-08-01T00:00:00.000
3725,Playground for All Children,2017-06-04T00:00:00.000
13,Sunset Park,2017-08-21T00:00:00.000
20,Sunset Park,2017-08-15T00:00:00.000
22,Sunset Park,2017-08-22T00:00:00.000
22,Sunset Park,2017-08-03T00:00:00.000
12,Sunset Park,2017-07-14T00:00:00.000
17,Sunset Park,2017-07-14T00:00:00.000
21,Sunset Park,2017-07-05T00:00:00.000
13,Sunset Park,2017-07-19T00:00:00.000
22,Sunset Park,2017-08-01T00:00:00.000
33,Sunset Park,2017-08-28T00:00:00.000
8,Sunset Park,2017-08-18T00:00:00.000
16,Sunset Park,2017-08-07T00:00:00.000
17,Sunset Park,2017-08-02T00:00:00.000
127,Williamsbridge Oval,2017-06-04T00:00:00.000
21,Sunset Park,2017-07-17T00:00:00.000
10,Sunset Park,2017-08-15T00:00:00.000
18,Sunset Park,2017-07-12T00:00:00.000
22,Sunset Park,2017-07-13T00:00:00.000
6,Cedar Grove,2017-07-11T00:00:00.000
270,Williamsbridge Oval,2017-07-16T00:00:00.000
17,Sunset Park,2017-07-27T00:00:00.000
11,Sunset Park,2017-08-14T00:00:00.000
13,Sunset Park,2017-07-18T00:00:00.000
2980,Playground for All Children,2017-06-25T00:00:00.000
4920,Playground for All Children,2017-05-28T00:00:00.000
38,Sunset Park,2017-07-27T00:00:00.000
15,Sunset Park,2017-08-09T00:00:00.000
31,Sunset Park,2017-07-10T00:00:00.000
14,Sunset Park,2017-07-05T00:00:00.000
19,Sunset Park,2017-08-17T00:00:00.000
2740,Playground for All Children,2017-05-07T00:00:00.000
21,Sunset Park,2017-07-20T00:00:00.000
15,Sunset Park,2017-08-02T00:00:00.000
14,Sunset Park,2017-08-07T00:00:00.000
175,Williamsbridge Oval,2017-08-13T00:00:00.000
15,Sunset Park,2017-07-11T00:00:00.000
30,Sunset Park,2017-07-17T00:00:00.000
1360,Playground for All Children,2017-07-23T00:00:00.000
13,Sunset Park,2017-08-17T00:00:00.000
13,Sunset Park,2017-07-14T00:00:00.000
27,Sunset Park,2017-07-11T00:00:00.000
39,Sunset Park,2017-07-05T00:00:00.000
22,Sunset Park,2017-07-18T00:00:00.000
230,Williamsbridge Oval,2017-06-25T00:00:00.000
11,Sunset Park,2017-08-15T00:00:00.000
6,Sunset Park,2017-08-21T00:00:00.000
21,Sunset Park,2017-07-17T00:00:00.000
19,Sunset Park,2017-08-24T00:00:00.000
17,Sunset Park,2017-08-17T00:00:00.000
17,Sunset Park,2017-07-27T00:00:00.000
14,Sunset Park,2017-08-07T00:00:00.000
110,Williamsbridge Oval,2017-05-28T00:00:00.000
20,Sunset Park,2017-08-09T00:00:00.000
2425,Playground for All Children,2017-07-09T00:00:00.000
8,Sunset Park,2017-07-19T00:00:00.000
16,Sunset Park,2017-08-09T00:00:00.000
13,Sunset Park,2017-08-22T00:00:00.000
1400,Thomas Jefferson Park,2017-08-01T00:00:00.000
24,Sunset Park,2017-07-13T00:00:00.000
6,Sunset Park,2017-08-17T00:00:00.000
35,Sunset Park,2017-07-31T00:00:00.000
266,Williamsbridge Oval,2017-08-06T00:00:00.000
18,Sunset Park,2017-07-20T00:00:00.000
19,Sunset Park,2017-07-14T00:00:00.000
2796,Playground for All Children,2017-06-19T00:00:00.000
31,Sunset Park,2017-07-25T00:00:00.000
14,Dugan Playground,2017-07-11T00:00:00.000
24,Sunset Park,2017-07-31T00:00:00.000
36,Sunset Park,2017-08-11T00:00:00.000
12,Sunset Park,2017-08-14T00:00:00.000
20,Sunset Park,2017-08-10T00:00:00.000
12,Sunset Park,2017-08-21T00:00:00.000
7,Sunset Park,2017-08-23T00:00:00.000
106,Williamsbridge Oval,2017-05-14T00:00:00.000
18,Sunset Park,2017-08-03T00:00:00.000
11,Sunset Park,2017-07-21T00:00:00.000
14,Sunset Park,2017-07-21T00:00:00.000
14,Sunset Park,2017-08-14T00:00:00.000
23,Sunset Park,2017-07-10T00:00:00.000
14,Sunset Park,2017-08-04T00:00:00.000
2325,Playground for All Children,2017-05-21T00:00:00.000
20,Sunset Park,2017-08-14T00:00:00.000
11,Sunset Park,2017-08-21T00:00:00.000
22,Sunset Park,2017-07-13T00:00:00.000
11,Sunset Park,2017-08-09T00:00:00.000
16,Sunset Park,2017-08-10T00:00:00.000
123,Williamsbridge Oval,2017-07-02T00:00:00.000
19,Sunset Park,2017-08-17T00:00:00.000
2402,Thomas Jefferson Park,2017-07-18T00:00:00.000
20,Sunset Park,2017-07-18T00:00:00.000
19,Sunset Park,2017-07-10T00:00:00.000
30,Sunset Park,2017-08-28T00:00:00.000
61,Sunset Park,2017-07-05T00:00:00.000
25,Sunset Park,2017-07-25T00:00:00.000
18,Sunset Park,2017-08-02T00:00:00.000
24,Sunset Park,2017-07-11T00:00:00.000
25,Sunset Park,2017-08-03T00:00:00.000
12,Sunset Park,2017-08-25T00:00:00.000
17,Sunset Park,2017-08-01T00:00:00.000
30,Sunset Park,2017-07-24T00:00:00.000
121,Williamsbridge Oval,2017-05-07T00:00:00.000
18,Sunset Park,2017-07-20T00:00:00.000
28,Sunset Park,2017-07-31T00:00:00.000
29,Sunset Park,2017-07-10T00:00:00.000
21,Sunset Park,2017-08-09T00:00:00.000
24,Sunset Park,2017-07-11T00:00:00.000
23,Sunset Park,2017-08-02T00:00:00.000
900,Thomas Jefferson Park,2017-08-08T00:00:00.000
