qtyreturn,issuedate,returndate
0.0,2016-01-19T00:00:00.000,
0.0,2013-01-30T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2018-01-16T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2016-05-31T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2013-01-07T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2013-01-07T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2018-12-28T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2013-01-30T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2016-01-21T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2018-01-16T00:00:00.000,
0.0,2014-04-01T00:00:00.000,
0.0,2014-04-01T00:00:00.000,
0.0,2013-01-07T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2019-01-17T00:00:00.000,
0.0,2013-01-07T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2014-04-01T00:00:00.000,
0.0,2019-04-03T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2019-01-17T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2013-01-07T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
