serialno,np,povunit_rel,educattain,est_moop,sporder,schl,pa_adj,retp_adj
3474,3,4,1.0,3875.82,3,15.0,0.0,0.0
3474,3,2,1.0,3875.82,2,7.0,0.0,7879.6146
1732,4,4,1.0,19317.8,3,6.0,0.0,0.0
2890,3,1,1.0,320.0,1,13.0,0.0,0.0
2821,2,1,4.0,3165.96,1,21.0,0.0,0.0
4460,3,4,4.0,6413.0,3,22.0,0.0,0.0
2489,2,1,2.0,33.0,1,16.0,0.0,0.0
2818,5,3,1.0,2161.0,3,14.0,0.0,0.0
2489,2,2,2.0,33.0,2,16.0,0.0,0.0
3400,3,2,2.0,5326.04,2,16.0,0.0,0.0
18,3,2,1.0,1608.0,2,12.0,0.0,0.0
3631,3,1,2.0,15.0,1,16.0,0.0,0.0
5045,3,1,4.0,8367.0,1,21.0,0.0,0.0
3833,7,3,1.0,7441.0,5,8.0,0.0,0.0
4144,2,2,4.0,4243.6,2,24.0,0.0,0.0
2821,2,2,4.0,3165.96,2,22.0,0.0,0.0
3833,7,3,1.0,7441.0,3,14.0,0.0,0.0
1533,1,1,2.0,3897.8,1,17.0,0.0,17072.4983
2703,2,1,1.0,3013.0,1,1.0,0.0,2424.4968
5121,1,1,2.0,2650.0,1,16.0,0.0,7273.4904
623,2,1,4.0,1786.0,2,21.0,0.0,0.0
2619,1,1,1.0,0.0,1,11.0,0.0,0.0
5270,7,1,1.0,1908.0,1,1.0,0.0,0.0
947,9,3,1.0,984.0,6,4.0,0.0,0.0
1806,1,1,1.0,132.0,1,13.0,0.0,0.0
4456,2,4,3.0,1110.0,2,20.0,0.0,0.0
3952,2,4,2.0,29.0,2,16.0,0.0,0.0
2427,6,4,4.0,3904.04,4,21.0,0.0,0.0
1732,4,1,4.0,19317.8,1,21.0,0.0,52530.764
1876,3,4,4.0,2683.96,2,21.0,0.0,0.0
3400,3,1,2.0,5326.04,1,16.0,0.0,0.0
4957,4,3,1.0,4.0,2,7.0,0.0,0.0
684,3,2,3.0,1410.67,2,19.0,0.0,0.0
4866,4,4,3.0,2242.0,4,20.0,0.0,0.0
2746,3,4,4.0,1754.0,3,21.0,0.0,0.0
2817,2,2,4.0,556.0,2,21.0,0.0,0.0
3631,3,3,,15.0,3,,0.0,0.0
3516,2,2,4.0,8967.8,2,22.0,0.0,72734.904
947,9,3,1.0,984.0,7,1.0,0.0,0.0
2890,3,2,2.0,320.0,2,16.0,0.0,0.0
2004,3,3,,7348.2,3,,0.0,0.0
4649,2,2,1.0,3131.84,2,12.0,0.0,0.0
931,3,2,1.0,6486.84,2,15.0,0.0,0.0
3566,3,1,4.0,8112.04,1,22.0,0.0,45459.315
1732,4,4,3.0,19317.8,4,19.0,0.0,0.0
2736,2,1,1.0,128.0,1,9.0,0.0,0.0
4089,2,1,1.0,382.8,1,15.0,0.0,0.0
3474,3,1,1.0,3875.82,1,15.0,0.0,0.0
1030,4,3,,5937.96,4,,0.0,0.0
931,3,1,4.0,6486.84,1,22.0,0.0,1212.2484
1876,3,1,4.0,2683.96,1,22.0,0.0,0.0
931,3,4,3.0,6486.84,3,20.0,0.0,0.0
983,2,1,4.0,5705.0,1,21.0,0.0,40812.3628
3833,7,3,1.0,7441.0,7,14.0,0.0,0.0
