nycgov_rel,jwtr,agecateg,povunit_id,eng,schg,off_threshold,nycgov_pov_stat,ssp_adj,wgtp,est_commuting,esr,semp_adj,boro
0,,3,1,,0,11011,2,16062.2913,129,0.0,6.0,0.0,3
4,,3,1,3.0,0,17959,2,3434.7038,188,1060.0,6.0,0.0,2
0,1.0,2,1,,0,24069,2,0.0,47,15340.0,1.0,0.0,2
2,,1,1,1.0,13,24069,2,0.0,89,1060.0,6.0,0.0,4
0,4.0,2,1,,0,15374,2,0.0,54,1484.0,1.0,0.0,2
0,10.0,2,1,,0,11945,2,0.0,639,0.0,1.0,0.0,3
2,4.0,2,1,4.0,0,28974,2,0.0,47,2620.32,1.0,0.0,1
0,,3,1,,0,11011,2,21214.347,120,0.0,6.0,0.0,4
0,1.0,2,1,,0,23681,2,0.0,56,24607.7,1.0,0.0,4
4,,3,1,,0,15374,2,7273.4904,35,4551.0,6.0,0.0,4
2,,1,1,1.0,4,18480,1,0.0,57,3423.35,,0.0,4
0,1.0,2,1,1.0,0,15374,2,0.0,62,2577.0,1.0,0.0,2
1,1.0,2,1,1.0,0,17959,2,0.0,217,2911.5,1.0,0.0,2
0,10.0,2,1,1.0,0,46165,2,0.0,53,0.0,1.0,0.0,2
11,4.0,2,1,1.0,15,35594,2,0.0,130,2801.26,1.0,0.0,4
0,,3,1,,0,13878,2,22224.554,43,1060.0,6.0,0.0,2
0,11.0,3,1,,0,11011,2,25255.175,119,0.0,1.0,24244.968,3
2,5.0,2,1,1.0,0,32978,2,0.0,177,4882.0,1.0,0.0,4
0,4.0,2,1,1.0,0,24069,2,0.0,89,1060.0,1.0,0.0,4
4,,3,1,1.0,0,17959,2,8182.6767,124,2654.75,6.0,0.0,4
1,10.0,2,1,2.0,0,32978,2,0.0,177,4882.0,1.0,0.0,4
2,,1,1,1.0,5,46165,2,0.0,53,0.0,,0.0,2
2,4.0,2,1,1.0,0,17959,2,0.0,132,2120.0,1.0,0.0,3
0,2.0,3,1,,0,13878,2,25255.175,68,981.496,1.0,0.0,2
1,,3,1,,0,13878,2,15355.1464,78,0.0,6.0,0.0,5
0,,3,1,,0,11011,2,20608.2228,139,0.0,6.0,0.0,1
10,4.0,2,1,,0,15374,2,0.0,113,2332.0,1.0,0.0,2
0,11.0,2,1,1.0,0,23283,2,0.0,160,0.0,1.0,57581.799,2
2,1.0,2,1,2.0,0,37217,2,0.0,93,6492.76,1.0,0.0,2
0,4.0,2,1,1.0,16,27400,2,0.0,39,3610.0,1.0,0.0,4
0,1.0,2,1,1.0,0,17959,2,0.0,217,2911.5,1.0,0.0,2
2,,1,1,2.0,1,23283,2,0.0,160,0.0,,0.0,2
8,4.0,2,2,,0,11945,2,0.0,125,1060.0,1.0,0.0,2
0,4.0,3,1,,0,11011,2,0.0,127,848.0,1.0,0.0,4
1,1.0,2,1,3.0,0,37217,2,0.0,93,6492.76,1.0,0.0,2
0,1.0,2,1,,15,35594,2,0.0,130,2801.26,1.0,0.0,4
0,4.0,2,1,2.0,0,11945,2,0.0,125,1484.0,1.0,0.0,2
0,4.0,2,1,3.0,0,28974,2,0.0,47,2620.32,1.0,0.0,1
1,11.0,2,1,1.0,0,24069,2,0.0,89,1060.0,1.0,20204.14,4
0,,3,1,2.0,0,13878,2,12122.484,38,0.0,6.0,0.0,2
0,2.0,2,1,3.0,0,15374,2,0.0,142,1060.0,1.0,0.0,1
0,,2,1,,0,11945,1,0.0,127,559.68,3.0,0.0,2
10,,2,1,2.0,0,23283,2,0.0,60,1820.4,6.0,0.0,1
0,1.0,2,1,,0,15374,2,0.0,35,4551.0,1.0,1.010207,4
2,,1,1,,0,23364,1,0.0,271,0.0,,0.0,2
5,,1,1,,0,28974,2,0.0,47,2620.32,,0.0,1
0,4.0,2,1,,0,11945,2,0.0,226,636.0,1.0,0.0,3
0,4.0,2,1,1.0,0,11945,2,0.0,237,1272.0,1.0,0.0,3
2,,2,1,1.0,0,32978,2,0.0,177,4882.0,6.0,0.0,4
1,5.0,3,1,,0,13878,2,24244.968,70,2550.0,1.0,21517.4091,2
1,11.0,2,1,1.0,0,23283,2,0.0,160,0.0,1.0,0.0,2
1,4.0,2,1,,0,18480,2,0.0,502,1060.0,1.0,0.0,5
2,4.0,2,1,1.0,15,13878,2,0.0,50,636.0,1.0,0.0,2
0,,3,1,,0,13878,2,10102.07,78,0.0,6.0,0.0,5
2,,2,1,4.0,0,28974,2,0.0,47,2620.32,6.0,0.0,1
2,4.0,2,1,,0,23681,2,0.0,206,2150.63,1.0,0.0,1
2,,1,1,,0,15825,1,0.0,129,101.76,,0.0,1
0,4.0,2,1,,0,11945,2,0.0,84,1060.0,1.0,0.0,2
2,,1,1,,0,27400,2,0.0,39,3610.0,,0.0,4
0,2.0,2,1,2.0,0,17959,2,0.0,67,2387.375,1.0,0.0,2
1,5.0,2,1,1.0,0,27400,2,0.0,39,3610.0,1.0,0.0,4
9,,2,2,,0,11945,1,0.0,69,0.0,6.0,0.0,3
0,,3,1,,0,11011,2,11415.3391,41,0.0,6.0,0.0,2
2,,1,1,,10,35594,2,0.0,130,2801.26,,0.0,4
0,4.0,2,1,,0,17959,2,0.0,153,1060.0,1.0,0.0,2
2,,1,1,,0,23364,1,0.0,271,0.0,,0.0,2
5,,1,1,,0,24069,2,0.0,47,15340.0,,0.0,2
0,,3,1,,0,13878,2,0.0,301,0.0,6.0,0.0,2
0,4.0,2,1,2.0,0,17959,2,0.0,188,1060.0,1.0,0.0,2
4,,2,1,,0,24069,2,20204.14,47,15340.0,6.0,0.0,2
2,,1,1,,0,46165,2,0.0,53,0.0,,0.0,2
2,4.0,2,1,,0,17959,2,0.0,40,1060.0,1.0,0.0,4
1,,3,1,,0,17959,2,3838.7866,40,1060.0,6.0,0.0,4
2,1.0,2,1,,0,23681,2,10607.1735,68,7659.2,1.0,0.0,5
0,1.0,2,1,1.0,0,18480,1,0.0,57,3423.35,1.0,0.0,4
0,4.0,2,1,,0,15374,2,0.0,66,1492.48,1.0,0.0,3
2,,2,1,1.0,0,17959,2,0.0,67,2387.375,3.0,0.0,2
0,,3,1,,0,13878,2,17779.6432,102,0.0,6.0,0.0,4
2,,1,1,,13,27400,2,0.0,39,3610.0,6.0,0.0,4
1,,3,1,,0,13878,2,5960.2213,102,0.0,6.0,0.0,4
1,1.0,2,1,,0,18480,2,0.0,105,1517.0,1.0,0.0,4
1,10.0,2,1,4.0,0,17959,1,0.0,304,0.0,1.0,0.0,4
0,,2,1,1.0,0,18480,1,0.0,25,848.0,6.0,0.0,2
0,11.0,2,1,1.0,0,18480,2,0.0,130,0.0,1.0,0.0,2
2,,1,1,,8,35594,2,0.0,130,2801.26,,0.0,4
1,,3,1,3.0,0,13878,2,0.0,79,1060.0,6.0,0.0,2
1,4.0,2,1,,0,15374,2,0.0,66,1492.48,1.0,0.0,3
2,,1,1,,14,35594,2,0.0,130,2801.26,6.0,0.0,4
0,,3,1,,0,11011,2,0.0,125,0.0,6.0,0.0,1
0,,3,1,3.0,0,13878,2,0.0,50,636.0,6.0,0.0,2
0,,3,1,,0,11011,2,18183.726,245,0.0,6.0,0.0,3
9,4.0,2,2,,0,11945,1,0.0,127,1246.56,1.0,0.0,2
0,4.0,2,1,2.0,0,11945,2,0.0,92,848.0,1.0,0.0,2
0,10.0,2,1,3.0,0,37217,2,0.0,318,1060.0,1.0,0.0,4
2,,1,1,1.0,3,46165,2,0.0,53,0.0,,0.0,2
0,4.0,2,1,,0,11945,1,0.0,123,1484.0,1.0,0.0,2
2,,2,1,1.0,15,15374,2,0.0,142,1060.0,3.0,0.0,1
2,,2,1,,0,13878,2,0.0,78,0.0,6.0,0.0,1
2,2.0,2,1,1.0,0,32978,2,0.0,177,4882.0,1.0,0.0,4
0,2.0,3,1,,0,23681,2,20709.2435,68,7659.2,1.0,0.0,5
3,1.0,2,1,1.0,0,17959,2,0.0,124,2654.75,1.0,0.0,4
0,1.0,2,1,,0,18480,2,0.0,105,1517.0,1.0,0.0,4
2,,1,1,1.0,7,23364,1,0.0,271,0.0,,0.0,2
1,,2,1,1.0,0,17959,2,0.0,82,0.0,6.0,0.0,2
2,1.0,2,1,,15,23681,2,0.0,56,24607.7,1.0,0.0,4
7,,2,1,,15,17959,2,0.0,153,1060.0,6.0,0.0,2
1,4.0,2,1,1.0,0,15374,2,0.0,62,2577.0,1.0,0.0,2
2,,1,1,,0,18480,1,0.0,25,848.0,,0.0,2
10,,2,1,,0,13878,2,0.0,301,0.0,6.0,0.0,2
2,,1,1,,2,46165,2,0.0,53,0.0,,0.0,2
1,,2,1,1.0,0,18480,1,0.0,57,3423.35,6.0,0.0,4
2,,1,1,,0,18480,1,0.0,35,1365.3,,0.0,2
1,,3,1,,0,13878,2,8081.656,123,0.0,6.0,0.0,2
1,1.0,2,1,2.0,0,17959,2,0.0,29,6716.6,1.0,0.0,4
0,4.0,2,1,,0,17959,2,0.0,132,2120.0,1.0,-6465.3248,3
2,1.0,2,1,,0,23681,2,0.0,68,7659.2,1.0,0.0,5
0,,3,1,,0,13878,2,4950.0143,70,2550.0,6.0,0.0,2
0,,3,1,,0,13878,2,8283.6974,69,0.0,6.0,0.0,2
0,,3,1,,0,17959,2,10203.0907,40,1060.0,6.0,0.0,4
2,,1,1,,0,23283,2,0.0,160,0.0,,0.0,2
0,,3,1,,0,17959,2,13738.8152,29,6716.6,6.0,0.0,4
0,,2,1,1.0,0,17959,2,0.0,124,2654.75,3.0,0.0,4
2,2.0,2,1,,0,17959,2,0.0,29,6716.6,1.0,0.0,4
0,,3,1,,0,13878,2,16163.312,224,0.0,6.0,0.0,3
11,2.0,1,1,,14,35594,2,0.0,130,2801.26,1.0,0.0,4
