pretaxincome_pu,est_nutrition,est_housing,wkw,est_eitc,pwgtp,sch,est_heap,est_childcare,wagp_adj,est_povgap,off_pov_stat,cit
70512.4486,0.0,0.0,,0.0,36,1,0,0.0,0.0,0.0,2,4
119204.426,0.0,0.0,,0.0,170,0,0,0.0,0.0,0.0,2,1
136377.945,0.0,3102.9791942108,1.0,0.0,144,1,0,0.0,80816.56,0.0,2,1
42226.6526,0.0,1026.9998307603,1.0,0.0,81,1,0,0.0,22729.6575,0.0,2,4
7071.449,0.0,0.0,,0.0,304,1,0,0.0,0.0,25850.088,1,5
141428.98,0.0,1674.5838934675,,0.0,54,2,0,0.0,0.0,0.0,2,3
119204.426,0.0,0.0,1.0,0.0,177,1,0,0.0,32326.624,0.0,2,5
101020.7,0.0,0.0,,0.0,445,0,0,0.0,0.0,0.0,2,1
205678.1452,0.0,0.0,,0.0,57,1,0,0.0,0.0,0.0,2,1
42226.6526,0.0,1026.9998307603,,0.0,117,3,0,0.0,0.0,0.0,2,1
48995.0395,0.0,0.0,,0.0,39,2,0,0.0,0.0,0.0,2,4
17880.6639,6568.2,15508.2915709768,,0.0,66,3,1,0.0,0.0,0.0,1,1
53540.971,0.0,0.0,,0.0,78,1,0,0.0,0.0,0.0,2,1
67683.869,0.0,0.0,1.0,0.0,79,1,0,0.0,67683.869,0.0,2,1
136377.945,0.0,3102.9791942108,,0.0,251,2,0,0.0,0.0,0.0,2,1
94959.458,0.0,0.0,5.0,296.596645,130,1,0,0.0,10102.07,0.0,2,5
116173.805,0.0,0.0,,0.0,227,1,0,0.0,0.0,0.0,2,1
75159.4008,8266.0,0.0,,0.0,123,0,25,0.0,0.0,0.0,2,5
237398.645,0.0,0.0,3.0,0.0,64,1,0,0.0,80816.56,0.0,2,4
131730.9928,0.0,0.0,1.0,0.0,53,1,0,0.0,66673.662,0.0,2,4
23436.8024,0.0,0.0,1.0,0.0,169,1,0,0.0,8283.6974,1843.243,2,4
34751.1208,920.0,2038.25186483965,,0.0,123,1,1,0.0,0.0,0.0,2,4
136377.945,0.0,3102.9791942108,3.0,0.0,206,1,0,0.0,20204.14,0.0,2,1
105061.528,0.0,0.0,1.0,0.0,81,1,0,0.0,22224.554,0.0,2,4
23436.8024,0.0,0.0,1.0,0.0,165,1,0,0.0,15153.105,1843.243,2,4
7071.449,0.0,0.0,,0.0,319,3,0,0.0,0.0,25850.088,1,5
7071.449,10428.0,0.0,6.0,2404.29266,129,1,25,0.0,7071.449,105.28448,1,4
101020.7,0.0,0.0,1.0,0.0,182,1,0,0.0,50510.35,0.0,2,5
9192.8837,2400.0,6641.63315364643,,0.0,86,1,1,0.0,0.0,0.0,1,1
35377.44914,0.0,0.0,3.0,0.0,187,1,0,0.0,0.0,0.0,2,1
17779.6432,2773.0,2691.24876180052,4.0,0.0,96,1,25,0.0,17173.519,0.0,2,5
36468.4727,8941.3,0.0,,0.0,81,3,25,0.0,0.0,0.0,2,1
75159.4008,8266.0,0.0,,0.0,93,1,25,0.0,0.0,0.0,2,5
60612.42,0.0,0.0,1.0,0.0,123,1,0,0.0,60612.42,0.0,2,4
17678.6225,2978.0,9213.90144596193,,0.0,78,1,1,0.0,0.0,0.0,2,1
36468.4727,0.0,0.0,,0.0,130,1,0,0.0,0.0,0.0,2,1
77381.8562,1303.0,0.0,,0.0,190,1,25,0.0,0.0,0.0,2,4
289929.409,0.0,0.0,1.0,0.0,47,1,0,0.0,186888.295,0.0,2,1
141428.98,0.0,1674.5838934675,,0.0,77,2,0,0.0,0.0,0.0,2,1
108294.1904,0.0,0.0,1.0,0.0,54,1,0,0.0,108092.149,0.0,2,1
70714.49,0.0,7971.24876180052,1.0,0.0,639,1,0,0.0,70714.49,0.0,2,1
62228.7512,0.0,0.0,1.0,3169.0,67,1,0,12389.285,10001.0493,0.0,2,5
48388.9153,0.0,0.0,,0.0,120,1,0,0.0,0.0,0.0,2,1
105061.528,0.0,0.0,1.0,0.0,56,1,0,0.0,40408.28,0.0,2,4
104456.414007,2606.0,0.0,,0.0,48,1,25,0.0,0.0,0.0,2,1
24042.9266,531.3,0.0,,0.0,65,2,0,0.0,0.0,3120.2273,2,1
77785.939,0.0,4116.2607541387,1.0,0.0,62,1,0,0.0,45459.315,0.0,2,4
111122.77,0.0,0.0,1.0,0.0,182,1,0,0.0,50510.35,0.0,2,4
17880.6639,6568.2,15508.2915709768,3.0,4545.9315,53,1,1,0.0,10102.07,0.0,1,1
97889.0583,0.0,0.0,6.0,0.0,137,2,0,0.0,909.1863,0.0,2,3
189918.916,0.0,0.0,,0.0,44,1,0,0.0,0.0,0.0,2,1
94959.458,0.0,0.0,3.0,0.0,118,1,0,0.0,0.0,0.0,2,1
119204.426,0.0,0.0,1.0,0.0,191,1,0,0.0,29296.003,0.0,2,5
141428.98,0.0,1674.5838934675,1.0,0.0,89,1,0,0.0,121224.84,0.0,2,4
64754.2687,1600.0,0.0,,0.0,157,1,0,0.0,0.0,0.0,2,4
119204.426,0.0,0.0,1.0,0.0,122,1,0,0.0,27275.589,0.0,2,5
17880.6639,6568.2,15508.2915709768,,0.0,66,3,1,0.0,0.0,0.0,1,1
261744.6337,0.0,0.0,1.0,0.0,218,1,0,0.0,55561.385,0.0,2,1
237398.645,0.0,0.0,1.0,0.0,68,1,0,0.0,90918.63,0.0,2,4
70613.4693,0.0,1620.2607541387,,0.0,55,1,0,0.0,0.0,0.0,2,1
27477.6304,0.0,0.0,,0.0,139,1,0,0.0,0.0,0.0,2,1
134559.5724,0.0,0.0,1.0,0.0,108,1,0,0.0,73745.111,0.0,2,1
158602.499,0.0,0.0,1.0,0.0,160,1,0,9291.965,0.0,0.0,2,1
75159.4008,8266.0,0.0,2.0,0.0,124,1,25,0.0,40408.28,0.0,2,5
48995.0395,0.0,0.0,1.0,269.0246813,39,2,0,0.0,42428.694,0.0,2,4
111122.77,0.0,0.0,1.0,0.0,217,1,0,0.0,50510.35,0.0,2,4
158602.499,0.0,0.0,,0.0,155,3,0,9291.965,0.0,0.0,2,1
30306.21,0.0,0.0,1.0,0.0,98,1,0,0.0,30306.21,0.0,2,1
93242.1061,0.0,0.0,1.0,0.0,127,1,0,0.0,90918.63,0.0,2,1
75159.4008,8266.0,0.0,1.0,3169.0,91,1,25,0.0,19598.0158,0.0,2,5
97889.0583,0.0,0.0,1.0,0.0,130,2,0,0.0,63643.041,0.0,2,1
25255.175,0.0,0.0,1.0,0.0,125,1,0,0.0,25255.175,0.0,2,1
62228.7512,0.0,0.0,1.0,0.0,47,1,0,12389.285,14344.9394,0.0,2,5
141428.98,0.0,1674.5838934675,1.0,0.0,83,1,0,0.0,0.0,0.0,2,4
70512.4486,0.0,0.0,,0.0,38,1,0,0.0,0.0,0.0,2,4
23537.8231,4404.0,0.0,1.0,0.0,142,1,25,0.0,18385.7674,0.0,2,5
8586.7595,0.0,0.0,4.0,0.0,127,1,0,0.0,5758.1799,7025.187,1,1
36468.4727,8941.3,0.0,,0.0,85,1,25,0.0,0.0,0.0,2,4
104456.414007,2606.0,0.0,1.0,0.0,36,1,25,0.0,89908.423,0.0,2,1
4848.9936,8143.55,6902.44986721656,,0.0,212,0,25,0.0,0.0,7678.8794,1,1
62228.7512,0.0,0.0,,0.0,44,0,0,12389.285,0.0,0.0,2,1
17173.519,0.0,7851.24876180052,1.0,0.0,227,1,0,0.0,17173.519,0.0,2,1
101020.7,0.0,0.0,1.0,0.0,237,1,0,0.0,101020.7,0.0,2,1
119204.426,0.0,0.0,,0.0,168,1,0,0.0,0.0,0.0,2,5
50712.3914,0.0,0.0,1.0,0.0,61,1,0,0.0,0.0,0.0,2,4
158602.499,0.0,0.0,1.0,0.0,170,1,0,9291.965,101020.7,0.0,2,3
101020.7,0.0,0.0,1.0,0.0,573,1,0,0.0,101020.7,0.0,2,1
18385.7674,5200.0,10596.2607541387,1.0,386.4041775,69,2,0,0.0,5051.035,0.0,2,4
70613.4693,0.0,1620.2607541387,,0.0,79,1,0,0.0,0.0,0.0,2,1
62228.7512,0.0,0.0,6.0,0.0,67,1,0,12389.285,7879.6146,0.0,2,5
136377.945,0.0,3102.9791942108,1.0,249.894248999999,363,1,0,0.0,35357.245,0.0,2,1
7071.449,10428.0,0.0,,0.0,239,0,25,0.0,0.0,105.28448,1,1
52530.764,0.0,0.0,1.0,0.0,84,1,0,0.0,52530.764,0.0,2,5
48995.0395,0.0,0.0,,0.0,31,1,0,0.0,0.0,0.0,2,1
131730.9928,0.0,0.0,1.0,0.0,67,1,0,0.0,62632.834,0.0,2,4
48995.0395,0.0,0.0,1.0,0.0,38,1,0,0.0,6566.3455,0.0,2,4
0.0,0.0,0.0,,0.0,113,1,0,0.0,0.0,14385.43,1,1
33538.8724,0.0,0.0,,0.0,41,1,0,0.0,0.0,0.0,2,1
97889.0583,0.0,0.0,,0.0,115,3,0,0.0,0.0,0.0,2,1
43438.901,0.0,0.0,1.0,0.0,153,1,0,0.0,35357.245,0.0,2,1
4848.9936,8143.55,6902.44986721656,,0.0,212,1,25,0.0,0.0,7678.8794,1,1
289929.409,0.0,0.0,,0.0,37,0,0,0.0,0.0,0.0,2,1
178604.5976,0.0,0.0,,0.0,302,1,0,0.0,0.0,0.0,2,1
77381.8562,1303.0,0.0,1.0,0.0,189,1,25,0.0,60612.42,0.0,2,4
289929.409,0.0,0.0,,0.0,54,1,0,0.0,0.0,0.0,2,1
17880.6639,6568.2,15508.2915709768,,0.0,73,0,1,0.0,0.0,0.0,1,1
38488.8867,5719.0,0.0,1.0,0.0,46,1,25,0.0,14041.8773,0.0,2,5
38488.8867,5719.0,0.0,,0.0,35,1,25,0.0,0.0,0.0,2,4
205678.1452,0.0,0.0,1.0,0.0,105,1,0,0.0,22426.5954,0.0,2,1
24042.9266,531.3,0.0,1.0,2890.48032932,57,1,0,0.0,24042.9266,3120.2273,2,4
181837.26,0.0,9996.2607541387,3.0,0.0,66,1,0,0.0,101020.7,0.0,2,4
131730.9928,0.0,0.0,,0.0,59,1,0,0.0,0.0,0.0,2,1
23739.8645,0.0,11580.2607541387,,0.0,102,1,0,0.0,0.0,0.0,2,1
48995.0395,0.0,0.0,,0.0,38,2,0,0.0,0.0,0.0,2,4
23739.8645,0.0,11580.2607541387,,0.0,117,1,0,0.0,0.0,0.0,2,1
164663.741,0.0,0.0,1.0,0.0,117,1,0,0.0,53540.971,0.0,2,1
7071.449,0.0,0.0,4.0,0.0,238,1,0,0.0,7071.449,25850.088,1,5
11516.3598,2630.0,6210.1424547796,,0.0,26,1,1,0.0,0.0,1752.5515,1,1
101020.7,0.0,0.0,1.0,0.0,130,1,0,0.0,50510.35,0.0,2,1
97889.0583,0.0,0.0,,0.0,106,3,0,0.0,0.0,0.0,2,1
55561.385,0.0,0.0,,0.0,73,1,0,0.0,0.0,0.0,2,4
181837.26,0.0,9996.2607541387,3.0,0.0,99,1,0,0.0,80816.56,0.0,2,4
97889.0583,0.0,0.0,,0.0,103,2,0,0.0,0.0,0.0,2,1
24244.968,0.0,0.0,,0.0,125,1,0,0.0,0.0,0.0,2,4
18385.7674,5200.0,10596.2607541387,,0.0,50,1,0,0.0,0.0,0.0,2,5
25457.2164,0.0,0.0,,0.0,245,1,0,0.0,0.0,0.0,2,1
10910.2356,0.0,0.0,2.0,0.0,162,1,0,0.0,10910.2356,7358.251,1,1
23032.7196,0.0,2308.18312256266,1.0,0.0,92,1,0,0.0,23032.7196,0.0,2,5
69704.283,0.0,5376.9016137548,1.0,5660.6613044,317,1,0,0.0,18183.726,0.0,2,5
17880.6639,6568.2,15508.2915709768,,0.0,65,3,1,0.0,0.0,0.0,1,1
16163.312,0.0,0.0,1.0,0.0,123,1,0,0.0,16163.312,1886.8677,2,1
23537.8231,4404.0,0.0,,0.0,155,3,25,0.0,0.0,0.0,2,1
17678.6225,2978.0,9213.90144596193,,0.0,138,1,1,0.0,0.0,0.0,2,1
119204.426,0.0,0.0,1.0,0.0,182,1,0,0.0,30306.21,0.0,2,5
205678.1452,0.0,0.0,1.0,0.0,68,1,0,0.0,18284.7467,0.0,2,1
64754.2687,1600.0,0.0,1.0,0.0,165,1,0,0.0,50510.35,0.0,2,1
164663.741,0.0,0.0,1.0,0.0,104,1,0,0.0,111122.77,0.0,2,1
4848.9936,8143.55,6902.44986721656,,0.0,137,2,25,0.0,0.0,7678.8794,1,5
42226.6526,0.0,1026.9998307603,,0.0,69,1,0,0.0,0.0,0.0,2,4
105061.528,0.0,0.0,1.0,0.0,62,3,0,0.0,20204.14,0.0,2,1
43438.901,0.0,0.0,,0.0,188,2,0,0.0,0.0,0.0,2,1
77785.939,0.0,4116.2607541387,1.0,0.0,78,1,0,0.0,32326.624,0.0,2,4
11516.3598,2630.0,6210.1424547796,,0.0,33,0,1,0.0,0.0,1752.5515,1,1
178604.5976,0.0,0.0,,0.0,421,1,0,0.0,0.0,0.0,2,1
17880.6639,6568.2,15508.2915709768,,0.0,78,3,1,0.0,0.0,0.0,1,1
24042.9266,531.3,0.0,,0.0,57,1,0,0.0,0.0,3120.2273,2,1
34144.9966,0.0,1650.1424547796,,0.0,56,0,25,0.0,0.0,1939.1449,2,1
34751.1208,920.0,2038.25186483965,,0.0,107,1,1,0.0,0.0,0.0,2,4
80109.4151,0.0,3090.9998307603,1.0,0.0,35,1,0,0.0,35357.245,0.0,2,4
261744.6337,0.0,0.0,1.0,0.0,132,1,0,0.0,146480.015,0.0,2,1
205678.1452,0.0,0.0,1.0,0.0,96,1,0,0.0,45459.315,0.0,2,1
50712.3914,0.0,0.0,,0.0,69,1,0,0.0,0.0,0.0,2,4
16769.4362,0.0,4726.05473773978,,0.0,68,1,0,0.0,0.0,0.0,2,4
38488.8867,5719.0,0.0,,0.0,40,1,25,0.0,0.0,0.0,2,5
158602.499,0.0,0.0,,0.0,158,0,0,9291.965,0.0,0.0,2,1
80109.4151,0.0,3090.9998307603,,0.0,29,1,0,0.0,0.0,0.0,2,1
64754.2687,1600.0,0.0,,0.0,124,1,0,0.0,0.0,0.0,2,4
80109.4151,0.0,3090.9998307603,1.0,0.0,45,1,0,0.0,28285.796,0.0,2,1
116173.805,0.0,0.0,,0.0,224,1,0,0.0,0.0,0.0,2,1
97889.0583,0.0,0.0,5.0,0.0,104,2,0,0.0,8081.656,0.0,2,3
