citizenstatus,nycgov_threshold,sex,est_povgapindex,mar,hht,ftptwork,est_incometax,est_ficatax,mrgp_adj,rntp_adj,oi_adj,msp,intp_adj,dis,ethnicity
1,27320.0094134304,2,0.064149007,1,1,2,-5403.15,650.6743287,0.0,555.61385,0.0,1.0,0.0,2,1
1,20283.4558567432,2,0.0,1,1,1,56628.16499138,2796.7580795,808.1656,0.0,0.0,1.0,0.0,2,1
2,31038.9997119259,2,0.0,1,3,1,10526.61193491,5365.209377,2424.4968,0.0,0.0,2.0,0.0,2,2
3,50423.0037930247,2,0.0,5,1,3,-3603.972653894,4246.5061452,0.0,717.24697,0.0,,0.0,2,3
1,27320.0094134304,2,0.0,5,1,3,40111.79981618,9303.5013665,2222.4554,0.0,0.0,6.0,0.0,2,5
3,41226.0379039808,1,0.0,5,3,1,-1066.029178403,3515.9244428,0.0,1313.2691,0.0,6.0,0.0,2,4
3,14385.4296856335,1,0.0,5,5,2,24265.6080174,5136.902595,0.0,2525.5175,0.0,6.0,0.0,2,3
2,20283.4558567432,2,0.0,1,1,3,8125.61767414,0.0,0.0,0.0,0.0,1.0,3030.621,2,1
1,47443.5001019233,2,0.0,5,1,3,17220.82979184,6735.050069,0.0,1919.3933,0.0,,0.0,2,4
1,37963.3765401212,1,0.0,1,1,1,20829.88949415,7705.3538925,0.0,1515.3105,0.0,1.0,0.0,2,1
2,31038.9997119259,1,0.0,1,1,1,552.758406284,1284.22564875,0.0,0.0,0.0,1.0,19496.9951,2,1
3,31038.9997119259,1,0.83282608,1,1,3,-125.0,399.5368685,0.0,909.1863,0.0,1.0,0.0,2,3
1,34575.6592598572,1,0.0,5,1,3,27741.1902948624,9330.78705757,0.0,1313.2691,0.0,6.0,0.0,2,1
3,47443.5001019233,1,0.0,1,1,1,17220.82979184,6735.050069,0.0,1919.3933,0.0,1.0,0.0,1,4
1,27320.0094134304,1,0.0,5,1,3,18107.153487,5707.66955,1414.2898,0.0,0.0,,0.0,2,1
1,37963.3765401212,2,0.0,1,1,3,34839.215675853,4868.64212615,2222.4554,0.0,0.0,1.0,4242.8694,2,1
1,31038.9997119259,1,0.0,5,1,3,552.758406284,1284.22564875,0.0,0.0,0.0,6.0,0.0,2,1
2,34575.6592598572,1,0.0,5,1,3,465.800631674999,2768.21973175,1717.3519,0.0,0.0,6.0,0.0,2,3
1,47443.5001019233,2,0.0,5,1,3,-7327.318025,570.766955,0.0,1616.3312,0.0,,0.0,2,1
1,14385.4296856335,2,0.0,3,6,3,9123.26664811,0.0,1212.2484,0.0,0.0,4.0,0.0,2,1
1,14385.4296856335,2,0.0,5,6,1,16093.33434162,3824.1385985,0.0,868.77802,0.0,6.0,0.0,2,2
1,37963.3765401212,2,0.0,5,1,3,20829.88949415,7705.3538925,0.0,1515.3105,0.0,6.0,0.0,2,4
3,31038.9997119259,1,0.0,5,3,2,10526.61193491,5365.209377,2424.4968,0.0,0.0,6.0,0.0,2,2
1,20283.4558567432,1,0.0,1,1,3,17687.188042958,0.0,0.0,1212.2484,0.0,1.0,1111.2277,2,1
3,50423.0037930247,2,0.0,5,1,3,-3603.972653894,4246.5061452,0.0,717.24697,0.0,,0.0,2,3
2,20283.4558567432,2,0.0,1,1,2,63641.5306406,9703.038235,0.0,0.0,0.0,1.0,10102.07,2,1
2,31038.9997119259,2,0.0,1,1,1,29883.063852944,7305.817024,1313.2691,0.0,0.0,1.0,0.0,2,4
2,20283.4558567432,1,0.09087421,1,1,1,686.410181768,1324.1793356,3535.7245,0.0,0.0,1.0,0.0,2,4
2,20283.4558567432,2,0.0,1,1,3,-125.0,0.0,0.0,656.63455,0.0,1.0,0.0,1,2
1,37963.3765401212,2,0.0,1,1,2,20829.88949415,7705.3538925,0.0,1515.3105,0.0,1.0,0.0,1,4
2,37963.3765401212,2,0.0,3,1,1,11153.6150539,5935.976332,2323.4761,0.0,0.0,4.0,0.0,2,2
2,20283.4558567432,2,0.09087421,1,1,1,686.410181768,1324.1793356,3535.7245,0.0,0.0,1.0,0.0,2,4
3,31038.9997119259,1,0.83282608,5,1,3,-125.0,399.5368685,0.0,909.1863,0.0,6.0,0.0,2,3
2,21707.6890608036,2,0.0048501012,5,3,2,-3919.012441,399.5368685,0.0,707.1449,0.0,6.0,0.0,2,2
3,27320.0094134304,1,0.0,1,1,1,19107.153487,5707.66955,2727.5589,0.0,0.0,1.0,0.0,2,1
1,14385.4296856335,2,0.0,5,6,3,0.0,0.0,0.0,1111.2277,0.0,6.0,0.0,1,4
1,14385.4296856335,1,0.0,5,4,2,5195.30535906333,4342.7712957475,0.0,1515.3105,0.0,6.0,20.20414,2,1
3,14385.4296856335,1,0.0,5,4,2,1311.36945233,970.3038235,0.0,404.0828,0.0,6.0,0.0,2,4
1,31038.9997119259,2,0.0,5,3,3,-4084.66376644,1780.7928996,0.0,1111.2277,0.0,,0.0,2,2
3,50423.0037930247,2,0.0,1,1,3,-3603.972653894,4246.5061452,0.0,717.24697,0.0,1.0,0.0,2,3
2,14385.4296856335,2,0.0,5,6,1,13611.3971716,3424.60173,0.0,757.65525,0.0,6.0,0.0,2,2
1,20283.4558567432,2,0.0,5,3,3,-62.5,0.0,0.0,1000.10493,0.0,6.0,0.0,2,2
1,14385.4296856335,2,0.0,2,6,3,1211.17671616,0.0,0.0,1414.2898,0.0,3.0,9091.863,2,1
2,31038.9997119259,2,0.0,1,3,3,13682.309662172,3424.60173,0.0,1414.2898,0.0,1.0,0.0,2,1
1,34575.6592598572,1,0.0,5,2,1,76789.40633762,14326.2505705,4040.828,0.0,0.0,6.0,16163.312,2,1
1,34575.6592598572,1,0.0,5,1,3,27741.1902948624,9330.78705757,0.0,1313.2691,0.0,6.0,0.0,2,1
1,20283.4558567432,2,0.0,1,1,1,22420.694946592,6107.2064185,0.0,2222.4554,0.0,1.0,202.0414,2,1
1,14385.4296856335,1,0.0,5,4,1,17157.0217002,3995.368685,0.0,0.0,0.0,6.0,0.0,2,1
3,41226.0379039808,2,0.0,5,3,2,-1066.029178403,3515.9244428,0.0,1313.2691,0.0,6.0,0.0,2,4
1,14385.4296856335,2,0.0,2,6,3,3821.39591179,0.0,737.45111,0.0,0.0,3.0,20709.2435,1,1
2,37963.3765401212,1,0.0,1,1,1,11153.6150539,5935.976332,2323.4761,0.0,0.0,1.0,0.0,2,2
1,20283.4558567432,2,0.0,2,3,3,25620.9794943349,5079.8258995,1313.2691,0.0,0.0,3.0,0.0,1,2
1,27320.0094134304,1,0.11421033,5,1,3,-4727.33084432,1358.4253529,0.0,1111.2277,0.0,,0.0,2,1
2,20283.4558567432,1,0.0,1,1,1,13257.27698499,4394.9055535,0.0,0.0,0.0,1.0,0.0,2,1
2,31038.9997119259,1,0.0,1,1,1,17283.7004619,6278.436505,0.0,1515.3105,0.0,1.0,0.0,2,1
1,47443.5001019233,1,0.0,1,1,2,-7327.318025,570.766955,0.0,1616.3312,0.0,1.0,0.0,2,1
1,44381.4862290676,2,0.0,5,1,2,4768.80784848,5479.362768,0.0,1818.3726,0.0,6.0,0.0,2,4
1,20283.4558567432,1,0.0,1,1,3,56628.16499138,2796.7580795,808.1656,0.0,0.0,1.0,0.0,2,1
1,14385.4296856335,2,0.0,5,6,2,19074.2643956949,2977.900317084,2323.4761,0.0,0.0,6.0,45459.315,2,1
3,47443.5001019233,2,0.0,5,1,1,17220.82979184,6735.050069,0.0,1919.3933,0.0,6.0,0.0,2,4
2,34575.6592598572,2,0.0,1,1,1,27741.1902948624,9330.78705757,0.0,1313.2691,0.0,1.0,0.0,2,1
2,31038.9997119259,1,0.0,2,3,3,7783.7817435,2853.834775,2727.5589,0.0,0.0,3.0,0.0,2,2
3,47443.5001019233,2,0.0,1,1,1,17220.82979184,6735.050069,0.0,1919.3933,0.0,1.0,0.0,1,4
1,47443.5001019233,2,0.0,5,1,3,-7327.318025,570.766955,0.0,1616.3312,0.0,,0.0,2,1
1,31038.9997119259,2,0.0,5,1,1,72911.949542681,11415.3391,1212.2484,0.0,0.0,6.0,505.1035,2,1
2,20283.4558567432,1,0.0,1,1,1,63641.5306406,9703.038235,0.0,0.0,0.0,1.0,30306.21,2,1
1,20283.4558567432,2,0.0,1,1,3,7113.796344706,0.0,0.0,0.0,0.0,1.0,10001.0493,2,1
1,14385.4296856335,2,0.0,2,6,3,-62.5,0.0,0.0,1010.207,0.0,3.0,6869.4076,2,1
1,20283.4558567432,1,0.0,5,7,1,31903.018720952,7591.2005015,0.0,2828.5796,0.0,6.0,202.0414,2,1
1,31038.9997119259,1,0.0,1,1,1,34692.289748238,12780.1828030745,3737.7659,0.0,0.0,1.0,0.0,2,1
3,50423.0037930247,2,0.0,5,1,2,-3603.972653894,4246.5061452,0.0,717.24697,0.0,6.0,0.0,2,3
2,34575.6592598572,1,0.0,1,1,1,465.800631674999,2768.21973175,1717.3519,0.0,0.0,1.0,0.0,2,3
2,31038.9997119259,2,0.0,1,1,1,17283.7004619,6278.436505,0.0,1515.3105,0.0,1.0,0.0,2,1
1,31038.9997119259,1,0.0,5,1,3,34692.289748238,12780.1828030745,3737.7659,0.0,0.0,,0.0,1,4
1,14385.4296856335,1,0.0,5,5,1,4470.8235064,1712.300865,0.0,1111.2277,0.0,6.0,0.0,2,1
1,14385.4296856335,1,0.0,3,4,1,24360.748611178,5136.902595,0.0,0.0,0.0,4.0,2323.4761,1,1
3,50423.0037930247,1,0.0,1,1,1,-3603.972653894,4246.5061452,0.0,717.24697,0.0,1.0,0.0,2,3
1,44381.4862290676,1,0.0,1,1,1,4768.80784848,5479.362768,0.0,1818.3726,0.0,1.0,0.0,2,2
1,14385.4296856335,1,0.0,5,5,1,3201.2194595,1426.9173875,0.0,1111.2277,0.0,6.0,0.0,2,4
3,41226.0379039808,2,0.0,3,3,2,-1066.029178403,3515.9244428,0.0,1313.2691,0.0,4.0,0.0,2,4
2,34575.6592598572,1,0.0,1,1,2,27741.1902948624,9330.78705757,0.0,1313.2691,0.0,1.0,0.0,2,1
2,20283.4558567432,1,0.0,1,1,3,8125.61767414,0.0,0.0,0.0,0.0,1.0,50510.35,2,1
3,20283.4558567432,2,0.0,3,3,1,1522.385531318,1038.7958581,0.0,1212.2484,0.0,4.0,0.0,2,4
1,14385.4296856335,2,0.48835436,5,7,2,-62.5,325.33716435,0.0,1515.3105,0.0,6.0,2828.5796,2,1
2,31038.9997119259,1,0.0,5,3,3,-4084.66376644,1780.7928996,0.0,1111.2277,0.0,6.0,0.0,1,2
1,20283.4558567432,2,0.0,5,3,1,25620.9794943349,5079.8258995,1313.2691,0.0,0.0,6.0,4848.9936,2,2
1,29575.592958516,1,0.25963569,5,3,3,0.0,0.0,0.0,858.67595,0.0,,0.0,2,4
1,41226.0379039808,2,0.0,5,3,3,-1066.029178403,3515.9244428,0.0,1313.2691,0.0,,0.0,2,4
1,14385.4296856335,2,0.0,5,6,2,1311.36945233,970.3038235,0.0,515.20557,0.0,6.0,0.0,2,2
1,14385.4296856335,1,0.0,3,4,1,28000.057686,5707.66955,0.0,1818.3726,0.0,4.0,0.0,2,1
3,47443.5001019233,2,0.0,1,1,3,17220.82979184,6735.050069,0.0,1919.3933,0.0,2.0,0.0,2,4
2,20283.4558567432,1,0.0,1,1,1,209.226956104083,2642.88653141205,1414.2898,0.0,0.0,1.0,0.0,2,3
1,31038.9997119259,2,0.0,1,1,1,34692.289748238,12780.1828030745,3737.7659,0.0,0.0,1.0,0.0,2,4
1,27320.0094134304,1,0.0,1,1,1,18107.153487,5707.66955,1414.2898,0.0,0.0,1.0,0.0,2,1
2,20283.4558567432,2,0.0,5,3,2,-813.345639625,285.3834775,0.0,0.0,0.0,6.0,0.0,1,3
1,20283.4558567432,1,0.0,1,1,3,7113.796344706,0.0,0.0,0.0,0.0,1.0,10910.2356,2,1
3,41226.0379039808,2,0.0,5,3,2,-1066.029178403,3515.9244428,0.0,1313.2691,0.0,6.0,0.0,2,4
1,37963.3765401212,1,0.0,5,1,1,20829.88949415,7705.3538925,0.0,1515.3105,0.0,6.0,0.0,2,4
1,21707.6890608036,2,0.0048501012,5,3,3,-3919.012441,399.5368685,0.0,707.1449,0.0,,0.0,2,2
3,14385.4296856335,1,0.0,5,4,1,10777.48001324,2967.988166,0.0,757.65525,0.0,6.0,0.0,2,2
1,34575.6592598572,2,0.0,5,1,3,465.800631674999,2768.21973175,1717.3519,0.0,0.0,,0.0,2,3
2,31038.9997119259,1,0.0,1,1,1,29883.063852944,7305.817024,1313.2691,0.0,2424.4968,1.0,0.0,2,4
2,34575.6592598572,2,0.0,1,1,2,465.800631674999,2768.21973175,1717.3519,0.0,0.0,1.0,0.0,2,3
1,14385.4296856335,1,1.0,5,5,3,0.0,0.0,0.0,2525.5175,0.0,6.0,0.0,2,1
1,14385.4296856335,2,0.0,3,6,3,1353.37020875,0.0,0.0,1111.2277,0.0,4.0,0.0,2,1
1,44381.4862290676,2,0.0,5,1,3,4768.80784848,5479.362768,0.0,1818.3726,0.0,,0.0,2,2
1,31038.9997119259,2,0.0,5,3,1,5733.98272045,1997.6843425,0.0,2121.4347,0.0,6.0,0.0,2,2
1,29575.592958516,1,0.25963569,5,3,3,0.0,0.0,0.0,858.67595,0.0,,0.0,2,4
1,34575.6592598572,2,0.0,5,2,3,76789.40633762,14326.2505705,4040.828,0.0,0.0,,0.0,2,1
1,20283.4558567432,2,0.0,5,7,3,43092.495213648,0.0,4646.9522,0.0,0.0,6.0,24244.968,2,1
2,31038.9997119259,2,0.0,3,3,1,13682.309662172,3424.60173,0.0,1414.2898,0.0,4.0,202.0414,2,1
1,34575.6592598572,2,0.0,3,2,3,76789.40633762,14326.2505705,4040.828,0.0,0.0,4.0,0.0,2,1
1,47443.5001019233,2,0.0,5,1,3,-7327.318025,570.766955,0.0,1616.3312,0.0,,0.0,2,1
3,31038.9997119259,2,0.0,5,1,1,648.535195111,793.36606745,0.0,1818.3726,0.0,6.0,0.0,1,3
2,31038.9997119259,2,0.0,1,1,3,648.535195111,793.36606745,0.0,1818.3726,0.0,1.0,0.0,2,3
1,37963.3765401212,1,0.0,5,1,2,34839.215675853,4868.64212615,2222.4554,0.0,0.0,6.0,0.0,1,1
2,27320.0094134304,1,0.11421033,1,1,1,-4727.33084432,1358.4253529,0.0,1111.2277,0.0,1.0,0.0,2,1
2,20283.4558567432,1,0.0,1,1,2,49143.1338348,10273.80519,0.0,0.0,0.0,1.0,0.0,2,3
1,31038.9997119259,2,0.0,5,1,3,29883.063852944,7305.817024,1313.2691,0.0,0.0,6.0,0.0,2,4
1,20283.4558567432,1,0.0,1,1,3,-125.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1
2,34575.6592598572,1,0.0,5,1,3,465.800631674999,2768.21973175,1717.3519,0.0,0.0,6.0,0.0,2,3
1,20283.4558567432,2,0.0,1,1,3,-125.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1
1,27320.0094134304,2,0.0,1,1,2,40111.79981618,9303.5013665,2222.4554,0.0,0.0,1.0,0.0,2,2
3,31038.9997119259,2,0.83282608,1,1,2,-125.0,399.5368685,0.0,909.1863,0.0,1.0,0.0,2,3
1,27320.0094134304,1,0.064149007,1,1,3,-5403.15,650.6743287,0.0,555.61385,0.0,1.0,0.0,2,1
1,27320.0094134304,2,0.0,1,1,1,19107.153487,5707.66955,2727.5589,0.0,0.0,1.0,0.0,2,1
1,44381.4862290676,1,0.0,5,1,3,4768.80784848,5479.362768,0.0,1818.3726,0.0,,0.0,2,2
2,20283.4558567432,2,0.0,1,1,3,7349.5124284,3139.2182525,0.0,1717.3519,0.0,1.0,0.0,2,1
2,20283.4558567432,2,0.0,1,1,2,49143.1338348,10273.80519,0.0,0.0,0.0,1.0,0.0,2,3
1,44381.4862290676,1,0.0,5,1,3,4768.80784848,5479.362768,0.0,1818.3726,0.0,6.0,0.0,2,2
2,14385.4296856335,1,0.0,2,4,3,1459.2452,0.0,0.0,878.88009,6263.2834,3.0,909.1863,1,2
3,20283.4558567432,2,0.0,2,3,3,-813.345639625,285.3834775,0.0,0.0,0.0,3.0,0.0,1,3
1,14385.4296856335,2,0.0,2,6,3,-62.5,0.0,0.0,2020.414,0.0,3.0,0.0,1,1
1,14385.4296856335,2,0.51150721,5,7,2,234.068532892,616.4283114,0.0,1515.3105,0.0,6.0,0.0,2,1
3,14385.4296856335,1,0.0,5,4,1,2638.184707064,1301.3486574,0.0,959.69665,0.0,6.0,0.0,2,2
3,50423.0037930247,1,0.0,1,2,1,-3610.91670755132,4675.3193176635,0.0,1010.207,0.0,2.0,0.0,2,4
1,47443.5001019233,1,0.0,5,1,3,-7327.318025,570.766955,0.0,1616.3312,0.0,,0.0,2,1
1,14385.4296856335,1,0.13116519,2,4,1,1135.52271984,913.227128,0.0,909.1863,0.0,3.0,0.0,2,1
1,20283.4558567432,2,0.0,5,3,3,1522.385531318,1038.7958581,0.0,1212.2484,5152.0557,6.0,0.0,2,4
1,20283.4558567432,1,0.0,5,3,3,-62.5,0.0,0.0,1000.10493,0.0,6.0,0.0,2,2
3,47443.5001019233,1,0.0,5,1,1,17220.82979184,6735.050069,0.0,1919.3933,0.0,6.0,0.0,2,4
1,37963.3765401212,1,0.0,1,1,2,34839.215675853,4868.64212615,2222.4554,0.0,0.0,1.0,4242.8694,1,1
1,31038.9997119259,1,0.0,5,3,1,7783.7817435,2853.834775,2727.5589,0.0,0.0,6.0,0.0,2,2
1,27320.0094134304,1,0.0,1,1,1,40111.79981618,9303.5013665,2222.4554,0.0,0.0,1.0,0.0,2,1
3,29575.592958516,1,0.25963569,5,3,3,0.0,0.0,0.0,858.67595,0.0,,0.0,2,4
2,31038.9997119259,2,0.0,1,1,3,552.758406284,1284.22564875,0.0,0.0,0.0,1.0,0.0,2,1
1,37963.3765401212,1,0.0,5,1,1,11153.6150539,5935.976332,2323.4761,0.0,0.0,6.0,0.0,2,2
1,31038.9997119259,2,0.0,5,3,3,5733.98272045,1997.6843425,0.0,2121.4347,0.0,6.0,0.0,2,2
2,20283.4558567432,2,0.0,1,1,1,13257.27698499,4394.9055535,0.0,0.0,0.0,1.0,0.0,2,1
1,27320.0094134304,1,0.064149007,5,1,3,-5403.15,650.6743287,0.0,555.61385,0.0,,0.0,2,1
1,20283.4558567432,2,0.0,5,7,3,43092.495213648,0.0,4646.9522,0.0,0.0,6.0,27073.5476,2,1
1,47443.5001019233,1,0.0,5,1,3,-7327.318025,570.766955,0.0,1616.3312,0.0,,0.0,2,1
1,27320.0094134304,2,0.11421033,1,1,3,-4727.33084432,1358.4253529,0.0,1111.2277,0.0,1.0,0.0,2,1
1,27320.0094134304,1,0.070978925,5,1,3,1223.499558162,502.2749204,0.0,1111.2277,0.0,,0.0,2,1
2,20283.4558567432,1,0.0,1,1,3,-125.0,0.0,0.0,656.63455,0.0,1.0,0.0,1,2
2,31038.9997119259,1,0.0,1,1,1,8099.72682901,3595.8318165,0.0,0.0,0.0,1.0,0.0,2,1
1,31038.9997119259,1,0.0,1,1,1,72911.949542681,11415.3391,1212.2484,0.0,0.0,1.0,10102.07,2,1
1,37963.3765401212,1,0.0,5,1,1,34839.215675853,4868.64212615,2222.4554,0.0,0.0,6.0,202.0414,2,1
2,20283.4558567432,2,0.0,1,1,3,209.226956104083,2642.88653141205,1414.2898,0.0,0.0,1.0,0.0,1,3
2,20283.4558567432,2,0.0,1,1,3,0.0,0.0,0.0,858.67595,0.0,1.0,0.0,2,2
3,31038.9997119259,1,0.0,1,1,3,648.535195111,793.36606745,0.0,1818.3726,0.0,1.0,0.0,2,3
1,31038.9997119259,2,0.0,5,1,3,34692.289748238,12780.1828030745,3737.7659,0.0,0.0,,0.0,2,4
1,31038.9997119259,2,0.0,1,1,3,8099.72682901,3595.8318165,0.0,0.0,0.0,1.0,1515.3105,2,1
2,31038.9997119259,2,0.0,5,3,3,7783.7817435,2853.834775,2727.5589,0.0,0.0,6.0,0.0,2,2
1,31038.9997119259,2,0.0,5,1,2,8099.72682901,3595.8318165,0.0,0.0,0.0,6.0,0.0,2,1
1,20283.4558567432,2,0.0,1,1,3,17687.188042958,0.0,0.0,1212.2484,0.0,1.0,1111.2277,2,1
1,44381.4862290676,1,0.0,5,1,2,4768.80784848,5479.362768,0.0,1818.3726,0.0,6.0,0.0,2,2
