bbl,grantee,borough,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,boro
4017800095,"59-01 MASPETH AVENUE, INC.",QN,21.0,73.0,4
1005510016,NEW YORK UNIVERSITY,MN,32.0,3.0,1
2033010063,2833 BRIGGS AVENUE LLC,BX,22.0,34.0,2
2027440040,1105 HOE AVENUE EDMS REALTY LLC,BX,43.0,24.0,2
4062420030,B SOMEKH LLC,QN,20.0,69.0,4
1020840062,SKYLINE 3694 LLC,MN,23.0,19.0,1
4051900001,42-59 BOWNE STREET LLC,QN,3.0,67.0,4
1007430020,"TOKUYAMA, SEIYA",MN,10.0,6.0,1
1010380052,"YAGIHYO SHOKUSAN CO., LTD.",MN,10.0,10.0,1
3012680027,CROWN RESIDENTIAL CORP.,BK,48.0,44.0,3
1004600019,"MOLL, STEPHAN",MN,50.0,5.0,1
1022170007,9-15 POST HOLDING LLC,MN,39.0,22.0,1
2033260105,45 E MOSHOLU LLC,BX,40.0,34.0,2
3030440016,"180 SCHOLES STREET, LLC",BK,30.0,56.0,3
2026000159,864 E 149 LLC,BX,35.0,23.0,2
