bbl,geocoded_column,crfn,lot
3010520044,"{'type': 'Point', 'coordinates': [-73.989969, 40.664811]}",2022000231220,44
3050600043,"{'type': 'Point', 'coordinates': [-73.963374, 40.6514]}",2019000213712,43
3016640057,"{'type': 'Point', 'coordinates': [-73.935836, 40.682676]}",2019000383846,57
3018930047,"{'type': 'Point', 'coordinates': [-73.9633, 40.694537]}",2023000204339,47
3056250005,"{'type': 'Point', 'coordinates': [-73.999402, 40.641242]}",2018000406027,5
3025330001,"{'type': 'Point', 'coordinates': [-73.954616, 40.732431]}",2022000093332,1
3015140008,"{'type': 'Point', 'coordinates': [-73.919011, 40.681592]}",2022000200320,8
1016830044,"{'type': 'Point', 'coordinates': [-73.939174, 40.794265]}",2023000191691,44
1022200023,"{'type': 'Point', 'coordinates': [-73.924226, 40.864225]}",2023000248138,23
2027030020,"{'type': 'Point', 'coordinates': [-73.895986, 40.820348]}",2021000031126,20
4097730005,"{'type': 'Point', 'coordinates': [-73.80088, 40.709895]}",2020000213199,5
1004370021,"{'type': 'Point', 'coordinates': [-73.983097, 40.728201]}",2022000065062,21
2031450010,"{'type': 'Point', 'coordinates': [-73.898515, 40.855963]}",2021000254270,10
3062510047,"{'type': 'Point', 'coordinates': [-73.992091, 40.608247]}",2018000413673,47
2039820001,"{'type': 'Point', 'coordinates': [-73.845389, 40.839309]}",2022000208808,1
2033260105,"{'type': 'Point', 'coordinates': [-73.88323, 40.879437]}",2021000408784,105
2024560034,"{'type': 'Point', 'coordinates': [-73.918739, 40.830664]}",2018000211903,34
2041580034,"{'type': 'Point', 'coordinates': [-73.832825, 40.844438]}",2018000313842,34
2022670065,"{'type': 'Point', 'coordinates': [-73.917972, 40.807918]}",2021000404109,65
3075480043,"{'type': 'Point', 'coordinates': [-73.957562, 40.632909]}",2022000250724,43
4155670014,"{'type': 'Point', 'coordinates': [-73.750829, 40.600854]}",2021000002225,14
4012310038,"{'type': 'Point', 'coordinates': [-73.901775, 40.746539]}",2023000080158,38
3078100019,"{'type': 'Point', 'coordinates': [-73.938235, 40.622855]}",2019000119330,19
3050630017,"{'type': 'Point', 'coordinates': [-73.960616, 40.653633]}",2018000203688,17
3008410010,"{'type': 'Point', 'coordinates': [-74.011689, 40.640325]}",2023000092937,10
3028930042,"{'type': 'Point', 'coordinates': [-73.940353, 40.715742]}",2022000059633,42
3050860050,"{'type': 'Point', 'coordinates': [-73.955961, 40.651774]}",2018000228665,50
4104750350,"{'type': 'Point', 'coordinates': [-73.758005, 40.713505]}",2018000229379,350
2027440040,"{'type': 'Point', 'coordinates': [-73.890908, 40.825975]}",2022000062475,40
5000140096,"{'type': 'Point', 'coordinates': [-74.081402, 40.647441]}",2021000483014,96
2049960041,"{'type': 'Point', 'coordinates': [-73.859332, 40.895972]}",2023000153608,41
3053740057,"{'type': 'Point', 'coordinates': [-73.974659, 40.638947]}",2022000235677,57
4062420030,"{'type': 'Point', 'coordinates': [-73.769856, 40.765254]}",2018000154812,30
2032200010,"{'type': 'Point', 'coordinates': [-73.903861, 40.866611]}",2022000172488,10
1021800505,"{'type': 'Point', 'coordinates': [-73.932552, 40.856888]}",2023000150044,505
3051840031,"{'type': 'Point', 'coordinates': [-73.958192, 40.640716]}",2022000145557,31
1021250042,"{'type': 'Point', 'coordinates': [-73.936588, 40.840331]}",2022000015380,42
1021390310,"{'type': 'Point', 'coordinates': [-73.940613, 40.845164]}",2022000009522,310
4051900001,"{'type': 'Point', 'coordinates': [-73.820709, 40.756116]}",2023000081897,1
1021100024,"{'type': 'Point', 'coordinates': [-73.937514, 40.835435]}",2022000246284,24
3024430023,"{'type': 'Point', 'coordinates': [-73.963016, 40.711804]}",2021000295453,23
3053590043,"{'type': 'Point', 'coordinates': [-73.971289, 40.641628]}",2021000187916,43
4088850001,"{'type': 'Point', 'coordinates': [-73.852793, 40.696013]}",2022000060598,1
1007450026,"{'type': 'Point', 'coordinates': [-74.000079, 40.744297]}",2022000044139,26
3087640028,"{'type': 'Point', 'coordinates': [-73.956189, 40.58387]}",2022000427482,28
1002050023,"{'type': 'Point', 'coordinates': [-73.997338, 40.717516]}",2019000132405,23
2049940041,"{'type': 'Point', 'coordinates': [-73.86009, 40.894604]}",2020000340636,41
2032600050,"{'type': 'Point', 'coordinates': [-73.903832, 40.876061]}",2021000480589,50
3014120057,"{'type': 'Point', 'coordinates': [-73.938026, 40.665602]}",2022000055839,57
2031730048,"{'type': 'Point', 'coordinates': [-73.899296, 40.860638]}",2022000162109,48
1021380187,"{'type': 'Point', 'coordinates': [-73.940612, 40.842227]}",2021000132942,187
2028440105,"{'type': 'Point', 'coordinates': [-73.914173, 40.840561]}",2018000242005,105
1021490104,"{'type': 'Point', 'coordinates': [-73.928275, 40.851034]}",2022000120328,104
3014200020,"{'type': 'Point', 'coordinates': [-73.930176, 40.665155]}",2018000214821,20
1021570013,"{'type': 'Point', 'coordinates': [-73.931087, 40.851304]}",2022000120343,13
1021490101,"{'type': 'Point', 'coordinates': [-73.927858, 40.851736]}",2022000120325,101
1020770038,"{'type': 'Point', 'coordinates': [-73.94773, 40.826155]}",2018000416766,38
2026000159,"{'type': 'Point', 'coordinates': [-73.903673, 40.811703]}",2022000312708,159
2028050045,"{'type': 'Point', 'coordinates': [-73.907482, 40.849556]}",2021000129003,45
1014360033,"{'type': 'Point', 'coordinates': [-73.961509, 40.761862]}",2019000071278,33
3065110001,"{'type': 'Point', 'coordinates': [-73.96879, 40.62924]}",2019000231399,1
4035530062,"{'type': 'Point', 'coordinates': [-73.901404, 40.69727]}",2023000175751,62
1005510016,"{'type': 'Point', 'coordinates': [-73.998196, 40.732023]}",2018000207756,16
3011730007,"{'type': 'Point', 'coordinates': [-73.966725, 40.674968]}",2021000014151,7
1021560025,"{'type': 'Point', 'coordinates': [-73.930097, 40.850121]}",2021000509048,25
2053860017,"{'type': 'Point', 'coordinates': [-73.835975, 40.843463]}",2022000272802,17
4051820039,"{'type': 'Point', 'coordinates': [-73.822193, 40.756036]}",2021000274251,39
1012440090,"{'type': 'Point', 'coordinates': [-73.98081, 40.786636]}",2022000213692,90
3057910021,"{'type': 'Point', 'coordinates': [-74.01816, 40.639731]}",2022000324953,21
2033010063,"{'type': 'Point', 'coordinates': [-73.889384, 40.868816]}",2018000375714,63
1007430020,"{'type': 'Point', 'coordinates': [-74.001386, 40.743317]}",2021000367840,20
4050400027,"{'type': 'Point', 'coordinates': [-73.831858, 40.755238]}",2018000219738,27
1021110010,"{'type': 'Point', 'coordinates': [-73.937841, 40.837683]}",2018000381036,10
3058630014,"{'type': 'Point', 'coordinates': [-74.025091, 40.636156]}",2020000181058,14
1020840062,"{'type': 'Point', 'coordinates': [-73.946891, 40.831285]}",2018000149792,62
1022170007,"{'type': 'Point', 'coordinates': [-73.924748, 40.862803]}",2018000365148,7
1021090034,"{'type': 'Point', 'coordinates': [-73.938755, 40.833633]}",2022000180955,34
3009510046,"{'type': 'Point', 'coordinates': [-73.974861, 40.675362]}",2020000183274,46
1003100003,"{'type': 'Point', 'coordinates': [-73.990415, 40.71605]}",2018000157171,3
1022200039,"{'type': 'Point', 'coordinates': [-73.924346, 40.862971]}",2023000248355,39
2031650011,"{'type': 'Point', 'coordinates': [-73.899459, 40.860292]}",2021000495531,11
3058740051,"{'type': 'Point', 'coordinates': [-74.01863, 40.632114]}",2022000217688,51
3065520008,"{'type': 'Point', 'coordinates': [-73.980298, 40.614918]}",2018000295019,8
1021200023,"{'type': 'Point', 'coordinates': [-73.940773, 40.836411]}",2018000381039,23
2032130012,"{'type': 'Point', 'coordinates': [-73.904418, 40.863554]}",2019000045199,12
1019030062,"{'type': 'Point', 'coordinates': [-73.951261, 40.804937]}",2018000195547,62
4030790086,"{'type': 'Point', 'coordinates': [-73.865779, 40.730355]}",2021000004970,86
4096780107,"{'type': 'Point', 'coordinates': [-73.80703, 40.702324]}",2021000334707,107
3068010056,"{'type': 'Point', 'coordinates': [-73.955015, 40.606932]}",2018000302285,56
1022200013,"{'type': 'Point', 'coordinates': [-73.924855, 40.863992]}",2023000247963,13
4034560041,"{'type': 'Point', 'coordinates': [-73.907741, 40.701612]}",2022000127480,41
1001990031,"{'type': 'Point', 'coordinates': [-73.999769, 40.716081]}",2019000165260,31
3024490016,"{'type': 'Point', 'coordinates': [-73.954903, 40.708631]}",2019000079325,16
3067480037,"{'type': 'Point', 'coordinates': [-73.954705, 40.616711]}",2022000297302,37
2032390077,"{'type': 'Point', 'coordinates': [-73.905434, 40.871495]}",2019000090586,77
1021220048,"{'type': 'Point', 'coordinates': [-73.942521, 40.837269]}",2019000131605,48
2033240011,"{'type': 'Point', 'coordinates': [-73.885111, 40.882876]}",2022000255776,11
1004600019,"{'type': 'Point', 'coordinates': [-73.990609, 40.727452]}",2020000217944,19
3052340016,"{'type': 'Point', 'coordinates': [-73.964133, 40.634608]}",2018000300352,16
2042380015,"{'type': 'Point', 'coordinates': [-73.828635, 40.851653]}",2018000264673,15
3046260006,"{'type': 'Point', 'coordinates': [-73.926199, 40.659564]}",2018000226207,6
2031650004,"{'type': 'Point', 'coordinates': [-73.899597, 40.860037]}",2021000507553,4
1004540056,"{'type': 'Point', 'coordinates': [-73.985073, 40.730674]}",2021000175493,56
3007480057,"{'type': 'Point', 'coordinates': [-74.006958, 40.646737]}",2020000026242,57
2024890054,"{'type': 'Point', 'coordinates': [-73.919613, 40.836588]}",2023000156666,54
2038130037,"{'type': 'Point', 'coordinates': [-73.852009, 40.833274]}",2022000213597,37
1021300022,"{'type': 'Point', 'coordinates': [-73.936035, 40.843691]}",2022000136686,22
1019940062,"{'type': 'Point', 'coordinates': [-73.960478, 40.814495]}",2020000226493,62
4111040083,"{'type': 'Point', 'coordinates': [-73.740966, 40.711283]}",2021000412628,83
1021220110,"{'type': 'Point', 'coordinates': [-73.940576, 40.837948]}",2021000308347,110
2030810008,"{'type': 'Point', 'coordinates': [-73.889972, 40.849724]}",2021000360780,8
2033330009,"{'type': 'Point', 'coordinates': [-73.879883, 40.87241]}",2018000305971,9
1002740013,"{'type': 'Point', 'coordinates': [-73.992678, 40.711744]}",2020000138193,13
3012230069,"{'type': 'Point', 'coordinates': [-73.940376, 40.674688]}",2018000170746,69
3052510052,"{'type': 'Point', 'coordinates': [-73.948889, 40.635052]}",2021000240574,52
3059270024,"{'type': 'Point', 'coordinates': [-74.031215, 40.633025]}",2019000020941,24
3008080025,"{'type': 'Point', 'coordinates': [-74.010407, 40.643325]}",2018000346210,25
4103620001,"{'type': 'Point', 'coordinates': [-73.773365, 40.706954]}",2019000180714,1
1019010023,"{'type': 'Point', 'coordinates': [-73.950451, 40.802357]}",2018000415048,23
3007500034,"{'type': 'Point', 'coordinates': [-74.001607, 40.644396]}",2022000213612,34
2032810045,,2022000056035,45
3055780048,"{'type': 'Point', 'coordinates': [-73.98909, 40.614771]}",2023000011576,48
1021560022,"{'type': 'Point', 'coordinates': [-73.929577, 40.850011]}",2022000120334,22
3049680025,"{'type': 'Point', 'coordinates': [-73.944384, 40.640246]}",2020000060631,25
2039230039,"{'type': 'Point', 'coordinates': [-73.863853, 40.837845]}",2021000128045,39
1004950031,"{'type': 'Point', 'coordinates': [-73.995949, 40.722778]}",2022000162370,31
1004540057,"{'type': 'Point', 'coordinates': [-73.985109, 40.730688]}",2021000175492,57
2032890032,"{'type': 'Point', 'coordinates': [-73.896057, 40.85825]}",2018000376675,32
1020060042,"{'type': 'Point', 'coordinates': [-73.940155, 40.816312]}",2018000418000,42
2038990040,"{'type': 'Point', 'coordinates': [-73.866244, 40.836684]}",2022000047086,40
2038190057,"{'type': 'Point', 'coordinates': [-73.84895, 40.830731]}",2019000186052,57
3012230066,"{'type': 'Point', 'coordinates': [-73.940102, 40.674672]}",2018000170745,66
1013690045,"{'type': 'Point', 'coordinates': [-73.962102, 40.758832]}",2020000257512,45
2038760025,"{'type': 'Point', 'coordinates': [-73.867739, 40.833721]}",2023000121070,25
1016460015,"{'type': 'Point', 'coordinates': [-73.948272, 40.784754]}",2019000380609,15
1016240021,"{'type': 'Point', 'coordinates': [-73.9506, 40.785738]}",2018000187038,21
3052200047,"{'type': 'Point', 'coordinates': [-73.957649, 40.637864]}",2019000191734,47
3012430068,"{'type': 'Point', 'coordinates': [-73.943871, 40.672192]}",2018000153213,68
2033080012,"{'type': 'Point', 'coordinates': [-73.885594, 40.873714]}",2018000306327,12
2022680014,"{'type': 'Point', 'coordinates': [-73.916875, 40.810102]}",2022000244829,14
