latitude,longitude,bin,community_board,:@computed_region_f5dn_yrer
40.810102,-73.916875,2000096.0,201.0,49.0
40.712735,-73.989013,1003232.0,103.0,70.0
40.803268,-73.958115,1055806.0,110.0,18.0
40.85731,-73.891467,2011400.0,206.0,35.0
40.845164,-73.940613,1063435.0,112.0,47.0
40.835435,-73.937514,1062597.0,112.0,47.0
40.632909,-73.957562,3205715.0,314.0,60.0
40.786636,-73.98081,1033758.0,107.0,20.0
40.640325,-74.011689,3015439.0,307.0,9.0
40.837948,-73.940576,1062936.0,112.0,47.0
40.711744,-73.992678,1003268.0,103.0,70.0
40.863554,-73.904418,2014628.0,207.0,24.0
40.842943,-73.910173,2007828.0,204.0,50.0
40.760747,-73.913128,4012611.0,401.0,39.0
40.870409,-73.887396,2017092.0,207.0,24.0
40.839309,-73.845389,2092992.0,210.0,43.0
40.849556,-73.907482,2007627.0,205.0,6.0
40.716081,-73.999769,1076901.0,103.0,70.0
40.794265,-73.939174,1052888.0,111.0,7.0
40.616711,-73.954705,3181128.0,314.0,60.0
40.837683,-73.937841,1062634.0,112.0,47.0
40.715742,-73.940353,3325355.0,301.0,36.0
40.781869,-73.95325,1048256.0,108.0,23.0
40.843091,-73.832922,2074660.0,210.0,43.0
40.683513,-73.960872,3056862.0,302.0,68.0
40.709895,-73.80088,4209099.0,408.0,25.0
40.825975,-73.890908,2006043.0,202.0,8.0
40.69727,-73.901404,4085706.0,405.0,54.0
40.860292,-73.899459,2013792.0,205.0,6.0
40.622855,-73.938235,3217001.0,318.0,5.0
40.665155,-73.930176,3038309.0,309.0,17.0
40.728525,-73.983829,1005963.0,103.0,70.0
40.732431,-73.954616,3064313.0,301.0,36.0
40.711283,-73.740966,4239278.0,413.0,63.0
40.744297,-74.000079,1013301.0,104.0,12.0
40.665602,-73.938026,3038029.0,309.0,17.0
40.761649,-73.988492,1025110.0,104.0,12.0
40.646624,-74.006771,3011633.0,307.0,9.0
40.820348,-73.895986,2005454.0,202.0,8.0
40.816312,-73.940155,1060010.0,110.0,18.0
40.584573,-73.955609,3246947.0,315.0,32.0
40.837845,-73.863853,2028682.0,209.0,58.0
40.721766,-73.978971,1004387.0,103.0,70.0
40.76721,-73.988087,1026804.0,104.0,12.0
40.840331,-73.936588,1063007.0,112.0,47.0
40.724078,-73.848525,4051285.0,406.0,40.0
40.856888,-73.932552,1064465.0,112.0,47.0
40.58387,-73.956189,,315.0,32.0
40.755238,-73.831858,4114214.0,407.0,22.0
40.831748,-73.910954,2002077.0,204.0,50.0
40.635734,-74.020451,3144511.0,310.0,10.0
40.871495,-73.905434,2015177.0,207.0,24.0
40.702324,-73.80703,4206812.0,412.0,41.0
40.802357,-73.950451,1057404.0,110.0,18.0
40.651131,-73.942591,3108817.0,317.0,61.0
40.652524,-73.952133,3116696.0,317.0,61.0
40.871085,-73.891025,2017578.0,207.0,24.0
40.640716,-73.958192,3119499.0,314.0,60.0
40.728201,-73.983097,1005909.0,103.0,70.0
40.638947,-73.974659,3126170.0,312.0,2.0
40.608373,-74.002852,3165145.0,311.0,1.0
40.863945,-73.924982,1064746.0,112.0,47.0
40.840561,-73.914173,2008120.0,204.0,50.0
40.755185,-73.91986,4010955.0,401.0,39.0
40.76094,-73.807524,4120371.0,407.0,22.0
40.739079,-73.996781,1014575.0,104.0,12.0
40.765254,-73.769856,4137639.0,411.0,26.0
40.837269,-73.942521,1062922.0,112.0,47.0
40.646737,-74.006958,3011635.0,307.0,9.0
