grantee,cap_rate,nta,str_name
"OAK TREE AVANATH INVINCIBLE COURT, LLC",0.023,Central Harlem North-Polo Grounds,WEST 138 STREET
"3232 SHORE PARKWAY, LLC",0.043,BK1503,EAST 13 STREET
M & S ARCHER REALTY LLC,0.034,West Farms-Bronx River,ARCHER STREET
FRONTIER FOURTH DEVELOPMENT LP,0.022,Lower East Side,EAST 4 STREET
"448 WEST 55TH STREET APARTMENT, LLC",0.024,Clinton,WEST 55 STREET
2192 A LLC,0.048,Washington Heights South,AMSTERDAM AVENUE
GLOBAL 69TH AVENUE LLC,0.055,Forest Hills,69 AVENUE
GETTY INDUSTRIES LLC,0.068,MN1202,BROADWAY
"2775 EAST 12TH STREET, LLC",0.042,BK1503,HOMECREST AVENUE
"132-57 SANDFORD AVENUE, LLC",0.026,Flushing,SANFORD AVENUE
1182 CLAY AVE. LLC,0.03,East Concourse-Concourse Village,CLAY AVENUE
67TH STREET REALTY PROPERTY LLC,0.052,Bay Ridge,67 STREET
VYSE HOLDING CORP.,0.033,Kingsbridge Heights,HEATH AVENUE
JAMAICA 148 LLC,0.037,Jamaica,148 STREET
"117 WEST 116TH OWNER, LLC",0.033,Central Harlem South,WEST 116 STREET
CHURCH WAY LLC,0.042,East Flatbush-Farragut,CHURCH AVENUE
PLG ACQUISITIONS LLC,0.026,Prospect Lefferts Gardens-Wingate,LINDEN BOULEVARD
NO. ONE MET REALTY CORP,0.038,Van Cortlandt Village,MINERVA PLACE
550 EAST 21 LLC,0.035,Flatbush,EAST 21 STREET
280 E 10 STREET LLC,0.038,East Village,EAST 10 STREET
RDJ HOUSING LLC,0.039,Kensington-Ocean Parkway,EAST 5 STREET
1478 LLC,0.036,Bath Beach,85 STREET
109 SHERMAN LLC,0.042,MN1203,SHERMAN AVENUE
1459 WYTHE A LLC*1459 WYTHE B LLC,0.028,West Concourse,WYTHE PLACE
GG 42 LLC,0.032,Astoria,42 STREET
158-03 SANFORD AVE LLC,0.032,Murray Hill,SANFORD AVENUE
"AAK ACQUISITIONS, LLC",0.021,Hudson Yards-Chelsea-Flatiron-Union Square,WEST 16 STREET
B SOMEKH LLC,0.017,Bayside-Bayside Hills,214 PLACE
3880 BROADWAY ASSOCIATES LLC,0.024,Washington Heights South,BROADWAY
545-553-557 46TH STREET LLC,0.039,Sunset Park East,46 STREET
