geocoded_column,latitude,longitude,:@computed_region_efsh_h5xi,yearqtr,deed_date,council_district,:@computed_region_yeji_bk3q,price
"{'type': 'Point', 'coordinates': [-73.989013, 40.712735]}",40.712735,-73.989013,11723.0,2022Q1,2022-01-13T00:00:00.000,1.0,4.0,3430000
,,,,2021Q4,2021-11-17T00:00:00.000,,,6120000
"{'type': 'Point', 'coordinates': [-73.890908, 40.825975]}",40.825975,-73.890908,10937.0,2022Q1,2022-01-14T00:00:00.000,17.0,5.0,871215
"{'type': 'Point', 'coordinates': [-73.992091, 40.608247]}",40.608247,-73.992091,17616.0,2018Q4,2018-12-04T00:00:00.000,47.0,2.0,6000000
"{'type': 'Point', 'coordinates': [-73.98081, 40.786636]}",40.786636,-73.98081,12421.0,2022Q2,2022-05-09T00:00:00.000,6.0,4.0,90000000
"{'type': 'Point', 'coordinates': [-73.952133, 40.652524]}",40.652524,-73.952133,13510.0,2022Q2,2022-04-28T00:00:00.000,40.0,2.0,3500000
"{'type': 'Point', 'coordinates': [-73.9529, 40.607329]}",40.607329,-73.9529,13512.0,2019Q1,2019-01-10T00:00:00.000,48.0,2.0,5200000
"{'type': 'Point', 'coordinates': [-73.839054, 40.577727]}",40.577727,-73.839054,20532.0,2020Q3,2020-09-16T00:00:00.000,32.0,3.0,7000000
"{'type': 'Point', 'coordinates': [-73.974637, 40.611958]}",40.611958,-73.974637,16867.0,2021Q4,2021-12-08T00:00:00.000,44.0,2.0,5366497
"{'type': 'Point', 'coordinates': [-73.758005, 40.713505]}",40.713505,-73.758005,24332.0,2018Q2,2018-06-26T00:00:00.000,23.0,3.0,10208334
"{'type': 'Point', 'coordinates': [-73.852009, 40.833274]}",40.833274,-73.852009,11271.0,2022Q2,2022-05-05T00:00:00.000,18.0,5.0,5000000
"{'type': 'Point', 'coordinates': [-73.954903, 40.708631]}",40.708631,-73.954903,17613.0,2019Q1,2019-02-15T00:00:00.000,34.0,2.0,15500000
"{'type': 'Point', 'coordinates': [-73.950451, 40.802357]}",40.802357,-73.950451,12423.0,2018Q4,2018-12-10T00:00:00.000,9.0,4.0,6900000
"{'type': 'Point', 'coordinates': [-73.928275, 40.851034]}",40.851034,-73.928275,13091.0,2022Q1,2022-03-04T00:00:00.000,10.0,4.0,18218925
"{'type': 'Point', 'coordinates': [-73.845389, 40.839309]}",40.839309,-73.845389,11270.0,2022Q2,2022-05-03T00:00:00.000,13.0,5.0,19900000
,,,,2023Q3,2023-09-12T00:00:00.000,,,3200000
"{'type': 'Point', 'coordinates': [-73.954332, 40.662919]}",40.662919,-73.954332,13509.0,2020Q4,2020-12-15T00:00:00.000,40.0,2.0,6100000
"{'type': 'Point', 'coordinates': [-73.904418, 40.863554]}",40.863554,-73.904418,11606.0,2019Q1,2019-01-22T00:00:00.000,14.0,5.0,2750000
"{'type': 'Point', 'coordinates': [-73.951261, 40.804937]}",40.804937,-73.951261,12423.0,2018Q2,2018-05-17T00:00:00.000,9.0,4.0,5225000
"{'type': 'Point', 'coordinates': [-73.859332, 40.895972]}",40.895972,-73.859332,11275.0,2023Q2,2023-06-13T00:00:00.000,11.0,5.0,6250000
"{'type': 'Point', 'coordinates': [-73.769856, 40.765254]}",40.765254,-73.769856,14196.0,2018Q2,2018-04-30T00:00:00.000,19.0,3.0,4800000
"{'type': 'Point', 'coordinates': [-73.943923, 40.837989]}",40.837989,-73.943923,13090.0,2018Q4,2018-10-30T00:00:00.000,7.0,4.0,26839208
"{'type': 'Point', 'coordinates': [-73.937841, 40.837683]}",40.837683,-73.937841,13090.0,2018Q4,2018-11-02T00:00:00.000,10.0,4.0,9510000
"{'type': 'Point', 'coordinates': [-73.932552, 40.856888]}",40.856888,-73.932552,13098.0,2023Q2,2023-05-22T00:00:00.000,10.0,4.0,3200000
"{'type': 'Point', 'coordinates': [-73.98909, 40.614771]}",40.614771,-73.98909,16867.0,2023Q1,2023-01-04T00:00:00.000,43.0,2.0,4500000
"{'type': 'Point', 'coordinates': [-73.961509, 40.761862]}",40.761862,-73.961509,10090.0,2019Q1,2019-02-19T00:00:00.000,5.0,4.0,11833334
"{'type': 'Point', 'coordinates': [-73.828397, 40.851661]}",40.851661,-73.828397,11270.0,2022Q2,2022-04-25T00:00:00.000,13.0,5.0,12100000
"{'type': 'Point', 'coordinates': [-73.989969, 40.664811]}",40.664811,-73.989969,17617.0,2022Q2,2022-05-10T00:00:00.000,39.0,2.0,10275000
"{'type': 'Point', 'coordinates': [-73.962102, 40.758832]}",40.758832,-73.962102,12419.0,2020Q3,2020-09-09T00:00:00.000,5.0,4.0,62000000
"{'type': 'Point', 'coordinates': [-73.940576, 40.837948]}",40.837948,-73.940576,13090.0,2021Q3,2021-07-20T00:00:00.000,7.0,4.0,9250000
"{'type': 'Point', 'coordinates': [-73.918739, 40.830664]}",40.830664,-73.918739,10934.0,2018Q2,2018-06-15T00:00:00.000,16.0,5.0,2823000
"{'type': 'Point', 'coordinates': [-73.891467, 40.85731]}",40.85731,-73.891467,10936.0,2020Q4,2020-11-25T00:00:00.000,15.0,5.0,3200000
"{'type': 'Point', 'coordinates': [-73.945174, 40.836617]}",40.836617,-73.945174,13090.0,2018Q4,2018-12-10T00:00:00.000,7.0,4.0,10200000
"{'type': 'Point', 'coordinates': [-73.960872, 40.683513]}",40.683513,-73.960872,13829.0,2021Q3,2021-07-28T00:00:00.000,35.0,2.0,5150000
"{'type': 'Point', 'coordinates': [-73.948889, 40.635052]}",40.635052,-73.948889,17217.0,2021Q2,2021-06-15T00:00:00.000,45.0,2.0,2300000
"{'type': 'Point', 'coordinates': [-73.936588, 40.840331]}",40.840331,-73.936588,13090.0,2021Q4,2021-12-28T00:00:00.000,10.0,4.0,3197000
"{'type': 'Point', 'coordinates': [-74.011689, 40.640325]}",40.640325,-74.011689,18180.0,2023Q1,2023-03-31T00:00:00.000,43.0,2.0,2960000
"{'type': 'Point', 'coordinates': [-73.958115, 40.803268]}",40.803268,-73.958115,12423.0,2022Q2,2022-06-13T00:00:00.000,9.0,4.0,11300000
"{'type': 'Point', 'coordinates': [-73.997338, 40.717516]}",40.717516,-73.997338,12076.0,2019Q2,2019-04-05T00:00:00.000,1.0,4.0,9000000
"{'type': 'Point', 'coordinates': [-73.940773, 40.836411]}",40.836411,-73.940773,13090.0,2018Q4,2018-11-02T00:00:00.000,7.0,4.0,3372000
"{'type': 'Point', 'coordinates': [-73.887396, 40.870409]}",40.870409,-73.887396,10936.0,2018Q4,2018-11-14T00:00:00.000,15.0,5.0,8250000
"{'type': 'Point', 'coordinates': [-73.940353, 40.715742]}",40.715742,-73.940353,17613.0,2022Q1,2022-01-27T00:00:00.000,34.0,2.0,15425000
"{'type': 'Point', 'coordinates': [-73.918001, 40.834224]}",40.834224,-73.918001,10934.0,2023Q2,2023-04-06T00:00:00.000,16.0,5.0,10175440
"{'type': 'Point', 'coordinates': [-74.001386, 40.743317]}",40.743317,-74.001386,12074.0,2021Q3,2021-08-23T00:00:00.000,3.0,4.0,7500000
"{'type': 'Point', 'coordinates': [-73.899296, 40.860638]}",40.860638,-73.899296,11606.0,2022Q2,2022-04-07T00:00:00.000,14.0,5.0,4400000
"{'type': 'Point', 'coordinates': [-73.867739, 40.833721]}",40.833721,-73.867739,11610.0,2023Q2,2023-05-10T00:00:00.000,18.0,5.0,4150000
"{'type': 'Point', 'coordinates': [-73.848525, 40.724078]}",40.724078,-73.848525,14786.0,2020Q2,2020-06-24T00:00:00.000,29.0,3.0,26500000
"{'type': 'Point', 'coordinates': [-73.995949, 40.722778]}",40.722778,-73.995949,12075.0,2022Q2,2022-04-07T00:00:00.000,1.0,4.0,9613000
"{'type': 'Point', 'coordinates': [-73.9506, 40.785738]}",40.785738,-73.9506,10099.0,2018Q2,2018-05-31T00:00:00.000,5.0,4.0,25450000
"{'type': 'Point', 'coordinates': [-73.985449, 40.726107]}",40.726107,-73.985449,11729.0,2023Q3,2023-07-14T00:00:00.000,2.0,4.0,3000000
"{'type': 'Point', 'coordinates': [-73.963374, 40.6514]}",40.6514,-73.963374,13510.0,2019Q2,2019-06-28T00:00:00.000,40.0,2.0,13833000
"{'type': 'Point', 'coordinates': [-73.960478, 40.814495]}",40.814495,-73.960478,12424.0,2020Q3,2020-08-05T00:00:00.000,7.0,4.0,15800000
"{'type': 'Point', 'coordinates': [-73.993039, 40.63559]}",40.63559,-73.993039,17621.0,2023Q3,2023-09-01T00:00:00.000,44.0,2.0,7400000
"{'type': 'Point', 'coordinates': [-73.99668, 40.734729]}",40.734729,-73.99668,12074.0,2022Q2,2022-06-02T00:00:00.000,3.0,4.0,16250000
"{'type': 'Point', 'coordinates': [-73.955961, 40.651774]}",40.651774,-73.955961,13510.0,2018Q3,2018-07-02T00:00:00.000,40.0,2.0,8500000
"{'type': 'Point', 'coordinates': [-73.854095, 40.849512]}",40.849512,-73.854095,11270.0,2020Q3,2020-08-10T00:00:00.000,13.0,5.0,4440000
"{'type': 'Point', 'coordinates': [-73.867575, 40.732336]}",40.732336,-73.867575,14785.0,2022Q1,2022-02-01T00:00:00.000,29.0,3.0,15000000
"{'type': 'Point', 'coordinates': [-73.980298, 40.614918]}",40.614918,-73.980298,16867.0,2018Q3,2018-08-28T00:00:00.000,44.0,2.0,6100000
"{'type': 'Point', 'coordinates': [-73.885111, 40.882876]}",40.882876,-73.885111,11605.0,2022Q2,2022-06-01T00:00:00.000,11.0,5.0,16000000
"{'type': 'Point', 'coordinates': [-73.895986, 40.820348]}",40.820348,-73.895986,10937.0,2021Q1,2021-01-12T00:00:00.000,17.0,5.0,3200000
"{'type': 'Point', 'coordinates': [-73.924226, 40.864225]}",40.864225,-73.924226,13092.0,2023Q3,2023-09-13T00:00:00.000,10.0,4.0,4911000
"{'type': 'Point', 'coordinates': [-73.9633, 40.694537]}",40.694537,-73.9633,17212.0,2023Q3,2023-07-28T00:00:00.000,35.0,2.0,22300000
"{'type': 'Point', 'coordinates': [-73.955015, 40.606932]}",40.606932,-73.955015,13512.0,2018Q3,2018-08-28T00:00:00.000,48.0,2.0,27700000
"{'type': 'Point', 'coordinates': [-73.95325, 40.781869]}",40.781869,-73.95325,10099.0,2021Q2,2021-05-14T00:00:00.000,5.0,4.0,15000000
"{'type': 'Point', 'coordinates': [-73.866244, 40.836684]}",40.836684,-73.866244,11269.0,2022Q1,2022-01-20T00:00:00.000,18.0,5.0,3650000
"{'type': 'Point', 'coordinates': [-73.740966, 40.711283]}",40.711283,-73.740966,24338.0,2021Q4,2021-10-07T00:00:00.000,27.0,3.0,5020000
"{'type': 'Point', 'coordinates': [-73.964133, 40.634608]}",40.634608,-73.964133,13513.0,2018Q3,2018-08-30T00:00:00.000,40.0,2.0,7400000
"{'type': 'Point', 'coordinates': [-73.919011, 40.681592]}",40.681592,-73.919011,13516.0,2022Q2,2022-04-28T00:00:00.000,41.0,2.0,2950000
"{'type': 'Point', 'coordinates': [-73.896057, 40.85825]}",40.85825,-73.896057,10936.0,2018Q4,2018-10-31T00:00:00.000,15.0,5.0,3084000
"{'type': 'Point', 'coordinates': [-73.954705, 40.616711]}",40.616711,-73.954705,13513.0,2022Q3,2022-07-19T00:00:00.000,44.0,2.0,8900000
"{'type': 'Point', 'coordinates': [-73.936035, 40.843691]}",40.843691,-73.936035,13091.0,2022Q1,2022-03-16T00:00:00.000,10.0,4.0,7775000
"{'type': 'Point', 'coordinates': [-73.773365, 40.706954]}",40.706954,-73.773365,24332.0,2019Q2,2019-05-23T00:00:00.000,27.0,3.0,4831081
"{'type': 'Point', 'coordinates': [-73.960616, 40.653633]}",40.653633,-73.960616,13510.0,2018Q2,2018-06-14T00:00:00.000,40.0,2.0,10262870
"{'type': 'Point', 'coordinates': [-74.020451, 40.635734]}",40.635734,-74.020451,18180.0,2020Q2,2020-06-09T00:00:00.000,43.0,2.0,5485000
"{'type': 'Point', 'coordinates': [-73.831858, 40.755238]}",40.755238,-73.831858,14190.0,2018Q2,2018-06-21T00:00:00.000,20.0,3.0,40400000
"{'type': 'Point', 'coordinates': [-73.820709, 40.756116]}",40.756116,-73.820709,14190.0,2023Q1,2023-03-16T00:00:00.000,20.0,3.0,2800000
"{'type': 'Point', 'coordinates': [-73.807524, 40.76094]}",40.76094,-73.807524,14193.0,2019Q4,2019-11-13T00:00:00.000,20.0,3.0,3500000
"{'type': 'Point', 'coordinates': [-73.927858, 40.851736]}",40.851736,-73.927858,13091.0,2022Q1,2022-03-04T00:00:00.000,10.0,4.0,15278612
"{'type': 'Point', 'coordinates': [-73.929577, 40.850011]}",40.850011,-73.929577,13091.0,2022Q1,2022-03-04T00:00:00.000,10.0,4.0,8462364
"{'type': 'Point', 'coordinates': [-74.081402, 40.647441]}",40.647441,-74.081402,10369.0,2021Q3,2021-09-30T00:00:00.000,49.0,1.0,950000
"{'type': 'Point', 'coordinates': [-73.992678, 40.711744]}",40.711744,-73.992678,11723.0,2020Q2,2020-04-14T00:00:00.000,1.0,4.0,7875000
"{'type': 'Point', 'coordinates': [-73.930176, 40.665155]}",40.665155,-73.930176,17615.0,2018Q2,2018-06-22T00:00:00.000,41.0,2.0,11450000
"{'type': 'Point', 'coordinates': [-73.924982, 40.863945]}",40.863945,-73.924982,13092.0,2023Q3,2023-09-13T00:00:00.000,10.0,4.0,2321000
"{'type': 'Point', 'coordinates': [-74.001607, 40.644396]}",40.644396,-74.001607,18180.0,2022Q2,2022-05-06T00:00:00.000,38.0,2.0,3500000
"{'type': 'Point', 'coordinates': [-73.954616, 40.732431]}",40.732431,-73.954616,18182.0,2022Q1,2022-02-18T00:00:00.000,33.0,2.0,9600000
"{'type': 'Point', 'coordinates': [-73.957562, 40.632909]}",40.632909,-73.957562,13513.0,2022Q2,2022-06-07T00:00:00.000,45.0,2.0,4150000
"{'type': 'Point', 'coordinates': [-73.998196, 40.732023]}",40.732023,-73.998196,12074.0,2018Q2,2018-06-21T00:00:00.000,1.0,4.0,45000000
"{'type': 'Point', 'coordinates': [-73.899597, 40.860037]}",40.860037,-73.899597,11606.0,2021Q4,2021-12-14T00:00:00.000,14.0,5.0,2750000
"{'type': 'Point', 'coordinates': [-74.010407, 40.643325]}",40.643325,-74.010407,18180.0,2018Q3,2018-09-26T00:00:00.000,38.0,2.0,4000000
"{'type': 'Point', 'coordinates': [-73.832825, 40.844438]}",40.844438,-73.832825,11270.0,2018Q3,2018-09-13T00:00:00.000,13.0,5.0,4550000
"{'type': 'Point', 'coordinates': [-73.931087, 40.851304]}",40.851304,-73.931087,13091.0,2022Q1,2022-03-04T00:00:00.000,10.0,4.0,2796352
"{'type': 'Point', 'coordinates': [-73.963016, 40.711804]}",40.711804,-73.963016,17613.0,2021Q3,2021-07-09T00:00:00.000,34.0,2.0,14959501
"{'type': 'Point', 'coordinates': [-73.950574, 40.821197]}",40.821197,-73.950574,12428.0,2019Q2,2019-05-21T00:00:00.000,7.0,4.0,16800000
"{'type': 'Point', 'coordinates': [-73.865779, 40.730355]}",40.730355,-73.865779,14785.0,2020Q4,2020-12-28T00:00:00.000,29.0,3.0,12600000
"{'type': 'Point', 'coordinates': [-73.983097, 40.728201]}",40.728201,-73.983097,11729.0,2022Q1,2022-02-03T00:00:00.000,2.0,4.0,12250000
"{'type': 'Point', 'coordinates': [-73.967861, 40.629342]}",40.629342,-73.967861,13513.0,2019Q1,2019-01-10T00:00:00.000,45.0,2.0,17767559
"{'type': 'Point', 'coordinates': [-73.879883, 40.87241]}",40.87241,-73.879883,11605.0,2018Q3,2018-09-06T00:00:00.000,11.0,5.0,7840000
"{'type': 'Point', 'coordinates': [-73.999769, 40.716081]}",40.716081,-73.999769,12076.0,2019Q2,2019-05-17T00:00:00.000,1.0,4.0,5500000
"{'type': 'Point', 'coordinates': [-73.94773, 40.826155]}",40.826155,-73.94773,12428.0,2018Q4,2018-12-10T00:00:00.000,7.0,4.0,5300000
"{'type': 'Point', 'coordinates': [-73.80703, 40.702324]}",40.702324,-73.80703,24670.0,2021Q3,2021-08-18T00:00:00.000,24.0,3.0,2250000
"{'type': 'Point', 'coordinates': [-73.943871, 40.672192]}",40.672192,-73.943871,17615.0,2018Q2,2018-05-03T00:00:00.000,36.0,2.0,6025000
"{'type': 'Point', 'coordinates': [-73.91986, 40.755185]}",40.755185,-73.91986,16858.0,2018Q4,2018-12-21T00:00:00.000,26.0,3.0,2800000
"{'type': 'Point', 'coordinates': [-73.885594, 40.873714]}",40.873714,-73.885594,10936.0,2018Q3,2018-09-05T00:00:00.000,11.0,5.0,7250000
"{'type': 'Point', 'coordinates': [-74.031215, 40.633025]}",40.633025,-74.031215,17216.0,2019Q1,2019-01-10T00:00:00.000,43.0,2.0,16086846
"{'type': 'Point', 'coordinates': [-73.913128, 40.760747]}",40.760747,-73.913128,16860.0,2018Q4,2018-11-01T00:00:00.000,22.0,3.0,5100000
"{'type': 'Point', 'coordinates': [-73.903832, 40.876061]}",40.876061,-73.903832,11272.0,2021Q4,2021-11-17T00:00:00.000,14.0,5.0,15000000
"{'type': 'Point', 'coordinates': [-73.958192, 40.640716]}",40.640716,-73.958192,13510.0,2022Q1,2022-03-24T00:00:00.000,40.0,2.0,8800000
"{'type': 'Point', 'coordinates': [-73.974659, 40.638947]}",40.638947,-73.974659,17620.0,2022Q2,2022-06-01T00:00:00.000,39.0,2.0,2800000
"{'type': 'Point', 'coordinates': [-73.947626, 40.830322]}",40.830322,-73.947626,12428.0,2018Q4,2018-11-14T00:00:00.000,7.0,4.0,21795000
"{'type': 'Point', 'coordinates': [-73.937514, 40.835435]}",40.835435,-73.937514,13090.0,2022Q2,2022-05-31T00:00:00.000,10.0,4.0,10100000
"{'type': 'Point', 'coordinates': [-73.863853, 40.837845]}",40.837845,-73.863853,11269.0,2021Q1,2021-03-26T00:00:00.000,18.0,5.0,5600000
"{'type': 'Point', 'coordinates': [-73.948272, 40.784754]}",40.784754,-73.948272,10099.0,2019Q4,2019-11-08T00:00:00.000,5.0,4.0,7500000
"{'type': 'Point', 'coordinates': [-73.939174, 40.794265]}",40.794265,-73.939174,12426.0,2023Q3,2023-07-13T00:00:00.000,8.0,4.0,2150000
"{'type': 'Point', 'coordinates': [-73.938026, 40.665602]}",40.665602,-73.938026,17615.0,2022Q1,2022-01-12T00:00:00.000,35.0,2.0,3800000
"{'type': 'Point', 'coordinates': [-73.940102, 40.674672]}",40.674672,-73.940102,17615.0,2018Q2,2018-05-15T00:00:00.000,36.0,2.0,3620689
"{'type': 'Point', 'coordinates': [-73.971289, 40.641628]}",40.641628,-73.971289,17620.0,2021Q2,2021-04-27T00:00:00.000,40.0,2.0,2800000
"{'type': 'Point', 'coordinates': [-73.924748, 40.862803]}",40.862803,-73.924748,13092.0,2023Q2,2023-06-07T00:00:00.000,10.0,4.0,5675000
"{'type': 'Point', 'coordinates': [-73.985073, 40.730674]}",40.730674,-73.985073,11724.0,2021Q2,2021-04-23T00:00:00.000,2.0,4.0,12744046
"{'type': 'Point', 'coordinates': [-73.891025, 40.871085]}",40.871085,-73.891025,11606.0,2020Q1,2020-03-16T00:00:00.000,14.0,5.0,3500000
"{'type': 'Point', 'coordinates': [-73.914173, 40.840561]}",40.840561,-73.914173,10930.0,2018Q3,2018-07-10T00:00:00.000,14.0,5.0,14000000
"{'type': 'Point', 'coordinates': [-73.916875, 40.810102]}",40.810102,-73.916875,10932.0,2022Q2,2022-06-02T00:00:00.000,8.0,5.0,3500000
"{'type': 'Point', 'coordinates': [-73.828635, 40.851653]}",40.851653,-73.828635,11270.0,2018Q3,2018-07-31T00:00:00.000,13.0,5.0,5500000
"{'type': 'Point', 'coordinates': [-73.88323, 40.879437]}",40.879437,-73.88323,11605.0,2021Q4,2021-10-06T00:00:00.000,11.0,5.0,12000000
