x,y,system,feature
1010583.02803055,184192.869196891,B363-SPRAY0203,Play Equipment
981747.494822472,185967.867615386,B077-01-SPRAY039,Play Equipment
999697.699735641,187776.995886892,B262-SPRAY0140,Play Equipment
978770.281288728,174553.898317396,B098-SPRAY049,Play Equipment
1008938.18814438,190037.720696136,B307-SPRAY0168,Play Equipment
1001420.24320656,171745.420994728,B218-SPRAY0107,Play Equipment
990641.095145464,180995.527822554,B073-20-SPRAY038,Play Equipment
1022348.71611329,182146.829981893,B309-SPRAY0169,Play Equipment
990799.801520973,176227.960914149,B130-SPRAY065,Play Equipment
1015638.33616139,170612.349113896,B274-SPRAY0149,Play Equipment
980709.637318134,162511.406654387,B028-03-SPRAY016,Play Equipment
988491.128972977,184490.27214539,B111-SPRAY057,Play Equipment
1013532.51655413,183893.967891812,B078-SPRAY040,Play Equipment
1012057.38466188,180730.911553889,B107-SPRAY055,Play Equipment
1019846.10661722,183563.190338149,B103-SPRAY052,Play Equipment
984663.015566214,164838.412499055,B099-SPRAY050,Play Equipment
1005366.47481538,169659.929430812,B248-SPRAY0129,Play Equipment
1013342.43130438,186532.525606811,B402-SPRAY0210,Play Equipment
1009960.65066638,173306.876533225,B360-SPRAY0200,Play Equipment
1008999.98231214,189256.604476228,B332-SPRAY0183,Play Equipment
1000122.42165522,193317.992678895,B263-SPRAY0141,Play Equipment
999547.283697888,163189.700901478,B208-SPRAY096,Play Equipment
988846.706345811,147811.627983137,B169-ZN05B-SPRAY090,Play Equipment
987615.088074132,188689.089863225,B230-SPRAY0117,Play Equipment
993862.919082388,148831.87922348,B169A-SPRAY088,Play Equipment
1008704.19911105,182911.959685221,B362-SPRAY0202,Play Equipment
993562.788449049,190145.531832233,B259-SPRAY0137,Play Equipment
1010373.36932913,182826.353557229,B397-SPRAY0209,Play Equipment
989162.1131953,193513.906985223,B243-SPRAY0123,Play Equipment
1001648.00456205,200087.143510639,B025-SPRAY012,Play Equipment
987178.634878799,180180.383783563,B288-SPRAY0155,Play Equipment
1003956.56096854,185038.857334315,B364-SPRAY0204,Play Equipment
980945.759549304,169100.705483645,B052-03-SPRAY022,Play Equipment
999114.850583109,190682.849816759,B088-03-SPRAY047,Play Equipment
1003279.3762993,175230.045259058,B234-SPRAY0119,Play Equipment
995612.412000457,207304.984009886,B043-SPRAY019,Play Equipment
985735.086912885,173326.451953396,B162-SPRAY083,Play Equipment
1017437.67147347,181979.844095394,B149B-SPRAY072,Play Equipment
996334.311449304,159472.728348553,B157-SPRAY079,Play Equipment
1002073.42857997,184832.933861643,B245-02-SPRAY0125,Play Equipment
981167.435287058,158764.104109644,B164-SPRAY085,Play Equipment
993673.298726722,184126.87949948,B159-01-SPRAY081,Play Equipment
1017657.72516721,179363.744340732,B246-SPRAY0126,Play Equipment
1001014.40313896,189343.022938564,B216-SPRAY0105,Play Equipment
985286.786300301,147571.270196139,B268-SPRAY0145,Play Equipment
995409.294926643,198116.845285892,B167-SPRAY087,Play Equipment
991686.780061975,187340.278256386,B232-SPRAY0118,Play Equipment
990837.359516725,193433.475059479,B295-SPRAY0160,Play Equipment
1015829.12219713,181784.769682392,B261-SPRAY0139,Play Equipment
990497.128241807,219313.085701733,M010-031-SPRAY0212,Play Equipment
1010033.15773922,182368.708475142,B228-SPRAY0116,Play Equipment
999912.622206047,203489.960851982,B114-01-SPRAY058,Play Equipment
1005882.34386238,179230.328597053,B304-SPRAY0166,Play Equipment
995907.646292135,165189.43312247,B150-SPRAY073,Play Equipment
989641.338286727,174603.550777137,B297-SPRAY0162,Play Equipment
1014077.17819447,177024.234912142,B247-SPRAY0127,Play Equipment
997466.514893561,181511.400806561,B121-SPRAY059,Play Equipment
1000864.89326739,153801.707866475,B239-SPRAY0122,Play Equipment
973294.972357466,169360.757128894,B082-02-SPRAY043,Play Equipment
979730.727202475,160325.843440219,B028-01-SPRAY015,Play Equipment
992034.283632054,189081.253448978,B026-SPRAY014,Play Equipment
1010346.66662663,178193.547862231,B343-SPRAY0191,Play Equipment
1003540.76291564,188045.315560221,B313-SPRAY0172,Play Equipment
1000736.00704221,149693.025795146,B251-08-SPRAY0133,Play Equipment
984223.441642224,161137.88315472,B158-SPRAY080,Play Equipment
1014647.0169498,182551.734683886,B056-SPRAY024,Play Equipment
984058.478389471,171343.471995472,B152-SPRAY075,Play Equipment
1012240.78455755,174807.636326983,B342-SPRAY0190,Play Equipment
1010880.30663546,181361.187852397,B249-SPRAY0130,Play Equipment
986933.450985968,188713.926099643,B361-SPRAY0201,Play Equipment
995573.485871225,187592.723945722,B102-SPRAY051,Play Equipment
994182.80656597,199855.47993198,B124-SPRAY060,Play Equipment
1003643.47891755,191601.130955144,B023-SPRAY011,Play Equipment
998482.359318554,193319.893593728,B298-SPRAY0163,Play Equipment
995910.193203046,191355.622587889,B266-SPRAY0143,Play Equipment
1004655.45031879,160178.345375642,B057-04-SPRAY026,Play Equipment
973139.627195716,164233.054129719,B082-01B-SPRAY042,Play Equipment
983001.42243272,175247.467468306,B087-01-SPRAY044,Play Equipment
980901.831159472,175840.108999565,B210J-SPRAY0102,Play Equipment
1002817.69251139,195016.853782475,B395-SPRAY0207,Play Equipment
993803.230553478,197425.636038392,B405-SPRAY0211,Play Equipment
986374.195870891,148297.139479309,B315-SPRAY0173,Play Equipment
979569.663548216,167487.207726389,B060-01-SPRAY029,Play Equipment
991997.381474882,158077.925035804,B244-SPRAY0124,Play Equipment
1012610.99477513,171795.31557998,B097-SPRAY048,Play Equipment
984438.127892643,190775.512855723,B050-SPRAY020,Play Equipment
991774.53808856,182342.472963303,B073-02-SPRAY034,Play Equipment
982879.472873464,178278.133979141,B210B-SPRAY099,Play Equipment
994051.748101055,151700.371517971,B275-SPRAY0150,Play Equipment
1006358.25432789,185445.000222817,B153-SPRAY076,Play Equipment
996859.187696144,187873.542281731,B237-SPRAY0121,Play Equipment
999341.498020216,155023.088625803,B109-SPRAY056,Play Equipment
992763.856976047,161473.630186647,B128-SPRAY063,Play Equipment
1000272.43907171,186544.962261721,B225-SPRAY0114,Play Equipment
994819.04413864,185173.733704984,B350-SPRAY0195,Play Equipment
986155.168421804,156040.41073814,B349-SPRAY0194,Play Equipment
1010513.08263239,186435.358478307,B219-SPRAY0108,Play Equipment
1008403.19315138,165280.294489309,B330-SPRAY0182,Play Equipment
996264.326681137,169185.064894974,B212-SPRAY0103,Play Equipment
1002998.44116564,191169.307343721,B269-SPRAY0146,Play Equipment
1004239.53940522,182073.698566481,B054-01-SPRAY023,Play Equipment
1016298.99527314,185982.881692975,B163-SPRAY084,Play Equipment
992144.115433394,190367.546808138,B321-SPRAY0177,Play Equipment
1008036.54755921,175895.667615473,B271-SPRAY0147,Play Equipment
983670.822012558,187292.75472939,B223B-SPRAY0110,Play Equipment
992491.328649714,149429.950533896,B337-SPRAY0185,Play Equipment
975886.349064469,172573.666057392,B066-01-SPRAY031,Play Equipment
999976.546552641,184806.013628985,B012-SPRAY03,Play Equipment
993706.380025386,189275.899713233,B301-SPRAY0165,Play Equipment
1015622.7984628,178187.16204822,B345-SPRAY0192,Play Equipment
998253.261679634,181018.601267233,B284-SPRAY0152,Play Equipment
993863.798345714,176569.296517565,B068-01-SPRAY033,Play Equipment
1006914.30866196,192536.128100886,B139-SPRAY068,Play Equipment
999196.413664713,194637.985773816,B286-SPRAY0154,Play Equipment
999261.934552382,190515.294856084,B088-SPRAY045,Play Equipment
996610.81286481,194556.789085805,B022-SPRAY010,Play Equipment
999732.089758724,179215.95296964,B254-SPRAY0136,Play Equipment
991553.228491798,190751.136264055,B032-02-SPRAY018,Play Equipment
999187.73881331,189064.534322306,B323-SPRAY0179,Play Equipment
985505.164472475,187419.019568726,B019-SPRAY08,Play Equipment
1001354.68559488,194710.023359388,B340-SPRAY0188,Play Equipment
1008608.54346247,185000.898092642,B144-SPRAY069,Play Equipment
1000911.57066747,157183.173544481,B235-SPRAY0120,Play Equipment
985657.399732306,194547.430836811,B223H-SPRAY0111,Play Equipment
974206.681163966,167486.122098639,B192-SPRAY091,Play Equipment
992148.106567144,192095.614218145,B300-SPRAY0164,Play Equipment
